participant_id,rule,n_trials,learning_slope,learning_r,learning_p,trials_to_criterion,first_half_accuracy,second_half_accuracy,accuracy_improvement,overall_accuracy,pe_rate
AyAnuCaltBbpEYbudoyNzTvXlcC2,colour,45,0.011731804793875268,0.27242940577178554,0.07021806631408091,10.0,0.6363636363636364,0.8695652173913043,0.23320158102766797,0.7555555555555555,2.2222222222222223
AyAnuCaltBbpEYbudoyNzTvXlcC2,shape,43,0.04044767327704693,0.5599805337702568,9.439149485041474e-05,12.0,0.5714285714285714,0.8636363636363636,0.29220779220779225,0.7209302325581395,20.930232558139537
AyAnuCaltBbpEYbudoyNzTvXlcC2,number,24,0.04908404418962382,0.5229419147470707,0.008742110788167785,3.0,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.875,12.5
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,colour,126,0.0034735658042744657,0.26016232178499554,0.00326050345086058,116.0,0.30158730158730157,0.4603174603174603,0.15873015873015872,0.38095238095238093,0.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,colour,27,0.04872995856602415,0.5353067749494012,0.00401100546511541,3.0,0.8461538461538461,0.8571428571428571,0.01098901098901095,0.8518518518518519,0.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,shape,27,0.04629796433075122,0.5085909100258635,0.006750605677733873,3.0,0.8461538461538461,0.8571428571428571,0.01098901098901095,0.8518518518518519,11.11111111111111
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,number,23,0.03742310321257689,0.4417405940884078,0.034831224327026324,2.0,0.9090909090909091,0.9166666666666666,0.007575757575757569,0.9130434782608695,8.695652173913043
CDEoAyvS8feXLKMKsaZah9agEhF3,colour,21,0.024570024570024565,0.3504998186163907,0.1192966560991557,0.0,1.0,0.9090909090909091,-0.09090909090909094,0.9523809523809523,4.761904761904762
CDEoAyvS8feXLKMKsaZah9agEhF3,shape,23,0.037423103212576886,0.44174059408840777,0.034831224327026324,1.0,0.9090909090909091,0.9166666666666666,0.007575757575757569,0.9130434782608695,8.695652173913043
CDEoAyvS8feXLKMKsaZah9agEhF3,number,24,0.0490840441896238,0.5229419147470706,0.008742110788167792,1.0,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.875,12.5
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,colour,28,0.06367198432689619,0.6278215534497237,0.00034811826268685064,6.0,0.6428571428571429,0.8571428571428571,0.2142857142857142,0.75,3.571428571428571
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,shape,34,0.04533954727030627,0.5238849041627249,0.0014732428216212895,5.0,0.7058823529411765,0.7647058823529411,0.05882352941176461,0.7352941176470589,17.647058823529413
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,number,29,0.021661751245804942,0.30377468674517466,0.10914684210305767,1.0,0.8571428571428571,0.8666666666666667,0.009523809523809601,0.8620689655172413,13.793103448275861
CUNlBEszJVRGK1jWlTaOaCqpDg53,colour,25,0.02,0.29488391230979427,0.15243489415153413,0.0,0.9166666666666666,0.9230769230769231,0.0064102564102564985,0.92,8.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,shape,26,0.08241758241758243,0.7319250547114002,2.141731310370866e-05,3.0,0.7692307692307693,0.7692307692307693,0.0,0.7692307692307693,23.076923076923077
CUNlBEszJVRGK1jWlTaOaCqpDg53,number,25,0.0583047525722685,0.574798745570588,0.0026516736458873703,2.0,0.8333333333333334,0.8461538461538461,0.012820512820512775,0.84,12.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,colour,24,0.030485246818626768,0.3886393457383382,0.060538911972222,3.0,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666,4.166666666666666
Cbkx2NHyF3NrebzXGqNgSfiWent1,shape,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,8.695652173913043
Cbkx2NHyF3NrebzXGqNgSfiWent1,number,24,0.0490840441896238,0.5229419147470706,0.008742110788167792,1.0,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.875,8.333333333333332
Co587hoelyeANqFX7AYvuVQW0lZ2,colour,22,0.045454545454545456,0.5000000000000001,0.017806558607844625,1.0,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,4.545454545454546
Co587hoelyeANqFX7AYvuVQW0lZ2,shape,37,0.01806818568849835,0.2664606496936707,0.1109002326521653,2.0,0.5555555555555556,0.8947368421052632,0.3391812865497076,0.7297297297297297,13.513513513513514
Co587hoelyeANqFX7AYvuVQW0lZ2,number,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,13.043478260869565
CtJe4bZZnYUBNrcPk00d3YQFSGp2,colour,29,0.06279636037421506,0.6321496677064449,0.00023440397005451607,3.0,0.7857142857142857,0.7333333333333333,-0.05238095238095242,0.7586206896551724,13.793103448275861
CtJe4bZZnYUBNrcPk00d3YQFSGp2,shape,26,0.061524334251606985,0.5944118626141068,0.0013637804673679978,4.0,0.6923076923076923,0.9230769230769231,0.23076923076923084,0.8076923076923077,19.230769230769234
CtJe4bZZnYUBNrcPk00d3YQFSGp2,number,25,0.061366976972072496,0.6049877553169422,0.0013558481067361004,3.0,0.8333333333333334,0.8461538461538461,0.012820512820512775,0.84,8.0
DAKDKPH698P12JfTbbjemLI6PIH2,colour,29,0.059079841086761516,0.5947367281891245,0.000667553894439535,6.0,0.6428571428571429,0.8666666666666667,0.2238095238095238,0.7586206896551724,6.896551724137931
DAKDKPH698P12JfTbbjemLI6PIH2,shape,33,0.012595837897042715,0.21336578209905196,0.2331744844035969,1.0,0.875,0.8235294117647058,-0.05147058823529416,0.8484848484848485,9.090909090909092
DAKDKPH698P12JfTbbjemLI6PIH2,number,24,0.0490840441896238,0.5229419147470706,0.008742110788167792,1.0,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.875,8.333333333333332
DPvStUYSmohmXwFwaKRqHv89R3k1,colour,20,0.0,,,0.0,1.0,1.0,0.0,1.0,0.0
DPvStUYSmohmXwFwaKRqHv89R3k1,shape,21,0.02457002457002457,0.3504998186163906,0.11929665609915575,1.0,0.9,1.0,0.09999999999999998,0.9523809523809523,4.761904761904762
DPvStUYSmohmXwFwaKRqHv89R3k1,number,22,0.045454545454545456,0.5000000000000001,0.017806558607844625,1.0,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,9.090909090909092
DaRehVxIOhXtEtUExdgvUl0mKcx2,colour,27,0.0517503805175038,0.536582052326765,0.003908427680868295,5.0,0.7692307692307693,0.8571428571428571,0.08791208791208782,0.8148148148148148,3.7037037037037033
DaRehVxIOhXtEtUExdgvUl0mKcx2,shape,88,0.004846159792818213,0.2551443465453674,0.01643566184378027,76.0,0.25,0.4772727272727273,0.2272727272727273,0.36363636363636365,39.77272727272727
