,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[66],-0.113,1.501,-3.11,2.768,0.09,0.243,236.0,166.0,1.1
dass_latent[67],-0.116,1.454,-3.064,2.775,0.088,0.23,239.0,179.0,1.1
dass_latent[68],-0.119,1.436,-2.997,2.725,0.084,0.221,247.0,150.0,1.09
dass_latent[69],-0.198,2.368,-5.95,4.069,0.208,0.429,153.0,124.0,1.16
dass_latent[70],-0.185,2.349,-5.569,4.352,0.203,0.424,153.0,119.0,1.16
dass_latent[71],-0.198,2.376,-5.691,4.265,0.208,0.412,152.0,107.0,1.16
dass_latent[72],0.138,1.825,-3.457,4.123,0.144,0.321,176.0,146.0,1.15
dass_latent[73],0.128,1.799,-3.276,4.234,0.142,0.313,178.0,129.0,1.16
dass_latent[74],0.131,1.814,-3.379,4.11,0.144,0.338,182.0,140.0,1.16
dass_latent[75],0.015,1.122,-2.298,2.2,0.016,0.162,2369.0,224.0,1.12
dass_latent[76],0.01,1.134,-2.345,2.1,0.018,0.175,2338.0,154.0,1.12
dass_latent[77],0.012,1.14,-2.154,2.226,0.015,0.169,2185.0,202.0,1.11
dass_latent[78],-0.04,1.549,-3.156,2.967,0.105,0.248,192.0,115.0,1.11
dass_latent[79],-0.043,1.556,-3.117,3.05,0.106,0.266,189.0,116.0,1.11
dass_latent[80],-0.039,1.541,-3.116,3.044,0.103,0.242,194.0,102.0,1.1
dass_latent[81],0.05,1.592,-3.118,3.133,0.106,0.286,189.0,90.0,1.11
dass_latent[82],0.041,1.552,-3.018,3.201,0.105,0.282,193.0,87.0,1.11
dass_latent[83],0.043,1.59,-3.08,3.26,0.105,0.265,195.0,147.0,1.11
dass_latent[84],0.045,1.23,-2.32,2.513,0.034,0.186,904.0,187.0,1.12
dass_latent[85],0.038,1.187,-2.335,2.311,0.036,0.17,764.0,246.0,1.11
dass_latent[86],0.046,1.209,-2.395,2.406,0.038,0.19,767.0,143.0,1.12
dass_latent[87],-0.04,1.179,-2.34,2.192,0.023,0.146,1228.0,309.0,1.09
dass_latent[88],-0.025,1.17,-2.319,2.181,0.021,0.164,1341.0,225.0,1.08
dass_latent[89],-0.03,1.127,-2.209,2.299,0.022,0.161,1179.0,227.0,1.09
dass_latent[90],0.107,1.454,-2.593,3.056,0.073,0.178,301.0,285.0,1.08
dass_latent[91],0.109,1.437,-2.735,2.802,0.078,0.2,271.0,176.0,1.08
dass_latent[92],0.103,1.458,-2.731,2.837,0.077,0.182,286.0,197.0,1.08
dass_latent[93],-0.046,1.205,-2.499,2.175,0.035,0.157,615.0,267.0,1.08
dass_latent[94],-0.049,1.207,-2.458,2.297,0.036,0.155,638.0,307.0,1.08
dass_latent[95],-0.038,1.237,-2.471,2.317,0.037,0.154,593.0,295.0,1.07
dass_latent[96],-0.064,1.317,-2.557,2.46,0.055,0.136,419.0,388.0,1.06
dass_latent[97],-0.063,1.341,-2.529,2.624,0.056,0.139,416.0,351.0,1.06
dass_latent[98],-0.064,1.33,-2.801,2.461,0.056,0.145,412.0,398.0,1.07
dass_latent[99],0.002,1.15,-2.256,2.261,0.024,0.151,1136.0,226.0,1.08
dass_latent[100],-0.012,1.169,-2.123,2.358,0.025,0.166,1037.0,173.0,1.09
dass_latent[101],-0.021,1.188,-2.459,2.1,0.023,0.167,1072.0,195.0,1.09
dass_latent[102],0.105,1.449,-2.828,3.061,0.089,0.241,238.0,137.0,1.12
dass_latent[103],0.102,1.462,-2.635,3.22,0.09,0.249,238.0,160.0,1.12
