,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[157],0.089,2.009,-3.346,4.307,0.193,0.07,109.0,159.0,1.03
dass_latent[158],0.062,1.112,-2.032,2.256,0.031,0.053,976.0,1166.0,1.03
dass_latent[159],-0.039,1.25,-2.578,2.323,0.086,0.058,191.0,615.0,1.04
dass_latent[160],0.086,1.671,-3.301,3.441,0.166,0.114,117.0,114.0,1.03
dass_latent[161],0.153,1.881,-3.6,3.812,0.191,0.119,88.0,420.0,1.06
dass_latent[162],0.006,1.941,-3.819,3.51,0.076,0.065,608.0,1114.0,1.02
dass_latent[163],-0.165,2.346,-4.503,4.24,0.266,0.134,76.0,374.0,1.04
dass_latent[164],0.067,1.681,-3.154,3.08,0.135,0.046,138.0,1826.0,1.02
dass_latent[165],0.027,1.072,-2.158,2.018,0.035,0.044,824.0,862.0,1.02
dass_latent[166],0.057,1.801,-3.325,3.468,0.063,0.06,772.0,1506.0,1.01
dass_latent[167],-0.139,1.6,-3.305,2.968,0.136,0.129,128.0,390.0,1.05
dass_latent[168],0.016,2.108,-3.908,4.24,0.082,0.052,636.0,1458.0,1.01
dass_latent[169],0.025,1.055,-1.959,2.129,0.011,0.045,4347.0,2087.0,1.02
dass_latent[170],0.097,1.345,-2.514,2.753,0.103,0.076,154.0,500.0,1.06
dass_latent[171],0.095,1.999,-3.573,3.979,0.085,0.086,508.0,529.0,1.02
dass_latent[172],0.091,1.753,-2.836,4.108,0.196,0.09,80.0,112.0,1.03
dass_latent[173],0.167,1.881,-3.557,3.687,0.19,0.115,90.0,388.0,1.05
dass_latent[174],0.069,1.936,-3.647,3.682,0.079,0.074,570.0,1052.0,1.02
dass_latent[175],-0.022,1.112,-2.23,2.092,0.037,0.047,700.0,1411.0,1.02
dass_latent[176],-0.028,3.156,-6.43,5.979,0.133,0.179,548.0,734.0,1.04
dass_ef_coef,-0.057,0.61,-1.071,1.029,0.078,0.022,67.0,244.0,1.05
gender_ef_coef,-0.079,0.257,-0.606,0.405,0.008,0.011,1260.0,1068.0,1.0
interaction_ef,0.042,0.609,-1.068,1.178,0.073,0.023,70.0,370.0,1.04
sigma_ef,0.844,0.148,0.544,1.093,0.011,0.007,123.0,396.0,1.04
sigma_dass,1.181,0.673,0.111,2.325,0.125,0.032,27.0,41.0,1.13
