participant_id,total_var,slow_var,fast_var,diff_var,fast_ratio,n_trials
5zxa5CMLGQSSonWOXqXf0QNS3PH3,223933.4368191751,34327.5726465525,214373.96038254254,385926.03857632336,0.9573110805942223,85
62fAfeQc27bZelkPX7G54T3gvci2,383233.32925529015,44255.108079541795,363516.3565479331,784263.825396573,0.9485509969979081,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,424867.90078553295,27239.778708103742,412377.795855666,748388.7432330414,0.9706023803945316,86
6WFCyGwk71XLPBmbe4Vav3eotVm1,466468.26690982026,20124.482229332425,461526.80213618354,592159.7369072159,0.9894066432291909,69
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,312127.0940393624,36107.81230479333,270639.7733578487,446642.05627232004,0.8670819628485,76
80UJMJbCOMgs6YVpsMgXfYTzw6o2,329742.78523484856,43470.80329149334,277034.54622221185,435539.7717874768,0.8401534730317238,70
87w5Le0CgZhSfYAaOH3Xd2fc98l1,672324.5970240299,232248.6594179459,415323.6010311953,776444.8425115688,0.6177426839202061,115
8bwaafIhKVMNBoHaXFcY8HirS9u2,455413.1871115311,59585.38688291779,385018.2986679709,618279.8526459676,0.8454263283633893,80
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,887951.1874697114,150191.0564641018,739671.6363535561,1827347.7972377967,0.8330093441975229,93
8mscvscxtXf7EbbLqCyy4a4pl2q2,650176.2904882779,57462.59290965732,492435.38712968206,606832.2133175939,0.7573874875687431,74
9Xz1RIwnPXgyRqmucudW9VeuDnq1,281695.7624489884,17233.55645256737,275594.9764816435,641650.1298046808,0.9783426420251896,70
9l7DjYLs0XdgwykPZR5E01KTZfu2,756038.926748619,49489.34202338112,699116.9605910105,1499801.9123612416,0.9247102706703159,72
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,641436.4746809772,114936.05727411232,492862.77973985905,581173.8192505749,0.768373485441388,80
ASGvwW80q7VY7xFaLGZhVuErUQu2,235548.24696301928,17077.08008950972,227283.87121078017,412120.87056188163,0.9649142973518432,79
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,534763.9726975037,103474.37248760548,373955.89304183284,663760.2333797731,0.6992914858409243,91
AsXBOflrszVNKoFqbN61bMJqS0k2,379977.1995545481,36121.835514599465,347701.0905043362,491702.9304551655,0.9150577742873796,105
AyAnuCaltBbpEYbudoyNzTvXlcC2,1349969.4257888095,404360.87811885815,832137.6598544213,1335930.0505228804,0.6164122267940916,107
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1229876.6240123059,301202.46377298835,950619.1236770727,1953604.970346649,0.7729386062935375,92
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,196887.08298704863,12878.07820663108,212036.06034655412,286257.1169969848,1.076942464328663,77
CDEoAyvS8feXLKMKsaZah9agEhF3,656563.0233230706,107865.64031577596,499409.8968253323,1065670.8806030375,0.7606427396682542,65
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,404531.055423397,50477.92727715532,359232.73605619563,668680.5769406729,0.8880226406356109,90
CUNlBEszJVRGK1jWlTaOaCqpDg53,311555.8386241545,67182.84174012019,225444.58061131387,443132.7851428603,0.7236089094233892,75
Cbkx2NHyF3NrebzXGqNgSfiWent1,458836.04419000936,25343.333347430307,451196.16678753414,928220.745554421,0.9833494393057938,71
Co587hoelyeANqFX7AYvuVQW0lZ2,368861.10618370166,29150.731376580607,354917.20109524403,517954.016685608,0.9621974102048232,82
CtJe4bZZnYUBNrcPk00d3YQFSGp2,609812.3543951722,53173.301330625975,559852.9737538097,672695.9487655744,0.9180741743238156,79
DAKDKPH698P12JfTbbjemLI6PIH2,550733.6053910375,95874.10224499661,346408.8482310178,546200.3575033173,0.628995297980876,83
