participant_id,n_change_points,cp_rate,n_trials
OExlWyngGfPrScDYjaRcv5PIAet1,0,0.0,64
ORuVuFPU5idz3fMoXTGsbwToW2j2,0,0.0,88
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0,0.0,91
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,0,0.0,66
PLreonkqaMeFc0UqxKUelH44UQu1,0,0.0,91
PkpTH7pWpEOG9A86xSloOSozwTk2,0,0.0,112
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0,0.0,74
QbOEVCaZLUMOgltUdXm58oZOALv2,0,0.0,98
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0,0.0,63
QreA2rLiUhV3YHeMfuHMPdGbpJ53,0,0.0,95
Qv0jhW3sqicqQvd7LfReAsI7nD73,0,0.0,76
Rc706mP0TSeIoIpMYH1SpRXjOxA2,0,0.0,59
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,0,0.0,74
Ru3Qf6pXZua1DfNkQdhbor6iJ403,0,0.0,81
SOhR7IO689NQCPQu56SjATO8FR92,0,0.0,100
SPCT9D90pRa1ihXS5jEw6vCmquI3,0,0.0,113
SdDjNMBD2ZMTEwUphkohi2cZwUx1,0,0.0,83
SpSfX0ZcfcPLdlOENlfdfvEPwru2,0,0.0,72
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,0,0.0,76
Ub7nV8F55kPruh35ZpUcKoBUyn63,0,0.0,80
UbwuSMtBsHdW3Ji41opk3GInMqi2,0,0.0,76
VwTymW8T68MfpnJvZ2X97ILqDWS2,0,0.0,81
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,0,0.0,85
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0,0.0,97
WcTsIpSoEhYeIBSNjAbbdaNSBya2,1,1.0752688172043012,93
WeHQDy9BWldTlaQDVVlsJNCqwxA2,0,0.0,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,0,0.0,71
WnC6Uscb5VMIr43GASKiUCO3AYH2,1,1.3888888888888888,72
WqoZv41KTtTCuPKBPyClregrKAi1,0,0.0,89
