participant_id,ci_width,ci_low,ci_high,n_boot
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,197.2477067026304,-86.07468399089599,111.17302271173442,100
CDEoAyvS8feXLKMKsaZah9agEhF3,216.7419085241815,-114.94721463682305,101.79469388735846,100
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,434.640074260339,-177.67682581747405,256.963248442865,100
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,208.57267012504894,-227.5272554438696,-18.95458531882066,100
CUNlBEszJVRGK1jWlTaOaCqpDg53,173.78276610835402,-100.68222573224425,73.10054037610978,99
Cbkx2NHyF3NrebzXGqNgSfiWent1,174.38351742873581,-154.82112873275418,19.562388695981635,100
Co587hoelyeANqFX7AYvuVQW0lZ2,248.8270370355486,-80.90575778092199,167.92127925462663,99
CtJe4bZZnYUBNrcPk00d3YQFSGp2,144.21639927157193,-86.73930129866885,57.47709797290309,99
DAKDKPH698P12JfTbbjemLI6PIH2,108.42304229454383,-92.15578596169357,16.267256332850263,100
DPvStUYSmohmXwFwaKRqHv89R3k1,298.54850262531744,-98.40825541030658,200.14024721501085,100
DaRehVxIOhXtEtUExdgvUl0mKcx2,394.36462368355654,-133.61501118090678,260.74961250264977,100
Df83JuPuJkXqTGbENhM2gw5SJM43,329.494849804395,-186.04986390695692,143.4449858974381,100
DxSidjznjVSNDJuDqqGgxpMEGtw1,195.90589579768078,-75.8677506937238,120.03814510395698,100
DzB19GqCB7fyrlEPexogWkjFzEx2,403.94356709733324,-308.1054089049569,95.83815819237635,100
EEodWwGh0wWq5f8JmzfKvq0lyeu1,229.9114498834476,-4.139122502496635,225.77232738095097,100
EUhcW9kURScie1DwGPHqmNqotJB2,284.44363137304185,-163.02430776261534,121.41932361042652,100
EmfmKFDgWJdW47a6CNTNjnbYaPh2,186.32978876807738,-78.09421744761882,108.23557132045856,100
EoToosG69XMp4LTYdB6sB9WTrv22,130.06316672876702,-54.51994959242738,75.54321713633963,100
Fz7EUjZCLuUBxLDUVtN6djaBTy42,163.87603281160517,-112.01430527498147,51.861727536623704,100
G1Ff3XYUZMRsPafyEQ80ussnVlf1,285.67581971207187,-223.4680184349776,62.207801277094234,100
G9VruXninjUdE9czK2DambZl5li2,259.85371636006874,-133.9473268398764,125.90638952019233,100
GDZGRW51kbWtAdUIHCtEd8sAtqY2,188.82473297272463,-109.57455031845996,79.25018265426469,100
GE4hogtdLdTFbNasENgtm6SO3hC3,344.4238425610228,-297.16516848742384,47.25867407359897,100
