participant_id,shift_trial_count,post_shift_error_count
Ru3Qf6pXZua1DfNkQdhbor6iJ403,30.0,11.0
SOhR7IO689NQCPQu56SjATO8FR92,44.0,22.0
SPCT9D90pRa1ihXS5jEw6vCmquI3,32.0,12.0
SpSfX0ZcfcPLdlOENlfdfvEPwru2,26.0,8.0
SvtOrPatsnWjicxtyndEzSdO5Wp1,32.0,11.0
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,29.0,8.0
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,12.0,0.0
Ub7nV8F55kPruh35ZpUcKoBUyn63,31.0,11.0
UbqFccqQZZgcqJIqCn3ErH9zQdM2,25.0,9.0
UbwuSMtBsHdW3Ji41opk3GInMqi2,24.0,6.0
VwTymW8T68MfpnJvZ2X97ILqDWS2,28.0,10.0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,20.0,4.0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,27.0,9.0
WcTsIpSoEhYeIBSNjAbbdaNSBya2,37.0,17.0
WeHQDy9BWldTlaQDVVlsJNCqwxA2,47.0,18.0
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,24.0,9.0
WnC6Uscb5VMIr43GASKiUCO3AYH2,22.0,6.0
WqoZv41KTtTCuPKBPyClregrKAi1,19.0,3.0
XbHvBButpZS4bapbJXJLAYcHnn12,40.0,20.0
XehZHBpwr5MYzUXkj0FAYCsFG922,45.0,20.0
YEU5ox3jteVINfdSTg5ymqYcS9o2,20.0,4.0
Yco8O7tmHlbsUBfKW2ywcZByGO32,21.0,3.0
YzmMCD3ZmzbWlV4pTQ6hvDdnuMk2,32.0,14.0
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,23.0,6.0
ZEd5KGl23wS7rvzDkxzgqmCgLaC3,28.0,9.0
aM2995jJmJWvr6cneaGH58HauIg2,30.0,11.0
afdTz6deeYWf1qKNdUpKAYKN3hz1,29.0,18.0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,32.0,13.0
asKxydfXDkZAk89VaD4hwVovkzJ3,25.0,8.0
azdL1gX79EVd9iepyCAVQrqIaQF3,27.0,10.0
bXpFswkI7TfIfL6G4FqWrbaxTGx2,25.0,7.0
biQ16yPcCKSkJQhSxUKcDc8gm8I2,28.0,10.0
btpcu1rB1JeSTo2upeHGPdv8kYG3,24.0,8.0
c0hRe9PCPPZs3HWFqhIQargNlp52,30.0,12.0
c8BtRUVPPPZHjyhX2rn702NoUld2,27.0,8.0
cC0BEsQjfrcuCyoaOas9zJT0MNs2,54.0,32.0
cEIs6U87xfbSL5eFTXDK77MmvNf1,21.0,5.0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,22.0,5.0
cec6NLR2ZLVVw6h0TEKSNIH11v02,3.0,0.0
cfoKz0AGhvYmW0DJmVKAZ01jh752,31.0,10.0
d9rwc0NXArcNlJvFsgKhQqkGxJq2,26.0,9.0
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,27.0,10.0
e7NIVznoeNMC7bBejXnMVvFNPfx1,28.0,12.0
fEL2NrgSd4MmDtLCAcMvCJQXTME2,26.0,9.0
fEq0OghbLpfD1jigl1Mbz96aMbg2,43.0,21.0
foaW7wtvY3XLNdguFUK7OvOefP93,25.0,7.0
g2G9l3no7RbeRA9a1W3JnfegTnh2,33.0,12.0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,23.0,6.0
h52Mz0cZjnOsmXT02EgU3JzzRKs2,16.0,1.0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,35.0,15.0
hOrA1ssI5vaeeeXRJhtjrGrqHQn1,25.0,6.0
hrRr560eFBNwJ0CcUjCqtSD8TdP2,24.0,8.0
htPWXDgfuheOJbl6ihHore9XuDp2,21.0,5.0
i1bdbtLuM9UR71xKs8yOhuCwJ9o1,27.0,10.0
i1tBstVkNiVP0qro7TgGD08IGGa2,30.0,10.0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,21.0,6.0
iWsc4pghIEWOQUZKuQJMfe516UI3,21.0,6.0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,75.0,41.0
iZX3U88SSqYAtT564nBPgHUBsei1,39.0,17.0
idP8RVfm74N86O0dszLXANIpjXv2,26.0,7.0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,33.0,15.0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,18.0,3.0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,23.0,7.0
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,26.0,7.0
kI0YdycDU0X5hcoEPjEON3Ionyd2,28.0,10.0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,28.0,11.0
kgSRatooJJfDaMZ2yIURqb8aJuE3,20.0,4.0
kxerHPSL3bQjD74HhiebYf3blPr1,52.0,39.0
lHDkoPQu5reNCO45npeYSS9eLQl1,44.0,21.0
lpzDdvuMkKWkPxu6xeclmdctEp42,26.0,10.0
m69r9GQTk2b51mvxrFLt4fZeJi52,26.0,8.0
mUZzgdWKnPb2txOkJg9FHgqX5792,36.0,17.0
mYRMPGfR5gRSjnp7ojjD5sXo7Jr2,29.0,10.0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,31.0,10.0
mweMgSlGM2VxThhwnupYxYzUbR23,23.0,5.0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,23.0,8.0
nHy6rdfyacWW9BnyDb1dNvNYWfh1,45.0,26.0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,21.0,5.0
o4jXmZcjtMVF2ZInToRpVHUhpdV2,16.0,1.0
ohl9pXqpeSMfepC3w9h0tW5SbJw1,25.0,8.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,31.0,14.0
pRQimOpZtsekBI2I1kbnD3pycmo1,23.0,8.0
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,31.0,14.0
pcbRW89vVJcviD87V3uxyG4I9st2,19.0,3.0
q0Atnpm0jZS5swcVmq0EMalQUKw1,23.0,7.0
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,10.0,3.0
qnR5PLX1v3fPi6SwTJMwGcadwyD3,30.0,12.0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,25.0,6.0
rFV2EUbp64f5ORSh7DqwmCQmeqT2,22.0,5.0
rNe3cRPepZUXbJhmmfQZiGsVzX22,38.0,16.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,26.0,9.0
roaf78tUWxWSEjAUcUu8O7mrQbl1,27.0,10.0
s48aCkolCSNbBRSSRPle0r61a7H2,85.0,61.0
s5gTyWKzfkdHXNT3qicwPmdONYv1,19.0,3.0
sqfXvh6GJLaYAqr3RvHrixP8IOx1,25.0,8.0
ssPK6ISW0HerTGke9hznqJ2LpKu1,28.0,11.0
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,53.0,28.0
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,24.0,6.0
tv88wS5Nf6SjruozSmXJxQSmx6J3,30.0,11.0
u64Uf920g5VD9Byq26LT2rs5o4t1,30.0,10.0
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,32.0,9.0
v8nNKiWvPdcjiHXZci39OuFTY6M2,29.0,11.0
wdppvL4tIkVlGjou6aYzzjlaZXB2,42.0,29.0
wkhxvE50megJGMA1EiROSZIJWNq1,41.0,20.0
xBGZhFOeypWnqzSQClkrwV9z2vF3,31.0,13.0
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,36.0,14.0
xHctBv4C2EU8rHYRouw0btT3GT02,42.0,18.0
xyAILKfYP2M8GqAai11x6NT7IcP2,30.0,10.0
y1EHXv8tUTa4BRS4fRio7bULYfA2,41.0,19.0
yGTid3RXTdQe5JNosdSxvgktWIW2,24.0,8.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,35.0,18.0
yfjd8LbAMrYeG54927d3GiKAyXI2,26.0,10.0
zw1w9FipI9RjJsuhHse6UZavBxs2,28.0,10.0
zxG9mUnF7uRkaOKSoCPsiRZzr372,27.0,10.0
