participant_id,cC,cI,iC,iI,interference_after_congruent,interference_after_incongruent,cse,n_trials
Qv0jhW3sqicqQvd7LfReAsI7nD73,622.4812500011176,781.6600000008941,596.0799999952317,670.5066666662693,159.17874999977653,74.42666667103765,84.75208332873888,71
Rc706mP0TSeIoIpMYH1SpRXjOxA2,1024.3461539195134,1008.80952390035,928.7857143765405,1085.7000000817436,-15.536630019163454,156.91428570520316,-172.4509157243666,69
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,903.4444444047081,1006.2058823529412,802.7411764930276,1071.6526316090633,102.76143794823315,268.91145511603565,-166.1500171678025,71
Ru3Qf6pXZua1DfNkQdhbor6iJ403,971.3238095238117,976.9230769230859,875.5357142857059,1054.6947368420906,5.59926739927414,179.15902255638468,-173.55975515711054,67
SOhR7IO689NQCPQu56SjATO8FR92,793.3649999999441,1130.4937500001397,817.0875000000233,1149.8285714286114,337.1287500001956,332.74107142858816,4.387678571607466,66
SPCT9D90pRa1ihXS5jEw6vCmquI3,597.757894740293,751.4588235353722,612.7529411736657,645.1062500029802,153.70092879507922,32.35330882931453,121.3476199657647,69
SdDjNMBD2ZMTEwUphkohi2cZwUx1,700.1277777353922,719.7222224341499,663.855555958218,834.1823528514188,19.594444698757684,170.32679689320082,-150.73235219444314,71
SpSfX0ZcfcPLdlOENlfdfvEPwru2,932.9444444444185,915.8333333333399,756.6470588235362,788.5294117646922,-17.111111111078685,31.882352941156,-48.993464052234685,70
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,797.2111111101177,908.9470588214257,945.8529411747176,879.4631578953642,111.73594771130797,-66.38978327935331,178.12573099066128,71
Ub7nV8F55kPruh35ZpUcKoBUyn63,923.7785714268684,1114.1090909107165,995.3857142825922,1098.4692307664798,190.3305194838481,103.08351648388759,87.2470029999605,70
UbwuSMtBsHdW3Ji41opk3GInMqi2,679.0549999999814,793.606249999837,758.3599999999007,766.5842105262961,114.5512499998556,8.224210526395495,106.3270394734601,70
VwTymW8T68MfpnJvZ2X97ILqDWS2,773.1357142712388,1186.3095238152005,832.3227272711017,977.4800000011921,413.1738095439616,145.15727273009043,268.0165368138712,67
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,961.1176470588235,1069.333333333301,960.3157894737026,1036.5294117646922,108.21568627447743,76.21362229098963,32.0020639834878,71
WbOfW9KmUkPQK8o5hlHJnJFdpp92,1091.0266666650773,1327.4235294128166,1224.8764705868327,1007.9421052642559,236.3968627477393,-216.9343653225768,453.3312280703161,68
WcTsIpSoEhYeIBSNjAbbdaNSBya2,977.9812499992549,1040.7450000017882,1096.08947368672,1055.606250002049,62.76375000253324,-40.4832236846712,103.24697368720445,71
WeHQDy9BWldTlaQDVVlsJNCqwxA2,812.3157894736597,1003.0625,857.4705882352736,988.5789473684333,190.74671052634028,131.10835913315975,59.63835139318053,71
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,714.1476190430777,922.3066666603088,691.5466666221619,849.7199999809266,208.15904761723107,158.1733333587647,49.98571425846637,71
WnC6Uscb5VMIr43GASKiUCO3AYH2,622.6470588252824,655.4105263148483,664.1052631547576,658.6000000033528,32.76346748956587,-5.505263151404847,38.268730640970716,71
WqoZv41KTtTCuPKBPyClregrKAi1,862.666666666712,1137.3529411764775,796.4705882353352,1005.736842105251,274.68627450976555,209.26625386991577,65.42002063984978,71
XehZHBpwr5MYzUXkj0FAYCsFG922,688.0052631571889,764.5562500003725,623.2062499998137,778.6588235300253,76.55098684318364,155.45257353021157,-78.90158668702793,68
