participant_id,n_trials,n_transitions,rt_lag-2,rt_lag-1,rt_lag+0,rt_lag+1,rt_lag+2,rt_lag+3,rt_lag+4,rt_lag+5,recovery_slope
HSggdq91WiQp16bOj7V3dABkcgk2,81,13,1126.9692307527248,1627.4153846043807,772.2999999889961,1032.899999994498,1060.9692307527248,1084.7769230604172,1397.4500000178814,1052.1166666448116,104.15897435714037
HbydnnT1hUP3WagAy2TJAc6GqVs2,60,16,1591.387499988079,2018.4062499701977,1320.949999988079,1620.106249988079,1544.8124999850988,1551.7200000286102,1554.92666665713,1637.0466666221619,76.92333334684372
HyQM2xKwwuVfqidmRYF6TiRk90C2,80,7,1303.1499999960263,1891.1857142831598,910.1000000004258,938.5571428558657,976.8857142840113,876.6714285697255,677.2000000008514,829.699999996594,-11.142857143566744
IaTJhUGICmO9xcL3605RW8QHneN2,106,15,1354.528571428997,2052.426666667064,1029.3799999992052,1199.6733333369095,1287.9866666694481,1336.753333334128,1270.780000001192,1115.5733333349228,102.4577777783076
JntnHLHjYhc0xJJQALM3h9R5Ozv1,62,12,2006.391666650772,2544.2833333313465,1434.0583333273728,1788.3249999980133,1960.0416666666667,1727.0833333432674,1767.1583333214123,2054.5499999721847,97.67500000529822
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,59,8,1181.242857158184,2024.2624999955297,1182.8125,1282.9750000014901,1075.2750000059605,1223.4250000044703,1346.5250000059605,1496.9624999910593,13.537500001490116
K26uNuY0VNPjJNF26wEx3bFg0kr2,68,8,1052.042857142764,1721.4999999999418,1019.2375000000466,1040.3249999999534,1011.0375000000931,1043.4124999999767,1101.3874999998952,1125.1500000000815,8.05833333331005
LSLmd8jENtONZFVkIpRDX665Bu73,75,13,1326.516666630904,2201.015384582373,1344.192307637288,1632.9666666587193,1449.241666674614,1439.6416667103767,1556.6750000516574,1471.5583333770435,31.816453024362925
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,67,3,2005.300000011921,2129.9666666785874,1022.2999999920527,1270.199999988079,1154.5666666825612,1021.8333333333334,1163.1000000039737,1168.7666666706402,-0.15555555290643497
LliUMEIsrCVZ88YFQfevan2Og4z1,95,12,1195.7454545454502,1454.1583333333062,791.9416666666511,949.6666666666666,1054.3583333332983,978.283333333345,1221.2916666666472,961.9333333333489,62.113888888897954
M4Km1Q2P2oPliChDQkwl6k20FUI3,88,8,1290.6499999165535,1916.9875000715256,984.1499999761581,1039.237500011921,1129.5375000834465,1252.6124998927116,1347.0999999642372,1266.7999999523163,89.4874999721845
MMSYeiMQi3gMr4PrXQcpXzFiegj2,105,5,1686.9799999713898,2129.1200000286103,1231.719999933243,1291.4199999809266,1307.6599999904633,1288.0400000095367,1160.9800000667572,1064.7200000286102,18.773333358764603
O61Eik2zvrSQLMNpFbTNEgjWwMr2,77,4,2121.7499999981374,2459.449999999255,1352.7999999988824,1372.6749999988824,1723.375,1271.125,1169.050000000745,1243.9250000026077,-27.22499999962747
OExlWyngGfPrScDYjaRcv5PIAet1,61,3,1287.2333333094914,2303.5666666825614,1033.4666666587193,1062.4666666984558,901.2000000079473,1037.3666667143505,996.8333333333334,880.7666666905085,1.3000000185437177
ORuVuFPU5idz3fMoXTGsbwToW2j2,84,8,1568.2428573199682,2567.9375000596046,1475.8624999523163,1540.2375000715256,1566.3125000596046,1367.1000000238419,1489.0375000238419,1605.6125000715256,-36.254166642824806
ORvIk1xRWIQmKuLVe6GXNouvAXx2,78,10,2169.739999997616,2234.6699999809266,1426.8799999833107,1498.0799999952317,1725.589999997616,1698.6399999976159,1533.3499999761582,1704.160000014305,90.58666667143507
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,65,17,1157.4874999932945,1794.3058823627584,1135.1529411778731,1151.2647058788468,1336.6647058935725,1360.9375,1105.168749999255,1313.350000012666,75.26151960737563
PLreonkqaMeFc0UqxKUelH44UQu1,87,14,1325.5142857144986,1620.6357142882687,914.5857142848628,1054.6928571441345,1145.657142860549,998.2428571432829,929.6999999997871,998.985714284437,27.88571428614004
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,73,5,1289.7000000001863,1406.500000000745,738.359999999404,767.6399999998509,721.6999999992549,1212.6,1039.319999999553,811.0999999996275,158.08000000019865
QbOEVCaZLUMOgltUdXm58oZOALv2,91,13,1709.4153845997957,2300.4076923040243,1463.1307692252672,1859.376923065919,1631.0307692381052,1471.399999989913,1630.8846153754455,1544.0384615384614,2.7564102548819847
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,57,6,2157.6666667064032,2738.9999999602637,1749.883333325386,1825.4666665792465,2177.283333301544,1903.7499999205272,1803.7666666905086,1707.9333332777023,51.288888865047056
QreA2rLiUhV3YHeMfuHMPdGbpJ53,92,18,1453.3000000185436,1845.6111110978657,1153.561111079322,1386.4444444841808,1347.94444445769,1461.8333333730698,1322.099999997351,1305.7166666852104,102.75740743124925
Qv0jhW3sqicqQvd7LfReAsI7nD73,73,7,1018.0166666656733,2358.9857142823084,1279.1571428562913,1063.071428584201,970.6285714251654,907.5000000042575,968.1428571471146,776.2142857228007,-123.88571428401129
Rc706mP0TSeIoIpMYH1SpRXjOxA2,56,7,1490.228571483067,2482.614285469055,1497.5000001362391,1672.9571429661341,1539.771428653172,1417.0499998728435,1337.4333335558574,1390.800000031789,-26.816666754465206
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,70,4,1369.8499999642372,1915.7250000238419,1171.2000000476837,1101.8999999761581,1113.4750000238419,1583.5249999761581,1071.125,1409.8999999761581,137.4416666428248
Ru3Qf6pXZua1DfNkQdhbor6iJ403,71,6,2135.100000000093,2269.8833333333023,1259.7833333333645,1176.4666666667133,1166.8999999999069,1160.9800000001676,1883.639999999851,1616.5199999999254,-32.934444444398956
SOhR7IO689NQCPQu56SjATO8FR92,93,15,1308.706666666642,1868.1333333332711,1149.6333333333334,1336.1466666668032,1156.4733333333086,1453.8733333334326,1155.5200000000498,1308.8133333333458,101.41333333336638
SPCT9D90pRa1ihXS5jEw6vCmquI3,103,6,1439.8833333402872,1595.2833333363135,881.0500000019869,973.1833333422741,904.8999999910593,780.1833333323399,872.6333333402872,805.6666666616997,-33.62222222321566
