participant_id,n_trials,bic_2state,aic_2state,ll_2state,converged_2state,bic_3state,aic_3state,ll_3state,converged_3state,delta_bic,delta_aic,lr_statistic,lr_pvalue,preferred_bic,preferred_aic,preferred_lr
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,82,1247.5680084631588,1230.720973732309,-608.3604868661545,True,1271.0638101988677,1237.369740737168,-604.684870368584,True,23.495801735708937,6.64876700485911,7.35123299514089,0.2895827362063951,2-state,2-state,2-state
8mscvscxtXf7EbbLqCyy4a4pl2q2,68,1022.8292234931233,1007.2926695568906,-496.6463347784453,True,1050.0674654363788,1018.9943575639132,-495.4971787819566,True,27.238241943255503,11.701688007022653,2.2983119929773466,0.8903217769099205,2-state,2-state,2-state
9Xz1RIwnPXgyRqmucudW9VeuDnq1,68,1008.5880608540987,993.0515069178659,-489.52575345893297,True,1036.5796096854292,1005.5065018129636,-488.7532509064818,True,27.991548831330533,12.454994895097684,1.545005104902316,0.9564491678099418,2-state,2-state,2-state
9l7DjYLs0XdgwykPZR5E01KTZfu2,67,996.072860714328,980.6400123785913,-483.32000618929567,True,1013.011859632998,982.1461629615245,-477.07308148076226,True,16.938998918669995,1.5061505829331736,12.493849417066826,0.05181604749988655,2-state,2-state,2-state
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,76,1143.8201353505133,1127.5050019685089,-556.7525009842544,True,1159.8095655174204,1127.1792987534118,-549.5896493767059,True,15.989430166907141,-0.32570321509706446,14.325703215097064,0.026202108872942942,2-state,3-state,3-state
ASGvwW80q7VY7xFaLGZhVuErUQu2,78,1178.4107531437844,1161.9137913569573,-573.9568956784786,True,1198.2815177407308,1165.2875941670766,-568.6437970835383,True,19.8707645969464,3.3738028101192867,10.626197189880713,0.10063941208235039,2-state,2-state,2-state
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,85,1302.6032700113833,1285.5047112159511,-635.7523556079756,True,1331.5299492598904,1297.3328316690258,-634.6664158345129,True,28.92667924850707,11.828120453074689,2.171879546925311,0.9032314499347958,2-state,2-state,2-state
AsXBOflrszVNKoFqbN61bMJqS0k2,103,1528.4343923076062,1509.9912893899989,-747.9956446949994,True,1532.875250541349,1495.989044706134,-733.994522353067,True,4.4408582337428015,-14.002244683864774,28.002244683864774,9.387132980132051e-05,2-state,3-state,3-state
AyAnuCaltBbpEYbudoyNzTvXlcC2,85,1274.6719900973794,1257.5734313019473,-621.7867156509736,True,1303.573136550606,1269.3760189597415,-620.6880094798707,True,28.901146453226602,11.80258765779422,2.19741234220578,0.9006767037462946,2-state,2-state,2-state
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,72,1134.1885014213765,1118.251838588264,-552.125919294132,True,1171.9743875747279,1140.1010619085032,-556.0505309542516,True,37.785886153351385,21.84922332023916,-7.849223320239162,1.0,2-state,2-state,2-state
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,76,1110.0097801955294,1093.6946468135252,-539.8473234067626,True,1136.1431851174384,1103.5129183534298,-537.7564591767149,True,26.133404921909005,9.818271539904572,4.181728460095428,0.6520986808706051,2-state,2-state,2-state
CDEoAyvS8feXLKMKsaZah9agEhF3,62,931.6166167108488,916.7266760155331,-451.3633380077666,True,927.3271786324916,897.5472972418603,-434.77364862093015,True,-4.289438078357193,-19.179378773672852,33.17937877367285,9.684500010154196e-06,3-state,3-state,3-state
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,88,1354.4803952415,1337.1390375401525,-661.5695187700762,True,1376.402470219164,1341.719754816469,-656.8598774082345,True,21.922074977663897,4.580717276316591,9.41928272368341,0.1513345481718601,2-state,2-state,2-state
