participant_id,n_trials,n_lapse_episodes,lapse_episodes_per_100_trials,mean_lapse_duration,median_lapse_duration,max_lapse_duration,sd_lapse_duration,n_recovered_episodes,recovery_rate,single_trial_lapses,extended_lapses_3plus,first_try_recovery_rate
CDEoAyvS8feXLKMKsaZah9agEhF3,62,6,9.67741935483871,1.0,1.0,1,0.0,6,1.0,6,0,1.0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,88,14,15.909090909090908,2.2142857142857144,1.0,7,1.8965597210502505,14,1.0,8,4,0.5714285714285714
CUNlBEszJVRGK1jWlTaOaCqpDg53,74,9,12.162162162162163,1.3333333333333333,1.0,2,0.4714045207910317,9,1.0,6,0,0.6666666666666666
Cbkx2NHyF3NrebzXGqNgSfiWent1,69,9,13.043478260869565,1.0,1.0,1,0.0,9,1.0,9,0,1.0
Co587hoelyeANqFX7AYvuVQW0lZ2,79,7,8.860759493670885,1.7142857142857142,1.0,6,1.7496355305594131,7,1.0,6,1,0.8571428571428571
CtJe4bZZnYUBNrcPk00d3YQFSGp2,73,7,9.58904109589041,1.4285714285714286,1.0,2,0.4948716593053935,7,1.0,4,0,0.5714285714285714
DAKDKPH698P12JfTbbjemLI6PIH2,80,8,10.0,2.75,2.0,8,2.331844763272204,8,1.0,3,2,0.375
DPvStUYSmohmXwFwaKRqHv89R3k1,58,8,13.793103448275861,2.75,2.5,5,1.479019945774904,8,1.0,2,4,0.25
DaRehVxIOhXtEtUExdgvUl0mKcx2,110,22,20.0,2.272727272727273,2.0,8,1.7883923248096365,21,0.9545454545454546,10,6,0.45454545454545453
Df83JuPuJkXqTGbENhM2gw5SJM43,87,9,10.344827586206897,1.2222222222222223,1.0,2,0.41573970964154905,9,1.0,7,0,0.7777777777777778
DzB19GqCB7fyrlEPexogWkjFzEx2,76,8,10.526315789473683,5.125,5.0,11,3.059309562630104,8,1.0,1,6,0.125
EEodWwGh0wWq5f8JmzfKvq0lyeu1,91,4,4.395604395604396,3.5,3.5,6,2.0615528128088303,4,1.0,1,2,0.25
EUhcW9kURScie1DwGPHqmNqotJB2,109,19,17.431192660550458,4.526315789473684,3.0,14,3.4999010670623787,18,0.9473684210526315,2,13,0.10526315789473684
EmfmKFDgWJdW47a6CNTNjnbYaPh2,75,25,33.33333333333333,1.96,1.0,10,2.009577069932875,25,1.0,16,4,0.64
EoToosG69XMp4LTYdB6sB9WTrv22,59,8,13.559322033898304,1.0,1.0,1,0.0,8,1.0,8,0,1.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,82,5,6.097560975609756,3.2,3.0,5,1.16619037896906,5,1.0,0,3,0.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,121,12,9.917355371900827,1.4166666666666667,1.0,2,0.4930066485916347,12,1.0,7,0,0.5833333333333334
G9VruXninjUdE9czK2DambZl5li2,88,7,7.954545454545454,8.285714285714286,6.0,22,6.670067159959287,6,0.8571428571428571,1,5,0.14285714285714285
GDZGRW51kbWtAdUIHCtEd8sAtqY2,78,16,20.51282051282051,1.75,2.0,4,0.75,16,1.0,6,1,0.375
GE4hogtdLdTFbNasENgtm6SO3hC3,63,28,44.44444444444444,1.2857142857142858,1.0,3,0.524890659167824,27,0.9642857142857143,21,1,0.75
GEwkBw3YHaNp3TCh9YS9PKVfavz1,74,9,12.162162162162163,1.7777777777777777,1.0,4,1.0304020550550783,9,1.0,5,2,0.5555555555555556
HSggdq91WiQp16bOj7V3dABkcgk2,81,13,16.049382716049383,2.8461538461538463,2.0,8,2.2479444917234552,13,1.0,5,4,0.38461538461538464
HbydnnT1hUP3WagAy2TJAc6GqVs2,60,16,26.666666666666668,1.375,1.0,3,0.5994789404140899,16,1.0,11,1,0.6875
HyQM2xKwwuVfqidmRYF6TiRk90C2,80,7,8.75,3.0,1.0,11,3.4226138716316967,7,1.0,4,2,0.5714285714285714
IaTJhUGICmO9xcL3605RW8QHneN2,106,15,14.150943396226415,1.5333333333333334,1.0,5,1.0873004286866732,15,1.0,11,2,0.7333333333333333
JntnHLHjYhc0xJJQALM3h9R5Ozv1,62,12,19.35483870967742,1.4166666666666667,1.0,3,0.6400954789890506,12,1.0,8,1,0.6666666666666666
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,59,8,13.559322033898304,1.0,1.0,1,0.0,8,1.0,8,0,1.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,68,9,13.23529411764706,1.0,1.0,1,0.0,8,0.8888888888888888,9,0,1.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,72,1,1.3888888888888888,8.0,8.0,8,0.0,1,1.0,0,1,0.0
LSLmd8jENtONZFVkIpRDX665Bu73,75,13,17.333333333333336,1.0769230769230769,1.0,2,0.26646935501059654,13,1.0,12,0,0.9230769230769231
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,67,3,4.477611940298507,2.0,2.0,2,0.0,3,1.0,0,0,0.0
LliUMEIsrCVZ88YFQfevan2Og4z1,95,12,12.631578947368421,3.25,1.5,10,3.139134700306227,12,1.0,6,4,0.5
M4Km1Q2P2oPliChDQkwl6k20FUI3,88,9,10.227272727272728,5.222222222222222,2.0,17,5.691665988829199,8,0.8888888888888888,3,4,0.3333333333333333
MMSYeiMQi3gMr4PrXQcpXzFiegj2,105,5,4.761904761904762,3.4,4.0,5,1.3564659966250538,5,1.0,1,4,0.2
O61Eik2zvrSQLMNpFbTNEgjWwMr2,77,5,6.493506493506493,2.6,2.0,5,1.624807680927192,4,0.8,2,2,0.4
OExlWyngGfPrScDYjaRcv5PIAet1,61,3,4.918032786885246,1.3333333333333333,1.0,2,0.4714045207910317,3,1.0,2,0,0.6666666666666666
ORuVuFPU5idz3fMoXTGsbwToW2j2,84,8,9.523809523809524,1.0,1.0,1,0.0,8,1.0,8,0,1.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,78,10,12.82051282051282,2.6,2.5,6,1.3564659966250536,10,1.0,2,5,0.2
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,65,17,26.153846153846157,1.0,1.0,1,0.0,17,1.0,17,0,1.0
PLreonkqaMeFc0UqxKUelH44UQu1,87,14,16.091954022988507,1.7857142857142858,2.0,4,0.8601138984851641,14,1.0,6,2,0.42857142857142855
