participant_id,start,duration,recovery_trial,trials_from_end
146QT9LupyU2BAiTsB3PMIpVXM22,13,3,16.0,60
146QT9LupyU2BAiTsB3PMIpVXM22,25,1,26.0,50
146QT9LupyU2BAiTsB3PMIpVXM22,34,4,38.0,38
146QT9LupyU2BAiTsB3PMIpVXM22,47,3,50.0,26
146QT9LupyU2BAiTsB3PMIpVXM22,53,1,54.0,22
146QT9LupyU2BAiTsB3PMIpVXM22,56,1,57.0,19
146QT9LupyU2BAiTsB3PMIpVXM22,59,4,63.0,13
146QT9LupyU2BAiTsB3PMIpVXM22,66,1,67.0,9
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,10,1,11.0,49
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,12,1,13.0,47
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,14,1,15.0,45
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,19,1,20.0,40
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,31,1,32.0,28
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0,1,1.0,59
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,9,2,11.0,49
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,12,1,13.0,47
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,17,1,18.0,42
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,22,2,24.0,36
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,25,1,26.0,34
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,31,1,32.0,28
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,33,1,34.0,26
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,36,1,37.0,23
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,38,1,39.0,21
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,44,1,45.0,15
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,46,1,47.0,13
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,50,1,51.0,9
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,56,1,57.0,3
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0,1,1.0,80
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,7,1,8.0,73
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,12,1,13.0,68
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,36,1,37.0,44
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,41,1,42.0,39
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,48,1,49.0,32
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,50,1,51.0,30
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,61,1,62.0,19
23AEyocWhqY955WHbxhHRSgQ1ms2,0,1,1.0,78
23AEyocWhqY955WHbxhHRSgQ1ms2,3,1,4.0,75
23AEyocWhqY955WHbxhHRSgQ1ms2,11,2,13.0,66
23AEyocWhqY955WHbxhHRSgQ1ms2,21,1,22.0,57
23AEyocWhqY955WHbxhHRSgQ1ms2,25,1,26.0,53
23AEyocWhqY955WHbxhHRSgQ1ms2,28,1,29.0,50
23AEyocWhqY955WHbxhHRSgQ1ms2,48,1,49.0,30
23AEyocWhqY955WHbxhHRSgQ1ms2,52,1,53.0,26
23AEyocWhqY955WHbxhHRSgQ1ms2,55,1,56.0,23
2h5FgHUEvBS1twD5DqbTIRrMm1f2,1,3,4.0,81
2h5FgHUEvBS1twD5DqbTIRrMm1f2,13,4,17.0,68
2h5FgHUEvBS1twD5DqbTIRrMm1f2,19,2,21.0,64
2h5FgHUEvBS1twD5DqbTIRrMm1f2,27,4,31.0,54
2h5FgHUEvBS1twD5DqbTIRrMm1f2,33,1,34.0,51
2h5FgHUEvBS1twD5DqbTIRrMm1f2,37,1,38.0,47
2h5FgHUEvBS1twD5DqbTIRrMm1f2,41,2,43.0,42
2h5FgHUEvBS1twD5DqbTIRrMm1f2,49,1,50.0,35
2h5FgHUEvBS1twD5DqbTIRrMm1f2,54,1,55.0,30
2h5FgHUEvBS1twD5DqbTIRrMm1f2,57,1,58.0,27
2h5FgHUEvBS1twD5DqbTIRrMm1f2,59,2,61.0,24
2h5FgHUEvBS1twD5DqbTIRrMm1f2,63,1,64.0,21
2h5FgHUEvBS1twD5DqbTIRrMm1f2,66,1,67.0,18
2h5FgHUEvBS1twD5DqbTIRrMm1f2,70,1,71.0,14
2h5FgHUEvBS1twD5DqbTIRrMm1f2,72,2,74.0,11
2h5FgHUEvBS1twD5DqbTIRrMm1f2,75,1,76.0,9
2h5FgHUEvBS1twD5DqbTIRrMm1f2,82,2,84.0,1
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1,1,2.0,63
2zDXvJKvjeejeOSNbtDbtSI5cdz1,17,4,21.0,44
2zDXvJKvjeejeOSNbtDbtSI5cdz1,32,1,33.0,32
2zDXvJKvjeejeOSNbtDbtSI5cdz1,44,1,45.0,20
2zDXvJKvjeejeOSNbtDbtSI5cdz1,51,1,52.0,13
3WijiOiVCoMbn80F05SPYsxl0TC2,0,4,4.0,70
3WijiOiVCoMbn80F05SPYsxl0TC2,12,6,18.0,56
3WijiOiVCoMbn80F05SPYsxl0TC2,20,2,22.0,52
3WijiOiVCoMbn80F05SPYsxl0TC2,25,1,26.0,48
3WijiOiVCoMbn80F05SPYsxl0TC2,36,1,37.0,37
3WijiOiVCoMbn80F05SPYsxl0TC2,48,2,50.0,24
3WijiOiVCoMbn80F05SPYsxl0TC2,62,2,64.0,10
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0,1,1.0,67
3xCaqfcHxRQxuOlEzXz3PNcHODH2,7,1,8.0,60
3xCaqfcHxRQxuOlEzXz3PNcHODH2,12,1,13.0,55
3xCaqfcHxRQxuOlEzXz3PNcHODH2,36,1,37.0,31
3xCaqfcHxRQxuOlEzXz3PNcHODH2,38,1,39.0,29
3xCaqfcHxRQxuOlEzXz3PNcHODH2,47,1,48.0,20
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0,1,1.0,76
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,2,1,3.0,74
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,6,1,7.0,70
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,10,3,13.0,64
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,19,1,20.0,57
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,21,2,23.0,54
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,33,1,34.0,43
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,37,1,38.0,39
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,43,1,44.0,33
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,45,1,46.0,31
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,52,2,54.0,23
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,57,1,58.0,19
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,59,1,60.0,17
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,67,1,68.0,9
5OOi73igsahMZ5IVKQwwyhnj4Cn2,8,1,9.0,50
5OOi73igsahMZ5IVKQwwyhnj4Cn2,11,1,12.0,47
5OOi73igsahMZ5IVKQwwyhnj4Cn2,19,1,20.0,39
5OOi73igsahMZ5IVKQwwyhnj4Cn2,30,1,31.0,28
5OOi73igsahMZ5IVKQwwyhnj4Cn2,51,1,52.0,7
5rXSa3anB5ejmFrnwUsTB82byup1,0,8,8.0,76
5rXSa3anB5ejmFrnwUsTB82byup1,13,12,25.0,59
5rXSa3anB5ejmFrnwUsTB82byup1,53,5,58.0,26
5rXSa3anB5ejmFrnwUsTB82byup1,68,1,69.0,15
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0,1,1.0,83
5zxa5CMLGQSSonWOXqXf0QNS3PH3,2,1,3.0,81
5zxa5CMLGQSSonWOXqXf0QNS3PH3,5,1,6.0,78
5zxa5CMLGQSSonWOXqXf0QNS3PH3,17,3,20.0,64
5zxa5CMLGQSSonWOXqXf0QNS3PH3,23,4,27.0,57
5zxa5CMLGQSSonWOXqXf0QNS3PH3,30,1,31.0,53
5zxa5CMLGQSSonWOXqXf0QNS3PH3,36,5,41.0,43
5zxa5CMLGQSSonWOXqXf0QNS3PH3,42,2,44.0,40
5zxa5CMLGQSSonWOXqXf0QNS3PH3,48,1,49.0,35
5zxa5CMLGQSSonWOXqXf0QNS3PH3,51,2,53.0,31
5zxa5CMLGQSSonWOXqXf0QNS3PH3,55,1,56.0,28
5zxa5CMLGQSSonWOXqXf0QNS3PH3,60,1,61.0,23
5zxa5CMLGQSSonWOXqXf0QNS3PH3,68,2,70.0,14
5zxa5CMLGQSSonWOXqXf0QNS3PH3,77,1,78.0,6
5zxa5CMLGQSSonWOXqXf0QNS3PH3,83,1,,0
62fAfeQc27bZelkPX7G54T3gvci2,1,1,2.0,60
62fAfeQc27bZelkPX7G54T3gvci2,5,1,6.0,56
62fAfeQc27bZelkPX7G54T3gvci2,10,1,11.0,51
62fAfeQc27bZelkPX7G54T3gvci2,14,1,15.0,47
62fAfeQc27bZelkPX7G54T3gvci2,16,1,17.0,45
62fAfeQc27bZelkPX7G54T3gvci2,18,1,19.0,43
62fAfeQc27bZelkPX7G54T3gvci2,21,1,22.0,40
62fAfeQc27bZelkPX7G54T3gvci2,25,1,26.0,36
62fAfeQc27bZelkPX7G54T3gvci2,34,1,35.0,27
62fAfeQc27bZelkPX7G54T3gvci2,37,1,38.0,24
62fAfeQc27bZelkPX7G54T3gvci2,42,1,43.0,19
62fAfeQc27bZelkPX7G54T3gvci2,45,1,46.0,16
62fAfeQc27bZelkPX7G54T3gvci2,53,1,54.0,8
62fAfeQc27bZelkPX7G54T3gvci2,55,1,56.0,6
62fAfeQc27bZelkPX7G54T3gvci2,59,1,60.0,2
6ABZuv4jbjgE0B8TeyUk6nwVb122,0,1,1.0,77
6ABZuv4jbjgE0B8TeyUk6nwVb122,3,1,4.0,74
6ABZuv4jbjgE0B8TeyUk6nwVb122,7,5,12.0,66
6ABZuv4jbjgE0B8TeyUk6nwVb122,13,1,14.0,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,16,6,22.0,56
6ABZuv4jbjgE0B8TeyUk6nwVb122,23,1,24.0,54
6ABZuv4jbjgE0B8TeyUk6nwVb122,26,1,27.0,51
6ABZuv4jbjgE0B8TeyUk6nwVb122,29,1,30.0,48
6ABZuv4jbjgE0B8TeyUk6nwVb122,31,1,32.0,46
6ABZuv4jbjgE0B8TeyUk6nwVb122,35,3,38.0,40
6ABZuv4jbjgE0B8TeyUk6nwVb122,41,2,43.0,35
6ABZuv4jbjgE0B8TeyUk6nwVb122,45,2,47.0,31
6ABZuv4jbjgE0B8TeyUk6nwVb122,55,5,60.0,18
6ABZuv4jbjgE0B8TeyUk6nwVb122,64,4,68.0,10
6ABZuv4jbjgE0B8TeyUk6nwVb122,76,1,77.0,1
6WFCyGwk71XLPBmbe4Vav3eotVm1,0,1,1.0,65
6WFCyGwk71XLPBmbe4Vav3eotVm1,11,1,12.0,54
6WFCyGwk71XLPBmbe4Vav3eotVm1,13,1,14.0,52
6WFCyGwk71XLPBmbe4Vav3eotVm1,21,2,23.0,43
6WFCyGwk71XLPBmbe4Vav3eotVm1,24,1,25.0,41
6WFCyGwk71XLPBmbe4Vav3eotVm1,26,1,27.0,39
6WFCyGwk71XLPBmbe4Vav3eotVm1,28,1,29.0,37
6WFCyGwk71XLPBmbe4Vav3eotVm1,37,1,38.0,28
6WFCyGwk71XLPBmbe4Vav3eotVm1,39,1,40.0,26
6WFCyGwk71XLPBmbe4Vav3eotVm1,56,1,57.0,9
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0,7,7.0,65
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,18,1,19.0,53
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,22,1,23.0,49
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,26,9,35.0,37
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,40,22,62.0,10
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0,6,6.0,62
80UJMJbCOMgs6YVpsMgXfYTzw6o2,11,2,13.0,55
80UJMJbCOMgs6YVpsMgXfYTzw6o2,18,2,20.0,48
80UJMJbCOMgs6YVpsMgXfYTzw6o2,23,5,28.0,40
80UJMJbCOMgs6YVpsMgXfYTzw6o2,35,2,37.0,31
80UJMJbCOMgs6YVpsMgXfYTzw6o2,60,1,61.0,7
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0,13,13.0,92
87w5Le0CgZhSfYAaOH3Xd2fc98l1,14,7,21.0,84
87w5Le0CgZhSfYAaOH3Xd2fc98l1,27,7,34.0,71
87w5Le0CgZhSfYAaOH3Xd2fc98l1,36,6,42.0,63
87w5Le0CgZhSfYAaOH3Xd2fc98l1,45,1,46.0,59
87w5Le0CgZhSfYAaOH3Xd2fc98l1,49,2,51.0,54
87w5Le0CgZhSfYAaOH3Xd2fc98l1,72,1,73.0,32
87w5Le0CgZhSfYAaOH3Xd2fc98l1,79,1,80.0,25
87w5Le0CgZhSfYAaOH3Xd2fc98l1,84,2,86.0,19
87w5Le0CgZhSfYAaOH3Xd2fc98l1,89,3,92.0,13
87w5Le0CgZhSfYAaOH3Xd2fc98l1,95,3,98.0,7
87w5Le0CgZhSfYAaOH3Xd2fc98l1,99,2,101.0,4
8bwaafIhKVMNBoHaXFcY8HirS9u2,10,6,16.0,61
8bwaafIhKVMNBoHaXFcY8HirS9u2,44,2,46.0,31
8bwaafIhKVMNBoHaXFcY8HirS9u2,54,6,60.0,17
8bwaafIhKVMNBoHaXFcY8HirS9u2,66,3,69.0,8
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0,2,2.0,80
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,16,1,17.0,65
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,21,1,22.0,60
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,30,1,31.0,51
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,39,1,40.0,42
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42,1,43.0,39
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,60,1,61.0,21
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,74,1,75.0,7
8mscvscxtXf7EbbLqCyy4a4pl2q2,0,2,2.0,66
8mscvscxtXf7EbbLqCyy4a4pl2q2,11,1,12.0,56
8mscvscxtXf7EbbLqCyy4a4pl2q2,32,1,33.0,35
8mscvscxtXf7EbbLqCyy4a4pl2q2,46,1,47.0,21
9Xz1RIwnPXgyRqmucudW9VeuDnq1,4,1,5.0,63
9Xz1RIwnPXgyRqmucudW9VeuDnq1,13,1,14.0,54
9Xz1RIwnPXgyRqmucudW9VeuDnq1,17,1,18.0,50
9Xz1RIwnPXgyRqmucudW9VeuDnq1,24,2,26.0,42
9Xz1RIwnPXgyRqmucudW9VeuDnq1,28,1,29.0,39
9Xz1RIwnPXgyRqmucudW9VeuDnq1,40,1,41.0,27
9Xz1RIwnPXgyRqmucudW9VeuDnq1,57,1,58.0,10
9Xz1RIwnPXgyRqmucudW9VeuDnq1,63,1,64.0,4
9l7DjYLs0XdgwykPZR5E01KTZfu2,0,1,1.0,66
9l7DjYLs0XdgwykPZR5E01KTZfu2,4,1,5.0,62
9l7DjYLs0XdgwykPZR5E01KTZfu2,6,2,8.0,59
9l7DjYLs0XdgwykPZR5E01KTZfu2,18,1,19.0,48
9l7DjYLs0XdgwykPZR5E01KTZfu2,31,1,32.0,35
9l7DjYLs0XdgwykPZR5E01KTZfu2,49,1,50.0,17
9l7DjYLs0XdgwykPZR5E01KTZfu2,58,1,59.0,8
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0,8,8.0,68
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,16,2,18.0,58
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,26,1,27.0,49
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,29,2,31.0,45
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,45,2,47.0,29
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,65,2,67.0,9
ASGvwW80q7VY7xFaLGZhVuErUQu2,0,1,1.0,77
ASGvwW80q7VY7xFaLGZhVuErUQu2,13,1,14.0,64
ASGvwW80q7VY7xFaLGZhVuErUQu2,16,1,17.0,61
ASGvwW80q7VY7xFaLGZhVuErUQu2,20,1,21.0,57
ASGvwW80q7VY7xFaLGZhVuErUQu2,28,1,29.0,49
ASGvwW80q7VY7xFaLGZhVuErUQu2,32,1,33.0,45
ASGvwW80q7VY7xFaLGZhVuErUQu2,35,1,36.0,42
ASGvwW80q7VY7xFaLGZhVuErUQu2,38,1,39.0,39
ASGvwW80q7VY7xFaLGZhVuErUQu2,45,1,46.0,32
ASGvwW80q7VY7xFaLGZhVuErUQu2,55,1,56.0,22
ASGvwW80q7VY7xFaLGZhVuErUQu2,59,1,60.0,18
ASGvwW80q7VY7xFaLGZhVuErUQu2,63,1,64.0,14
ASGvwW80q7VY7xFaLGZhVuErUQu2,68,2,70.0,8
ASGvwW80q7VY7xFaLGZhVuErUQu2,72,1,73.0,5
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0,4,4.0,81
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,5,2,7.0,78
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,17,4,21.0,64
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,59,1,60.0,25
AsXBOflrszVNKoFqbN61bMJqS0k2,1,1,2.0,101
AsXBOflrszVNKoFqbN61bMJqS0k2,13,1,14.0,89
AsXBOflrszVNKoFqbN61bMJqS0k2,31,1,32.0,71
AsXBOflrszVNKoFqbN61bMJqS0k2,33,2,35.0,68
AsXBOflrszVNKoFqbN61bMJqS0k2,61,1,62.0,41
AsXBOflrszVNKoFqbN61bMJqS0k2,79,2,81.0,22
AsXBOflrszVNKoFqbN61bMJqS0k2,93,1,94.0,9
AyAnuCaltBbpEYbudoyNzTvXlcC2,0,11,11.0,74
AyAnuCaltBbpEYbudoyNzTvXlcC2,13,5,18.0,67
AyAnuCaltBbpEYbudoyNzTvXlcC2,25,8,33.0,52
AyAnuCaltBbpEYbudoyNzTvXlcC2,36,2,38.0,47
AyAnuCaltBbpEYbudoyNzTvXlcC2,47,2,49.0,36
AyAnuCaltBbpEYbudoyNzTvXlcC2,73,1,74.0,11
AyAnuCaltBbpEYbudoyNzTvXlcC2,84,1,,0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,8,16,24.0,48
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,26,1,27.0,45
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,36,1,37.0,35
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,49,2,51.0,21
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,53,2,55.0,17
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,58,2,60.0,12
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0,3,3.0,73
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,4,1,5.0,71
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,6,2,8.0,68
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,14,2,16.0,60
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,17,2,19.0,57
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,23,1,24.0,52
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,27,1,28.0,48
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,32,1,33.0,43
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,42,2,44.0,32
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,45,1,46.0,30
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,47,2,49.0,27
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,50,3,53.0,23
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,55,1,56.0,20
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,61,6,67.0,9
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,68,1,69.0,7
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,70,6,,0
CDEoAyvS8feXLKMKsaZah9agEhF3,10,1,11.0,51
CDEoAyvS8feXLKMKsaZah9agEhF3,16,1,17.0,45
CDEoAyvS8feXLKMKsaZah9agEhF3,20,1,21.0,41
CDEoAyvS8feXLKMKsaZah9agEhF3,41,1,42.0,20
CDEoAyvS8feXLKMKsaZah9agEhF3,50,1,51.0,11
CDEoAyvS8feXLKMKsaZah9agEhF3,52,1,53.0,9
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0,6,6.0,82
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,17,2,19.0,69
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,21,2,23.0,65
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,24,1,25.0,63
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,26,1,27.0,61
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,31,1,32.0,56
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,36,1,37.0,51
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,41,3,44.0,44
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,45,1,46.0,42
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,52,7,59.0,29
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,64,1,65.0,23
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,67,3,70.0,18
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,72,1,73.0,15
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,78,1,79.0,9
CUNlBEszJVRGK1jWlTaOaCqpDg53,5,1,6.0,68
CUNlBEszJVRGK1jWlTaOaCqpDg53,9,1,10.0,64
CUNlBEszJVRGK1jWlTaOaCqpDg53,12,2,14.0,60
CUNlBEszJVRGK1jWlTaOaCqpDg53,17,2,19.0,55
CUNlBEszJVRGK1jWlTaOaCqpDg53,23,1,24.0,50
CUNlBEszJVRGK1jWlTaOaCqpDg53,34,1,35.0,39
CUNlBEszJVRGK1jWlTaOaCqpDg53,37,2,39.0,35
CUNlBEszJVRGK1jWlTaOaCqpDg53,42,1,43.0,31
CUNlBEszJVRGK1jWlTaOaCqpDg53,51,1,52.0,22
Cbkx2NHyF3NrebzXGqNgSfiWent1,0,1,1.0,68
Cbkx2NHyF3NrebzXGqNgSfiWent1,2,1,3.0,66
Cbkx2NHyF3NrebzXGqNgSfiWent1,10,1,11.0,58
Cbkx2NHyF3NrebzXGqNgSfiWent1,24,1,25.0,44
Cbkx2NHyF3NrebzXGqNgSfiWent1,35,1,36.0,33
Cbkx2NHyF3NrebzXGqNgSfiWent1,46,1,47.0,22
Cbkx2NHyF3NrebzXGqNgSfiWent1,48,1,49.0,20
Cbkx2NHyF3NrebzXGqNgSfiWent1,56,1,57.0,12
Cbkx2NHyF3NrebzXGqNgSfiWent1,63,1,64.0,5
Co587hoelyeANqFX7AYvuVQW0lZ2,0,1,1.0,78
Co587hoelyeANqFX7AYvuVQW0lZ2,19,6,25.0,54
Co587hoelyeANqFX7AYvuVQW0lZ2,27,1,28.0,51
Co587hoelyeANqFX7AYvuVQW0lZ2,35,1,36.0,43
Co587hoelyeANqFX7AYvuVQW0lZ2,38,1,39.0,40
Co587hoelyeANqFX7AYvuVQW0lZ2,42,1,43.0,36
Co587hoelyeANqFX7AYvuVQW0lZ2,58,1,59.0,20
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0,1,1.0,72
CtJe4bZZnYUBNrcPk00d3YQFSGp2,14,2,16.0,57
CtJe4bZZnYUBNrcPk00d3YQFSGp2,18,1,19.0,54
CtJe4bZZnYUBNrcPk00d3YQFSGp2,39,2,41.0,32
CtJe4bZZnYUBNrcPk00d3YQFSGp2,44,1,45.0,28
CtJe4bZZnYUBNrcPk00d3YQFSGp2,53,2,55.0,18
CtJe4bZZnYUBNrcPk00d3YQFSGp2,66,1,67.0,6
DAKDKPH698P12JfTbbjemLI6PIH2,0,8,8.0,72
DAKDKPH698P12JfTbbjemLI6PIH2,12,1,13.0,67
DAKDKPH698P12JfTbbjemLI6PIH2,14,2,16.0,64
DAKDKPH698P12JfTbbjemLI6PIH2,18,5,23.0,57
DAKDKPH698P12JfTbbjemLI6PIH2,34,2,36.0,44
DAKDKPH698P12JfTbbjemLI6PIH2,46,1,47.0,33
