participant_id,n_trials,converged,focus_mean_rt,lapse_mean_rt,focus_occupancy,lapse_occupancy,p_focus_to_focus,p_focus_to_lapse,p_lapse_to_focus,p_lapse_to_lapse
3WijiOiVCoMbn80F05SPYsxl0TC2,74,True,1119.433821596498,1843.2595366749579,0.7567567567567568,0.24324324324324326,0.861775308101672,0.138224691898328,0.3917615135526418,0.6082384864473581
3xCaqfcHxRQxuOlEzXz3PNcHODH2,68,True,1157.5971349728482,2771.466070169872,0.9117647058823529,0.08823529411764706,0.9180461817775581,0.08195381822244188,1.0,3.149189498072513e-66
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,77,True,914.9304314452094,1652.563906544368,0.7662337662337663,0.23376623376623376,0.7162589538635235,0.28374104613647666,0.717689799019708,0.28231020098029197
5OOi73igsahMZ5IVKQwwyhnj4Cn2,59,True,1375.4630841515482,1905.651241520354,0.9152542372881356,0.0847457627118644,0.8394505553160998,0.16054944468390012,0.9879980013092189,0.012001998690781213
5rXSa3anB5ejmFrnwUsTB82byup1,84,True,793.02849167291,1205.510843365162,0.6904761904761905,0.30952380952380953,0.9184503597158865,0.08154964028411356,0.19476147509918618,0.8052385249008138
5zxa5CMLGQSSonWOXqXf0QNS3PH3,84,True,946.9746984406594,1497.9538930556857,0.6785714285714286,0.32142857142857145,0.6915924687318254,0.3084075312681746,0.49044128461301767,0.5095587153869825
62fAfeQc27bZelkPX7G54T3gvci2,62,True,1212.1755261486219,1902.234898607525,0.7580645161290323,0.24193548387096775,0.7119603873541313,0.28803961264586864,0.9999952407449091,4.75925509079792e-06
6ABZuv4jbjgE0B8TeyUk6nwVb122,78,True,1587.4457924535259,1858.6733392599874,0.5512820512820513,0.44871794871794873,0.5576923466705509,0.44230765332944905,0.34841102558116765,0.6515889744188323
6WFCyGwk71XLPBmbe4Vav3eotVm1,66,True,1015.0904246161789,1939.3945699548426,0.8333333333333334,0.16666666666666666,0.8211449829698941,0.17885501703010592,0.8754915951392747,0.1245084048607253
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,72,True,1515.992771899253,1753.9540318003278,0.4444444444444444,0.5555555555555556,0.7527761219575564,0.24722387804244356,0.1925221934784493,0.8074778065215507
80UJMJbCOMgs6YVpsMgXfYTzw6o2,68,True,1043.9041822045726,1761.1112329585412,0.7352941176470589,0.2647058823529412,0.8509311757977567,0.14906882420224332,0.43756107238037706,0.5624389276196229
87w5Le0CgZhSfYAaOH3Xd2fc98l1,105,True,1220.2627414754122,1980.315157034297,0.5428571428571428,0.45714285714285713,0.7770445416378938,0.22295545836210615,0.24117148721808407,0.758828512781916
8bwaafIhKVMNBoHaXFcY8HirS9u2,77,True,930.1815573450378,1641.2270174987773,0.7792207792207793,0.22077922077922077,0.9269872392016871,0.07301276079831286,0.239862500266238,0.760137499733762
