outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_ols,p_ucla_wald,ucla_beta,ucla_se,ucla_t,ucla_p,delta_r2_interaction,p_interaction_ols,p_interaction_wald,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p
WCST Slow-State Prob Delta (Shift k5),wcst_slow_prob_shift_k5_delta,195,0.0017835627792387,0.0049286272305492,0.0065579211777692,0.0071400522426248,0.0031450644513104,0.8968916168116293,0.00162929394722,0.5793673404305708,0.5793673404305579,-0.0065100385409273,0.0117240102280836,-0.5552740414140223,0.5793673404305557,0.0005821310648556,0.7409235693994288,0.7409235693994288,z_ucla_score:C(gender_male)[T.1],0.005980508369602,0.0180613790508644,0.3311213586049961,0.7409235693994282,118,-0.0006996773217451,0.013498297709694,0.9587529128227344,77,-0.0191489367086759,0.0221737893885068,0.3907242867112632
WCST HMM2D Lapse Occupancy,wcst_hmm2d_lapse_occupancy,197,0.0007872742290022,0.0256160489462866,0.0408946577875308,0.0423628591339894,0.0248287747172843,0.1855785990249148,0.0152786088412442,0.0835231627379481,0.0835231627379458,-3.920911046956237,2.253727676509065,-1.739744818251322,0.0835231627379469,0.0014682013464585,0.5910043174644724,0.5910043174644992,z_ucla_score:C(gender_male)[T.1],-1.8177371032081904,3.376819535274532,-0.5382985629584172,0.5910043174645014,119,-1.817654088275149,2.8388786016915364,0.5232920413210254,78,-7.611435301385038,3.849335426803023,0.0518325429416592
WCST HMM2D P(Focus->Lapse),wcst_hmm2d_trans_to_lapse,197,0.0001956444116116,0.0302096881491297,0.0430528489064307,0.0449450902323789,0.030014043737518,0.1198260030015182,0.012843160757301,0.1119571566928899,0.1119571566928899,-0.0334630798223763,0.0209554565209186,-1.5968671352481385,0.1119571566928918,0.0018922413259481,0.5413164794297074,0.541316479429696,z_ucla_score:C(gender_male)[T.1],-0.0192092934533926,0.0313910901607766,-0.6119345761809429,0.5413164794297025,119,-0.0116214145855971,0.0264984908010927,0.661811264882475,78,-0.0714469338480945,0.0354632255956794,0.0476740463544519
WCST HMM2D P(Lapse->Focus),wcst_hmm2d_trans_to_focus,197,0.0052434427548448,0.0342330678492865,0.0449861974953319,0.0451261650183473,0.0289896250944416,0.1291721701613708,0.0107531296460453,0.1452162638686547,0.1452162638686537,0.0323070275600736,0.0220880605868221,1.462646638127574,0.1452162638686532,0.0001399675230153,0.8679844537102306,0.8679844537104288,z_ucla_score:C(gender_male)[T.1],-0.0055123448526771,0.0331180559282507,-0.1664453029676466,0.8679844537104225,119,0.0259258084935619,0.0276120261982696,0.3497684266268808,78,0.0453652774468786,0.0382899035018374,0.2399988291080013
WCST HMM2D P(Lapse->Lapse),wcst_hmm2d_stay_lapse,197,0.0052434427548451,0.0342330678492867,0.0449861974953322,0.0451261650183476,0.0289896250944415,0.1291721701613708,0.0107531296460455,0.1452162638686484,0.1452162638686484,-0.0323070275600736,0.0220880605868221,-1.462646638127576,0.1452162638686527,0.0001399675230153,0.8679844537102306,0.8679844537104288,z_ucla_score:C(gender_male)[T.1],0.0055123448526771,0.0331180559282507,0.1664453029676458,0.8679844537104231,119,-0.0259258084935621,0.0276120261982696,0.3497684266268765,78,-0.0453652774468784,0.0382899035018374,0.2399988291080028
WCST HMM2D P(Focus->Focus),wcst_hmm2d_stay_focus,197,0.0001956444116116,0.0302096881491297,0.0430528489064307,0.0449450902323786,0.030014043737518,0.1198260030015182,0.012843160757301,0.1119571566928899,0.1119571566928899,0.0334630798223763,0.0209554565209186,1.5968671352481376,0.1119571566928919,0.0018922413259478,0.5413164794297415,0.541316479429696,z_ucla_score:C(gender_male)[T.1],0.0192092934533926,0.0313910901607767,0.6119345761809426,0.5413164794297027,119,0.0116214145855968,0.0264984908010927,0.6618112648824808,78,0.0714469338480946,0.0354632255956794,0.0476740463544516
WCST HMM2D Lapse Dwell Mean,wcst_hmm2d_lapse_dwell_mean,197,0.0002282528222198,0.0330992855333296,0.0470472901532472,0.0480376239162548,0.0328710327111098,0.0936090091858283,0.0139480046199176,0.0970384522843102,0.0970384522843102,-0.3321585470098298,0.1991811635263797,-1.6676202765822197,0.0970384522843127,0.0009903337630076,0.6579717042977775,0.6579717042977433,z_ucla_score:C(gender_male)[T.1],-0.1323650606816908,0.298511839308058,-0.4434164520526533,0.6579717042977322,119,-0.1655829113151241,0.2545332948364495,0.5166669854845378,78,-0.6176584147119843,0.3332120329066469,0.0678859454589218
WCST HMM2D Focus Dwell Mean,wcst_hmm2d_focus_dwell_mean,197,0.0010476168605789,0.0049193123713187,0.0315990784338187,0.0355400753597391,0.0038716955107397,0.8628934328282714,0.0266797660625,0.0232435160192251,0.0232435160192251,0.9694267836058692,0.423715940043846,2.287916719643715,0.0232435160192254,0.0039409969259204,0.3806236325532436,0.3806236325532501,z_ucla_score:C(gender_male)[T.1],0.5572117082701034,0.6340571093958461,0.8788036598170723,0.3806236325532551,119,0.4438024435649548,0.5844261050747994,0.4492055536923925,78,1.8495817678053663,0.5986126335117292,0.0028464806596079
WCST HMM2D State Entropy,wcst_hmm2d_state_entropy,197,0.0062865017121898,0.0148109958726051,0.0306850892995539,0.0334083333812366,0.0085244941604153,0.648141979800689,0.0158740934269487,0.0793457466998484,0.0793457466998476,-0.0202696270937523,0.0114909765705879,-1.763960353520697,0.0793457466998489,0.0027232440816826,0.4664684551965592,0.4664684551965328,z_ucla_score:C(gender_male)[T.1],0.0125556082487983,0.0172062050297046,0.7297139739484912,0.4664684551965437,119,-0.0231867052280976,0.0147626291254799,0.1190633767099391,78,-0.0173536314202064,0.0191185927585959,0.3670735102540534
WCST RL Neg LogLik,wcst_rl_negloglik,197,0.0015579833497485,0.0040065071071226,0.0126239758401603,0.0128221262631018,0.0024485237573741,0.925388303494896,0.0086174687330377,0.1994056314622394,0.1994056314622333,-3.275534204299704,2.543646577390301,-1.2877316500707798,0.199405631462236,0.0001981504229414,0.8457791889618862,0.8457791889619283,z_ucla_score:C(gender_male)[T.1],0.742818928771717,3.8137503848658594,0.1947738718610038,0.8457791889619336,119,-2.228809507760017,3.147511006065508,0.4803300295346824,78,-6.200253459784801,4.437052798293433,0.1665903610646316
