feature,importance_mean,importance_std,feature_set,model
wcst_nonpersev_errors,0.35512046100225575,0.08507232691331434,ef_basic,lasso
wcst_conceptual_pct,1.2125734113912856,0.22681689461869362,ef_basic,lasso
wcst_persev_resp_pct,0.03793764962883413,0.02788819617133423,ef_basic,lasso
wcst_failure_to_maintain_set,0.0473249186855795,0.03256506357098481,ef_basic,lasso
stroop_effect,0.06849588065130163,0.008537309226609363,ef_basic,rf
stroop_accuracy,0.06096314367791192,0.011313869854253429,ef_basic,rf
mrt_incong,0.04209506364194279,0.004055760845196394,ef_basic,rf
mrt_cong,0.02437725611386152,0.0026610081323765688,ef_basic,rf
mrt_total,0.039032998665866465,0.0044458808866736305,ef_basic,rf
stroop_ratio_incong_cong,0.08279378188628211,0.010692842016474545,ef_basic,rf
prp_bottleneck,0.03605698755930774,0.004512230162143508,ef_basic,rf
prp_rt_slope,0.03673522572523115,0.0046772791794685,ef_basic,rf
prp_mrt_t1,0.06652959399468816,0.008471178490636793,ef_basic,rf
prp_mrt_t2,0.08498616276775417,0.007582544141631855,ef_basic,rf
prp_acc_t1,0.04675041215142758,0.004102068102077015,ef_basic,rf
prp_acc_t2,0.0773947760387965,0.0125796320152849,ef_basic,rf
wcst_total_errors,0.05232033940066903,0.007555983273764464,ef_basic,rf
wcst_persev_errors,0.08536772922871869,0.012963526437776672,ef_basic,rf
wcst_nonpersev_errors,0.056413181989074565,0.008348990184992487,ef_basic,rf
wcst_conceptual_pct,0.07593454037655532,0.01556110222060565,ef_basic,rf
wcst_persev_resp_pct,0.07902388397561126,0.013664324625433343,ef_basic,rf
wcst_failure_to_maintain_set,0.011392865802183428,0.002236354891997767,ef_basic,rf
stroop_effect,0.0653567010841,0.012759688565915674,ef_basic,gbrt
stroop_accuracy,0.08372734440282158,0.017803142073900914,ef_basic,gbrt
mrt_incong,0.053345607379703994,0.013443452110539144,ef_basic,gbrt
mrt_cong,0.11669343832383516,0.021392721838653646,ef_basic,gbrt
mrt_total,0.01160890706813491,0.002480857199668977,ef_basic,gbrt
stroop_ratio_incong_cong,0.21990585970926801,0.0329708831907013,ef_basic,gbrt
prp_bottleneck,0.03879272744221047,0.005333563589544393,ef_basic,gbrt
prp_rt_slope,0.052613970626915536,0.007084569518398789,ef_basic,gbrt
prp_mrt_t1,0.043993061853164456,0.009148962555367606,ef_basic,gbrt
prp_mrt_t2,0.07225579786731297,0.009838538905524635,ef_basic,gbrt
prp_acc_t1,0.026726735262513714,0.003853900055322601,ef_basic,gbrt
prp_acc_t2,0.024013056947199067,0.004758239800812442,ef_basic,gbrt
wcst_total_errors,0.03996066927598185,0.006036937883094478,ef_basic,gbrt
wcst_persev_errors,0.08685034299332792,0.011848802903334302,ef_basic,gbrt
wcst_nonpersev_errors,0.039963787479119835,0.007277612524206235,ef_basic,gbrt
wcst_conceptual_pct,0.12628674049343178,0.023550031289117167,ef_basic,gbrt
wcst_persev_resp_pct,0.03687688721316514,0.007427584838969294,ef_basic,gbrt
wcst_failure_to_maintain_set,1.966236927227379e-05,5.8184306583542174e-05,ef_basic,gbrt
stroop_effect,0.7442403653888537,0.1417407047877552,ef_extended,ridge
stroop_accuracy,0.10039230634592976,0.03876815603203878,ef_extended,ridge
mrt_incong,0.043206122661871064,0.019826653918912418,ef_extended,ridge
mrt_cong,0.04388871614285244,0.023443920830821596,ef_extended,ridge
mrt_total,0.05660024223091101,0.02619253806505697,ef_extended,ridge
stroop_ratio_incong_cong,0.7594067756633524,0.13305470847290887,ef_extended,ridge
prp_bottleneck,0.0017983558891412972,0.007447832690373962,ef_extended,ridge
prp_rt_slope,0.0017983558891406348,0.007447832690373057,ef_extended,ridge
prp_mrt_t1,0.08141888737567567,0.02782922545264805,ef_extended,ridge
prp_mrt_t2,0.027987292117361735,0.019122010071917,ef_extended,ridge
prp_acc_t1,0.027848020014283312,0.024501878302357737,ef_extended,ridge
prp_acc_t2,0.01045031633370523,0.015180783138897239,ef_extended,ridge
