outcome,spec,term,estimate,std_error,z,P>|z|,conf_low,conf_high
PRP bottleneck (ms),anx_only,age,-0.7053196442201131,12.969547796512087,-0.05438274759354334,0.9566302239382602,-26.125166221154622,24.714526932714392
PRP bottleneck (ms),str_only,Intercept,652.3536340489986,265.2566572797902,2.459329921212504,0.013919663427990765,132.4601391211255,1172.2471289768719
PRP bottleneck (ms),str_only,C(gender)[T.male],-97.03738330232638,25.435156502865844,-3.8150889022991827,0.00013613391396210815,-146.8893739890832,-47.18539261556957
PRP bottleneck (ms),str_only,z_dass_stress,-1.794657099168754,12.295956690900361,-0.14595506021071888,0.8839568651755614,-25.894289368797764,22.304975170460253
PRP bottleneck (ms),str_only,age,-0.682563676851867,12.97367314778227,-0.052611443889238496,0.9580414986952702,-26.11049579369951,24.745368439995776
PRP bottleneck (ms),all_three,Intercept,651.7615670660111,267.8503150077469,2.433305210214745,0.014961683279536035,126.78459640311894,1176.7385377289033
PRP bottleneck (ms),all_three,C(gender)[T.male],-98.6110147147569,25.41377819111378,-3.8802185953302044,0.00010436262753600618,-148.4211046804294,-48.80092474908441
PRP bottleneck (ms),all_three,z_dass_dep,-11.738513974502307,15.432053677571037,-0.7606579279569948,0.4468614101877264,-41.98478339003043,18.507755441025818
PRP bottleneck (ms),all_three,z_dass_anx,6.329652498091862,19.282526598594178,0.32825846061860664,0.7427162491705226,-31.463405166088357,44.12271016227208
PRP bottleneck (ms),all_three,z_dass_stress,0.7664940012082262,19.959214389181053,0.03840301458075957,0.9693663574688163,-38.35284736130025,39.88583536371671
PRP bottleneck (ms),all_three,age,-0.6233166070125016,13.10094025055061,-0.04757800547837051,0.9620525612598042,-26.30068766170285,25.054054447677846
WCST total errors,dep_only,Intercept,15.361582264552409,23.048524395091114,0.6664887522180867,0.5050987506661268,-29.81269544661901,60.53585997572383
WCST total errors,dep_only,C(gender)[T.male],-5.495830100125374,3.3001492789451117,-1.665327727805728,0.09584738953153729,-11.964003830463621,0.9723436302128725
