source_file,p_column,parameter,coefficient,std_err,p_value,task1,task2,partial_r,p,n,age_group,ucla_beta,ucla_p,interaction_beta,interaction_p,node1,node2,r,ucla_group,task,r_rt_accuracy,participant_id,linear_slope,linear_intercept,linear_r,linear_r2,linear_p,n_soas,predictor,beta,se,gender,soa,mean,outcome,r_squared,dass_subscale,ci_lower,ci_upper,outcome_label,comparison,var_group1,var_group2,var_ratio,levene_stat
latent_suite\network_edges.csv,p,,,,,,,,0.0,,,,,,,dass_depression,dass_anxiety,0.6032311948639684,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,0.0,,,,,,,dass_depression,dass_stress,0.6330238628042827,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,0.0366128658820834,,,,,,,dass_depression,pe_rate,-0.1669660331327384,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,0.0,,,,,,,dass_anxiety,dass_stress,0.7368441400141151,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,0.0178434682906616,,,,,,,stroop_interference,prp_bottleneck,0.1888594514919038,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_suite\cross_task_coupling.csv,p,,,,,stroop_interference,prp_bottleneck,,0.0080074458513577,76.0,,,,,,,,0.3020433716498555,High UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_suite\cross_task_coupling.csv,p,,,,,pe_rate,stroop_interference,,0.0300618300778952,82.0,,,,,,,,0.2397316189223342,Low UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_suite\cross_task_coupling.csv,p,,,,,pe_rate,prp_bottleneck,,0.0309778876505622,82.0,,,,,,,,0.2384528397302077,Low UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_suite\speed_accuracy_results.csv,p,,,,,,,,0.0353685239020687,88.0,,,,,,,,,Low UCLA,stroop,0.2246360170119146,,,,,,,,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-0.4237497082847212,856.540699144314,-0.9012764520483753,0.8122992430169073,0.0366797995078904,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,0d841i8KPjdjwCYfDuUUXj0SEjH2,-0.5444532283712852,1179.180985095296,-0.93117634559292,0.8670893865917851,0.0214489219907384,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-0.412727294827046,1032.1337222863629,-0.9335539446450264,0.8715229675622892,0.0203545307019729,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-0.7275299008163393,1743.5304210451632,-0.975653599620228,0.9518999464519085,0.0045435319989527,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-0.670301371494804,1668.5400077006552,-0.9030106409236798,0.815428217621395,0.0357271759351597,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,2h5FgHUEvBS1twD5DqbTIRrMm1f2,-0.4822824501633251,1102.7156879444574,-0.953082045391514,0.908365385247672,0.0121132927343997,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,2zDXvJKvjeejeOSNbtDbtSI5cdz1,-0.6600633022170233,1411.680785686414,-0.9564296583057748,0.9147576912869012,0.0108457958836376,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,3WijiOiVCoMbn80F05SPYsxl0TC2,-0.483588049401689,1085.366336058905,-0.9428625146911892,0.888989721609793,0.0162539139166129,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,3xCaqfcHxRQxuOlEzXz3PNcHODH2,-0.4349551730841252,908.3818796188724,-0.9581146955667434,0.9179837698609534,0.0102253651896618,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-0.6341624367950107,1299.6922209257032,-0.957672653525829,0.9171369113112025,0.0103869652047059,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,5OOi73igsahMZ5IVKQwwyhnj4Cn2,-0.3473685822637289,995.8453811746232,-0.8948153992531793,0.8006945987406268,0.0402984687022369,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,5rXSa3anB5ejmFrnwUsTB82byup1,-0.358295978979555,1086.2588677219023,-0.8917650074535323,0.7952448285185985,0.0420441797406746,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,5zxa5CMLGQSSonWOXqXf0QNS3PH3,-0.5138570108856153,1097.6500583369414,-0.941563504654068,0.8865418332964512,0.0168080081989587,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,62fAfeQc27bZelkPX7G54T3gvci2,-0.6145720050565102,1549.817288992655,-0.980480588783196,0.9613421849806428,0.003264060917697,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,6ABZuv4jbjgE0B8TeyUk6nwVb122,-0.7001109490288876,1486.7693698890057,-0.9671621204458898,0.9354025672253898,0.0071079716953042,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,-0.6765101613985895,1229.2455075798634,-0.9697455302700868,0.940406393478812,0.0062883601589876,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,80UJMJbCOMgs6YVpsMgXfYTzw6o2,-0.4778989206534813,1030.3835035006168,-0.9348768538452492,0.8739947318555913,0.0197536991386014,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,87w5Le0CgZhSfYAaOH3Xd2fc98l1,-0.6237103753408669,1491.6984393234345,-0.9357662395754588,0.8756584551291947,0.0193530578159418,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,8bwaafIhKVMNBoHaXFcY8HirS9u2,-0.4715320400866448,1027.2430717763689,-0.9555418854257594,0.913060294803015,0.0111774531058695,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,8cOQBMgQEYSlJ4CK60pFMmBVEBV2,-0.7301030727960126,1638.439080136938,-0.9348799916988052,0.8740005988787579,0.0197522809562196,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,9Xz1RIwnPXgyRqmucudW9VeuDnq1,-0.4986093213603467,1360.7432588402555,-0.9683184898426548,0.9376406977711592,0.0067370222542098,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,9g0uWFg7uhR46Q0VoG6MzqHOUL12,-0.391634542063969,1184.6661284870993,-0.9692690657806532,0.9394825218793,0.0064370277382475,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,9l7DjYLs0XdgwykPZR5E01KTZfu2,-0.5722865837499816,1478.7139497388284,-0.8869886804922335,0.7867489193213534,0.044824386102525,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,-0.5163489887046471,1093.288034809303,-0.9660151319378828,0.9331852351329654,0.0074823128701277,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,ASGvwW80q7VY7xFaLGZhVuErUQu2,-0.5950863186114705,1600.6767064807632,-0.9836567001074596,0.9675805036662968,0.0025019345356362,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,AUKCfn4HzgVB7m6LNnh2gQb7G5s2,-0.5792510696018034,1331.4896586389914,-0.963705155481268,0.9287276267011748,0.0082551059513588,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,AsXBOflrszVNKoFqbN61bMJqS0k2,-0.6084205562013659,1423.7309558474626,-0.94031409000693,0.8841905878655608,0.0173466147429233,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,AyAnuCaltBbpEYbudoyNzTvXlcC2,-0.6882757929750044,1755.658858236713,-0.922799426181322,0.851558780960577,0.0254489885514376,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,BbwUTWswjtPWhb5DvLAmh9Hdpyl2,-0.7112756307814588,1549.0489278406217,-0.9745361878853808,0.94972078149817,0.0048590703780482,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,BcCTlXWx6ARh4rBtkdWRgZH3C7H2,-0.5948770906183563,1228.0867950221482,-0.957386751404082,0.9165893917640616,0.0104919252755191,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,CDEoAyvS8feXLKMKsaZah9agEhF3,-0.6476757584596723,1349.19751555812,-0.978053267764362,0.9565881945845468,0.0038900373559517,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,CGyTPhevTbSvVnZ8qSP0NtWuhgw1,-0.5523189420245214,1143.5092133245246,-0.8906605930164971,0.7932762919524984,0.0426820036141074,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,CUNlBEszJVRGK1jWlTaOaCqpDg53,-0.6326779125024694,1371.711384264602,-0.937868421590686,0.8795971762170046,0.0184167505122505,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Cbkx2NHyF3NrebzXGqNgSfiWent1,-0.4687066802798467,1139.0500729284065,-0.9345962608337204,0.8734701707643715,0.0198806491628137,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Co587hoelyeANqFX7AYvuVQW0lZ2,-0.4528035297504732,895.0379570206374,-0.9063842398530324,0.8215323902539592,0.033897127434526,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,CtJe4bZZnYUBNrcPk00d3YQFSGp2,-0.699797744068418,1571.0444622714645,-0.9845666914220972,0.9693715698578552,0.0022962251453513,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,DAKDKPH698P12JfTbbjemLI6PIH2,-0.5807946324365548,1044.7438642534532,-0.93076550303312,0.8663244216364971,0.0216399025977978,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,DPvStUYSmohmXwFwaKRqHv89R3k1,-0.6735314566376306,1295.9036367080555,-0.986694419402212,0.973565877279468,0.0018387213583641,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,DaRehVxIOhXtEtUExdgvUl0mKcx2,-0.6104316287082084,1799.1004694970252,-0.9923969606774766,0.9848517275618932,0.0007949115346629,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Df83JuPuJkXqTGbENhM2gw5SJM43,-0.5754074928312858,1866.601397640346,-0.9101811723060892,0.828429766420487,0.0318746604241974,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,DzB19GqCB7fyrlEPexogWkjFzEx2,-0.8357396625299204,1613.348347525198,-0.964826430257022,0.9308900405225085,0.0078768726573033,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,EEodWwGh0wWq5f8JmzfKvq0lyeu1,-0.4850200395718172,1248.2276964639104,-0.970306850625972,0.9414953843716926,0.0061146895820436,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,EUhcW9kURScie1DwGPHqmNqotJB2,-0.7351810704481541,1383.273351679322,-0.9609034197008424,0.9233353819927732,0.0092252595109104,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,EmfmKFDgWJdW47a6CNTNjnbYaPh2,-0.7770730323908672,1679.0616383714687,-0.995326383325535,0.9906746093438898,0.0003832735048657,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,EoToosG69XMp4LTYdB6sB9WTrv22,-0.4804037825665275,1143.0565732980413,-0.9323148509320413,0.8692109812684341,0.0209225604629114,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Fz7EUjZCLuUBxLDUVtN6djaBTy42,-0.4699394204737332,1105.5129667500587,-0.890644902722773,0.7932483427460577,0.0426910870679622,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,GDZGRW51kbWtAdUIHCtEd8sAtqY2,-0.6541617074762972,1188.02938545062,-0.9729476503354648,0.946627130293302,0.0053195042588666,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,GE4hogtdLdTFbNasENgtm6SO3hC3,-0.4459068455882675,1078.193815638164,-0.8801091665569863,0.7745921450576332,0.0489265241880929,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,GEwkBw3YHaNp3TCh9YS9PKVfavz1,-0.4103376604350612,976.592823802115,-0.928860751368644,0.8627822954331217,0.0225324483268914,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,HSggdq91WiQp16bOj7V3dABkcgk2,-0.618117658502974,1240.670789579823,-0.908431407052303,0.825247621319027,0.0328017345183511,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,HyQM2xKwwuVfqidmRYF6TiRk90C2,-0.3091143523940171,928.5626021009252,-0.9058647825486896,0.8205910042619845,0.0341769041467651,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,IaTJhUGICmO9xcL3605RW8QHneN2,-0.6374552703171951,1209.25025767974,-0.9197330809026582,0.8459089401066955,0.0269674297353106,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,JntnHLHjYhc0xJJQALM3h9R5Ozv1,-0.676532932135302,1462.762757481951,-0.9687164899910036,0.9384116379804904,0.0066108694465259,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Jp6aXC9KLjcFZBaQdZl4i9dUscl1,-0.5955339298725362,1225.3594845554055,-0.9598550566481664,0.9213217297730544,0.0095972655470484,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,K26uNuY0VNPjJNF26wEx3bFg0kr2,-0.4756671021256879,1121.4007800213003,-0.9653871747324838,0.9319723971379672,0.0076899175319295,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,K7ykiXe6CqQUKpEzs2nYrMTVuDA2,-0.5491783352780756,1102.9553675612442,-0.9429692562227232,0.8891910181812358,0.0162086524975924,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,LSLmd8jENtONZFVkIpRDX665Bu73,-0.5795893031130055,1286.2235959154782,-0.9069993105312936,0.8226477493042417,0.033566807231936,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,-0.4627148482995197,920.772996882757,-0.8939422707337555,0.7991327834046231,0.0407957439486399,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,LliUMEIsrCVZ88YFQfevan2Og4z1,-0.3206514002333594,897.3646441073477,-0.9376701242071944,0.8792252618307352,0.0185044264709996,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,MMSYeiMQi3gMr4PrXQcpXzFiegj2,-0.625528504113112,1472.0880361306267,-0.9660499416889472,0.933252489837218,0.007470859377559,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,O61Eik2zvrSQLMNpFbTNEgjWwMr2,-0.8151016099300245,1618.643769553311,-0.9823084694331168,0.9649299291200324,0.0028172546502636,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,OExlWyngGfPrScDYjaRcv5PIAet1,-0.6309854311558577,1309.222573686947,-0.9943334554979344,0.9886990207224626,0.0005116133008915,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,ORvIk1xRWIQmKuLVe6GXNouvAXx2,-0.6163261292529606,1262.379548442897,-0.9374353422222462,0.8787850208473399,0.0186084085038229,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,PLreonkqaMeFc0UqxKUelH44UQu1,-0.5205014099561631,1088.345648580431,-0.9797885895997342,0.9599856803098364,0.0034388065101356,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,PkpTH7pWpEOG9A86xSloOSozwTk2,-0.5855211599531437,1785.7046610937905,-0.9168282734486122,0.8405740829947632,0.0284317622669786,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,-0.6561202839359904,1219.7836639437276,-0.976224750345622,0.953014763187372,0.0043849695726036,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,QbOEVCaZLUMOgltUdXm58oZOALv2,-0.4189269253239761,1220.397218983654,-0.9520612631115056,0.9064206487174752,0.01250880824646,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,-0.5677751665019783,1909.65557856414,-0.8845761429781072,0.7824749527260246,0.0462499746796184,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,QreA2rLiUhV3YHeMfuHMPdGbpJ53,-0.628529190553618,1318.321362428358,-0.9709975008875706,0.9428361467299078,0.0059032147630213,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Qv0jhW3sqicqQvd7LfReAsI7nD73,-0.3903209840540511,930.4493193284508,-0.9151762938188812,0.8375476487680634,0.0292755722332954,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Rc706mP0TSeIoIpMYH1SpRXjOxA2,-0.622267113867459,1403.201205728259,-0.9470405772592272,0.89688585497549,0.0145133721444182,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,-0.4306761474203202,1237.0626944923324,-0.8939237812905636,0.7990997267568194,0.0408062952578207,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,SOhR7IO689NQCPQu56SjATO8FR92,-0.615393655585215,1712.175517386964,-0.9597678416197464,0.9211543098074269,0.0096284300167717,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,SpSfX0ZcfcPLdlOENlfdfvEPwru2,-0.7502868533644457,1377.5486192143107,-0.9832161096776804,0.9667139183297122,0.0026036128566802,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,ToTCRJ4EX9OL6UlJqmDkaEbggWF2,-0.544763700046597,1449.113946948571,-0.9321884886823836,0.8689753784319464,0.020980771936634,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,Ub7nV8F55kPruh35ZpUcKoBUyn63,-0.7464497848024212,1785.8265386908972,-0.999617753950364,0.9992356540127704,8.970640725402224e-06,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,UbwuSMtBsHdW3Ji41opk3GInMqi2,-0.3890322345391142,1052.3881612213413,-0.8944574591722911,0.8000541462689509,0.0405020925193102,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,UmgPh1pF5GgcJ0YH7ANm2c0UQOP2,-0.7386536551726407,1620.0620878361103,-0.9645629141820756,0.9303816154154184,0.0079652385416694,5.0,,,,,,,,,,,,,,,,,
prp_suite\bottleneck_shape\individual_curve_parameters.csv,linear_p,,,,,,,,,,,,,,,,,,,,,VwTymW8T68MfpnJvZ2X97ILqDWS2,-0.6586269194080221,1583.6516127396883,-0.9608503216450685,0.9232333406054316,0.0092439848928136,5.0,,,,,,,,,,,,,,,,,
