participant_id,short_mu,short_sigma,short_tau,short_n,medium_mu,medium_sigma,medium_tau,medium_n,long_mu,long_sigma,long_tau,long_n,mu_bottleneck,sigma_bottleneck,tau_bottleneck
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,758.9783984333607,92.15785163829112,173.64954027106205,48,433.958264414345,87.20559959915248,177.5266185620696,48,382.7708530193689,48.783013659957795,68.6340435559232,24,376.2075454139918,43.374837978333325,105.01549671513885
ssPK6ISW0HerTGke9hznqJ2LpKu1,555.7931394505697,54.522716208974984,347.0923987539125,48,378.5346039731198,58.932006103870926,219.38146351101105,48,413.514133672477,95.98373333444499,17.54044216685801,24,142.2790057780927,-41.46101712547001,329.5519565870545
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,741.270397255197,80.1412597332273,358.0067363152497,48,507.8116028263771,78.14088265097638,363.40716377883047,48,385.4029861851063,70.42012274747005,184.15634762925853,24,355.8674110700908,9.721136985757255,173.8503886859912
5zxa5CMLGQSSonWOXqXf0QNS3PH3,677.9378594961809,87.06751821197727,401.0867631596615,48,432.574269792213,30.25997731704753,368.20559350366386,48,381.2613729357996,43.942312631401286,165.47944700605436,24,296.67648656038125,43.12520558057599,235.60731615360712
h5RYP03wJuVN0xo7qAR8CKFxLaj1,929.4873443198196,157.45022448652486,447.05321082731984,48,765.2871419169628,202.86729047522576,507.4650996716798,48,676.5680576943665,94.36818729200141,212.33768582301323,21,252.91928662545308,63.08203719452345,234.7155250043066
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,663.0212358369756,121.81030417642909,502.0714480586557,48,469.82356604413206,42.16090151393635,322.62286283546723,48,527.1235365069368,142.35487013524795,5.0,24,135.8976993300388,-20.544565958818865,497.0714480586557
v8nNKiWvPdcjiHXZci39OuFTY6M2,1024.3602776471341,222.62439526076435,555.5245748160596,48,846.7983712681174,216.5647117771126,445.0538776227099,48,689.4330128924903,34.41372487760118,260.0479090913445,24,334.92726475464383,188.21067038316318,295.47666572471513
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1054.6039194451268,283.35241108449935,474.35243838718776,47,799.2511728619131,261.86828836738914,354.48963724778355,48,403.9120352350407,5.0,336.74519553970975,23,650.6918842100861,278.35241108449935,137.607242847478
LSLmd8jENtONZFVkIpRDX665Bu73,367.46198321982706,5.0,915.3015237245494,46,343.0325562725094,5.0,619.1911765897424,47,362.65751379368186,64.46781749785086,260.3304833601619,23,4.804469426145204,-59.46781749785086,654.9710403643875
mUZzgdWKnPb2txOkJg9FHgqX5792,880.1638878669075,169.7150585341885,445.3697935272633,48,520.0529723081299,5.0,522.6992373598742,46,427.7413939044322,5.0,307.3486016194331,22,452.42249396247536,164.7150585341885,138.0211919078302
