participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_t2_rt_sd_all,prp_t2_rt_iqr_all,prp_t2_rt_skew_all,prp_t2_rt_mssd_all,prp_t2_rt_sd_soa_50,prp_t1_rt_sd_soa_50,prp_t2_rt_sd_soa_150,prp_t1_rt_sd_soa_150,prp_t2_rt_sd_soa_300,prp_t1_rt_sd_soa_300,prp_t2_rt_sd_soa_600,prp_t1_rt_sd_soa_600,prp_t2_rt_sd_soa_1200,prp_t1_rt_sd_soa_1200,prp_exg_short_sigma,prp_exg_long_sigma,prp_exg_overall_sigma,prp_exg_sigma_bottleneck,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_rt_sd_all,stroop_rt_iqr_all,stroop_rt_skew_all,stroop_rt_mssd_all,stroop_exg_congruent_sigma,stroop_exg_incongruent_sigma,stroop_exg_neutral_sigma,stroop_exg_sigma_interference,wcst_cv_rt,wcst_rt_sd_all,wcst_rt_iqr_all,wcst_rt_skew_all,wcst_rt_mssd_all
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.5046210037785663,0.42149147316964586,0.633352095654041,611.2027268682856,954.6999998092651,0.8201609788336458,421509.05551197793,677.3306563787851,546.6848599944493,571.330430301809,463.3698294741431,466.0512525259495,400.14902867576177,567.5993509761697,504.99443057097386,572.2796804050012,463.55119049292995,113.96884603669491,10.0,10.0,103.96884603669491,0.45309929321881565,0.47044291422818263,0.4248853563477176,516.0868702923614,463.05000019073486,1.488177320165744,465935.76263510477,111.22259032273442,193.5395862592167,162.27973306348127,82.31699593648227,0.8426267033067087,1814.1173616290969,1342.1249996423724,2.182638835446177,4769681.863251195
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.44022649840753814,0.3051153766845897,0.2742300061495639,443.0309770333327,681.8749999403954,0.8312797838369325,318189.119389437,426.01485176445084,307.6476151936335,329.3004771315724,284.6908793064644,449.65807681619737,343.30346746502534,209.69024869145917,104.29445735421143,171.60191934873987,160.359505840572,259.5600974986975,52.05668148573759,64.38947663186973,207.5034160129599,0.2705270324792025,0.3149606864067192,0.2011857400397891,292.83023289378923,303.4999998807907,1.8306367840939666,163115.65506611054,126.17939371065307,121.17805996870688,94.70772131950255,-5.001333741946198,0.3562456170830788,602.2838187495531,571.0999998450282,2.205572194463058,380191.45677496213
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.497234614051204,0.3788027619390065,0.6712553967044865,446.4723753830635,510.0,1.4524317107581297,350539.7899999949,421.40212074506024,363.98572485021595,479.8652861069089,417.88785749038163,279.9141450006056,283.27029831023543,218.21153426021485,276.89144272196125,440.7096795454223,526.7977773950698,121.14219224469974,10.0,10.0,111.14219224469974,0.3162009881347883,0.27932466214424784,0.26707151771995563,395.2360331979041,452.25,0.7316753463359357,300763.2524271827,288.3827200648401,339.02566222869183,202.95528379548185,50.64294216385173,0.4159083149373948,548.717798265005,554.5,1.514527376095277,588135.3285714159
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.4986330465444194,0.27023447499343306,0.6215330264812956,437.8049731383319,640.4750000238419,0.9691048955274599,402808.40009092435,259.568805778443,276.4809218916097,313.4174497535181,296.3920271406066,456.42992141943006,372.2693948928615,524.3075974476577,503.3144065990061,322.1621861617635,268.59151589162263,244.8346578867321,10.0,387.90679323281074,234.8346578867321,0.40088050487398413,0.44467575058966985,0.3309528215284193,308.74962758309067,320.1500000208616,1.3825481176549235,141374.84654685837,131.8925932246314,129.87419676074458,26.43313910559393,-2.0183964638868304,0.9322226765799655,1831.3918124220693,1222.800000011921,2.6686519546287535,5202926.365317712
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.3675738438031962,0.21077546269447153,0.3133964067770237,408.2571639437658,704.1999999992549,0.3903780268695598,286278.3753389348,320.4754972376595,281.9610209212982,266.85266164167393,282.31004845756365,334.7522470997381,301.99189438711323,319.9103549425171,382.69826459114006,216.17539102247378,322.25131539957215,247.20833927026615,78.3552442868613,427.4269947664213,168.85309498340487,0.26410421159916125,0.26696037847466286,0.2316046676039969,200.67249349647852,253.80000000121072,0.5186986430814352,61018.05887854876,119.50697625936272,225.73479857681232,142.59610455599542,106.2278223174496,0.5281048893101306,872.0640665760824,787.6500000003725,1.6919976006410085,1321866.7819997254
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.4689598889298287,0.30247052157564547,0.3590757688324836,420.1466077766531,589.1250000002328,0.9222542342122818,321365.6686486242,394.8055619034743,419.468874981043,290.5340530951565,293.80333188396554,419.472957221148,476.9104088770064,392.35767868581706,549.1150772859513,182.78099147382122,537.2051782604509,55.92435129872492,,228.6021736500103,,0.253609576463594,0.2559870626265173,0.22755644762965563,216.77231583489274,249.07500000001164,1.1869831825941255,71554.05822430026,123.499270617021,135.0733733589626,124.48922448722878,11.574102741941616,0.4645555738210264,626.5533785840533,427.24999999976717,3.104299506429238,522148.17195123306
3WijiOiVCoMbn80F05SPYsxl0TC2,0.36101593374217045,0.22242992327162753,0.39183408529129593,308.8840194112257,369.2000000476837,0.6283145711215793,173089.730340445,228.38568446037684,230.02953100986016,248.23427226065,189.6657666129054,258.1571950682727,164.67294061430036,211.3580487482811,250.95149275376772,221.03360751048453,321.55915403898405,97.19178375393676,69.7732906997836,328.95996563141307,27.41849305415316,0.24172487426436398,0.2702447968123998,0.2319246932502959,203.5674837649339,207.69999995827675,1.5525916958598514,75233.0996272231,48.67661269428042,85.63753803261415,59.43495896328391,36.96092533833372,0.6185052393519157,961.7385368810014,722.850000053644,2.55841147304396,752545.5602476188
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.3853000531179405,0.22791353569405126,0.21422658997738683,289.52435753088656,497.6000003814696,0.5829684881187434,153218.68562389447,204.79042186892784,178.45039177055926,218.9740559521769,216.09603461515067,323.5577898925025,289.02734151970674,219.53308403534845,288.35399891559297,112.32289614476612,458.74237660213504,166.1801830043047,,286.66063580196777,,0.30526279098277925,0.3394612570951177,0.2443227266524852,206.92577468994347,228.04999995231628,0.9127448041310234,82777.40294814135,102.61765319402213,110.96539241014476,109.07393825059336,8.347739216122662,0.4329212993511797,539.3201641286049,507.9500000476837,2.1851147212571886,396137.16632313567
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.5367931180987722,0.38934219592155817,0.30454972299679306,377.98287410933176,407.3249999955297,1.6053199014637574,212238.80692408988,395.37680834897594,344.5287817421689,301.75048807903596,309.38357722646924,296.3424218950035,279.86421549236934,452.20833003326356,460.6988951702754,123.99995763265387,241.3779788595686,,43.99905586418359,10.0,,0.3466490084932668,0.33250085737524715,0.2713574376649324,246.3894490113808,199.8749999962747,1.8151815050154767,92355.92915838392,131.20624354484494,134.9090085314148,105.00254894430935,3.7027649865698606,0.582652140211737,797.4261633287563,558.7999999970199,3.41839054393742,688579.9145546829
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.4826786826767755,0.3206198621376602,0.2696559919813068,486.99365616164,719.9000000002561,0.9354580448416403,482130.39681817044,342.91795504888063,322.78872681024933,471.8465867968654,450.1061690052925,356.8430702681659,344.37999917821173,543.1654366940851,452.74542394677036,133.07780019507888,279.8992943899644,228.9656757766452,83.63756263854754,348.6754401288781,145.32811313809762,0.30547606923136283,0.28889848613813585,0.2418755596624492,252.8402797171011,283.57499999992444,1.009236299073029,109343.208785045,122.66337652936184,173.95842852000118,106.8916829097142,51.29505199063934,0.6628973906692273,867.2953337904627,588.3500000000349,2.9647817400658316,873463.5540740339
50R0P1MIMvRvK1qpqfGROchII6R2,0.44211319396570997,0.3712495624266602,0.4223827032365919,376.73326009169233,397.90000009536743,1.244427204531412,162160.9954242703,376.2384543513364,419.8242934141638,403.36500962755446,399.1557693949583,237.88197758614956,291.4541929158133,345.76802959860015,404.6770995132794,280.91571725745337,618.7801601929779,,,,,0.32145425424156493,0.37485787066967363,0.23283697442652634,263.291571586354,267.049999833107,1.2659537674247074,110233.7455845389,,,,,0.42908850074289573,494.58785470384635,456.27499985694885,2.8971525140587553,353356.1097116631
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.4425388734646153,0.3387773061887526,0.4460097369955067,369.9872066368422,398.04999999993004,1.3577114312031777,189271.31445378714,333.19549806012884,318.4493284379788,300.1799995931932,314.72683045457234,472.594061778527,459.4451934639455,277.1245347377254,392.6281201168804,268.74502540052595,597.9509659354666,,24.403112346572374,24.115972705265506,,0.22839882526346014,0.23027872888224432,0.1656492092990857,190.13800390435816,237.77499999955774,0.6638092494276963,70166.77794394194,69.02592391887437,210.8247848854614,107.86134791407336,141.79886096658703,0.5609455325895688,1028.0200357033084,700.2500000002328,1.9702194631116203,2160455.278405706
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.5393113762649344,0.384119371994706,0.21746397457709557,402.2309441466903,596.2750000013036,1.0915099868607168,260867.52639641723,263.5942114533701,265.2425276296927,486.21314347458446,357.28361746894893,370.8666189497818,375.724539371978,221.52233606437161,273.6132347189984,85.97734776685306,230.71443158019306,199.3944371946212,48.60404077005624,29.99838846957732,150.79039642456496,0.3119662106119694,0.29382865167093847,0.22553418477675727,184.59791711673074,186.8499999982305,2.000618367095219,63650.472336454506,126.17588944352786,91.96943530146125,94.1651222047376,-34.20645414206662,0.4315272776463423,480.78390778552824,465.35000000055857,2.026184760745726,300796.4395239203
5rXSa3anB5ejmFrnwUsTB82byup1,0.3504678715085291,0.2501941075356021,0.35884173513105433,324.27812028670684,474.5999999999767,0.6165223363513417,138250.9203418985,301.83287411235267,318.4890107710234,236.76651863766415,303.76473483685,336.9725661865362,419.13498941016064,272.64416316899775,302.9870607259834,256.3565355776374,521.4681425980046,141.02717811421678,108.4898907551782,235.87775769569043,32.53728735903857,0.33634733226748365,0.30316978393649907,0.3071134559525561,289.3994733372462,379.2500000000002,0.9121887096820785,124582.76925233343,75.23918227677295,280.07481957954224,76.8896876693615,204.83563730276927,0.4057880684250203,389.785219199522,340.5,3.511875728388218,119178.76047619304
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.3992869708835561,0.2991008965395896,0.2951634916500773,329.07889709791067,444.2750000357627,0.8233748461164724,189667.20600239764,301.2230832868189,266.7953028271387,314.19873659524336,295.7100958582842,305.62725101259184,269.6272116815217,225.45161039269428,286.59421801347384,161.3769495166206,360.2231433053103,92.86536541789955,44.51578885529332,165.91467116762198,48.34957656260623,0.2812258185295782,0.3618796543931655,0.18576050740866187,179.8894799461756,157.20000010728836,3.39754192605747,63261.64775859989,61.46603065195747,10.0,61.81573760092389,-51.46603065195747,0.5115729847107916,634.0566440035958,482.4999999701978,3.689844687608323,492284.0862440086
62fAfeQc27bZelkPX7G54T3gvci2,0.3358258552258487,0.24088168222852438,0.26096012602109425,425.3993592192103,449.70000000018626,0.794497479864909,286462.80830507143,298.05095129062335,301.88514081145826,427.38505597289554,352.1597525077614,346.1241800620033,360.1698878344389,382.6751333219505,371.8114716288569,211.23526134160684,308.18191900122656,158.4290588270679,178.16663112807652,344.1833874342098,-19.73757230100861,0.3501783559592048,0.40767837587422956,0.2568021755960094,356.8458173105658,291.1999999997206,1.7721915543005635,216100.72773583085,140.81466233813418,182.81273495201023,107.1480288468012,41.99807261387608,0.8441869952484501,1556.4605965437634,611.7000000001865,2.8715543470934155,3806433.4985294067
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.37647628662003946,0.22789551134713154,0.4075473606520213,437.13842115944726,697.3499999046326,0.25807928674098896,385525.3598137897,305.52495793944104,193.64246070389524,351.4395757027587,311.82103936902524,359.9967741021354,348.7772329685025,325.13815924226066,341.18886253003456,287.9440971035304,328.4219859624756,222.95198749591395,102.13801201641532,432.2448357882872,120.8139754794986,0.21113879986192596,0.26117800602130264,0.19411202119754223,222.26913810079233,228.2749996185305,1.4629046716075926,98463.1755186689,20.4770802463506,167.2231078241504,128.32356237960985,146.7460275777998,0.4213034029015381,835.6088605333043,710.8249998092651,2.255006567976121,1212831.920239313
6OwhwWQDThSPHTVAeXugohrYuje2,0.41451107263220505,0.2809039446286356,0.4381500677416986,558.8609409622857,931.6000000238419,0.21808797747917053,528125.4358428528,462.6093140812101,464.46795693599483,523.3401197580539,521.7562209611531,360.9808179697474,363.3718731540592,356.9716085108141,362.38197129650075,356.8865651740417,363.26237777368067,,,,,0.3065920780790767,0.266313650574528,0.25219079810241213,320.4517432956785,485.4000000357628,0.6518507622793225,200812.592145243,,,,,0.4848394674505382,853.991313812834,971.9250000417233,1.578232805013221,783413.7883630067
