participant_id,n_trials,n_t1t2,n_t2t1,n_t2_only,n_t1_only,reversal_rate,reversal_soa_50,reversal_soa_150,reversal_soa_300,reversal_soa_600,reversal_soa_1200
Ru3Qf6pXZua1DfNkQdhbor6iJ403,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,120,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0
SpSfX0ZcfcPLdlOENlfdfvEPwru2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aM2995jJmJWvr6cneaGH58HauIg2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
m69r9GQTk2b51mvxrFLt4fZeJi52,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
wkhxvE50megJGMA1EiROSZIJWNq1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
d9rwc0NXArcNlJvFsgKhQqkGxJq2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
WqoZv41KTtTCuPKBPyClregrKAi1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Yco8O7tmHlbsUBfKW2ywcZByGO32,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
xHctBv4C2EU8rHYRouw0btT3GT02,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
SOhR7IO689NQCPQu56SjATO8FR92,120,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0
idP8RVfm74N86O0dszLXANIpjXv2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
mweMgSlGM2VxThhwnupYxYzUbR23,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ohl9pXqpeSMfepC3w9h0tW5SbJw1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9l7DjYLs0XdgwykPZR5E01KTZfu2,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
23AEyocWhqY955WHbxhHRSgQ1ms2,120,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
rFV2EUbp64f5ORSh7DqwmCQmeqT2,120,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0
bXpFswkI7TfIfL6G4FqWrbaxTGx2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
XehZHBpwr5MYzUXkj0FAYCsFG922,120,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
DAKDKPH698P12JfTbbjemLI6PIH2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3WijiOiVCoMbn80F05SPYsxl0TC2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Df83JuPuJkXqTGbENhM2gw5SJM43,120,0,0,5,2,0,0.0,0.0,0.0,0.0,0.0
qnR5PLX1v3fPi6SwTJMwGcadwyD3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,120,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0
UbwuSMtBsHdW3Ji41opk3GInMqi2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cC0BEsQjfrcuCyoaOas9zJT0MNs2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
146QT9LupyU2BAiTsB3PMIpVXM22,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,120,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EoToosG69XMp4LTYdB6sB9WTrv22,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,120,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
QbOEVCaZLUMOgltUdXm58oZOALv2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PkpTH7pWpEOG9A86xSloOSozwTk2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
tv88wS5Nf6SjruozSmXJxQSmx6J3,120,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0
SPCT9D90pRa1ihXS5jEw6vCmquI3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5rXSa3anB5ejmFrnwUsTB82byup1,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
btpcu1rB1JeSTo2upeHGPdv8kYG3,120,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
zw1w9FipI9RjJsuhHse6UZavBxs2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
IaTJhUGICmO9xcL3605RW8QHneN2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
kI0YdycDU0X5hcoEPjEON3Ionyd2,120,0,0,2,4,0,0.0,0.0,0.0,0.0,0.0
YEU5ox3jteVINfdSTg5ymqYcS9o2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,120,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
c0hRe9PCPPZs3HWFqhIQargNlp52,120,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0
biQ16yPcCKSkJQhSxUKcDc8gm8I2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
OExlWyngGfPrScDYjaRcv5PIAet1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
VwTymW8T68MfpnJvZ2X97ILqDWS2,120,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0
hrRr560eFBNwJ0CcUjCqtSD8TdP2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
G9VruXninjUdE9czK2DambZl5li2,120,0,0,110,0,0,0.0,0.0,0.0,0.0,0.0
