nll,bic,aic,n_trials,alpha,beta,participant_id
177.27108022087765,364.24622096959456,358.5421604417553,128,0.10974408966417239,0.4775679812396266,50R0P1MIMvRvK1qpqfGROchII6R2
97.03310312222132,202.56319672854136,198.06620624444264,70,0.6576941068445116,0.1,5OOi73igsahMZ5IVKQwwyhnj4Cn2
177.46861150478443,364.6412835374081,358.93722300956887,128,0.01,0.1,5Z68AKm9rIeeB2lVu3nJO7U31wk1
117.17565831442786,243.23661914183637,238.35131662885573,85,0.22204813644886695,1.050011007154575,5rXSa3anB5ejmFrnwUsTB82byup1
120.62112510242015,250.17406644214947,245.2422502048403,87,0.01,0.1,5zxa5CMLGQSSonWOXqXf0QNS3PH3
97.04583407136602,202.58865862683075,198.09166814273203,70,0.01,0.1,62fAfeQc27bZelkPX7G54T3gvci2
122.00431581399936,252.96330525695512,248.0086316279987,88,0.01,0.1,6ABZuv4jbjgE0B8TeyUk6nwVb122
176.19758422970347,362.0992289872462,356.39516845940693,128,0.042470065180765335,3.142956282686534,6OwhwWQDThSPHTVAeXugohrYuje2
95.67513180493643,199.81847661906738,195.35026360987285,69,0.01,0.1,6WFCyGwk71XLPBmbe4Vav3eotVm1
105.38763627658822,219.4367392337491,214.77527255317645,76,0.01,0.1,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3
177.4598823448764,364.62382521759207,358.9197646897528,128,0.01,0.1,87w5Le0CgZhSfYAaOH3Xd2fc98l1
113.67807511824294,236.1695887310144,231.3561502364859,82,0.01,0.1,8bwaafIhKVMNBoHaXFcY8HirS9u2
135.87237076285393,280.914676483049,275.74474152570787,98,0.01,0.1,8cOQBMgQEYSlJ4CK60pFMmBVEBV2
102.50530908100292,213.6187483484142,209.01061816200584,74,0.09699153612933897,0.3405752959300904,8mscvscxtXf7EbbLqCyy4a4pl2q2
98.43826422666092,205.40188820740448,200.87652845332184,71,0.01,0.1,9Xz1RIwnPXgyRqmucudW9VeuDnq1
103.99957684527752,216.63412991762766,211.99915369055503,75,0.01,0.1,9l7DjYLs0XdgwykPZR5E01KTZfu2
113.68268697792873,236.17881245038595,231.36537395585745,82,0.01,0.1,A9AEg0g6c2P1Bk72HLmnK3oWJ9B2
110.28119953065206,229.32645233065188,224.56239906130412,80,0.99,0.37213652807655817,ASGvwW80q7VY7xFaLGZhVuErUQu2
130.32989846632597,269.74638649719196,264.65979693265194,94,0.01,0.1,AUKCfn4HzgVB7m6LNnh2gQb7G5s2
145.58077937037876,300.46947944107256,295.1615587407575,105,0.01,0.1,AsXBOflrszVNKoFqbN61bMJqS0k2
155.28494392322324,320.00688558903664,314.5698878464465,112,0.01,0.1,AyAnuCaltBbpEYbudoyNzTvXlcC2
176.83246975872146,363.3690000452822,357.6649395174429,128,0.36405175884389546,0.637079636860712,BbwUTWswjtPWhb5DvLAmh9Hdpyl2
106.75819414723104,222.20399913816945,217.51638829446208,77,0.01,0.10000000000000009,BcCTlXWx6ARh4rBtkdWRgZH3C7H2
145.08122197695292,299.4703646542209,294.16244395390584,105,0.7350998997081797,0.3423041375503848,C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2
94.27695372215707,196.99292285466638,192.55390744431415,68,0.01,0.1,CDEoAyvS8feXLKMKsaZah9agEhF3
125.15381048963431,259.3293399923023,254.30762097926862,91,0.25270444956555904,1.1327188394573104,CGyTPhevTbSvVnZ8qSP0NtWuhgw1
