nll,bic,aic,n_trials,alpha_pos,alpha_neg,beta,participant_id,alpha_asymmetry
177.46861150478443,369.4933138013277,360.93722300956887,128,0.01,0.01,0.1,5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.0
117.08720314285331,247.50236005517758,240.17440628570662,85,0.14847629552519057,0.3596009718715898,1.091424193127897,5rXSa3anB5ejmFrnwUsTB82byup1,-0.21112467634639923
120.46902355593227,254.3357714678283,246.93804711186453,87,0.01,0.99,1.693622227942795,5zxa5CMLGQSSonWOXqXf0QNS3PH3,-0.98
96.70439483146167,206.15427538907142,199.40878966292334,70,0.631922067677897,0.99,0.32573361037368637,62fAfeQc27bZelkPX7G54T3gvci2,-0.35807793232210294
121.086059465474,255.6041293743826,248.172118930948,88,0.01,0.7640899581420715,8.057400635720422,6ABZuv4jbjgE0B8TeyUk6nwVb122,-0.7540899581420715
176.08934726198433,366.7347853157275,358.17869452396866,128,0.011655853392055585,0.05857438884300771,10.0,6OwhwWQDThSPHTVAeXugohrYuje2,-0.04691853545095213
95.67513180493643,204.05258312366465,197.35026360987285,69,0.01,0.01,0.1,6WFCyGwk71XLPBmbe4Vav3eotVm1,0.0
105.38763627658822,223.76747257403545,216.77527255317645,76,0.010000000000000009,0.01,0.1,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,8.673617379884035e-18
177.4598823448764,369.47585548151164,360.9197646897528,128,0.01,0.01,0.1,87w5Le0CgZhSfYAaOH3Xd2fc98l1,0.0
113.65357825941756,240.52731426062786,233.30715651883511,82,0.01,0.99,0.6985197908135782,8bwaafIhKVMNBoHaXFcY8HirS9u2,-0.98
135.87237076285393,285.4996439617196,277.74474152570787,98,0.01,0.01,0.1,8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.0
102.48644029413167,217.88507586787586,210.97288058826334,74,0.11118306890900344,0.01,0.41451564422369164,8mscvscxtXf7EbbLqCyy4a4pl2q2,0.10118306890900344
97.9920647282061,208.77216908753616,201.9841294564122,71,0.99,0.99,0.3290101493873192,9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.0
103.99957684527752,220.95161803116397,213.99915369055503,75,0.01,0.01,0.1,9l7DjYLs0XdgwykPZR5E01KTZfu2,0.0
113.05649549440034,239.33314873059345,232.11299098880068,82,0.6241530162884529,0.99,0.3670253751734011,A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,-0.3658469837115471
110.28119953064792,233.70847896531748,226.56239906129585,80,0.99,0.99,0.37213509146379276,ASGvwW80q7VY7xFaLGZhVuErUQu2,0.0
130.32989846632597,274.28968127946194,266.65979693265194,94,0.01,0.01,0.1,AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.0
145.4104607170246,304.78280248452177,296.8209214340492,105,0.99,0.9309532123142314,0.1613955069450303,AsXBOflrszVNKoFqbN61bMJqS0k2,0.05904678768576854
154.96685800028078,324.08921261444686,315.93371600056156,112,0.99,0.01,0.4224484492311675,AyAnuCaltBbpEYbudoyNzTvXlcC2,0.98
176.82057401118124,368.1972388141213,359.6411480223625,128,0.2510256446526861,0.3792425104626479,0.8517340661661682,BbwUTWswjtPWhb5DvLAmh9Hdpyl2,-0.12821686580996178
106.75819414723104,226.54780456002314,219.51638829446208,77,0.01,0.01,0.1,BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.0
145.07162527157197,304.10513159361653,296.14325054314395,105,0.7470890448227343,0.6230578406591766,0.37869373037852533,C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,0.12403120416355773
94.27695372215707,201.21243055984246,194.55390744431415,68,0.01,0.01,0.1,CDEoAyvS8feXLKMKsaZah9agEhF3,0.0
124.94144454292463,263.4154676053998,255.88288908584926,91,0.01,0.5067909794722668,9.485253444814193,CGyTPhevTbSvVnZ8qSP0NtWuhgw1,-0.4967909794722668
112.17509658301897,237.53354063005526,230.35019316603794,81,0.01,0.99,1.992391676417514,CN1ySCsiSLN4m9yh9fS4s5p6T8k1,-0.98
104.48447297580356,221.9611459724661,214.9689459516071,76,0.35912516060647637,0.01,0.8645476240995198,CUNlBEszJVRGK1jWlTaOaCqpDg53,0.34912516060647636
96.13166807514813,205.0513757814202,198.26333615029625,71,0.01,0.8974808562560044,8.144262266550145,Cbkx2NHyF3NrebzXGqNgSfiWent1,-0.8874808562560044
112.23831934983724,237.69679644146726,230.47663869967448,82,0.8894037750073519,0.8890024162697696,0.600811947502228,Co587hoelyeANqFX7AYvuVQW0lZ2,0.00040135873758229135
110.86098287925353,234.8680456625287,227.72196575850705,80,0.6363489489945957,0.01,0.27489215509267906,CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.6263489489945957
119.23379900350561,251.83063989577175,244.46759800701122,86,0.01,0.38808808754021534,0.1,DAKDKPH698P12JfTbbjemLI6PIH2,-0.37808808754021533
87.34354853830557,187.11650125578575,180.68709707661114,63,0.01,0.9899999999999999,0.1,DPvStUYSmohmXwFwaKRqHv89R3k1,-0.9799999999999999
