participant_id,wcst_brl_hazard,wcst_brl_noise,wcst_brl_beta,wcst_brl_negloglik,wcst_brl_n_trials,wcst_brl_posterior_entropy_mean,wcst_brl_entropy_drop_mean,wcst_brl_p_rule_max_mean,wcst_brl_change_point_prob_mean,wcst_brl_surprise_mean
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.19719259308603568,0.29098409488592564,6.352256391835878,46.51559535155814,99,0.8005280265968342,0.15492290710419607,0.6800073342739433,0.4254946792796613,0.5638345225789788
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.030550245034914,0.001,5.421162308426912,10.91154510895802,71,0.10488743156055179,0.14799271328788258,0.9598591769982527,0.07781034680969975,0.2988750399276703
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.2181819767463578,0.1054090168022808,6.149533721596924,30.25657384321934,84,0.46607369150796674,0.3731176440985785,0.8307970049540471,0.3369200865256093,0.4140003785896125
3WijiOiVCoMbn80F05SPYsxl0TC2,0.148081309104699,0.23332462599466092,6.139506274132779,27.617750547503388,80,0.6428767231688386,0.19588528351551798,0.760959901603223,0.3397209331364556,0.49711441236739873
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.23360594386551448,0.3,5.5166375049263925,81.37879019217243,128,0.8461485252112297,0.1488988396637026,0.6539051671101186,0.46081583200853465,0.5698528432919949
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.2057221300338927,0.05943458945213963,4.830060538730248,32.112446597832495,69,0.3267494811450135,0.44588948875223466,0.885492981973215,0.2914014307266733,0.4038927818341281
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.21147466703644727,0.08297729664910539,8.667735596061611,11.028015676901013,82,0.420075405793417,0.3945721913071833,0.8507643669700218,0.31859573171094085,0.3872709278729905
50R0P1MIMvRvK1qpqfGROchII6R2,0.3,0.3,5.2735198410779915,95.56298121653406,128,0.9296206737574451,0.11892730025944317,0.581992114659876,0.530457882023621,0.5833116367604085
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.2683632495174554,0.001,5.620104478979793,27.938285695927988,70,0.3093464106056866,0.5515436466535524,0.8661777490450417,0.35092319199662325,0.3505375086754236
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.3,0.3,5.595374112736776,89.35873483626027,128,0.9223009550693766,0.12402629519170684,0.589892203154012,0.5265642222475255,0.5827076249070025
5rXSa3anB5ejmFrnwUsTB82byup1,0.09298030100984843,0.027219782122689377,4.897676594262419,23.503497267679364,85,0.23314426625404822,0.2874568960282114,0.9141320931867948,0.17356167764330016,0.2789207178669861
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.17547872599988631,0.001,5.752430785769718,22.28255690984229,87,0.2643687165532284,0.4453748752794451,0.8892655194077,0.26270803076252336,0.27651657364378823
62fAfeQc27bZelkPX7G54T3gvci2,0.19890756965613873,0.12248577725969749,10.0,6.5555296772400355,70,0.46467352539853063,0.3500817119030197,0.8293687856641052,0.324916609658898,0.4439070581769396
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.15393644224291272,0.001,5.0263038623479925,26.49179322678044,88,0.1661969485875325,0.44984405846808445,0.9427271200748091,0.2018619686803273,0.2973395225879479
6OwhwWQDThSPHTVAeXugohrYuje2,0.3,0.3,3.4113157314860088,130.7713468356616,128,0.935654827235663,0.11487967982330582,0.5768477057387145,0.5338625588077048,0.5651571093151777
