participant_id,wcst_cv_rt,wcst_rt_sd_all,wcst_rt_iqr_all,wcst_rt_skew_all,wcst_rt_mssd_all
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.981567862712044,1465.9891309579807,494.5749999997206,6.9843125554599075,1382308.893855492
3WijiOiVCoMbn80F05SPYsxl0TC2,0.6185052393519157,961.7385368810014,722.850000053644,2.55841147304396,752545.5602476188
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.4329212993511797,539.3201641286049,507.9500000476837,2.1851147212571886,396137.16632313567
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.582652140211737,797.4261633287563,558.7999999970199,3.41839054393742,688579.9145546829
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.6628973906692273,867.2953337904627,588.3500000000349,2.9647817400658316,873463.5540740339
50R0P1MIMvRvK1qpqfGROchII6R2,0.42908850074289573,494.58785470384635,456.27499985694885,2.8971525140587553,353356.1097116631
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.5609455325895688,1028.0200357033084,700.2500000002328,1.9702194631116203,2160455.278405706
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.822117531402056,977.9152263960195,484.5250000003723,7.68129779616941,895111.16055124
5rXSa3anB5ejmFrnwUsTB82byup1,0.4057880684250203,389.785219199522,340.5,3.511875728388218,119178.76047619304
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.8735726394290938,1175.6731361704253,503.1500000357628,6.101967894268331,824174.4405870211
62fAfeQc27bZelkPX7G54T3gvci2,1.0575297316424717,2136.2719989449824,609.674999999814,3.715737563236072,8572590.2020294
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.4213034029015381,835.6088605333043,710.8249998092651,2.255006567976121,1212831.920239313
6OwhwWQDThSPHTVAeXugohrYuje2,0.4848394674505382,853.991313812834,971.9250000417233,1.578232805013221,783413.7883630067
6WFCyGwk71XLPBmbe4Vav3eotVm1,0.5327461984045171,687.9884405746774,389.0,2.6985310677004657,595526.1255657347
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.32180224719817985,562.3955801982745,475.85000008344673,1.7170127430058078,447057.56372829416
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.75793073518627,1076.7046598167005,521.7999999998137,5.380758173815567,833723.9417143224
87w5Le0CgZhSfYAaOH3Xd2fc98l1,1.0798374669305058,2709.464056672426,1222.9999999990687,4.683904175944236,9672622.721258717
8bwaafIhKVMNBoHaXFcY8HirS9u2,0.7362717946863087,966.3333853191087,423.974999964237,3.3640344431102105,1097819.3410278035
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1.063443628126556,2188.5973706866953,940.549999952316,4.967993460991462,5660291.402575163
9NTZ091xWyOO8DgzyTGY0O3i8IR2,0.42341184451707903,536.8522528425605,332.15000000130385,2.2346543865195696,527269.9706665822
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.5077967386338554,723.9608038235721,459.5000000001164,3.286651956138992,890641.1714286174
9l7DjYLs0XdgwykPZR5E01KTZfu2,0.9797932155725778,1507.9030651621347,579.7499999403954,3.024947102432112,2816508.9575707926
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.7042065333455814,1082.504565484374,660.4750000238419,2.6996907951950746,1462766.243005185
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.5785160171664268,858.9610573262353,556.3250007629395,5.184248362315445,737784.066094881
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.9884850363474853,1849.3156429073517,839.6749999523165,5.903110207458648,5573026.848700095
AsXBOflrszVNKoFqbN61bMJqS0k2,0.47683868211460745,619.3793881566788,517.8000000715256,3.0725102742342925,492744.10960091994
AyAnuCaltBbpEYbudoyNzTvXlcC2,1.0987182989803874,2545.836246579495,1765.6749999523163,6.5948500911399215,5428477.097196016
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,2.778633497804327,20303.069027468653,4423.749999999884,7.5575543522220325,842162604.9078715
