participant_id,wcst_exploration_rt,wcst_confirmation_rt,wcst_exploitation_rt,wcst_confirmation_minus_exploitation_rt,wcst_pre_exploitation_rt,wcst_pre_exploitation_minus_exploitation_rt
3WijiOiVCoMbn80F05SPYsxl0TC2,2193.8300000190734,1741.472222202354,1170.7642857233684,570.7079364789856,1979.5552631585222,808.7909774351538
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,1031.2291664679844,1331.7599999109905,1289.130337040076,42.629662870914444,1146.8179485614482,-142.31238847862778
3xCaqfcHxRQxuOlEzXz3PNcHODH2,3066.479999998212,1334.450000003808,1197.4326086970775,137.0173913067306,1710.9782608721566,513.5456521750791
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1960.5999999999574,1705.4222222222274,1020.367307692305,685.0549145299225,1807.4933333333195,787.1260256410145
50R0P1MIMvRvK1qpqfGROchII6R2,1175.7000000363305,1023.8666666348776,1160.4472972766773,-136.58063064179976,1141.959259280452,-18.48803799622533
5OOi73igsahMZ5IVKQwwyhnj4Cn2,2977.5599999999627,1989.2111111111526,1492.9642857142524,496.24682539690025,2342.1928571428703,849.2285714286179
5Z68AKm9rIeeB2lVu3nJO7U31wk1,1018.6333333334575,1490.1250000003104,1089.7549450549777,400.37005494533264,1175.7972222224084,86.04227716743071
5rXSa3anB5ejmFrnwUsTB82byup1,1231.7076923076709,1127.2722222222687,839.7185185185151,287.5537037037536,1171.067741935502,331.3492234169869
5zxa5CMLGQSSonWOXqXf0QNS3PH3,1609.7533333381018,1228.2722222076522,1138.403773595702,89.86844861195027,1401.6727272669475,263.2689536712455
62fAfeQc27bZelkPX7G54T3gvci2,2741.520000000112,2481.0388888888992,1344.9780487805242,1136.060840108375,2574.067857142904,1229.0898083623797
6ABZuv4jbjgE0B8TeyUk6nwVb122,2065.0499999523163,2347.2388888465034,1867.2193548679352,480.01953397856823,2260.411538417523,393.19218354958775
6OwhwWQDThSPHTVAeXugohrYuje2,3013.299999969346,1703.5999999841054,1688.5932203329216,15.006779651183706,2620.389999973774,931.7967796408525
6WFCyGwk71XLPBmbe4Vav3eotVm1,1596.7111110157437,1863.6611110104454,980.721428496497,882.9396825139485,1774.6777776788783,793.9563491823814
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,2118.9437499940395,1834.7611111270057,1568.8595238186065,265.90158730839926,1968.4941176526686,399.6345938340621
80UJMJbCOMgs6YVpsMgXfYTzw6o2,2344.163636363704,1523.4777777774466,1134.5976190476101,388.88015872983647,1834.7724137929235,700.1747947453134
87w5Le0CgZhSfYAaOH3Xd2fc98l1,3182.595454545776,2151.249999999586,1530.4857142856197,620.7642857139665,2883.1725806452696,1352.68686635965
8bwaafIhKVMNBoHaXFcY8HirS9u2,1684.622222185135,1718.361111111111,1118.7327272718603,599.6283838392508,1707.1148148024524,588.3820875305921
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,2427.881080962516,2083.211111015744,1332.8190475418455,750.3920634738984,2315.079999889027,982.2609523471815
9NTZ091xWyOO8DgzyTGY0O3i8IR2,1539.68888888922,1233.3944444443202,1239.412500000035,-6.018055555714682,1335.4925925926202,96.08009259258529
9Xz1RIwnPXgyRqmucudW9VeuDnq1,1940.0909090909727,1297.111111111111,1346.071428571423,-48.9603174603119,1541.000000000024,194.92857142860112
9l7DjYLs0XdgwykPZR5E01KTZfu2,1775.7714285680227,2668.994444462988,1099.0560000014304,1569.9384444615578,2418.8920000123976,1319.8360000109672
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,2313.3181818073444,1601.6277777751286,1103.0452381088621,498.5825396662665,1993.0574999928474,890.0122618839853
ASGvwW80q7VY7xFaLGZhVuErUQu2,1172.5833331743877,2099.122222264608,1338.5219998931884,760.6002223714195,1728.5066666285197,389.9846667353313
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,2385.984615435967,1862.1166667143505,1301.5408163167992,560.5758503975512,2171.675000049851,870.1341837330517
AsXBOflrszVNKoFqbN61bMJqS0k2,1126.2666666573948,1923.1833333108161,1181.1217391249063,742.0615941859098,1524.7249999841054,343.60326085919905
AyAnuCaltBbpEYbudoyNzTvXlcC2,3360.1517241494407,2436.227777782414,1456.9281250033528,979.299652779061,3006.3085106471754,1549.3803856438226
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,3467.5045977011646,3200.1333333333023,1691.299999999991,1508.8333333333112,3458.5922222222357,1767.2922222222446
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,1316.6588235322167,1359.2555555635029,1220.0190476008825,139.2365079626204,1338.5657142911639,118.54666669028143
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,2423.140000009537,2123.727777812216,1801.522857114247,322.2049206979691,2259.824242447362,458.3013853331149
CDEoAyvS8feXLKMKsaZah9agEhF3,1136.662500000035,2029.7722222222171,1151.614999999944,878.157222222273,1754.969230769238,603.354230769294
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,1592.849999954303,1715.4055555264156,1245.6041666567326,469.801388869683,1645.3738094852083,399.76964282847575
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,2601.519047619054,1895.7500000000518,1482.3619047619009,413.388095238151,2275.7794871795145,793.4175824176136
CUNlBEszJVRGK1jWlTaOaCqpDg53,1340.4000000000622,1921.3055555557626,1224.2739130437535,697.0316425120091,1688.9433333334823,464.6694202897288
Cbkx2NHyF3NrebzXGqNgSfiWent1,1537.0181818170981,1397.1555555537343,964.2690476182671,432.8865079354672,1450.2068965501826,485.9378489319155
Co587hoelyeANqFX7AYvuVQW0lZ2,1455.0499999821186,1058.461111108462,942.9611111073582,115.5000000011039,1200.0999999919109,257.13888888455267
