participant_id,accuracy_slope,accuracy_r,pe_slope,pe_r,n_blocks
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0.034545454545454546,0.6391596708754648,-0.0012121212121212123,-0.052486388108147805,10
WcTsIpSoEhYeIBSNjAbbdaNSBya2,0.024242424242424242,0.5504818825631803,-0.011515151515151518,-0.3006795875598418,10
WeHQDy9BWldTlaQDVVlsJNCqwxA2,0.034545454545454546,0.6555622813752365,-0.0018181818181818167,-0.05163977794943218,11
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,0.03095238095238096,0.7092081432669752,-0.005952380952380952,-0.14712247158412492,8
WnC6Uscb5VMIr43GASKiUCO3AYH2,0.041666666666666664,0.677729728801856,-0.0011904761904761901,-0.05634361698190109,8
WqoZv41KTtTCuPKBPyClregrKAi1,0.04833333333333333,0.7941977083824907,-0.004999999999999999,-0.15811388300841894,9
XehZHBpwr5MYzUXkj0FAYCsFG922,0.011538461538461543,0.27642094944393136,-0.0010489510489510487,-0.02512917722217557,12
YEU5ox3jteVINfdSTg5ymqYcS9o2,0.039285714285714285,0.734968415259167,-2.4781763942525814e-19,-1.0971354589302191e-17,7
Yco8O7tmHlbsUBfKW2ywcZByGO32,0.010714285714285711,0.4330127018922193,-0.010714285714285716,-0.43301270189221946,7
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,0.0033333333333333327,0.18257418583505536,0.0033333333333333335,0.15191090506254998,9
aM2995jJmJWvr6cneaGH58HauIg2,0.01166666666666666,0.36228441865473576,0.0,0.0,9
afdTz6deeYWf1qKNdUpKAYKN3hz1,0.023901098901098903,0.39107542479212193,0.025274725274725275,0.4525490243440658,13
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,0.016783216783216783,0.3025637433955795,0.0073426573426573424,0.175904240555229,12
azdL1gX79EVd9iepyCAVQrqIaQF3,0.006666666666666665,0.14907119849998596,0.005,0.1751622624363427,9
bXpFswkI7TfIfL6G4FqWrbaxTGx2,0.010000000000000004,0.16514456476895414,0.008333333333333333,0.2088172673961392,9
biQ16yPcCKSkJQhSxUKcDc8gm8I2,-0.014560439560439562,-0.381166752896966,0.014560439560439562,0.4527104357694926,13
btpcu1rB1JeSTo2upeHGPdv8kYG3,0.010714285714285711,0.30618621784789724,9.912705577010326e-19,2.6226553776572343e-17,7
c0hRe9PCPPZs3HWFqhIQargNlp52,0.005000000000000002,0.1107823418813995,0.0033333333333333327,0.08660254037844384,9
cC0BEsQjfrcuCyoaOas9zJT0MNs2,0.02132867132867133,0.29467452881832445,-0.02342657342657343,-0.3194232769777695,12
