participant_id,trial_block,pe_rate,n_trials,ucla_total,gender_male,z_ucla
DzB19GqCB7fyrlEPexogWkjFzEx2,Early,7.6923076923076925,26,25.0,0.0,-1.357316299132237
DzB19GqCB7fyrlEPexogWkjFzEx2,Mid,11.538461538461538,26,25.0,0.0,-1.357316299132237
DzB19GqCB7fyrlEPexogWkjFzEx2,Late,11.11111111111111,27,25.0,0.0,-1.357316299132237
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,Early,6.896551724137931,29,49.0,0.0,0.5907256982934321
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,Mid,10.344827586206897,29,49.0,0.0,0.5907256982934321
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,Late,3.3333333333333335,30,49.0,0.0,0.5907256982934321
xBGZhFOeypWnqzSQClkrwV9z2vF3,Early,11.538461538461538,26,43.0,1.0,0.10371519893701485
xBGZhFOeypWnqzSQClkrwV9z2vF3,Mid,11.538461538461538,26,43.0,1.0,0.10371519893701485
xBGZhFOeypWnqzSQClkrwV9z2vF3,Late,7.6923076923076925,26,43.0,1.0,0.10371519893701485
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,Early,4.3478260869565215,23,65.0,0.0,1.8894203632438782
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,Mid,8.695652173913043,23,65.0,0.0,1.8894203632438782
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,Late,8.695652173913043,23,65.0,0.0,1.8894203632438782
y1EHXv8tUTa4BRS4fRio7bULYfA2,Early,9.090909090909092,33,35.0,0.0,-0.5456321335382082
y1EHXv8tUTa4BRS4fRio7bULYfA2,Mid,26.47058823529412,34,35.0,0.0,-0.5456321335382082
y1EHXv8tUTa4BRS4fRio7bULYfA2,Late,11.76470588235294,34,35.0,0.0,-0.5456321335382082
HyQM2xKwwuVfqidmRYF6TiRk90C2,Early,11.11111111111111,27,21.0,1.0,-1.6819899653698485
HyQM2xKwwuVfqidmRYF6TiRk90C2,Mid,10.714285714285714,28,21.0,1.0,-1.6819899653698485
HyQM2xKwwuVfqidmRYF6TiRk90C2,Late,3.571428571428571,28,21.0,1.0,-1.6819899653698485
roaf78tUWxWSEjAUcUu8O7mrQbl1,Early,11.538461538461538,26,58.0,0.0,1.321241447328058
roaf78tUWxWSEjAUcUu8O7mrQbl1,Mid,15.384615384615385,26,58.0,0.0,1.321241447328058
roaf78tUWxWSEjAUcUu8O7mrQbl1,Late,7.6923076923076925,26,58.0,0.0,1.321241447328058
Rc706mP0TSeIoIpMYH1SpRXjOxA2,Early,5.0,20,46.0,0.0,0.3472204486152235
Rc706mP0TSeIoIpMYH1SpRXjOxA2,Mid,0.0,20,46.0,0.0,0.3472204486152235
Rc706mP0TSeIoIpMYH1SpRXjOxA2,Late,0.0,21,46.0,0.0,0.3472204486152235
i1tBstVkNiVP0qro7TgGD08IGGa2,Early,7.6923076923076925,26,26.0,0.0,-1.276147882572834
i1tBstVkNiVP0qro7TgGD08IGGa2,Mid,14.814814814814813,27,26.0,0.0,-1.276147882572834
i1tBstVkNiVP0qro7TgGD08IGGa2,Late,7.4074074074074066,27,26.0,0.0,-1.276147882572834
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,Early,4.166666666666666,24,60.0,0.0,1.4835782804468638
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,Mid,4.166666666666666,24,60.0,0.0,1.4835782804468638
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,Late,8.333333333333332,24,60.0,0.0,1.4835782804468638
iWsc4pghIEWOQUZKuQJMfe516UI3,Early,3.8461538461538463,26,27.0,1.0,-1.1949794660134312
iWsc4pghIEWOQUZKuQJMfe516UI3,Mid,7.4074074074074066,27,27.0,1.0,-1.1949794660134312
iWsc4pghIEWOQUZKuQJMfe516UI3,Late,11.11111111111111,27,27.0,1.0,-1.1949794660134312
lHDkoPQu5reNCO45npeYSS9eLQl1,Early,11.11111111111111,36,36.0,0.0,-0.4644637169788053
lHDkoPQu5reNCO45npeYSS9eLQl1,Mid,8.333333333333332,36,36.0,0.0,-0.4644637169788053
lHDkoPQu5reNCO45npeYSS9eLQl1,Late,24.324324324324326,37,36.0,0.0,-0.4644637169788053
WcTsIpSoEhYeIBSNjAbbdaNSBya2,Early,16.129032258064516,31,30.0,0.0,-0.9514742163352226
WcTsIpSoEhYeIBSNjAbbdaNSBya2,Mid,12.903225806451612,31,30.0,0.0,-0.9514742163352226
WcTsIpSoEhYeIBSNjAbbdaNSBya2,Late,12.5,32,30.0,0.0,-0.9514742163352226
mg2WZiRBn4NQDKiMK43Y8dBqyG53,Early,4.761904761904762,42,54.0,0.0,0.9965677810904465
mg2WZiRBn4NQDKiMK43Y8dBqyG53,Mid,11.904761904761903,42,54.0,0.0,0.9965677810904465
mg2WZiRBn4NQDKiMK43Y8dBqyG53,Late,11.904761904761903,42,54.0,0.0,0.9965677810904465
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,Early,6.451612903225806,31,25.0,0.0,-1.357316299132237
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,Mid,16.129032258064516,31,25.0,0.0,-1.357316299132237
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,Late,9.375,32,25.0,0.0,-1.357316299132237
CtJe4bZZnYUBNrcPk00d3YQFSGp2,Early,15.384615384615385,26,45.0,0.0,0.2660520320558206
CtJe4bZZnYUBNrcPk00d3YQFSGp2,Mid,18.51851851851852,27,45.0,0.0,0.2660520320558206
CtJe4bZZnYUBNrcPk00d3YQFSGp2,Late,7.4074074074074066,27,45.0,0.0,0.2660520320558206
CDEoAyvS8feXLKMKsaZah9agEhF3,Early,9.090909090909092,22,33.0,0.0,-0.7079689666570139
CDEoAyvS8feXLKMKsaZah9agEhF3,Mid,8.695652173913043,23,33.0,0.0,-0.7079689666570139
CDEoAyvS8feXLKMKsaZah9agEhF3,Late,8.695652173913043,23,33.0,0.0,-0.7079689666570139
GDZGRW51kbWtAdUIHCtEd8sAtqY2,Early,7.4074074074074066,27,26.0,0.0,-1.276147882572834
GDZGRW51kbWtAdUIHCtEd8sAtqY2,Mid,10.714285714285714,28,26.0,0.0,-1.276147882572834
GDZGRW51kbWtAdUIHCtEd8sAtqY2,Late,17.857142857142858,28,26.0,0.0,-1.276147882572834
QreA2rLiUhV3YHeMfuHMPdGbpJ53,Early,9.67741935483871,31,44.0,0.0,0.1848836154964177
QreA2rLiUhV3YHeMfuHMPdGbpJ53,Mid,18.75,32,44.0,0.0,0.1848836154964177
QreA2rLiUhV3YHeMfuHMPdGbpJ53,Late,6.25,32,44.0,0.0,0.1848836154964177
AyAnuCaltBbpEYbudoyNzTvXlcC2,Early,5.405405405405405,37,62.0,0.0,1.6459151135656696
AyAnuCaltBbpEYbudoyNzTvXlcC2,Mid,21.62162162162162,37,62.0,0.0,1.6459151135656696
AyAnuCaltBbpEYbudoyNzTvXlcC2,Late,7.894736842105263,38,62.0,0.0,1.6459151135656696
azdL1gX79EVd9iepyCAVQrqIaQF3,Early,3.7037037037037033,27,32.0,0.0,-0.7891373832164168
azdL1gX79EVd9iepyCAVQrqIaQF3,Mid,11.11111111111111,27,32.0,0.0,-0.7891373832164168
azdL1gX79EVd9iepyCAVQrqIaQF3,Late,14.814814814814813,27,32.0,0.0,-0.7891373832164168
jzdk8E3tVXTXIozlfK5oeEb7wWp2,Early,7.6923076923076925,26,37.0,1.0,-0.3832953004194024
jzdk8E3tVXTXIozlfK5oeEb7wWp2,Mid,7.6923076923076925,26,37.0,1.0,-0.3832953004194024
jzdk8E3tVXTXIozlfK5oeEb7wWp2,Late,15.384615384615385,26,37.0,1.0,-0.3832953004194024
