participant_id,autocorr_lag1,n_trials,ucla_total,gender_male,pe_rate,z_ucla
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,0.11081560283687922,119,54.0,0.0,10.92436974789916,0.9965677810904465
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,0.35456110154905357,126,54.0,1.0,15.873015873015872,0.9965677810904465
wdppvL4tIkVlGjou6aYzzjlaZXB2,0.3993879259063455,128,44.0,1.0,23.4375,0.1848836154964177
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,0.24744456663932277,64,41.0,0.0,3.125,-0.0586216341817909
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.20506912442396288,70,43.0,0.0,10.0,0.10371519893701485
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,0.3507246376811598,85,29.0,0.0,16.470588235294116,-1.0326426328946254
DPvStUYSmohmXwFwaKRqHv89R3k1,-0.05084745762711869,63,52.0,1.0,4.761904761904762,0.8342309479716408
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.32352941176470573,93,39.0,0.0,7.526881720430108,-0.22095846730059665
62fAfeQc27bZelkPX7G54T3gvci2,-0.1216839366294211,70,49.0,0.0,8.571428571428571,0.5907256982934321
q0Atnpm0jZS5swcVmq0EMalQUKw1,0.3310486365432342,71,24.0,0.0,7.042253521126761,-1.4384847156916398
kR2rCtaPyPaj7YMizKUDn5xL2qx1,0.2485115978027705,84,53.0,1.0,11.904761904761903,0.9153993645310436
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,0.27597065063085036,73,59.0,0.0,10.95890410958904,1.402409863887461
mwsliuPsLFhRFjtjQwYkqcCRDvi2,0.2108254783876648,72,49.0,1.0,9.722222222222223,0.5907256982934321
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0.32566595332605863,68,33.0,1.0,5.88235294117647,-0.7079689666570139
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,-0.12903225806451601,71,34.0,1.0,8.450704225352112,-0.626800550097611
ssPK6ISW0HerTGke9hznqJ2LpKu1,0.17725752508361178,83,41.0,1.0,9.63855421686747,-0.0586216341817909
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,0.010174461594455937,79,40.0,1.0,8.860759493670885,-0.13979005074119377
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.01742931799293756,87,54.0,1.0,8.045977011494253,0.9965677810904465
h5RYP03wJuVN0xo7qAR8CKFxLaj1,0.3478188180374861,126,29.0,0.0,7.936507936507936,-1.0326426328946254
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.3783845114492824,91,30.0,1.0,12.087912087912088,-0.9514742163352226
v8nNKiWvPdcjiHXZci39OuFTY6M2,0.3766334702134548,76,31.0,0.0,11.842105263157894,-0.8703057997758197
LSLmd8jENtONZFVkIpRDX665Bu73,0.2023557711359802,82,20.0,0.0,10.975609756097562,-1.7631583819292513
mUZzgdWKnPb2txOkJg9FHgqX5792,0.2671604938271614,107,33.0,0.0,14.95327102803738,-0.7079689666570139
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0.30656491782011563,98,22.0,1.0,6.122448979591836,-1.6008215488104456
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.1852459016393444,72,32.0,0.0,8.333333333333332,-0.7891373832164168
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-0.1170411471961306,82,50.0,0.0,8.536585365853659,0.671894114852835
fEq0OghbLpfD1jigl1Mbz96aMbg2,0.30952380952380976,88,31.0,0.0,21.59090909090909,-0.8703057997758197
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.21414512583907847,74,49.0,1.0,8.108108108108109,0.5907256982934321
cEIs6U87xfbSL5eFTXDK77MmvNf1,0.2776057562338113,103,62.0,1.0,10.679611650485436,1.6459151135656696
AsXBOflrszVNKoFqbN61bMJqS0k2,0.25714285714285673,105,42.0,0.0,18.09523809523809,0.022546782377611974
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.24851159780277035,84,49.0,1.0,11.904761904761903,0.5907256982934321
DzB19GqCB7fyrlEPexogWkjFzEx2,0.3813850356982364,79,25.0,0.0,10.126582278481012,-1.357316299132237
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,-0.08750000000000006,88,49.0,0.0,6.8181818181818175,0.5907256982934321
xBGZhFOeypWnqzSQClkrwV9z2vF3,0.21428571428571386,78,43.0,1.0,10.256410256410255,0.10371519893701485
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,0.08602150537634386,69,65.0,0.0,7.246376811594203,1.8894203632438782
y1EHXv8tUTa4BRS4fRio7bULYfA2,0.30490100852774854,101,35.0,0.0,15.84158415841584,-0.5456321335382082
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.08888888888888927,83,21.0,1.0,8.433734939759036,-1.6819899653698485
roaf78tUWxWSEjAUcUu8O7mrQbl1,0.21025641025641076,78,58.0,0.0,11.538461538461538,1.321241447328058
Rc706mP0TSeIoIpMYH1SpRXjOxA2,-0.016949152542372843,61,46.0,0.0,1.639344262295082,0.3472204486152235
i1tBstVkNiVP0qro7TgGD08IGGa2,0.15508021390374374,80,26.0,0.0,10.0,-1.276147882572834
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,0.15476190476190446,72,60.0,0.0,5.555555555555555,1.4835782804468638
iWsc4pghIEWOQUZKuQJMfe516UI3,0.04946524064171114,80,27.0,1.0,7.5,-1.1949794660134312
lHDkoPQu5reNCO45npeYSS9eLQl1,0.2547896295548826,109,36.0,0.0,14.678899082568808,-0.4644637169788053
WcTsIpSoEhYeIBSNjAbbdaNSBya2,0.2993150684931511,94,30.0,0.0,13.829787234042554,-0.9514742163352226
mg2WZiRBn4NQDKiMK43Y8dBqyG53,0.3699596774193527,126,54.0,0.0,9.523809523809524,0.9965677810904465
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.29931506849315137,94,25.0,0.0,10.638297872340424,-1.357316299132237
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.3730158730158729,80,45.0,0.0,13.750000000000002,0.2660520320558206
CDEoAyvS8feXLKMKsaZah9agEhF3,-0.098360655737705,68,33.0,0.0,8.823529411764707,-0.7079689666570139
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.5282492403492998,83,26.0,0.0,12.048192771084338,-1.276147882572834
QreA2rLiUhV3YHeMfuHMPdGbpJ53,0.4076302788614175,95,44.0,0.0,11.578947368421051,0.1848836154964177
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.16010690419962462,112,62.0,0.0,11.607142857142858,1.6459151135656696
azdL1gX79EVd9iepyCAVQrqIaQF3,0.13723275692966863,81,32.0,0.0,9.876543209876544,-0.7891373832164168
jzdk8E3tVXTXIozlfK5oeEb7wWp2,0.16304347826086946,78,37.0,1.0,10.256410256410255,-0.3832953004194024
