participant_id,prp_bottleneck,prp_bottleneck_predicted,prp_bottleneck_deviation,prp_bottleneck_deviation_z
PLreonkqaMeFc0UqxKUelH44UQu1,545.5812252951941,591.7323458258734,-46.151120530679236,-0.29233264388207064
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,525.3494444411662,585.4407924181037,-60.09134797693753,-0.38063350199391405
foaW7wtvY3XLNdguFUK7OvOefP93,462.165124884393,555.3333347083069,-93.16820982391391,-0.5901505486844874
EmfmKFDgWJdW47a6CNTNjnbYaPh2,808.5013888772992,585.4407924181922,223.06059645910693,1.412921141653647
6ABZuv4jbjgE0B8TeyUk6nwVb122,726.2240248026577,625.6303990155801,100.5936257870776,0.6371849750532423
WeHQDy9BWldTlaQDVVlsJNCqwxA2,758.6156126482214,595.7661031504839,162.84950949773747,1.0315291832345748
0d841i8KPjdjwCYfDuUUXj0SEjH2,515.5922925839783,591.9612465170902,-76.36895393311192,-0.4837398953062016
0oa5NYVnIBS9NmrmRAZrahXDctP2,339.8889534888544,482.2803782996822,-142.3914248108278,-0.9019426007958669
5OOi73igsahMZ5IVKQwwyhnj4Cn2,334.59791666669,596.476194431179,-261.878277764489,-1.658801962636759
O61Eik2zvrSQLMNpFbTNEgjWwMr2,878.2245454544202,568.5316357202861,309.6929097341341,1.9616717005587823
Ub7nV8F55kPruh35ZpUcKoBUyn63,807.8434782565937,595.4302110606943,212.41326719589938,1.3454783173406963
Co587hoelyeANqFX7AYvuVQW0lZ2,459.2084219808697,595.7661030629905,-136.55768108212084,-0.8649902211280821
cec6NLR2ZLVVw6h0TEKSNIH11v02,662.677083333343,591.9612465170902,70.71583681625282,0.44793164939702934
M4Km1Q2P2oPliChDQkwl6k20FUI3,518.0738225786582,595.7661020555864,-77.6922794769282,-0.4921221675130775
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,441.4771980671203,589.8431564235395,-148.36595835641924,-0.9397867780826098
Ru3Qf6pXZua1DfNkQdhbor6iJ403,443.3876773050188,591.9612465170902,-148.5735692120714,-0.9411018367341342
6WFCyGwk71XLPBmbe4Vav3eotVm1,371.66589361458006,590.4567400518779,-218.79084643729783,-1.3858754860284224
ASGvwW80q7VY7xFaLGZhVuErUQu2,702.3000000544957,591.9612465170902,110.33875353740552,0.6989130312188154
SpSfX0ZcfcPLdlOENlfdfvEPwru2,800.8478260869508,585.4407924200808,215.40703366687,1.3644415766843685
aM2995jJmJWvr6cneaGH58HauIg2,624.8793478336024,664.8577045821049,-39.978356748502506,-0.2532328271115621
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,658.7000000079472,585.4407924181037,73.25920758984353,0.4640419906859674
m69r9GQTk2b51mvxrFLt4fZeJi52,590.5944444444254,616.4800043338246,-25.885559889399133,-0.16396555649836042
wkhxvE50megJGMA1EiROSZIJWNq1,848.8006340594882,587.3170289202862,261.4836051392019,1.6563020083411455
d9rwc0NXArcNlJvFsgKhQqkGxJq2,443.9900197649426,533.0818414377821,-89.09182167283956,-0.5643296951062747
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,874.2774456588254,564.9990133383269,309.2784323204985,1.9590462978217684
WqoZv41KTtTCuPKBPyClregrKAi1,717.1684981685042,587.4085146305249,129.75998353797934,0.8219319189126777
Yco8O7tmHlbsUBfKW2ywcZByGO32,496.8347826114168,587.3422255369071,-90.5074429254903,-0.5732965912241694
xHctBv4C2EU8rHYRouw0btT3GT02,404.48005319149934,596.476194431179,-191.99614123967967,-1.2161511776607985
SOhR7IO689NQCPQu56SjATO8FR92,682.5476190477077,599.9245106993914,82.62310834831635,0.5233552605328826
idP8RVfm74N86O0dszLXANIpjXv2,535.3219696980987,595.4302087536126,-60.10823905551399,-0.38074049427495726
mweMgSlGM2VxThhwnupYxYzUbR23,549.4561111111271,587.3194927936659,-37.863381682538716,-0.23983605048580608
9Xz1RIwnPXgyRqmucudW9VeuDnq1,553.2010869565515,591.9612465170902,-38.76015956053868,-0.2455164639846812
ohl9pXqpeSMfepC3w9h0tW5SbJw1,661.4204710145035,561.6384127421628,99.78205827234069,0.6320443051292234
9l7DjYLs0XdgwykPZR5E01KTZfu2,658.2207087472427,590.4567400518778,67.76396869536495,0.4292337845944464
23AEyocWhqY955WHbxhHRSgQ1ms2,401.40833333383006,591.9612465170902,-190.55291318326016,-1.2070094132007692
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,514.7398452547234,595.7661030629905,-81.02625780826713,-0.5132404131599616
rFV2EUbp64f5ORSh7DqwmCQmeqT2,789.0208333307369,596.476194431179,192.54463889955787,1.21962549787733
bXpFswkI7TfIfL6G4FqWrbaxTGx2,321.81408268733924,585.4407924182627,-263.6267097309235,-1.6698769643597604
XehZHBpwr5MYzUXkj0FAYCsFG922,649.0966183574088,588.9398396950768,60.156778662332044,0.381047956183378
DAKDKPH698P12JfTbbjemLI6PIH2,631.5083333291113,596.476194431179,35.03213889793233,0.22190225648083003
3WijiOiVCoMbn80F05SPYsxl0TC2,512.8404255414264,591.9612465170902,-79.12082097566383,-0.5011709036741645
Df83JuPuJkXqTGbENhM2gw5SJM43,728.1185714285555,521.3560253711539,206.76254605740155,1.309685248152717
qnR5PLX1v3fPi6SwTJMwGcadwyD3,630.0392857197817,561.0040098164649,69.0352759033168,0.43728655976032443
DaRehVxIOhXtEtUExdgvUl0mKcx2,633.0916076919668,603.7252491611863,29.36635853078053,0.18601379840355362
