t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
blue,O,1,True,B,2,B,True,O,,1465244.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1634.9000000059605,1464913.0,1463451.8999999762,prp,,False,150.0,False,False,173.7999999821186,T1→T2,1463278.099999994,2.0,1792.100000023842,short
blue,O,3,True,B,9,B,True,O,,1481814.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1728.0999999940395,1481530.599999994,1481015.5,prp,,False,1200.0,False,False,1213.0,T1→T2,1479802.5,9.0,798.7999999821186,long
blue,O,1,True,B,10,B,True,O,,1483886.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,761.5999999940395,1483607.799999982,1482917.0,prp,,False,50.0,False,False,70.80000001192093,T1→T2,1482846.199999988,10.0,969.2999999821186,short
blue,O,9,True,B,11,B,True,O,,1485834.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,659.4000000059605,1485571.799999982,1484984.099999994,prp,,False,50.0,False,False,71.7000000178814,T1→T2,1484912.3999999762,11.0,850.0999999940395,short
blue,O,3,True,B,12,B,True,O,,1487799.8999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,690.2999999821186,1487550.3999999762,1487035.3999999762,prp,,False,150.0,False,False,175.2999999821186,T1→T2,1486860.099999994,12.0,764.5,short
blue,E,4,True,B,13,B,True,E,,1489714.8999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,663.5,1489485.3999999762,1488899.599999994,prp,,False,50.0,False,False,77.7000000178814,T1→T2,1488821.8999999762,13.0,815.2999999821186,short
red,O,5,True,R,14,R,True,O,,1492858.5,GE4hogtdLdTFbNasENgtm6SO3hC3,1058.0,1491795.299999982,1491967.0,prp,,False,1200.0,False,False,1229.7000000178814,T1→T2,1490737.299999982,14.0,891.5,long
red,E,8,True,R,15,R,True,E,,1495357.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1141.0,1495036.199999988,1494068.799999982,prp,,False,150.0,False,False,173.59999999403954,T1→T2,1493895.199999988,15.0,1288.5,short
blue,O,7,True,B,17,B,True,O,,1500537.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1683.0,1500189.299999982,1499722.299999982,prp,,False,1200.0,False,False,1216.0,T1→T2,1498506.299999982,17.0,815.0,long
red,E,4,True,R,20,R,True,E,,1507230.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,716.7000000178814,1506966.099999994,1506315.199999988,prp,,False,50.0,False,False,65.80000001192093,T1→T2,1506249.3999999762,20.0,915.4000000059604,short
red,E,2,True,R,22,R,True,E,,1511354.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,641.4000000059605,1511173.299999982,1510716.799999982,prp,,False,150.0,False,False,184.9000000059605,T1→T2,1510531.8999999762,22.0,638.0,short
blue,O,9,True,B,24,B,True,O,,1515556.5,GE4hogtdLdTFbNasENgtm6SO3hC3,685.9000000059605,1515315.699999988,1514702.8999999762,prp,,False,50.0,False,False,73.09999999403954,T1→T2,1514629.799999982,24.0,853.6000000238419,short
blue,E,4,True,B,25,B,True,E,,1517470.0,GE4hogtdLdTFbNasENgtm6SO3hC3,764.3999999761581,1517358.8999999762,1516768.8999999762,prp,,False,150.0,False,False,174.39999997615814,T1→T2,1516594.5,25.0,701.1000000238419,short
red,E,4,True,R,26,R,True,E,,1519468.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,895.6999999880791,1519387.699999988,1518570.299999982,prp,,False,50.0,False,False,78.2999999821186,T1→T2,1518492.0,26.0,898.0999999940395,short
red,O,1,True,R,27,R,True,O,,1522236.699999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1620.2999999821186,1522120.8999999762,1521708.8999999762,prp,,False,1200.0,False,False,1208.2999999821186,T1→T2,1520500.599999994,27.0,527.8000000119209,long
blue,E,6,True,B,29,B,True,E,,1527152.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1727.199999988079,1527048.199999988,1526537.699999988,prp,,False,1200.0,False,False,1216.699999988079,T1→T2,1525321.0,29.0,615.0999999940395,long
blue,O,1,True,B,30,B,True,O,,1540036.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1649.300000011921,1539836.199999988,1539397.599999994,prp,,False,1200.0,False,False,1210.7000000178814,T1→T2,1538186.8999999762,30.0,638.7999999821186,long
red,O,1,True,R,31,R,True,O,,1542405.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1087.4000000059605,1542156.0,1541249.699999988,prp,,False,150.0,False,False,181.0999999940396,T1→T2,1541068.599999994,31.0,1155.699999988079,short
blue,O,1,True,B,33,B,True,O,,1546809.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1020.6999999880792,1546672.199999988,1545720.199999988,prp,,False,50.0,False,False,68.69999998807907,T1→T2,1545651.5,33.0,1088.800000011921,short
red,E,2,True,R,34,R,True,E,,1548890.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,924.7000000178814,1548768.599999994,1547920.099999994,prp,,False,50.0,False,False,76.2000000178814,T1→T2,1547843.8999999762,34.0,970.5,short
red,O,5,True,R,37,R,True,O,,1555537.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,779.5,1555405.5,1554803.3999999762,prp,,False,150.0,False,False,177.39999997615814,T1→T2,1554626.0,37.0,733.8000000119209,short
red,E,8,True,R,38,R,True,E,,1558209.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,742.2999999821186,1557312.799999982,1557783.699999988,prp,,False,1200.0,False,False,1213.199999988079,T1→T2,1556570.5,38.0,426.09999999403954,long
blue,E,2,True,B,39,B,True,E,,1560437.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,981.1999999880792,1560219.799999982,1559415.299999982,prp,,False,150.0,False,False,176.69999998807907,T1→T2,1559238.599999994,39.0,1022.5,short
red,E,2,True,R,40,R,True,E,,1562551.8999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,980.9000000059604,1562443.199999988,1561638.0,prp,,False,150.0,False,False,175.7000000178814,T1→T2,1561462.299999982,40.0,913.899999976158,short
