participantId,t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_rt,t2_correct,t1_correctResp,soa,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa_nominal_ms,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt_ms
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,60,B,1411.8999999761581,True,E,50.0,905.1999999284744,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,6,True,B,61,B,935.9000000953674,True,E,600.0,905.2000000476837,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,62,B,1276.2000000476837,True,E,150.0,876.0,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,2,True,R,63,R,800.7999999523163,True,E,1200.0,864.6000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,8,True,R,64,R,760.5,True,E,600.0,881.3999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,65,B,994.0,True,O,1200.0,859.6000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,7,True,R,66,R,1891.6999999284744,True,O,150.0,1370.6999999284744,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,67,B,844.2999999523163,True,E,1200.0,861.3000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,4,True,B,68,B,953.7999999523163,True,E,600.0,953.5,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,3,True,R,69,R,1893.8999999761581,True,O,50.0,1409.3999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,3,True,R,70,R,811.1999999284744,True,O,1200.0,892.6000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,9,True,R,71,R,1641.6999999284744,True,O,600.0,1722.6000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,8,True,B,72,B,688.7000000476837,True,E,1200.0,932.2000000476837,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,73,B,1568.8999999761581,True,O,50.0,1060.8999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,1,True,R,74,R,1657.5,True,O,50.0,1028.6999999284744,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,4,True,B,75,B,1443.5,True,E,50.0,895.0,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,6,True,R,76,R,1735.7000000476837,True,E,150.0,1358.2000000476837,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,5,True,B,77,B,672.0999999046326,True,O,1200.0,963.1000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,9,True,R,78,R,1008.1999999284744,True,O,1200.0,1024.4000000953674,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,79,B,1344.3999999761581,True,O,150.0,934.8000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,80,B,1361.3999999761581,True,E,150.0,1016.8000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,6,True,R,81,R,1872.2999999523163,True,E,50.0,1382.8999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,5,True,R,82,R,2073.100000023842,True,O,150.0,1168.3999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,1,True,R,83,R,978.0,True,O,600.0,1052.0999999046326,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,5,True,B,84,B,1978.8000000715256,True,O,50.0,1360.2000000476837,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,3,True,B,85,B,840.5,True,O,600.0,976.5,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,3,True,B,86,B,758.9000000953674,True,O,600.0,922.8000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,8,True,R,87,R,1217.2000000476837,True,E,1200.0,1128.8999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,6,True,B,88,R,2198.7999999523163,False,E,150.0,1253.6000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,3,True,R,89,R,1068.4000000953674,True,O,1200.0,1270.4000000953674,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,2,True,R,90,R,1709.0999999046326,True,E,150.0,1206.1999999284744,,,,,,,,,,,,,,,,
