outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla,p_ucla_ols,delta_r2_interaction,p_interaction,p_interaction_ols,ucla_beta,ucla_se,ucla_p,interaction_beta,interaction_se,interaction_p,interaction_term,female_ucla_beta,female_ucla_p,male_ucla_beta,male_ucla_p,vif_max,bp_p,shapiro_p,analysis_name,hypothesis,tier,p_ucla_fdr,p_interaction_fdr
WCST Mean RT,wcst_mean_rt,196,0.0876705168168701,0.09843878975377207,0.11385523173787593,0.11664985259826899,2800.8226025499216,2804.4954432585264,2803.114912487983,2804.4958136262667,0.010768272936901968,0.5198712261218468,0.015416441984103857,0.10413407906110364,0.07137129428149275,0.00279462086039306,0.43152583709589,0.44154933022826015,53.46106705013315,32.73797117445996,0.10246925285458602,35.06851026635519,44.48738396593942,0.4305330062495568,z_ucla:C(gender_male)[T.1],44.129220690144244,0.31402870866650023,52.30449284497585,0.2863387454434424,2.512861309834223,0.22805673382946948,4.3293654590940175e-05,wcst_mean_rt,H1_RT_MEAN,2,0.903351678352597,0.8891910208743157
WCST RT SD,wcst_sd_rt,196,0.0031133236982444634,0.00608146871486237,0.019835113429910733,0.022114819026520793,2567.7230114735585,2573.1385676996565,2572.407418693307,2573.95102331687,0.002968145016617907,0.9037083030438972,0.013753644715048363,0.17154549682118722,0.10508268248638772,0.00227970559661006,0.49221093380383474,0.5087658890247844,26.65371488065429,19.42033527863516,0.16991897688108237,16.718547840174104,24.29516480872702,0.4913627280355215,z_ucla:C(gender_male)[T.1],13.913491570573882,0.6092913780054877,43.92030347904812,0.11994030716663553,2.512861309834223,0.45808533281052477,0.03095936533406355,wcst_sd_rt,H1_RT_SD,2,0.903351678352597,0.8891910208743157
WCST Perseverative Error Count,pe_count,196,0.0003035656814804888,0.019171148434657614,0.01955592794957217,0.020761599677818432,1357.1256086808705,1359.3910862039907,1361.314180246658,1363.073006799547,0.018867582753177126,0.3043270307284967,0.0003847795149145572,0.7602154295361396,0.7856511468417162,0.0012056717282462603,0.5272103794433973,0.6309939671671956,-0.20292237606631974,0.6639269592429816,0.7598790592500726,0.5534123271839191,0.8736494804628928,0.5264405220099158,z_ucla:C(gender_male)[T.1],-0.4027925384327448,0.6566455621355669,0.23556350502067017,0.8334829320756574,2.512861309834223,0.9328277981975928,1.7474551959204172e-17,wcst_pe_count,H1_PE_COUNT,2,0.903351678352597,0.8891910208743157
WCST Perseverative Responses (%),perseverativeResponsesPercent,61,0.021017791115354623,0.14242134795345496,0.1475207484987031,0.18855285299117297,405.0945616332666,403.01812672386177,404.65432108354037,403.64521453143556,0.12140355683810033,0.06162265131810551,0.005099400545248156,0.6563543240058145,0.5721545222557385,0.041032104492469856,0.09705225038009183,0.1075387323254004,0.6155735772667673,1.3757986252997512,0.6545646199607758,2.782548016155058,1.6472361316294668,0.09117683595178257,z_ucla:C(gender_male)[T.1],-0.7209738803282986,0.6915934882737509,3.070752913677927,0.11439910286322234,3.1879466924786457,0.6324166645474798,0.1728595558092334,wcst_perseverative_responses_percent,H1_PERSEV_RESP,2,0.903351678352597,0.657540990486015
WCST Conceptual Level Responses (%),conceptualLevelResponsesPercent,61,0.03205948819456861,0.03879632042556469,0.039136550300144846,0.03928492122682503,513.2907211221498,518.8646789025595,520.8430833794374,522.8336633881008,0.0067368322309960815,0.9427918964530156,0.00034022987458015574,0.903351678352597,0.8905352818696277,0.0001483709266801858,0.9320699840202433,0.9282530606642427,0.3881730613242735,3.1817388648039175,0.9028987893184172,-0.40848295486656944,4.7693936502175545,0.9317472523005391,z_ucla:C(gender_male)[T.1],1.626502105981488,0.6436727789606873,-8.099357760964796,0.4137508716577516,3.1879466924786457,0.8583649416049166,3.490149059956215e-08,wcst_conceptual_level_responses_percent,H1_CONCEPTUAL,2,0.903351678352597,0.9838516497991457
Stroop Congruent RT,rt_mean_congruent,196,0.03407841960981728,0.05042426685792667,0.05084734246593425,0.05287011844229805,2581.7435213574076,2584.398318199817,2586.3109725626537,2587.8928236491156,0.01634584724810939,0.35447823267217254,0.0004230756080075837,0.7822139795034282,0.7719433861541349,0.0020227759763638,0.5621732372377406,0.5270807272200503,4.922016234524214,17.7799919171582,0.7819114618406564,16.581288065038066,28.556534263888285,0.5614778668037192,z_ucla:C(gender_male)[T.1],-4.606721259752156,0.8283662360151159,13.965182779694858,0.673850323216718,2.512861309834223,0.9621578300918351,3.573794378973122e-07,stroop_rt_congruent,H3_CONG_RT,2,0.903351678352597,0.8891910208743157
Stroop Incongruent RT,rt_mean_incongruent,196,0.04449927476868465,0.05521674697981982,0.056636048305568454,0.06023667964660928,2654.624158368641,2658.4132816253186,2660.1186190994877,2661.3690950356104,0.01071747221113517,0.5420996144823635,0.0014193013257486342,0.6162382598813783,0.594488978784188,0.0036006313410408275,0.40627301429416074,0.3971223718201593,10.916182889273678,21.744546573090513,0.6156539177653542,26.787559597837863,32.18342750697556,0.4052169613764359,z_ucla:C(gender_male)[T.1],-3.4938717029526707,0.8960067415102041,27.8767622365181,0.4819593974271973,2.512861309834223,0.9093025281522454,2.600037240824235e-05,stroop_rt_incongruent,H3_INCONG_RT,2,0.903351678352597,0.8891910208743157
Stroop Congruent Accuracy,accuracy_congruent,196,0.0013732878969485718,0.015006528560547516,0.02152167645242231,0.022941933659357705,-903.1911025419599,-899.8853252238541,-899.1860555696667,-897.4707554228048,0.013633240663598944,0.45423864825724425,0.006515147891874795,0.45720181896205736,0.26336848860721734,0.0014202572069353936,0.5671191057246754,0.6017568878462927,0.002616538148358445,0.0035121684387716084,0.4562764255265812,0.0018821696026377968,0.003282980412961466,0.5664339698560472,z_ucla:C(gender_male)[T.1],0.0027684644409764307,0.6032501895740745,0.0016907161224235696,0.6064019688996467,2.512861309834223,0.18423424584023085,3.386203825802895e-23,stroop_acc_congruent,H3_CONG_ACC,2,0.903351678352597,0.8891910208743157
Stroop Incongruent Accuracy,accuracy_incongruent,196,0.0003300758440235585,0.011594405506706873,0.011799372486164916,0.012935137885139003,-725.1245249080115,-721.345599730727,-719.3862487256259,-717.6116463178995,0.011264329662683314,0.5401227517535068,0.00020496697945804332,0.8579721271662181,0.8432631721665613,0.0011357653989740868,0.6083938563876897,0.6423950042934377,-0.0007305653444771142,0.0040768010837145515,0.8577801648492029,0.0026495477811856807,0.005162507907848577,0.6077912765262194,z_ucla:C(gender_male)[T.1],-8.257679197185702e-06,0.9988140379813896,-0.0020301722135858506,0.7122026465410434,2.512861309834223,0.8015065679146192,1.676701511769838e-14,stroop_acc_incongruent,H3_INCONG_ACC,2,0.903351678352597,0.8891910208743157
PRP T2 RT (Short SOA),t2_rt_mean_short,190,0.0949140501466752,0.10834040326785499,0.1140179840365656,0.11728777076747632,2638.2525828422363,2641.4129436045687,2642.1992636294694,2643.496756468245,0.01342635312117979,0.430558565132633,0.005677580768710611,0.32132308881634586,0.2802705254096981,0.0032697867309107176,0.49085540076200085,0.4126745135458727,26.74783387386222,26.897456065727937,0.3200100111834113,30.994006880583427,44.89627061459378,0.4899759817918391,z_ucla:C(gender_male)[T.1],23.612137274078318,0.5125063148853218,15.805723410077832,0.7032160458670531,2.508947549658572,0.720470928052857,0.14832291722472218,prp_rt_short,H4_RT_SHORT,2,0.903351678352597,0.8891910208743157
PRP T2 RT (Long SOA),t2_rt_mean_long,190,0.03383210428745509,0.0669483299752881,0.0674189624135717,0.06753662800145921,2520.0036775472386,2519.3770391184216,2521.281178700874,2523.257204513865,0.03311622568783301,0.09227265742491672,0.00047063243828360246,0.766165574239613,0.7615533403432098,0.00011766558788750547,0.9094042748432121,0.8797128609007738,5.460371124938167,18.333432435072275,0.7658277146308772,-4.168857228693461,36.58547264609624,0.9092786726686533,z_ucla:C(gender_male)[T.1],16.18200942184346,0.5159631415824318,-14.692296579438661,0.6403312624398154,2.508947549658572,0.5911776862198777,1.5829988360546702e-05,prp_rt_long,H4_RT_LONG,2,0.903351678352597,0.9838516497991457
PRP T2 RT SD (Short SOA),t2_rt_sd_short,190,0.021096742330530716,0.029037878655858274,0.029519391703002995,0.03222841807685506,2304.0471896890726,2308.4995708019937,2310.405323900515,2311.874211025948,0.007941136325327558,0.6816225284574778,0.00048151304714472154,0.7872366308241774,0.7635082769015533,0.0027090263738520637,0.5449637860080114,0.47628618499703324,3.1083454537197293,11.499755743412797,0.7869320423592174,-11.257525025302945,18.562625288102193,0.5442080741263761,z_ucla:C(gender_male)[T.1],8.366087523146117,0.6078755060046457,-5.456448197470916,0.7476251432871932,2.508947549658572,0.4217439698915577,0.1375465380979186,prp_sd_short,H4_SD_SHORT,2,0.903351678352597,0.8891910208743157
PRP T2 RT SD (Long SOA),t2_rt_sd_long,190,0.02822306390128304,0.03674607514992134,0.03744913842213271,0.037884620091711896,2346.6195174584436,2350.9457636778798,2352.807035153996,2354.7210550325094,0.008523011248638301,0.6536692116203848,0.0007030632722113683,0.7004957967104256,0.715082857880131,0.0004354816695791852,0.7880025461640432,0.7744260926049082,-4.21661665124972,10.944997203376735,0.7000483792986318,-5.067140056897264,18.81584505504184,0.7876974833228872,z_ucla:C(gender_male)[T.1],1.8115149305012959,0.9067683455636086,-14.232685200287111,0.4014552659775209,2.508947549658572,0.5832753167586991,2.2641094456362136e-06,prp_sd_long,H4_SD_LONG,2,0.903351678352597,0.9435397359117563
