split,discovery_beta,discovery_p,discovery_sig,validation_beta,validation_p,validation_sig,both_sig,beta_consistent
66,0.028207335265582056,0.8317481102915097,No,0.2104498521662117,0.1627232561590001,No,False,True
67,0.28101581492457056,0.10883039336942571,No,0.15785369565699647,0.13230455343338582,No,False,True
68,0.16761976539354612,0.27568947792563403,No,0.0770627874542597,0.5775644926592105,No,False,True
69,-0.044351119298124166,0.8061725108479434,No,0.26136666577675605,0.021985505888080528,Yes,False,False
70,0.1293714806219074,0.4406266136622159,No,0.21516752201905678,0.05280586379125394,No,False,True
71,0.17521162117799863,0.16004224359555858,No,0.15069932233867084,0.2673556640548558,No,False,True
72,0.22903357969989244,0.13601611441295794,No,0.1577418186720838,0.21204116292172065,No,False,True
73,0.22996800039790286,0.08500938172962971,No,0.1304770132254572,0.33682209854475176,No,False,True
74,0.28203270686566495,0.10476733180550064,No,0.1076769189230951,0.28408094793823,No,False,True
75,0.2292986362641833,0.135312871056864,No,0.08595751202358852,0.46291390331865556,No,False,True
76,0.16761329413392517,0.09981997080299088,No,0.26225372134683006,0.14138353329850967,No,False,True
77,0.16162367174347908,0.350425678999571,No,0.20397434265850375,0.04386521492944718,Yes,False,True
78,0.3253605863839603,0.02879359683110232,Yes,0.05776009382413044,0.6302603493162622,No,False,True
79,0.23101073912237585,0.139872388638992,No,0.12547579828334182,0.27576563747806015,No,False,True
80,0.19309973717846524,0.2505424117106994,No,0.08881169119717107,0.3853583814145357,No,False,True
81,0.2596795002203846,0.06848315627045337,No,0.07543092419331603,0.5604149167767856,No,False,True
82,0.22105808627074097,0.1413412956471262,No,0.15952957092194214,0.1612979854839282,No,False,True
83,0.2370511416510748,0.07494132425916351,No,0.1359601295603023,0.3820649639986363,No,False,True
84,0.14737927273661444,0.2736604456886611,No,0.2636641967087227,0.04902972683165039,Yes,False,True
85,0.18417632847812693,0.2181973975833926,No,0.15908119333328846,0.20041869531259263,No,False,True
86,0.16328455749333837,0.2911131960066111,No,0.21313035266643018,0.054139293085283376,No,False,True
87,0.2196301136162461,0.17459774901356098,No,0.12407971423550868,0.2252826279344165,No,False,True
88,0.20604858080257998,0.14166477190821397,No,0.12421896222415996,0.31849781512462944,No,False,True
89,0.2124926990458661,0.1746616442464376,No,0.14836193044393256,0.16885714876520894,No,False,True
90,0.1678965082819512,0.19781638935045678,No,0.15087537441543458,0.3342691839769536,No,False,True
91,0.2224137918992668,0.04657314640694465,Yes,0.10535041070592183,0.5516472887729003,No,False,True
92,0.0898915572559168,0.47014055751841466,No,0.2529268808604724,0.0844137427820673,No,False,True
93,0.10025959683133473,0.6003814803684,No,0.20117387282824034,0.05094942485043104,No,False,True
94,0.1618903369228654,0.3405094454456685,No,0.19252262387574082,0.05494694273646069,No,False,True
95,0.11679911857701122,0.5149924411956541,No,0.17865782646859862,0.07168862378460263,No,False,True
96,0.09134044449227093,0.3036655407426977,No,0.3073575519969771,0.24079112001215144,No,False,True
97,0.3070266041369775,0.0910502400441405,No,0.17398332066091235,0.03866087790913629,Yes,False,True
98,0.20553270989025768,0.06310067025492214,No,0.12871225231991895,0.44432035549568405,No,False,True
99,0.24706610182262356,0.05572733225310547,No,0.12862495400818208,0.3510860856008099,No,False,True
