participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_t2_trials,stroop_post_error_slowing,stroop_post_error_rt,stroop_post_correct_rt,stroop_incong_slope,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_trials,wcst_pes,wcst_post_switch_error_rate,wcst_cv_rt,wcst_trials
JvrZiMHtAfP6gvQtlevYWafKy0z2,0.41779963828969047,0.23664844223260195,0.14370616676141068,0.0,,,120.0,545.4886786622828,1802.599999427796,1257.1113207655133,-1.3165699780087854,0.2899831406366275,0.27047987600141865,0.3282638353786786,108,587.5626344347511,0.4,0.3179616360068975,75
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.45342854111973796,0.37074998871114523,0.26440265836172966,0.0,0.0,90.76761061944387,118.0,109.47830188670196,860.8999999999069,751.4216981132049,-3.0642549255273224,0.2776942124413659,0.2513377929600362,0.31171691468342044,108,794.8235023040615,0.27999999999999997,0.405053782622725,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.3735588516402001,0.23492986032324098,0.2930453289551859,0.0,0.0,22.22222222222615,120.0,,,731.6635514018745,-2.2614471452797003,0.23217729985191327,0.28747106297522573,0.20567833524309295,108,3200.4117647058724,0.44000000000000006,1.108878561508064,93
KtKj6zUKc5Oogd2itg2jdwkchnf2,0.39882048216658844,0.2813397268461163,0.299467009645484,0.008403361344537815,1.0000000000000036,404.5194915246092,119.0,603.8679245284073,1205.0,601.1320754715927,-2.1084191352334387,0.2980857821677545,0.3382338899587811,0.2638069464256551,108,1357.283870969068,0.07999999999999999,0.5136548253102068,66
LSLmd8jENtONZFVkIpRDX665Bu73,0.5785828551869587,0.5233390673105026,0.7276674783318741,0.0,0.0,984.9708695753761,117.0,,,969.4084112153989,2.6260910685790746,0.3141431137198364,0.2666153631106712,0.20530852102715702,108,1030.9493939168528,0.4,0.4972095516953693,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.36836279063890504,0.21174383876371888,0.19073534031991835,0.0,,,120.0,,,694.4299065398278,-1.5721262345784006,0.21023756536469862,0.2290406957678774,0.21008663716733225,108,1246.6633064597845,0.27999999999999997,0.6441357596766819,71
LliUMEIsrCVZ88YFQfevan2Og4z1,0.4492119372001463,0.35858235189428883,0.36992763932975603,0.0,0.0,112.14594594589028,120.0,639.3914285713984,1206.1999999999534,566.8085714285551,-2.496636831410707,0.35548368840298417,0.2995183541101434,0.25718267044052406,108,631.0076923076797,0.31999999999999995,0.5880199433737673,97
M4Km1Q2P2oPliChDQkwl6k20FUI3,0.4530818399587826,0.32279687906004634,0.3232811135456399,0.0,0.0,385.8440681150404,119.0,883.8886791220251,1614.0999999046326,730.2113207826075,-0.8718952407220526,0.23308339746168294,0.2415111133385351,0.18159460404317065,108,2993.803346673488,0.48,1.1514418664726422,102
MMSYeiMQi3gMr4PrXQcpXzFiegj2,0.41834195537623486,0.30469860558235895,0.3999212814995216,0.0,0.0,64.38421055517688,118.0,805.6169811149814,1882.5,1076.8830188850186,-0.3108944847090156,0.32030028574189057,0.308390498035698,0.22730994099575513,108,334.72332503403186,0.31999999999999995,0.542262017925987,110
O61Eik2zvrSQLMNpFbTNEgjWwMr2,0.39394317288846326,0.24197938740376482,0.2383129983743717,0.008403361344537815,0.14285714285714282,210.40982142925645,119.0,-214.28962264188897,604.5,818.789622641889,-0.347325127379041,0.3191456418008763,0.3133845995868467,0.3370362519135966,108,722.9227272727048,0.27999999999999997,0.35410072071223603,78
