participant_id,n_trials,changepoint_rt_trial,changepoint_pe_trial,rt_early,rt_late,rt_change_ms,rt_pct_change,pe_early,pe_late,pe_change,ucla_total,gender,gender_male,cp_rt_pct,cp_pe_pct
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,91,6.0,17,3580.2428571156092,1401.7823529187372,-2178.460504196872,-60.846724402152134,5.555555555555555,14.864864864864865,9.30930930930931,30.0,male,1,6.593406593406594,18.681318681318682
CtJe4bZZnYUBNrcPk00d3YQFSGp2,80,,13,,,,,7.142857142857142,16.417910447761194,9.275053304904052,45.0,female,0,,16.25
DPvStUYSmohmXwFwaKRqHv89R3k1,63,,30,,,,,6.451612903225806,3.0303030303030303,-3.4213098729227758,52.0,male,1,,47.61904761904761
DzB19GqCB7fyrlEPexogWkjFzEx2,79,5.0,16,3334.4333333571753,1628.9499999961338,-1705.4833333610416,-51.14762128544121,5.88235294117647,12.698412698412698,6.816059757236228,25.0,female,0,6.329113924050633,20.253164556962027
EUhcW9kURScie1DwGPHqmNqotJB2,128,,85,,,,,26.744186046511626,41.86046511627907,15.116279069767447,36.0,female,0,,66.40625
Fz7EUjZCLuUBxLDUVtN6djaBTy42,84,3.0,17,7055.425000041723,1748.5098765485081,-5306.915123493215,-75.21751168018697,5.555555555555555,14.925373134328357,9.369817578772802,49.0,male,1,3.571428571428571,20.238095238095237
GDZGRW51kbWtAdUIHCtEd8sAtqY2,83,5.0,20,6047.516666690509,1749.9846153656642,-4297.532051324844,-71.0627566352233,4.761904761904762,15.873015873015872,11.11111111111111,26.0,female,0,6.024096385542169,24.096385542168676
GE4hogtdLdTFbNasENgtm6SO3hC3,67,24.0,44,2159.2719999945166,1600.9720930256124,-558.2999069689042,-25.855932322112363,6.666666666666667,0.0,-6.666666666666667,56.0,female,0,35.82089552238806,65.67164179104478
HyQM2xKwwuVfqidmRYF6TiRk90C2,83,27.0,12,1587.6892857120506,1018.314285713381,-569.3749999986696,-35.86186573925987,0.0,9.859154929577464,9.859154929577464,21.0,male,1,32.53012048192771,14.457831325301203
K26uNuY0VNPjJNF26wEx3bFg0kr2,70,,45,,,,,6.521739130434782,16.0,9.478260869565219,43.0,female,0,,64.28571428571429
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,93,46.0,29,3464.744680851059,1548.1914893616972,-1916.5531914893618,-55.31585637700124,0.0,10.9375,10.9375,39.0,female,0,49.46236559139785,31.182795698924732
LSLmd8jENtONZFVkIpRDX665Bu73,82,51.0,37,1876.7269230622512,1393.7000000015382,-483.026923060713,-25.737730786776318,7.894736842105263,15.555555555555555,7.6608187134502925,20.0,female,0,62.19512195121951,45.1219512195122
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,71,,11,,,,,0.0,10.0,10.0,34.0,male,1,,15.492957746478872
LliUMEIsrCVZ88YFQfevan2Og4z1,97,39.0,34,1452.992499999999,952.6982758620409,-500.29422413795805,-34.43198943820828,22.857142857142858,7.936507936507936,-14.920634920634921,28.0,male,1,40.20618556701031,35.051546391752574
ORvIk1xRWIQmKuLVe6GXNouvAXx2,101,,23,,,,,12.5,17.94871794871795,5.448717948717949,54.0,female,0,,22.772277227722775
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,74,50.0,23,1016.4509803922299,1355.9916666660768,339.54068627384686,33.40453133734243,4.166666666666666,9.803921568627452,5.637254901960786,49.0,male,1,67.56756756756756,31.08108108108108
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,69,25.0,12,3494.865384587875,2170.2272727055984,-1324.6381118822765,-37.90240727794103,7.6923076923076925,10.526315789473683,2.8340080971659907,64.0,male,1,36.231884057971016,17.391304347826086
QreA2rLiUhV3YHeMfuHMPdGbpJ53,95,11.0,22,1973.4666666785877,1372.4738095374335,-600.9928571411542,-30.453661431872366,4.3478260869565215,13.698630136986301,9.35080405002978,44.0,female,0,11.578947368421053,23.157894736842106
Rc706mP0TSeIoIpMYH1SpRXjOxA2,61,,19,,,,,5.0,0.0,-5.0,46.0,female,0,,31.147540983606557
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,88,,26,,,,,3.7037037037037033,8.064516129032258,4.360812425328555,49.0,female,0,,29.545454545454547
WbOfW9KmUkPQK8o5hlHJnJFdpp92,98,43.0,26,1901.2568181814117,1383.2272727272727,-518.029545454139,-27.246689689699267,0.0,8.333333333333332,8.333333333333332,22.0,male,1,43.87755102040816,26.53061224489796
WcTsIpSoEhYeIBSNjAbbdaNSBya2,94,10.0,16,2661.509090912613,1655.9857142855014,-1005.5233766271115,-37.78019695894875,5.88235294117647,15.384615384615385,9.502262443438916,30.0,female,0,10.638297872340425,17.02127659574468
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,119,,41,,,,,2.380952380952381,15.384615384615385,13.003663003663004,54.0,female,0,,34.45378151260504
azdL1gX79EVd9iepyCAVQrqIaQF3,81,34.0,40,1631.4514285713833,1281.4744680851322,-349.9769604862511,-21.451877411558378,4.878048780487805,14.634146341463413,9.756097560975608,32.0,female,0,41.9753086419753,49.382716049382715
cEIs6U87xfbSL5eFTXDK77MmvNf1,103,52.0,46,1911.8358490512055,1240.9078431035957,-670.9280059476098,-35.093389753130424,8.51063829787234,14.035087719298245,5.524449421425905,62.0,male,1,50.48543689320388,44.66019417475729
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,119,53.0,30,1716.7240740741017,1172.2363636357088,-544.4877104383929,-31.71667006138171,3.225806451612903,10.112359550561797,6.886553098948894,40.0,male,1,44.537815126050425,25.210084033613445
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,73,,12,,,,,7.6923076923076925,11.475409836065573,3.7831021437578807,59.0,female,0,,16.43835616438356
fEq0OghbLpfD1jigl1Mbz96aMbg2,88,54.0,48,1599.7690909079531,1101.9617647055318,-497.80732620242134,-31.117448701292854,30.612244897959183,10.0,-20.612244897959183,31.0,female,0,61.36363636363637,54.54545454545454
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,72,42.0,13,2266.9534883721094,1608.93333333331,-658.0201550387994,-29.02662795747614,0.0,6.779661016949152,6.779661016949152,60.0,female,0,58.333333333333336,18.055555555555554
h5RYP03wJuVN0xo7qAR8CKFxLaj1,126,46.0,55,2190.2808510572354,1401.1224999971687,-789.1583510600667,-36.03000732436412,0.0,14.084507042253522,14.084507042253522,29.0,female,0,36.507936507936506,43.65079365079365
