outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
PRP T1 Cost (Short - Long),prp_t1_cost,209,0.1,-477.48803485476293,-45.51168953491146,91.71587396967986,-29.13542647491554,-12.576218710646582,-45.58217343007379,73.0884315856822,72.44717175660104
PRP T1 Cost (Short - Long),prp_t1_cost,209,0.3,-105.98719624806206,-15.868467025289261,-115.96866246464012,-79.96600111841161,56.91380682734197,-17.585831012867583,43.813203305913035,43.92944525396815
PRP T1 Cost (Short - Long),prp_t1_cost,209,0.5,21.09787075396929,28.916503968457242,-83.30671827775942,-45.31673987672992,21.15897041155594,-0.8014228301456837,51.47140609246054,-6.940285030616741
PRP T1 Cost (Short - Long),prp_t1_cost,209,0.7,95.46868701715299,12.398244928113145,-51.002018840587915,-34.53109950415322,12.987135273515202,3.1040790403113907,44.96571944943418,-24.86422607262318
PRP T1 Cost (Short - Long),prp_t1_cost,209,0.9,160.63095945410976,5.521953729445721,-21.482267399215683,-11.656271510097099,2.735015801391656,-13.28766080227277,45.882360670293686,-41.28856574487265
PRP RT1-RT2 Coupling,prp_rt1_rt2_coupling,209,0.1,0.49644439160792125,0.05205300402174023,-0.13214040687772088,-0.005874479222215348,-0.028146027923033078,0.03537227571190268,-0.013527661244312802,0.04997158917873487
PRP RT1-RT2 Coupling,prp_rt1_rt2_coupling,209,0.3,0.6178709829890124,-0.0027733350457756975,-0.07348231105583156,-0.007616784093607637,-0.01767898097465935,0.015122024766969567,0.02656737726940829,0.0012340436142941227
PRP RT1-RT2 Coupling,prp_rt1_rt2_coupling,209,0.5,0.6705898833341328,0.0009991932237233415,-0.022283771934265006,-0.012237682805790838,0.004872146077526475,-0.003528187127406747,0.016312349142613116,-0.0017652737320364414
PRP RT1-RT2 Coupling,prp_rt1_rt2_coupling,209,0.7,0.7206994066709826,0.005151705041944451,-0.025479983313327712,-0.01493058556477212,0.004221802295346008,0.006009761572923858,0.019592191527128034,-0.01188359351054359
PRP RT1-RT2 Coupling,prp_rt1_rt2_coupling,209,0.9,0.7749423647755413,0.009688313178880574,0.013566449561892362,-0.011555365382604543,0.007176492548348781,-0.009057845144241813,0.012531255336368632,0.003585739947274568
PRP T2 RT (T1 Error),prp_t2_rt_t1_error,150,0.1,807.1648864567082,-148.02909697091573,112.69919251881308,-10.653773870662453,-153.7169686203414,174.66124000045974,58.87427367273512,47.178736384905974
PRP T2 RT (T1 Error),prp_t2_rt_t1_error,150,0.3,1416.5956407203591,79.58931632861503,-306.0580212912503,25.55751745879429,-119.08430672936223,111.08236347030206,-55.81550895110742,97.86375401703847
PRP T2 RT (T1 Error),prp_t2_rt_t1_error,150,0.5,1668.1377213986916,-4.343037469262058,-250.15896573706857,-62.90620173880282,-74.20673482798712,196.20254228531934,-128.50764239069574,268.397922941084
PRP T2 RT (T1 Error),prp_t2_rt_t1_error,150,0.7,1836.2917615799824,-87.13197698289314,-81.93703952340229,-107.58394276486065,-110.3530301794742,197.5808375496918,-114.73161094481118,241.93043652872078
PRP T2 RT (T1 Error),prp_t2_rt_t1_error,150,0.9,2308.488503104154,-48.38214767581034,-335.69827110723753,28.260887052468874,-135.81261852807776,104.55939506944246,-41.63217579538529,89.26134434282037
PRP T2 RT (T1 Correct),prp_t2_rt_t1_correct,210,0.1,837.8344402208882,15.857043922328346,-159.66369746896882,11.678591265256022,-14.074799615659263,-24.8656145477649,3.4188710571913044,35.359072262535335
PRP T2 RT (T1 Correct),prp_t2_rt_t1_correct,210,0.3,958.9835373717298,30.970504397339752,-142.98945448381113,-51.84466259795758,-9.307775965607675,25.34635657509347,18.544960316539328,50.953556245290464
PRP T2 RT (T1 Correct),prp_t2_rt_t1_correct,210,0.5,1071.4029517352535,16.208861311961723,-168.89686915712912,-30.076454733600777,-57.36776546624825,62.641188587245004,22.719059613238116,-6.811736602630888
PRP T2 RT (T1 Correct),prp_t2_rt_t1_correct,210,0.7,1204.4950929045176,1.1286293180821634,-182.92592123920323,-30.003323148258502,-98.674520200894,87.15485214570883,30.88699816857645,-59.379046576009166
PRP T2 RT (T1 Correct),prp_t2_rt_t1_correct,210,0.9,1391.553590250139,16.305369528056946,-125.87551789015572,-1.9197850956601543,-133.77540493207192,114.78338021988625,-21.20965898064063,67.09298666524538
PRP T2 Interference (T1 Error - Correct),prp_t2_interference_t1_error,150,0.1,13.104311136848912,-134.95383766039947,-58.10871073468536,11.19743666505982,-94.68224749996517,6.013989154090894,26.783359726322715,76.22976815008104
PRP T2 Interference (T1 Error - Correct),prp_t2_interference_t1_error,150,0.3,247.52695875380022,-114.23300458425328,-57.04492150276254,17.1149538028265,-51.31875930366051,75.99754808503394,-16.60054537181277,22.827817463383376
PRP T2 Interference (T1 Error - Correct),prp_t2_interference_t1_error,150,0.5,526.1642449848623,-97.51776430178863,53.03769326730431,47.46291568391119,-115.4744355609681,159.08351871939914,-131.9907261872559,267.2343312553733
PRP T2 Interference (T1 Error - Correct),prp_t2_interference_t1_error,150,0.7,701.1630056024586,-85.25579948741151,20.734678400202643,31.629209568355947,-37.63132116548077,99.93916658931414,-172.02639319310757,322.7139764520719
PRP T2 Interference (T1 Error - Correct),prp_t2_interference_t1_error,150,0.9,1189.2916831589096,-32.14164193306844,-101.6054870681103,-139.10887047357141,-114.09353750497603,142.3837696020744,96.92657146321972,114.28111122231839
PRP Order Violation Rate,prp_order_violation_rate,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Order Violation Rate,prp_order_violation_rate,210,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Order Violation Rate,prp_order_violation_rate,210,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Order Violation Rate,prp_order_violation_rate,210,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP Order Violation Rate,prp_order_violation_rate,210,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1-only Rate,prp_t1_only_rate,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1-only Rate,prp_t1_only_rate,210,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1-only Rate,prp_t1_only_rate,210,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1-only Rate,prp_t1_only_rate,210,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1-only Rate,prp_t1_only_rate,210,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2-only Rate,prp_t2_only_rate,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2-only Rate,prp_t2_only_rate,210,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2-only Rate,prp_t2_only_rate,210,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2-only Rate,prp_t2_only_rate,210,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2-only Rate,prp_t2_only_rate,210,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 While T1 Pending Rate,prp_t2_while_t1_pending_rate,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 While T1 Pending Rate,prp_t2_while_t1_pending_rate,210,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 While T1 Pending Rate,prp_t2_while_t1_pending_rate,210,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 While T1 Pending Rate,prp_t2_while_t1_pending_rate,210,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 While T1 Pending Rate,prp_t2_while_t1_pending_rate,210,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP IRI Mean,prp_iri_mean,210,0.1,201.38291838170207,2.7257592128892814,40.8790718889501,-92.82079178816849,51.65432663062603,-20.713885883117147,26.581218964795163,0.5800224299024165
PRP IRI Mean,prp_iri_mean,210,0.3,391.21869031961575,-8.215236587652493,-61.90090054305217,-32.63751457761234,-9.549274229090082,15.321108640385344,11.376753425555313,16.22675174277215
PRP IRI Mean,prp_iri_mean,210,0.5,494.35523573451997,-7.298988457943535,-75.02268020609108,-33.90626234593437,-3.038636222701666,23.946713071871482,31.53527288765665,8.30208554630222
PRP IRI Mean,prp_iri_mean,210,0.7,568.2003832076364,-4.221327218500524,-79.85764139034204,-39.80836913828189,-4.303999045076801,18.034700882615898,47.04792582526847,-23.788280912165938
PRP IRI Mean,prp_iri_mean,210,0.9,676.3630390060473,4.761855612524089,-120.92221262292766,-2.3147260221248467,-22.715907410654705,8.898250994414392,63.06077781899918,-58.79229094627784
PRP IRI Median,prp_iri_median,210,0.1,117.20077548140813,-15.525532403131614,-1.9525963224084364,-47.78209151629936,7.057269289945776,8.435900347353604,25.085678534638973,-7.053198031398021
PRP IRI Median,prp_iri_median,210,0.3,289.32320387522196,3.4835068606911483,-74.63653437082905,-25.481232936511134,-18.920015374820075,15.673191876409112,11.478757638321522,22.62184997919132
PRP IRI Median,prp_iri_median,210,0.5,404.5040278021524,24.302905178264748,-99.15211790426056,-29.634605282770632,10.860766203439018,5.942975162644311,31.515138805195082,-0.956549277146979
PRP IRI Median,prp_iri_median,210,0.7,470.4080309480605,-4.484392005754429,-73.07862252123408,-50.854348700949615,-6.49932197055411,22.324181904082238,46.51352008530095,-19.215566623514892
PRP IRI Median,prp_iri_median,210,0.9,604.900431699895,7.296405608396195,-126.14178132795658,-20.42995877582999,-35.043585565624625,21.400134223183326,63.388581059957346,-43.530902404680845
PRP IRI p10,prp_iri_p10,210,0.1,54.64692866737548,-25.268438789994317,-13.022055384754207,-7.072792014469279,-32.64102646968915,28.992880906884583,-4.844800273440587,4.03937520544736
PRP IRI p10,prp_iri_p10,210,0.3,130.9346173150288,-17.225253642697954,-17.980657060622036,-2.0703259977079878,-20.962917927356298,23.027697310669186,-9.983096189112539,25.446198939519007
PRP IRI p10,prp_iri_p10,210,0.5,200.12638234295625,-14.43068923521438,-58.71881492070786,9.084911573580335,-19.41630657905423,15.698404903072946,-29.07932592630252,39.97884322455698
PRP IRI p10,prp_iri_p10,210,0.7,300.60273429608947,-5.271197371926846,-109.82871344595733,-22.032464825119604,-12.783266943132299,30.26835680752058,-7.103645298843589,22.643433510137083
PRP IRI p10,prp_iri_p10,210,0.9,381.0272814675952,0.16953028282314475,-106.59147457416823,14.561510989390229,-36.8225567649356,13.681011988758454,35.71392977560092,-26.294873239622834
PRP IRI p25,prp_iri_p25,210,0.1,75.35059778140932,-26.941659927475847,-19.733896104138058,-5.723555141550699,-37.07997126688172,30.02613224997889,-9.68316089884434,8.530780373029812
PRP IRI p25,prp_iri_p25,210,0.3,176.34546917063756,-8.476978883395091,-35.828022210095384,-14.969148642113158,-19.015128273299805,34.64982570660712,-20.684792779931048,33.794220291815975
PRP IRI p25,prp_iri_p25,210,0.5,267.4703995355335,1.3502919660075074,-80.29805707663917,-7.345082785358757,-9.525362740177117,8.332114820644334,-9.47714135867405,35.960982953871785
PRP IRI p25,prp_iri_p25,210,0.7,361.1049292414947,-4.32611869447177,-90.91813853888274,-33.35766862995247,-9.405474104572654,28.51742950570189,12.946912993385874,3.9091821331669263
PRP IRI p25,prp_iri_p25,210,0.9,464.64282117601533,4.505115432440725,-108.97965663513888,16.246065001339048,-31.868862567948977,5.148899303526093,43.09652959116567,-36.22705244812086
PRP T1 Error Run Mean,prp_t1_error_run_mean,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Mean,prp_t1_error_run_mean,210,0.3,1.0,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0
PRP T1 Error Run Mean,prp_t1_error_run_mean,210,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Mean,prp_t1_error_run_mean,210,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Mean,prp_t1_error_run_mean,210,0.9,1.216387427206621,-0.17072288665016994,-0.015738685117133767,-0.05794548021225245,0.09330453927847465,0.009327854058077742,0.014307838214000584,-0.0716264844121344
PRP T1 Error Run Max,prp_t1_error_run_max,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Max,prp_t1_error_run_max,210,0.3,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Max,prp_t1_error_run_max,210,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Max,prp_t1_error_run_max,210,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T1 Error Run Max,prp_t1_error_run_max,210,0.9,1.725946939867572,-0.5555139563742348,-0.1132573440516076,-0.11084426941773186,0.23019021242982926,-0.08951394875235771,0.02450422679932792,-0.06816978435580069
PRP T2 Error Run Mean,prp_t2_error_run_mean,210,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRP T2 Error Run Mean,prp_t2_error_run_mean,210,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
