outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
PRP Post-Error Slowing (ms),prp_pes,166,0.038398442253943066,0.04871958187546788,0.05114474832398075,0.05551417312594775,0.02659965013435961,0.018992068809076224,0.015338889770168729,0.013669864340388416,2446.7388263397997,2450.9474708612156,2452.5237349612503,2453.757548865137,0.01032113962152481,0.5786524870341602,0.629846481242477,0.002425166448512872,0.40638597365870294,0.5247264712609889,0.48000009248055797,0.0043694248019670034,0.7309470391902965,0.3938709260937583,0.38439498812245787,26.962175420228856,38.08375460773369,0.7079705165087277,0.47896356693439557,z_ucla_score:C(gender_male)[T.1],51.799387729820225,59.385867824827834,0.8722510864472729,0.3830714154220187,102,27.6794873096736,49.64329188703595,0.5771397384418238,64,-11.915815446764555,52.570892856508685,0.8206867000066267,2.7977685655145628,2.1759665757112634,2.255673638549384,0.9443456899771379,2.668587524340913e-06
PRP Valid T2 Trial Count,prp_t2_trials,201,0.026918442005455234,0.044202358030647204,0.04693371338501906,0.05466162617549675,0.017089335359045665,0.019694726185279232,0.017457436479401234,0.02037474215077395,1335.9786684276273,1338.3764105921339,1339.8011964108741,1340.1647496792864,0.01728391602519197,1.1754104554209635,0.3202882450108887,0.002731355354371856,0.5559770041075893,0.4567881990649786,0.5074333361209205,0.007727912790477687,1.5777283667520576,0.21060656694673174,0.21833839658436752,-0.4862794823668651,0.7322703140585431,-0.6640710036048085,0.5066448676803479,z_ucla_score:C(gender_male)[T.1],-1.220716218878784,0.9884482510015474,-1.2349824258800504,0.21683704477530286,122,-0.09983622847680174,0.9917860827019896,0.9198179309997567,79,-0.8789001699069128,1.1970753322870802,0.4628230554667232,2.596854548916273,2.096290237803647,9.255254459582716,0.23484568645275475,2.73728574053428e-10
PRP Ex-Gaussian mu (Short SOA),prp_exg_short_mu,200,0.06548699500033517,0.0872719224251246,0.09337777388161861,0.1037825317592479,0.05599955332521167,0.06374800289999905,0.06519262695565842,0.07110793656297054,2824.187727014854,2825.4702187990083,2826.127789170595,2825.8192370717334,0.021784927424789435,1.543459300473658,0.2045973418282168,0.006105851456494005,1.299801943030535,0.2556622729767924,0.3215373964036877,0.01040475787762929,2.229049960860814,0.13707852738035375,0.27394664738268654,31.06684034472196,31.258896231939854,0.9938559606905872,0.32029299729760097,z_ucla_score:C(gender_male)[T.1],60.592319379594365,55.22663572004563,1.0971575325853347,0.27257253384883995,121,25.43097027373547,38.774067270567784,0.5119040752231785,79,17.788271243526935,55.10783126258808,0.7468540890356321,2.589423979581063,2.0949180966759995,5.732327540081084,0.5713284349688457,4.019346729345802e-06
PRP Ex-Gaussian sigma (Short SOA),prp_exg_short_sigma,200,0.04106548488218298,0.06066654997671439,0.07887793394275455,0.09167850678540879,0.031330109094184766,0.0364569249761143,0.05024201479071577,0.05856261901196025,2441.57674930402,2443.4462973067393,2441.5307044851256,2440.7318683736007,0.01960106509453141,1.349398919785382,0.25965309082694765,0.018211383966040162,3.815777772527404,0.05221749475974584,0.08470774182337047,0.012800572842654234,2.7057710338788286,0.10162192631157774,0.1714309765559594,20.35068595547524,11.743601622239781,1.7329169202176908,0.08311043642132042,z_ucla_score:C(gender_male)[T.1],25.491764577683732,18.569835492454498,1.372751233474407,0.16982969586067453,121,13.05102736592902,15.49564897231018,0.3996546402633545,79,24.522045681087057,16.99792397648853,0.14911924573538562,2.589423979581063,2.0949180966759995,5.635920634017633,0.5828439021018599,0.00014684408030784653
PRP Ex-Gaussian tau (Short SOA),prp_exg_short_tau,200,0.0049155269551101055,0.020857967999828975,0.023626669128644306,0.02363320056698015,-0.0051868534818939604,-0.004377651381618719,-0.006726905924351323,-0.011963505662348606,2605.3558569676657,2608.1256728820513,2609.559335632763,2611.5579977305542,0.01594244104471887,1.0529060005582895,0.37034458498916956,0.002768701128815332,0.5472899565829797,0.4603260420753408,0.48037100154652856,6.531438335843909e-06,0.0012843904167999423,0.9714484518844441,0.9742720297827567,-11.730891635853169,16.590666734081115,-0.707077769921999,0.47951814977207463,z_ucla_score:C(gender_male)[T.1],0.8512850745214973,26.36138360023841,0.03229288293175167,0.974238484844119,121,-9.998594796512622,21.919763108623087,0.6482855665468161,79,-13.915585863400633,26.89144244667734,0.6048262595069198,2.589423979581063,2.0949180966759995,7.034933544956945,0.4252516830662665,0.21183436887657192
PRP Ex-Gaussian mu (Long SOA),prp_exg_long_mu,195,0.009990648595083362,0.04557803915201242,0.04562476822878814,0.05045735290569309,-0.0003219488153844985,0.02032878092852064,0.015165984236089947,0.014912975741735113,2452.124616774544,2450.985957652214,2452.97641010048,2453.9864976192666,0.035587390556929055,2.349071686379203,0.07392605629954603,4.6729076775720024e-05,0.009205044453561914,0.923668097731343,0.9235063247344004,0.00483258467690495,0.9517143198850706,0.33054361602211135,0.40106418321692316,1.2247805718335956,12.738639694070876,0.09614688861979999,0.9234039120407032,z_ucla_score:C(gender_male)[T.1],18.723006680329398,22.245845826161247,0.8416405843427643,0.39998916513085214,116,-2.0149612253554032,16.76169772904658,0.9043150222022839,79,0.22351632916514141,20.705099056944977,0.9913868190717023,2.58775395914652,2.0762008129438527,4.237711177841968,0.7520267867658585,4.428319145960069e-05
PRP Ex-Gaussian sigma (Long SOA),prp_exg_long_sigma,195,0.006061321193419178,0.04311690997960704,0.04439350187527724,0.045390234409382724,-0.004292206710816204,0.01780254251875002,0.013895422147892522,0.009656179012942578,2162.3943029529573,2160.9854159330534,2162.7250898552848,2164.5215915755534,0.037055588786187865,2.4396941673199386,0.06579442029655758,0.0012765918956701983,0.25114864419294664,0.6168537149694884,0.5820416636104322,0.0009967325341054822,0.1952514950047849,0.6590918843919673,0.6429650625742205,3.039442809764578,5.512629068600519,0.5513599358746979,0.5813869593112182,z_ucla_score:C(gender_male)[T.1],4.037182846830753,8.694997851918679,0.46431096540637895,0.6424249688787813,116,-1.2592264097958108,7.407468703850732,0.865014730537626,79,8.850413899795843,8.940764588946417,0.32222567673897107,2.58775395914652,2.0762008129438527,3.7022286349748796,0.8133646373956251,6.134384175798855e-12
PRP Ex-Gaussian tau (Long SOA),prp_exg_long_tau,195,0.024643122719527066,0.04384837128150665,0.043976464754156286,0.04584206000318791,0.014483155247855373,0.018553354648742193,0.01346507533141661,0.010124917864269833,2453.3706933575404,2455.4927431609212,2457.466617701628,2459.0857207094364,0.019205248561979582,1.2654171399847471,0.2875674570236468,0.00012809347264963744,0.02518930964597083,0.8740666136969829,0.8742563310539841,0.0018655952490316263,0.36562742596898024,0.5461303822885919,0.5661620769137998,-2.049527084028637,12.93319509093963,-0.1584702828355567,0.8740862356120578,z_ucla_score:C(gender_male)[T.1],11.75763687369194,20.45753209165287,0.5747338838827641,0.565471287731572,116,-1.7354534764815526,17.025171907816812,0.9188086146909351,79,-8.905097476833756,20.644971820757693,0.666217812728215,2.58775395914652,2.0762008129438527,4.703605570251742,0.6960811412293189,3.6448921535135406e-05
PRP Ex-Gaussian mu (Overall),prp_exg_overall_mu,201,0.05222872825210645,0.08615546879312763,0.08636182131124326,0.0888410844029397,0.04265528106273375,0.06272355773654126,0.05810497042396223,0.05579386984760604,2804.0323817368576,2802.7053812424883,2804.65998890461,2806.1138107134884,0.03392674054102118,2.41314365831355,0.06797576796951572,0.00020635251811562672,0.043816457595806935,0.834415107689118,0.8529369409849548,0.0024792630916964375,0.5251529327174083,0.46952944217293013,0.5803586432122345,-5.220519245709198,28.1248139720086,-0.18561968981928034,0.852743011661433,z_ucla_score:C(gender_male)[T.1],27.005790130445643,48.76476000430817,0.5537972529355172,0.5797176085367868,122,1.4300703014666443,32.61413224198191,0.9650254228733117,79,-28.693440287581097,59.19241711587237,0.6278546998607861,2.596854548916273,2.096290237803647,6.886037844379093,0.4408413492806281,9.862648727102792e-10
PRP Ex-Gaussian sigma (Overall),prp_exg_overall_sigma,201,0.06365667185560142,0.08523058672244743,0.08523078486568236,0.08701358905956758,0.05419865844000138,0.061774960740971774,0.05693895346977573,0.05390009228970738,2540.6757248664344,2541.9903773547517,2543.990333817229,2545.5982203951676,0.02157391486684601,1.5329595043199271,0.2072538197638861,1.981432349307255e-07,4.202129559386766e-05,0.9948345035417006,0.9953659636409896,0.0017828041938852124,0.37687440393051336,0.5400036827310374,0.6337814126136472,-0.08453165243917023,14.535764134672865,-0.005815425433158534,0.9953599879859587,z_ucla_score:C(gender_male)[T.1],11.96653247285583,25.078166310365336,0.47716935619450807,0.6332415302459139,122,1.9414219941727482,17.749095348022816,0.9128999368857399,79,-9.644563124452056,28.336913627980532,0.7335904546044607,2.596854548916273,2.096290237803647,8.623447258428472,0.2808329116472749,6.56040526120956e-08
