participant_id,prp_engaged_mean,prp_lapse_mean,prp_engaged_sd,prp_engaged_prob,prp_lapse_prob,prp_state_separation,prp_bic,prp_bic_single,prp_bic_diff,stroop_engaged_mean,stroop_lapse_mean,stroop_engaged_sd,stroop_engaged_prob,stroop_lapse_prob,stroop_state_separation,stroop_bic,stroop_bic_single,stroop_bic_diff,wcst_engaged_mean,wcst_lapse_mean,wcst_engaged_sd,wcst_engaged_prob,wcst_lapse_prob,wcst_state_separation,wcst_bic,wcst_bic_single,wcst_bic_diff
mwsliuPsLFhRFjtjQwYkqcCRDvi2,734.6612138065725,1352.9802474653284,286.47334674109624,0.6705332347528926,0.32946676524710744,618.3190336587559,1704.2493490328607,1707.7580834515609,3.5087344187002145,677.1790631361741,1164.8628326589726,111.53737110485214,0.913950669017702,0.08604933098229797,487.68376952279846,1396.9594164724865,1430.1911292490622,33.231712776575705,988.8024889449492,2107.8032732632028,211.49908200167638,0.7704696390616029,0.2295303609383971,1119.0007843182534,1063.9423327690004,1110.993287185602,47.0509544166016
iKVZi0Oo96UrMBhPQMHWFcf55uA3,821.4565396292088,1687.8002181652419,274.05364172810357,0.5842568061414806,0.4157431938585194,866.343678536033,1691.7301068721697,1695.2625247233755,3.5324178512057642,945.1139645888393,1495.815439058321,179.69753025671992,0.4747582248527601,0.5252417751472399,550.7014744694818,1557.3158212069995,1561.2470149096405,3.9311937026409396,1489.4227824089262,3179.9716937407147,339.423575394938,0.9098793675989887,0.09012063240101136,1690.5489113317885,1031.457849611905,1053.814629975615,22.35678036370996
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,473.47680096325803,850.2034904985364,90.73479124860957,0.3910831398305978,0.6089168601694022,376.7266895352784,1647.2368885179592,1654.1126770384144,6.875788520455217,667.4534846086513,1004.2478245425801,91.2144125184261,0.8996386191484043,0.10036138085159577,336.7943399339289,1367.4378224198504,1393.4147771269936,25.97695470714325,1114.2936223540285,2303.927695419668,187.4932567463142,0.8316235368650013,0.16837646313499857,1189.6340730656395,1035.091818376916,1105.1534918077773,70.06167343086122
ssPK6ISW0HerTGke9hznqJ2LpKu1,519.4777693936321,977.0511956021145,131.12423848834402,0.6600176833670721,0.33998231663292783,457.5734262084824,1584.7874500458724,1612.1211558788164,27.333705832943906,821.1299065831147,2311.2999992370555,245.3774316880871,0.9907407407407803,0.009259259259219697,1490.1700926539409,1504.039521636125,1535.182986640429,31.143465004303835,1194.1027671966187,2076.4370388252682,282.57942156492066,0.8700609558679949,0.1299390441320051,882.3342716286495,1230.561568916081,1234.8085286175326,4.246959701451715
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,733.4569473276241,1358.986011343128,219.5905021876815,0.7358405455247444,0.2641594544752556,625.5290640155039,1620.3350694263784,1625.792057148744,5.456987722365739,625.9011628867827,939.5025269273973,96.10372892540678,0.7977534350154813,0.20224656498451862,313.6013640406146,1358.47085062799,1375.7603031090139,17.289452481023773,1106.9929896923643,2990.5334231042584,290.228903102463,0.8636214156497414,0.13637858435025865,1883.5404334118941,1141.7130519243478,1208.0750633750638,66.36201145071595
5zxa5CMLGQSSonWOXqXf0QNS3PH3,660.6027792060019,1229.0036945416066,177.29343688883608,0.712239027614333,0.28776097238566695,568.4009153356047,1672.6069959897252,1682.437611958681,9.830615968955726,628.9745282946892,1883.999999999996,133.51685998661247,0.9906542056074766,0.009345794392523385,1255.0254717053067,1361.1140478602345,1423.7716205101335,62.657572649899066,985.5981874449722,1647.3180699832014,168.69704561564095,0.6851830486189266,0.3148169513810734,661.7198825382293,1261.0416550000107,1297.2287041754762,36.18704917546552
h5RYP03wJuVN0xo7qAR8CKFxLaj1,1021.0298364204705,1669.7126829821323,264.5761621072053,0.6482643944503829,0.3517356055496172,648.6828465616618,1717.9370370980403,1724.8067380617645,6.869700963724199,880.0737366428698,1315.5019953237975,204.7232065070955,0.6717012284482005,0.32829877155179943,435.4282586809277,1553.2408094003563,1552.3576921895178,-0.8831172108384635,1227.6478311930005,2859.1912892287396,348.0113203459261,0.7892493055721108,0.2107506944278892,1631.5434580357391,1951.1196986366842,2014.330183338655,63.2104847019707
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,693.0241027201378,1450.1680804569232,204.86223594668937,0.740579859249187,0.25942014075081304,757.1439777367855,1777.7445255046603,1812.2967684731802,34.55224296851998,873.3275366108355,1680.9054090302714,218.03239598787135,0.7728357307757286,0.2271642692242714,807.5778724194358,1587.491847836164,1613.9418133588085,26.44996552264456,1220.400597797924,2271.1599389779008,333.602151638033,0.7984669493641683,0.20153305063583168,1050.7593411799767,1402.7181128359562,1426.3520961812671,23.63398334531098
v8nNKiWvPdcjiHXZci39OuFTY6M2,1124.3960123830145,1966.0182346155648,309.73127795893816,0.7633431440239576,0.23665685597604236,841.6222222325503,1733.1712514597239,1747.3740119197275,14.202760460003674,1164.9227217157725,1201.9607684404734,188.35327289721977,0.7160212280560017,0.2839787719439983,37.03804672470096,1540.3319390236948,1537.6245552978232,-2.707383725871523,1633.1708067433458,3568.352618955696,417.2509276402444,0.8684797700725175,0.1315202299274825,1935.1818122123502,1057.1319824909529,1080.1495410568275,23.01755856587465
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,997.0471715463322,1848.0425113267977,344.4042999322471,0.7382421854824996,0.26175781451750024,850.9953397804655,1676.6360586602952,1676.3212996687253,-0.3147589915699882,682.1351623350624,1096.2051141879429,125.9940081036953,0.6456818453987551,0.35431815460124494,414.0699518528804,1493.4639968888775,1502.8367812292904,9.372784340412863,1317.8655464408214,2982.699281189675,386.9279942281299,0.44605664533035805,0.5539433546696418,1664.8337347488534,1553.1449896243155,1560.1913135943246,7.046323970009098
