participant_id,n_trials,n_pe,pe_rate,n_runs,max_run,mean_run,pct_trials_in_runs_2plus,ucla_total,gender_male
K26uNuY0VNPjJNF26wEx3bFg0kr2,70,7,10.0,5,2,1.4,57.14285714285714,43.0,0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,85,14,16.470588235294116,9,4,1.5555555555555556,50.0,29.0,0
DPvStUYSmohmXwFwaKRqHv89R3k1,63,3,4.761904761904762,3,1,1.0,0.0,52.0,1
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,93,7,7.526881720430108,7,1,1.0,0.0,39.0,0
62fAfeQc27bZelkPX7G54T3gvci2,70,6,8.571428571428571,6,1,1.0,0.0,49.0,0
q0Atnpm0jZS5swcVmq0EMalQUKw1,71,5,7.042253521126761,5,1,1.0,0.0,24.0,0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,84,10,11.904761904761903,7,3,1.4285714285714286,50.0,53.0,1
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,73,8,10.95890410958904,6,2,1.3333333333333333,50.0,59.0,0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,72,7,9.722222222222223,5,2,1.4,57.14285714285714,49.0,1
iKVZi0Oo96UrMBhPQMHWFcf55uA3,68,4,5.88235294117647,4,1,1.0,0.0,33.0,1
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,71,6,8.450704225352112,6,1,1.0,0.0,34.0,1
ssPK6ISW0HerTGke9hznqJ2LpKu1,83,8,9.63855421686747,8,1,1.0,0.0,41.0,1
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,79,7,8.860759493670885,7,1,1.0,0.0,40.0,1
5zxa5CMLGQSSonWOXqXf0QNS3PH3,87,7,8.045977011494253,7,1,1.0,0.0,54.0,1
h5RYP03wJuVN0xo7qAR8CKFxLaj1,126,10,7.936507936507936,7,3,1.4285714285714286,50.0,29.0,0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,91,11,12.087912087912088,9,2,1.2222222222222223,36.36363636363637,30.0,1
v8nNKiWvPdcjiHXZci39OuFTY6M2,76,9,11.842105263157894,6,3,1.5,55.55555555555556,31.0,0
LSLmd8jENtONZFVkIpRDX665Bu73,82,9,10.975609756097562,6,2,1.5,66.66666666666666,20.0,0
mUZzgdWKnPb2txOkJg9FHgqX5792,107,16,14.953271028037381,7,3,2.2857142857142856,87.5,33.0,0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,98,6,6.122448979591836,5,2,1.2,33.33333333333333,22.0,1
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,72,6,8.333333333333332,5,2,1.2,33.33333333333333,32.0,0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,82,7,8.536585365853659,7,1,1.0,0.0,50.0,0
fEq0OghbLpfD1jigl1Mbz96aMbg2,88,19,21.59090909090909,11,4,1.7272727272727273,73.68421052631578,31.0,0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,74,6,8.108108108108109,6,1,1.0,0.0,49.0,1
cEIs6U87xfbSL5eFTXDK77MmvNf1,103,11,10.679611650485436,9,2,1.2222222222222223,36.36363636363637,62.0,1
AsXBOflrszVNKoFqbN61bMJqS0k2,105,19,18.095238095238095,11,5,1.7272727272727273,68.42105263157895,42.0,0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,84,10,11.904761904761903,6,3,1.6666666666666667,70.0,49.0,1
DzB19GqCB7fyrlEPexogWkjFzEx2,79,8,10.126582278481013,5,2,1.6,75.0,25.0,0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,88,6,6.8181818181818175,6,1,1.0,0.0,49.0,0
xBGZhFOeypWnqzSQClkrwV9z2vF3,78,8,10.256410256410255,7,2,1.1428571428571428,25.0,43.0,1
MMSYeiMQi3gMr4PrXQcpXzFiegj2,110,22,20.0,13,4,1.6923076923076923,68.18181818181817,0.0,0
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,69,5,7.246376811594203,5,1,1.0,0.0,65.0,0
y1EHXv8tUTa4BRS4fRio7bULYfA2,101,16,15.841584158415841,10,5,1.6,56.25,35.0,0
HyQM2xKwwuVfqidmRYF6TiRk90C2,83,7,8.433734939759036,7,1,1.0,0.0,21.0,1
roaf78tUWxWSEjAUcUu8O7mrQbl1,78,9,11.538461538461538,7,2,1.2857142857142858,44.44444444444444,58.0,0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,61,1,1.639344262295082,1,1,1.0,0.0,46.0,0
i1tBstVkNiVP0qro7TgGD08IGGa2,80,8,10.0,6,2,1.3333333333333333,50.0,26.0,0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,72,4,5.555555555555555,4,1,1.0,0.0,60.0,0
iWsc4pghIEWOQUZKuQJMfe516UI3,80,6,7.5,6,1,1.0,0.0,27.0,1
lHDkoPQu5reNCO45npeYSS9eLQl1,109,16,14.678899082568808,10,3,1.6,68.75,36.0,0
WcTsIpSoEhYeIBSNjAbbdaNSBya2,94,13,13.829787234042554,8,2,1.625,76.92307692307693,30.0,0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,126,12,9.523809523809524,8,2,1.5,66.66666666666666,54.0,0
