participant_id,gender,age,ucla_total,pe_rate,group,ucla_z,pe_z
iKVZi0Oo96UrMBhPQMHWFcf55uA3,male,19,33.0,5.88235294117647,Average,-0.7030353249008446,-1.0183877087973632
iWsc4pghIEWOQUZKuQJMfe516UI3,male,23,27.0,7.5,Protected,-1.186651981520534,-0.6681950435219538
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,male,19,54.0,15.873015873015872,Vulnerable,0.989622973268068,1.144418362456247
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,female,18,23.0,11.39240506329114,Average,-1.5090630859336602,0.17444346406248926
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,female,19,41.0,3.125,Average,-0.058213116074592175,-1.61530702460772
jzdk8E3tVXTXIozlfK5oeEb7wWp2,male,24,37.0,10.256410256410255,Average,-0.3806242204877184,-0.07147980269136137
kR2rCtaPyPaj7YMizKUDn5xL2qx1,male,19,53.0,11.904761904761903,Average,0.9090201971647865,0.28535987621065406
lHDkoPQu5reNCO45npeYSS9eLQl1,female,20,36.0,14.678899082568808,Average,-0.46122699659099997,0.8859126895309681
lpzDdvuMkKWkPxu6xeclmdctEp42,female,19,52.0,10.714285714285714,Average,0.828417421061505,0.027642330336976315
mUZzgdWKnPb2txOkJg9FHgqX5792,female,19,33.0,14.95327102803738,Average,-0.7030353249008446,0.9453094796628754
mg2WZiRBn4NQDKiMK43Y8dBqyG53,female,21,54.0,9.523809523809524,Average,0.989622973268068,-0.2300752155367014
mwsliuPsLFhRFjtjQwYkqcCRDvi2,male,21,49.0,9.722222222222223,Average,0.5866090927516603,-0.18712229122442153
nT1qJOiMyDdJ9ui4el195A8Hsgs1,female,18,62.0,8.860759493670885,Average,1.6344451820943204,-0.3736141018460918
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,female,19,29.0,16.470588235294116,Unexpected,-1.025446429313971,1.2737824639144069
pcbRW89vVJcviD87V3uxyG4I9st2,male,18,33.0,2.8169014084507045,Average,-0.7030353249008446,-1.6820050514447458
q0Atnpm0jZS5swcVmq0EMalQUKw1,female,21,24.0,7.042253521126761,Protected,-1.4284603098303787,-0.7672892548226777
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,male,19,40.0,8.860759493670885,Average,-0.13881589217787374,-0.3736141018460918
rUuJv5gl7dWVo7UPQWMx4bohxhK2,female,20,43.0,10.112359550561797,Average,0.10299243613197094,-0.10266429398117548
roaf78tUWxWSEjAUcUu8O7mrQbl1,female,19,58.0,11.538461538461538,Average,1.3120340776811943,0.2060621697879842
ssPK6ISW0HerTGke9hznqJ2LpKu1,male,20,41.0,9.63855421686747,Average,-0.058213116074592175,-0.20523497015128647
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,female,20,65.0,7.246376811594203,Resilient,1.876253510404165,-0.7231000859037373
u64Uf920g5VD9Byq26LT2rs5o4t1,male,21,34.0,13.084112149532707,Average,-0.622432548797563,0.5406688468892504
v8nNKiWvPdcjiHXZci39OuFTY6M2,female,20,31.0,11.842105263157894,Average,-0.8642408771074077,0.2717957948488816
wdppvL4tIkVlGjou6aYzzjlaZXB2,male,18,44.0,23.4375,Average,0.1835952122352525,2.781998601861909
xBGZhFOeypWnqzSQClkrwV9z2vF3,male,22,43.0,10.256410256410255,Average,0.10299243613197094,-0.07147980269136137
xyAILKfYP2M8GqAai11x6NT7IcP2,male,24,35.0,9.876543209876544,Average,-0.5418297726942816,-0.15371446120375953
