public_id,stroop_interference,stroop_interference_slope,wcst_perseverative_error_rate,wcst_exploration_rt,wcst_confirmation_rt,wcst_exploitation_rt,wcst_pre_exploitation_rt,wcst_confirmation_minus_exploitation_rt,wcst_pre_exploitation_minus_exploitation_rt,wcst_exploration_rt_all,wcst_confirmation_rt_all,wcst_exploitation_rt_all,wcst_pre_exploitation_rt_all,wcst_confirmation_minus_exploitation_rt_all,wcst_pre_exploitation_minus_exploitation_rt_all
9BJSUSHIL48V,114.30833327770222,10.044613694881507,7.954545454545454,,2364.4799999713896,1841.820689694635,2364.4799999713896,522.6593102767547,522.6593102767547,1410.0249998569489,2415.0272727012634,1867.2193548679352,2260.411538417523,547.8079178333282,393.19218354958775
KOWRJCP2F4ZJ,339.6013071819458,117.65277922025744,0.0,,2291.899999976158,1828.508333325386,2291.899999976158,463.3916666507721,463.3916666507721,3765.8666666348777,2129.4714285475866,1688.5932203329216,2620.389999973774,440.87820821466494,931.7967796408525
JFYQRM3H9U1Y,30.483333415455263,-19.147011043881342,5.797101449275362,,1844.3249999046325,980.721428496497,1844.3249999046325,863.6035714081355,863.6035714081355,2160.599999666214,1743.8039999198913,980.721428496497,1774.6777776788783,763.0825714233944,793.9563491823814
KFW2LLKLV1ZN,145.64166670375403,86.2291396158211,7.894736842105263,,1843.8409091017463,1568.8595238186065,1843.8409091017463,274.98138528313984,274.98138528313984,1629.2999999523165,2001.319354849477,1568.8595238186065,1968.4941176526686,432.4598310308704,399.6345938340621
2GETOQ5IB4JQ,74.12777777787096,16.126946969730078,7.042253521126761,,1495.0315789470546,1134.5976190476101,1495.0315789470546,360.4339598994445,360.4339598994445,2542.066666666625,1516.4899999997579,1134.5976190476101,1834.7724137929235,381.89238095214773,700.1747947453134
MPLHBCBA1XKF,90.04523809559282,-28.009187590085713,10.9375,,2118.040740740382,1502.457142857103,2118.040740740382,615.5835978832788,615.5835978832788,2644.6727272729304,2934.6137254902837,1530.4857142856197,2883.1725806452696,1404.128011204664,1352.68686635965
MSVRR8E3IF3R,24.18316989708569,-18.627269855491704,8.536585365853659,,1621.1476190317244,1086.9442307719817,1621.1476190317244,534.2033882597427,534.2033882597427,2401.25,1586.3956521594007,1118.7327272718603,1707.1148148024524,467.6629248875404,588.3820875305921
IRMHRMDX1L37,317.49015896660944,-45.76208950459702,6.122448979591836,,2081.607142823083,1332.8190475418455,2081.607142823083,748.7880952812375,748.7880952812375,1227.9666665395102,2377.7980768130374,1332.8190475418455,2315.079999889027,1044.9790292711918,982.2609523471815
6GWI0B6S8XH0,20.5055555556778,-43.141250000067046,7.6923076923076925,,1290.0699999999256,1205.8229508196905,1290.0699999999256,84.24704918023508,84.24704918023508,1611.6000000000931,1287.4739130434943,1239.412500000035,1335.4925925926202,48.061413043459424,96.08009259258529
ADR07PN4ILFR,225.38928571428573,-19.45333333332447,11.267605633802818,,1506.4500000000116,1346.071428571423,1506.4500000000116,160.37857142858866,160.37857142858866,1632.875000000029,1506.0000000000223,1346.071428571423,1541.000000000024,159.9285714285993,194.92857142860112
