participant_id,wcst_pre_switch_n_switches_correct,wcst_pre_switch_rt_mean_w1_correct,wcst_pre_switch_rt_delta_w1_correct,wcst_pre_switch_n_valid_w1_correct,wcst_pre_switch_n_valid_delta_w1_correct,wcst_pre_switch_rt_mean_w2_correct,wcst_pre_switch_rt_delta_w2_correct,wcst_pre_switch_n_valid_w2_correct,wcst_pre_switch_n_valid_delta_w2_correct,wcst_pre_switch_rt_mean_w3_correct,wcst_pre_switch_rt_delta_w3_correct,wcst_pre_switch_n_valid_w3_correct,wcst_pre_switch_n_valid_delta_w3_correct,wcst_pre_switch_rt_mean_w4_correct,wcst_pre_switch_rt_delta_w4_correct,wcst_pre_switch_n_valid_w4_correct,wcst_pre_switch_n_valid_delta_w4_correct,wcst_pre_switch_rt_mean_w5_correct,wcst_pre_switch_rt_delta_w5_correct,wcst_pre_switch_n_valid_w5_correct,wcst_pre_switch_n_valid_delta_w5_correct
EmfmKFDgWJdW47a6CNTNjnbYaPh2,5.0,1414.4400000095368,-342.60603174368555,5.0,5.0,1335.710000014305,-480.8804999905825,5.0,5.0,1484.460000014305,-320.0239097643616,5.0,5.0,1443.6900000154972,-440.22222220831463,5.0,5.0,1425.2800000143052,-552.5098823404314,5.0,5.0
EoToosG69XMp4LTYdB6sB9WTrv22,5.0,1184.6999999046325,-236.90282835912225,5.0,5.0,1070.6899999141692,-408.69350007295606,5.0,5.0,1059.3866665840148,-481.6301588088747,5.0,5.0,1097.4399999141692,-496.297500093778,5.0,5.0,1102.3639999198913,-581.5308572442191,5.0,5.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,5.0,1897.039999985695,134.4130908865399,5.0,5.0,1797.6300000071526,26.282071429490998,5.0,5.0,1699.233333349228,-106.99301585956087,5.0,5.0,1762.4800000071525,-30.08416666487856,5.0,5.0,1762.1040000057224,-35.92083117045363,5.0,5.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,5.0,1245.3999999523162,-356.8723759834203,5.0,5.0,1250.6,-383.2419011533132,5.0,5.0,1276.2599999984106,-382.8397380958284,5.0,5.0,1295.4500000059604,-399.72719046623183,5.0,5.0,1337.3600000095369,-380.3755438424829,5.0,5.0
G9VruXninjUdE9czK2DambZl5li2,5.0,1185.6000000000931,-451.1192987566973,5.0,5.0,1248.8000000000466,-418.691818181762,5.0,5.0,1275.6000000000154,-424.92886002883705,5.0,5.0,1273.4500000000116,-469.768418803398,5.0,5.0,1284.3200000000093,-512.7428571428369,5.0,5.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5.0,1646.0399998664857,-126.63747486706943,5.0,5.0,1726.4999999284744,-41.41395460237159,5.0,5.0,1707.0799999396008,-75.94444449258226,5.0,5.0,1697.414999938011,-104.57611116833164,5.0,5.0,1659.5519999408723,-194.60207148858476,5.0,5.0
GE4hogtdLdTFbNasENgtm6SO3hC3,5.0,1649.880000001192,-106.62666666441496,5.0,5.0,1569.9699999958277,-219.84250000417234,5.0,5.0,1617.3466666618983,-183.56761905323896,5.0,5.0,1636.695000000298,-181.91499999811245,5.0,5.0,1627.1520000004768,-237.38399999737734,5.0,5.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,5.0,1096.5200000047685,-450.20473503512204,5.0,5.0,1068.35,-533.4352777750955,5.0,5.0,1030.9400000055632,-646.4444480411676,5.0,5.0,1029.044999998808,-734.3949047598384,5.0,5.0,1050.8359999966622,-808.7733333345253,5.0,5.0
HSggdq91WiQp16bOj7V3dABkcgk2,5.0,1720.9399999856948,452.0914985969398,5.0,5.0,1342.5699999928474,47.172709796291066,5.0,5.0,1302.1799999872844,0.23738095221071945,5.0,5.0,1248.9349999845028,-77.71257576258672,5.0,5.0,1221.8759999895096,-133.3516153811949,5.0,5.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,5.0,1673.7799999713898,-179.21333334373693,5.0,5.0,1497.7199999809266,-415.8094999992847,5.0,5.0,1438.9599999904633,-550.613333319104,5.0,5.0,1581.1749999761582,-401.4958333412807,5.0,5.0,1557.487999982834,-513.3897142818996,5.0,5.0
