participant_id,wcst_trials,wcst_total_errors,wcst_error_rate,wcst_perseverative_errors,wcst_perseverative_error_rate,wcst_nonperseverative_errors,wcst_perseverative_responses,wcst_perseverative_response_percent,wcst_error_pr_ratio,wcst_error_npe_ratio,wcst_trials_to_first_category,wcst_categories_completed,wcst_trials_per_category_mean,wcst_trials_per_category_sd,wcst_trials_per_category_1,wcst_trials_per_category_2,wcst_trials_per_category_3,wcst_trials_per_category_4,wcst_trials_per_category_5,wcst_trials_per_category_6,wcst_completed_categories,wcst_total_trials_summary,wcst_total_correct_summary,wcst_failure_to_maintain_set,wcst_clr_count,wcst_clr_percent,wcst_learning_to_learn,wcst_learning_to_learn_heaton_clr_delta,wcst_learning_efficiency_delta_trials,wcst_trials_to_first_conceptual_resp,wcst_trials_to_first_conceptual_resp0,wcst_has_first_clr,wcst_category_clr_percents
23AEyocWhqY955WHbxhHRSgQ1ms2,85,18,0.21176470588235294,8,9.411764705882353,10,23,27.058823529411764,0.4444444444444444,0.5555555555555556,11.0,6.0,14.166666666666666,3.435921354681384,11.0,16.0,12.0,12.0,21.0,13.0,6.0,85.0,67.0,0.0,60.0,70.58823529411765,,-9.622322122322116,-2.333333333333334,4.0,3.0,1.0,"[90.9090909090909, 62.5, 83.33333333333334, 83.33333333333334, 47.61904761904761, 76.92307692307693]"
23hG7h2ByUZDbmOMTDtp0HT0xRb2,128,48,0.375,6,4.6875,42,19,14.84375,0.125,0.875,79.0,5.0,25.6,26.829834140374405,79.0,17.0,11.0,12.0,9.0,,4.0,128.0,80.0,1.0,62.0,48.4375,,0.0,0.0,4.0,3.0,1.0,"[27.848101265822784, 82.35294117647058, 90.9090909090909, 83.33333333333334]"
28nQWMwCaSNFBEXlicY3eHqpwKU2,88,15,0.17045454545454544,10,11.363636363636363,5,31,35.22727272727273,0.6666666666666666,0.3333333333333333,18.0,6.0,14.666666666666666,4.422166387140534,18.0,23.0,11.0,11.0,12.0,13.0,6.0,88.0,73.0,1.0,69.0,78.4090909090909,,4.948594079028879,5.333333333333332,3.0,2.0,1.0,"[88.88888888888889, 56.52173913043478, 90.9090909090909, 90.9090909090909, 83.33333333333334, 76.92307692307693]"
2FHuv7L9nWPdbIiWHRIuXtcoyw83,71,9,0.1267605633802817,8,11.267605633802818,1,25,35.2112676056338,0.8888888888888888,0.1111111111111111,11.0,6.0,11.833333333333334,1.2133516482134197,11.0,13.0,11.0,14.0,11.0,11.0,6.0,71.0,62.0,0.0,60.0,84.50704225352112,,-1.8315018315018528,-0.3333333333333339,4.0,3.0,1.0,"[90.9090909090909, 76.92307692307693, 90.9090909090909, 71.42857142857143, 90.9090909090909, 90.9090909090909]"
2h5FgHUEvBS1twD5DqbTIRrMm1f2,99,22,0.2222222222222222,13,13.131313131313133,9,36,36.36363636363637,0.5909090909090909,0.4090909090909091,12.0,6.0,16.5,5.057996968497839,12.0,18.0,14.0,13.0,15.0,27.0,6.0,99.0,77.0,0.0,69.0,69.6969696969697,,1.2142178808845472,-3.666666666666666,5.0,4.0,1.0,"[83.33333333333334, 55.55555555555556, 71.42857142857143, 76.92307692307693, 66.66666666666666, 70.37037037037037]"
2zDXvJKvjeejeOSNbtDbtSI5cdz1,71,9,0.1267605633802817,5,7.042253521126761,4,19,26.76056338028169,0.5555555555555556,0.4444444444444444,12.0,6.0,11.833333333333334,0.6871842709362768,12.0,12.0,11.0,11.0,12.0,13.0,6.0,71.0,62.0,0.0,60.0,84.50704225352112,,-2.1367521367521363,-0.3333333333333339,5.0,4.0,1.0,"[83.33333333333334, 83.33333333333334, 90.9090909090909, 90.9090909090909, 83.33333333333334, 76.92307692307693]"
3FSnTCSiUodLp5u3bE0xaUjLk0b2,84,13,0.15476190476190477,8,9.523809523809524,5,28,33.33333333333333,0.6153846153846154,0.38461538461538464,12.0,6.0,14.0,3.605551275463989,12.0,11.0,12.0,20.0,18.0,11.0,6.0,84.0,71.0,1.0,67.0,79.76190476190477,,-8.703703703703724,-4.666666666666666,5.0,4.0,1.0,"[83.33333333333334, 90.9090909090909, 83.33333333333334, 85.0, 55.55555555555556, 90.9090909090909]"
3WijiOiVCoMbn80F05SPYsxl0TC2,80,16,0.2,9,11.25,7,19,23.75,0.5625,0.4375,14.0,6.0,13.333333333333334,1.3743685418725535,14.0,12.0,13.0,13.0,16.0,12.0,6.0,80.0,64.0,0.0,60.0,75.0,,-2.9761904761904674,-0.6666666666666661,7.0,6.0,1.0,"[71.42857142857143, 83.33333333333334, 76.92307692307693, 76.92307692307693, 62.5, 83.33333333333334]"
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,128,34,0.265625,21,16.40625,13,39,30.46875,0.6176470588235294,0.38235294117647056,46.0,5.0,25.6,10.781465577554844,46.0,20.0,21.0,26.0,15.0,,4.0,128.0,94.0,3.0,78.0,60.9375,,0.0,0.0,3.0,2.0,1.0,"[58.69565217391305, 80.0, 71.42857142857143, 38.46153846153847]"
3xCaqfcHxRQxuOlEzXz3PNcHODH2,69,5,0.07246376811594203,3,4.3478260869565215,2,12,17.391304347826086,0.6,0.4,12.0,6.0,11.5,2.140872096444188,12.0,16.0,10.0,10.0,11.0,10.0,6.0,69.0,64.0,0.0,63.0,91.30434782608695,,8.775252525252498,2.333333333333332,5.0,4.0,1.0,"[83.33333333333334, 81.25, 100.0, 100.0, 90.9090909090909, 100.0]"
