outcome,outcome_column,n,cov_type,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
Stroop EZ-DDM a Interference,stroop_ez_a_interference,220,OLS,0.0030418383170642826,0.009684612959867667,0.010993391735862112,0.01664277267561809,-0.006146716168492716,-0.013453597017705654,-0.01686594934200092,-0.015826569736036022,616.8564843647364,621.3857096288209,623.094770233043,623.8344883487669,0.006642774642803384,0.4784852018401535,0.6975853478496357,0.0013087787759944458,0.28186857090480305,0.5960322357181331,0.596032235718164,0.005649380939755977,1.2179386350644974,0.2710166781210263,0.27101667812103325,-0.04859270956033184,0.09152669691245538,-0.5309129598199137,0.5960322357181743,z_ucla_score:C(gender_male)[T.1],-0.152222958686669,0.1379327691553624,-1.1036025711570443,0.27101667812103647,136,0.05488569772768544,0.10518836488025812,0.6027079991098834,84,-0.2123541466691517,0.17316419534039101,0.22376876991923425,2.6208301257176747,2.115888261384099,7.539305434287897,0.3749621092859363,0.597715754115524
Stroop EZ-DDM t0 Interference,stroop_ez_t0_interference,220,OLS,0.00901957640544937,0.011541172100027364,0.012232433966247958,0.02545801890461663,-0.00011388371984599743,-0.011553660327542126,-0.015592004513576008,-0.006720254056080011,2716.0082758324747,2721.44776218956,2723.2938551096445,2722.3282957273273,0.002521595694577994,0.1819740196922265,0.9085634730405803,0.0006912618662205938,0.14906217066452296,0.6998185604487895,0.6998185604487895,0.013225584938368673,2.877068470444616,0.09131732004500044,0.09131732004500044,4.180200680167498,10.827131487189387,0.38608570378160567,0.6998185604487898,z_ucla_score:C(gender_male)[T.1],27.56925374098581,16.253612879487683,1.6961923447665377,0.0913173200450002,136,-9.707176703216998,13.441626785936865,0.4714853248531219,84,24.97389355787884,18.612088148222178,0.18355071804175682,2.6208301257176747,2.115888261384099,2.2216134870187476,0.9465634267568669,0.07693156556157765
"Stroop Ex-Gaussian mu (congruent, correct)",stroop_exg_correct_congruent_mu,219,OLS,0.1110917937845518,0.12305738393192978,0.12336237647816939,0.1253099509666057,0.10286116224551989,0.10247187651249157,0.09855187769924956,0.0962917976811376,2795.224371569523,2798.256392262282,2800.180212835995,2801.693132096654,0.011965590147377969,0.9687713710082588,0.4083512710788415,0.00030499254623961303,0.07375729499613602,0.786206996147235,0.7862069961472017,0.0019475744884362989,0.46981009731866197,0.4938268901981735,0.49382689019819503,-3.632243812469092,13.374344392475312,-0.27158294312449954,0.7862069961472135,z_ucla_score:C(gender_male)[T.1],13.7450139455696,20.05321506570568,0.6854269452819988,0.49382689019818227,135,-5.178663306950746,17.411736730102508,0.7666214721097371,84,-6.914042362552294,21.523897886631737,0.7488980519700714,2.644415167319532,2.1398121207311944,4.991851049470829,0.6609577389126859,2.1436908875385899e-07
"Stroop Ex-Gaussian sigma (congruent, correct)",stroop_exg_correct_congruent_sigma,219,OLS,0.08285789205276228,0.08764382197081311,0.08765002585674753,0.08944320098651137,0.07436583549769527,0.06622701027998723,0.06182880017344783,0.05923515552160885,2434.7705579826516,2439.6247563702887,2441.623267197889,2443.1924108470675,0.004785929918050824,0.3724433859982441,0.7729671720285789,6.20388593441934e-06,0.0014415781831292442,0.969748828518938,0.969748828518938,0.0017931751297638465,0.41552592083227124,0.5198781965305623,0.5198781965305623,-0.2239587732923094,5.898600448408864,-0.03796812061625938,0.969748828518922,z_ucla_score:C(gender_male)[T.1],-5.7018435646903285,8.845374755698666,-0.6446130008247412,0.5198781965305448,135,-0.06835107506650928,7.741983441122345,0.9929695060294368,84,-0.2483255776644988,9.299102126525016,0.9787638252247115,2.644415167319532,2.1398121207311944,5.809046843849971,0.562214708917348,5.681932339142811e-05
"Stroop Ex-Gaussian tau (congruent, correct)",stroop_exg_correct_congruent_tau,219,OLS,0.032039232239401305,0.035303056439726754,0.04402899848840314,0.044043013864689784,0.023076632537914255,0.012657588281035026,0.016973215426754118,0.012328801054513616,2662.0466403929204,2667.3069562003275,2667.3170292464347,2669.3138184901436,0.003263824200325449,0.2402117263561474,0.8682292340832858,0.008725942048676383,1.935100239854861,0.16565973241021872,0.16565973241022092,1.4015376286646841e-05,0.0030934910664074116,0.9556978297600035,0.9556978297600035,13.736784528481868,9.874914696225913,1.391078804329512,0.1656597324102162,z_ucla_score:C(gender_male)[T.1],0.8244210488697616,14.822608514266152,0.055619160964569106,0.9556978297600258,135,9.63685258354009,11.607355344601041,0.4079388238713114,84,20.581403896170155,18.66861527225926,0.27365173093884504,2.644415167319532,2.1398121207311944,3.89131872000356,0.7922068888282388,9.036400806921308e-06
"Stroop Ex-Gaussian mu (incongruent, correct)",stroop_exg_correct_incongruent_mu,219,OLS,0.05784655708091602,0.061783053873385896,0.06271335193557825,0.07616352705663842,0.04912291409092451,0.03975918189858285,0.03618637132998126,0.04551492368884913,2957.148379359286,2962.231438673575,2964.0141793807006,2962.848736320145,0.003936496792469879,0.297896209847019,0.826897772126361,0.0009302980621923584,0.21041928805030904,0.6469088885958781,0.6469088885958229,0.01345017512106017,3.0719581155979063,0.08110588262278252,0.08110588262278252,8.91791220611414,19.44108142074465,0.45871482213938275,0.6469088885958301,z_ucla_score:C(gender_male)[T.1],50.77896800645304,28.971849821962184,1.7527002355217207,0.0811058826227873,135,-9.14228524141192,23.536509265441225,0.6983381894793752,84,29.649483720336903,34.610303047517874,0.3942535645771089,2.644415167319532,2.1398121207311944,5.472780015596511,0.60246911617778,2.9329552256073076e-08
"Stroop Ex-Gaussian sigma (incongruent, correct)",stroop_exg_correct_incongruent_sigma,219,OLS,0.028216009534828612,0.029806773393334707,0.02992830564913851,0.03647332488017396,0.01921800962311404,0.007032284505854358,0.00247344637505742,0.004507984947288768,2606.9748302192447,2612.616043967922,2614.5886089885353,2615.1060211786817,0.0015907638585060946,0.11641416457726311,0.9504109036711713,0.00012153225580380234,0.02655972582278023,0.8706960780900594,0.8706960780901163,0.006545019231035454,1.4332753761869115,0.23257392118583187,0.23257392118581896,1.4267990555596202,8.754896564824902,0.16297154912054135,0.8706960780901072,z_ucla_score:C(gender_male)[T.1],15.679790786995909,13.097109056843815,1.1971947945873238,0.23257392118582398,135,-4.831260321948133,10.587484870742566,0.648928630693336,84,9.495377653873469,15.836444434680818,0.5505171374892167,2.644415167319532,2.1398121207311944,4.027805283189855,0.7765692680385802,3.7169514142518656e-06
"Stroop Ex-Gaussian tau (incongruent, correct)",stroop_exg_correct_incongruent_tau,219,OLS,0.007042816086722858,0.01262354868166038,0.013771332039958839,0.020874325227061008,-0.0021512319124741275,-0.010554302288253492,-0.014140800072117932,-0.011608517063984358,2782.564921229755,2787.3306002528225,2789.0758739336106,2789.492889891537,0.005580732594937521,0.40129781676635473,0.7522092940706068,0.0011477833582984598,0.24672784300884998,0.6199032594839662,0.6199032594839494,0.007102993187102169,1.5306835486937034,0.21738500839413102,0.21738500839413102,6.476959597051484,13.039535077179872,0.49671706534895027,0.6199032594839591,z_ucla_score:C(gender_male)[T.1],-24.128464877726994,19.502351714537344,-1.2372079650138437,0.21738500839414074,135,16.253042663080635,16.300172814002625,0.3205784824580425,84,-9.102672069657256,22.48146235950476,0.686661667522219,2.644415167319532,2.1398121207311944,9.585122470301608,0.21332813111114668,0.013978346117365347
"Stroop Ex-Gaussian mu (neutral, correct)",stroop_exg_correct_neutral_mu,219,OLS,0.07362514820463761,0.08384267879974727,0.08401952018280423,0.0854345406940471,0.06504760328060644,0.06233663839598558,0.05809554433892128,0.05509350649906286,2832.5047242859046,2836.0758254365637,2838.03354885345,2839.6949727521223,0.010217530595109658,0.7918341702518731,0.4996411615174461,0.00017684138305695818,0.04092922724245333,0.839868605350951,0.8398686053509056,0.0014150205112428704,0.32646031493340744,0.5683589541374144,0.5683589541374283,2.950002392802235,14.581613937966562,0.20230973096340388,0.8398686053509222,z_ucla_score:C(gender_male)[T.1],12.496245563801285,21.870784094899186,0.5713670579700763,0.5683589541374121,135,0.3532804301757153,18.74290920357182,0.9849908852225129,84,1.975745368045267,23.97735862526687,0.934539361183583,2.644415167319532,2.1398121207311944,4.95646831999755,0.6652757336266858,1.3659103005866263e-07
"Stroop Ex-Gaussian sigma (neutral, correct)",stroop_exg_correct_neutral_sigma,219,OLS,0.03908856089743129,0.04570576225804768,0.04626402159016929,0.046344886905481775,0.030191232757592612,0.023304489071616974,0.01927149389932492,0.014707039551635215,2457.3738201022397,2461.860486174637,2463.7323343286253,2465.713764981056,0.006617201360616387,0.49232330870555857,0.6879782732140021,0.0005582593321216134,0.12409197208549845,0.7249880408199328,0.7249880408199829,8.086531531248387e-05,0.017891773762496666,0.8937197421195667,0.8937197421194284,-2.1854599151559926,6.2039887555104265,-0.35226690461275445,0.72498804081998,z_ucla_score:C(gender_male)[T.1],-1.2455861142298725,9.312087735129847,-0.13376013517687332,0.8937197421194372,135,-1.9713242909635875,8.293999664614121,0.8125057799065007,84,-2.9543807742888255,9.493874942644581,0.7564877991711332,2.644415167319532,2.1398121207311944,3.946236683305563,0.7859486780245135,8.59864903043236e-07
"Stroop Ex-Gaussian tau (neutral, correct)",stroop_exg_correct_neutral_tau,219,OLS,0.012524389813443504,0.02896789326233884,0.033060715633303484,0.03518788085604707,0.0033810971265308964,0.006173712353004124,0.005694509471981801,0.0031798958607500705,2661.550591837284,2663.873085903226,2664.948067674423,2666.4657598875892,0.016443503448895336,1.2023173454005893,0.3098889415542657,0.004092822370964644,0.8973452177121899,0.34457305589067466,0.34457305589067466,0.0021271652227435878,0.4652013102790797,0.4959511353939067,0.4959511353938849,9.303882330075277,9.821649524998332,0.9472830715853565,0.34457305589069387,z_ucla_score:C(gender_male)[T.1],-10.04433385221282,14.726538416560551,-0.6820566767352187,0.4959511353938816,135,13.746303522605544,12.083906050452704,0.25740806977109953,84,0.9500485947668551,17.51109808580651,0.9568714531876085,2.644415167319532,2.1398121207311944,2.1746064793223105,0.9495473455183352,0.016787474986215783
"Stroop Lognormal mu (congruent, correct)",stroop_lognorm_correct_congruent_mu,219,OLS,0.055362277835486196,0.06573831516079298,0.06940980382901052,0.06965317630264056,0.04661563225988885,0.04380728969508396,0.0430723454468126,0.03878858973448174,192.30347699428023,195.88464044974864,197.02231238455636,198.96503094895718,0.010376037325306786,0.7885356555359233,0.501486912305772,0.0036714886682175374,0.8364107002897161,0.36146434211689915,0.3614643421169468,0.00024337247363004355,0.05519618128199554,0.8144841708784234,0.8144841708782687,0.0320883461622824,0.03508629770343936,0.91455491923096,0.36146434211696243,z_ucla_score:C(gender_male)[T.1],-0.012371710038173361,0.05265931634187633,-0.2349386755774304,0.8144841708782632,135,0.02780364471317681,0.04585590445962417,0.54536354465597,84,0.03447384377508189,0.05443066443805432,0.5283556589319882,2.644415167319532,2.1398121207311944,5.779719378457344,0.5656930804031904,0.20540690749756513
"Stroop Lognormal sigma (congruent, correct)",stroop_lognorm_correct_congruent_sigma,219,OLS,0.01327140415524597,0.029519801061493878,0.02959841762089266,0.03398968876005182,0.004135028267794549,0.006738575734299035,0.00213422189318202,0.0019419533160724978,-351.5858089900362,-349.22209008982657,-347.23983153774316,-346.2331016484926,0.01624839690624791,1.1887271699159174,0.3149812697534083,7.861655939878087e-05,0.017175065349425384,0.8958571274831659,0.8958571274829531,0.0043912711391591586,0.9591597517973309,0.3285202376224976,0.32852023762247984,-0.0013271777868840429,0.010126978901013299,-0.1310536735443624,0.8958571274829923,z_ucla_score:C(gender_male)[T.1],0.014853711376335857,0.015166644511670352,0.9793670158818781,0.3285202376224715,135,-0.013417505863362815,0.012036502007376056,0.2670366343991355,84,0.020550052646993527,0.018582381226526057,0.2721738313719348,2.644415167319532,2.1398121207311944,4.829932754963728,0.6807083207827113,2.5276997694741892e-05
"Stroop Lognormal shift (congruent, correct)",stroop_lognorm_correct_congruent_shift,219,OLS,0.0013388377304595078,0.010510137556481669,0.010581467496604047,0.014531658385347868,-0.007908024883147347,-0.012717324003225228,-0.01742094380066206,-0.01816160413267376,2681.9549248041776,2685.934425471988,2687.918637720585,2689.0425440367653,0.009171299826022161,0.6580787862136751,0.5787102127375352,7.13299401223777e-05,0.015283670973590239,0.9017276282809915,0.9017276282809162,0.003950190888743821,0.8457808762880322,0.358798831422364,0.35879883142237057,1.2796008196078832,10.350484271966257,0.12362714497075415,0.901727628280918,z_ucla_score:C(gender_male)[T.1],14.259864141187894,15.5055243464895,0.9196634581671772,0.3587988314223618,135,1.5879633156908177,11.994442192296189,0.8948808452183048,84,-3.685023181422153,19.82125164562162,0.8529958303466337,2.644415167319532,2.1398121207311944,4.8998224484417685,0.6721869851926461,5.445742606859735e-06
"Stroop Lognormal mu (incongruent, correct)",stroop_lognorm_correct_incongruent_mu,219,OLS,0.036716341670830044,0.042755098512280654,0.045678334576647606,0.04844720425645355,0.027797048538152458,0.020284560918672367,0.018669230838250783,0.016879102027994697,193.04704851620545,197.66983170793458,199.0000258971205,200.3636955418384,0.00603875684145061,0.4479018222783351,0.7190379391679507,0.002923236064366952,0.6493890562265195,0.4212341603650812,0.42123416036510664,0.002768869679805941,0.6139769701191865,0.4341729877102263,0.4341729877101822,0.028402136388811672,0.03524508204563391,0.8058467945127133,0.42123416036512396,z_ucla_score:C(gender_male)[T.1],0.041394066110890027,0.05282774201328483,0.7835668255607153,0.43417298771016843,135,0.02439942336173123,0.041933250306790876,0.5616741647762639,84,0.021851816291547754,0.06545475768353798,0.7393915676897702,2.644415167319532,2.1398121207311944,3.822055132392916,0.8000299755465624,0.011632304920270323
"Stroop Lognormal sigma (incongruent, correct)",stroop_lognorm_correct_incongruent_sigma,219,OLS,0.0021413276326553987,0.009982470518610786,0.010015462917647211,0.01778404362035302,-0.007098104518894033,-0.013257377591280983,-0.01800296737713647,-0.01480131986143629,-278.1824071735209,-273.9100994679428,-271.91739777890064,-271.6427071263703,0.007841142885955388,0.5623346338063993,0.6404315669658258,3.299239903642448e-05,0.007065149336912052,0.9330924634346447,0.9330924634346447,0.007768580702705807,1.6688494191366483,0.19782590608440942,0.19782590608440942,0.0010109409239070274,0.012027215831589229,0.08405444269585753,0.9330924634345938,z_ucla_score:C(gender_male)[T.1],-0.023230440057632917,0.01798244997541192,-1.2918395485263006,0.19782590608441933,135,0.007717382907061504,0.015487017803081798,0.6191119590809164,84,-0.007994176562838157,0.01921434215856398,0.6785140598270033,2.644415167319532,2.1398121207311944,9.276323661067135,0.23342128447565563,4.468483638504467e-06
"Stroop Lognormal shift (incongruent, correct)",stroop_lognorm_correct_incongruent_shift,219,OLS,0.01824115264434112,0.023275294382863243,0.02339847769992698,0.024974419171623574,0.009150792946603481,0.00034748439185072755,-0.004241188025546849,-0.007372401045431687,2772.0340938878735,2776.908243770693,2778.880622018538,2780.5269363613097,0.005034141738522124,0.3659414586111379,0.7776609145952668,0.0001231833170637353,0.02674055141344365,0.8702605714464258,0.8702605714464823,0.0015759414716965958,0.34104095017227587,0.5598527737356873,0.5598527737356468,2.083235113195841,12.739521256001327,0.1635253846147846,0.8702605714464884,z_ucla_score:C(gender_male)[T.1],11.1583543375956,19.107192703604728,0.5839871147314323,0.5598527737356414,135,-1.856035613567471,16.395821880686082,0.9100465933672276,84,3.8493228047148307,20.918698446185573,0.8544804198528282,2.644415167319532,2.1398121207311944,3.3137569500032886,0.8545405111652251,2.0397398349524167e-08
"Stroop Lognormal mu (neutral, correct)",stroop_lognorm_correct_neutral_mu,219,OLS,0.019508055106178257,0.03313304888850821,0.03315007249792001,0.033417965510532666,0.010429425986790974,0.01043664158542168,0.0057863953044647864,0.0013512629445313618,212.2153280609171,215.15074419208383,217.14688822898762,219.08619970072198,0.013624993782329953,1.0005250023628927,0.3935413346839892,1.7023609411803697e-05,0.0037327459956700143,0.9513401514980744,0.9513401514989938,0.0002678930126126522,0.05847969819872776,0.8091500401974633,0.8091500401973883,-0.002244430094365181,0.03673599981376484,-0.061096202791361125,0.9513401514990736,z_ucla_score:C(gender_male)[T.1],0.013333025807945209,0.05513484505553085,0.24182575999835346,0.8091500401973926,135,-0.008278152910539044,0.04563724497010591,0.8563459409367044,84,0.005166205493400744,0.0640546997908932,0.9359244783337943,2.644415167319532,2.1398121207311944,7.979871567322097,0.33437215927199737,0.2628061997897482
"Stroop Lognormal sigma (neutral, correct)",stroop_lognorm_correct_neutral_sigma,219,OLS,0.00065707819839389,0.010925128435735898,0.020147563181989847,0.02703599214200747,-0.008596097003472858,-0.012292591554035504,-0.007584109558142593,-0.005242434658968564,-346.1789689039964,-342.44079033599235,-342.4923927203952,-342.03741473546756,0.010268050237342008,0.737084307579551,0.5309635742010466,0.009222434746253949,1.9953577628025851,0.15924813069856789,0.15924813069858187,0.006888428960017623,1.4938461225955735,0.2229842532038135,0.2229842532038255,0.0144609747464981,0.01023734124974409,1.4125713301644203,0.1592481306985791,z_ucla_score:C(gender_male)[T.1],-0.018715551562921852,0.015312626819862125,-1.2222299794210205,0.2229842532038284,135,0.03366508568473566,0.012976628101835325,0.01057510917628857,84,-0.02413720441420983,0.01657446272592442,0.1493264470858939,2.644415167319532,2.1398121207311944,2.2542530946811103,0.9444391149769946,4.891943394700255e-08
