participant_id,pes_after_t1_error,pes_after_t2_error,n_trials
cC0BEsQjfrcuCyoaOas9zJT0MNs2,-35.105172479974726,427.53620678186417,119
cEIs6U87xfbSL5eFTXDK77MmvNf1,,74.90196432471271,118
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,380.7758928576617,155.66282828317753,120
cec6NLR2ZLVVw6h0TEKSNIH11v02,,,120
d9rwc0NXArcNlJvFsgKhQqkGxJq2,801.5660869562107,595.5461261307871,117
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,262.56932153058256,349.9057894844759,120
e7NIVznoeNMC7bBejXnMVvFNPfx1,246.76016951567055,1611.7305084386114,120
fEq0OghbLpfD1jigl1Mbz96aMbg2,45.82353603225704,167.52094016962837,120
foaW7wtvY3XLNdguFUK7OvOefP93,,180.07307692312952,120
g2G9l3no7RbeRA9a1W3JnfegTnh2,371.2393678454148,117.08666664341047,120
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,297.76106194692693,6.25,119
h5RYP03wJuVN0xo7qAR8CKFxLaj1,-71.65913041104409,140.56047197200564,117
hrRr560eFBNwJ0CcUjCqtSD8TdP2,,70.64770114920691,120
i1tBstVkNiVP0qro7TgGD08IGGa2,,,117
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0.8413043478442432,86.77138643061517,120
iWsc4pghIEWOQUZKuQJMfe516UI3,,,120
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,591.2101695628489,-57.829914603477846,120
idP8RVfm74N86O0dszLXANIpjXv2,90.43504273229178,-65.29130434247031,119
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,529.5057113187927,59.404129793554375,117
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,37.178813558513866,-392.3305084513405,120
jzdk8E3tVXTXIozlfK5oeEb7wWp2,,537.6771929816197,120
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,1379.450426949395,49.7927536066029,119
kI0YdycDU0X5hcoEPjEON3Ionyd2,-67.59999998410558,505.6529411591737,109
kR2rCtaPyPaj7YMizKUDn5xL2qx1,20.760526315753395,149.4905172414267,119
kgSRatooJJfDaMZ2yIURqb8aJuE3,,,120
lHDkoPQu5reNCO45npeYSS9eLQl1,499.10371690176225,795.1931033298888,119
lpzDdvuMkKWkPxu6xeclmdctEp42,558.2580434462301,223.26321836312604,120
m69r9GQTk2b51mvxrFLt4fZeJi52,1216.7948717949891,-11.81739130434778,119
mUZzgdWKnPb2txOkJg9FHgqX5792,129.64122805156194,964.5008771984201,116
mweMgSlGM2VxThhwnupYxYzUbR23,525.3037356322005,129.28050847456132,120
mwsliuPsLFhRFjtjQwYkqcCRDvi2,382.7206895776178,610.127894803934,120
nT1qJOiMyDdJ9ui4el195A8Hsgs1,571.0180435144382,7.881623918684227,120
ohl9pXqpeSMfepC3w9h0tW5SbJw1,571.9136752136455,,120
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,484.2352941176432,440.9326923075714,106
pRQimOpZtsekBI2I1kbnD3pycmo1,188.92564102319568,74.58495579947407,119
pcbRW89vVJcviD87V3uxyG4I9st2,979.2042735043675,-54.3032608695662,120
q0Atnpm0jZS5swcVmq0EMalQUKw1,87.41228070174873,488.38505747125873,120
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,76.55431033208447,-210.88034185690753,119
qnR5PLX1v3fPi6SwTJMwGcadwyD3,279.2166666789798,71.6446428565929,119
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,618.6468390804956,40.707142857144504,120
rFV2EUbp64f5ORSh7DqwmCQmeqT2,1643.1878261037496,1401.5877193060883,117
rNe3cRPepZUXbJhmmfQZiGsVzX22,261.1224138027635,986.0594827591859,119
rUuJv5gl7dWVo7UPQWMx4bohxhK2,-138.13964912282358,201.97192982449678,99
ric6cNjG25XmZJCiKZDOxzeezao1,,47.347863247914574,120
roaf78tUWxWSEjAUcUu8O7mrQbl1,-146.53693698762777,,116
sqfXvh6GJLaYAqr3RvHrixP8IOx1,,,115
ssPK6ISW0HerTGke9hznqJ2LpKu1,141.80431052734116,250.61964914924226,120
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,-425.9847896569755,202.3661764451101,107
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,,,120
tv88wS5Nf6SjruozSmXJxQSmx6J3,287.9547169950772,476.74903845394056,112
u64Uf920g5VD9Byq26LT2rs5o4t1,,,120
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,,881.3303418865062,120
v8nNKiWvPdcjiHXZci39OuFTY6M2,-30.414102561326217,507.88684210500173,120
wdppvL4tIkVlGjou6aYzzjlaZXB2,130.82358490599336,236.5192307691949,118
wkhxvE50megJGMA1EiROSZIJWNq1,758.9966101632533,489.7338982988465,120
xBGZhFOeypWnqzSQClkrwV9z2vF3,-46.117241379289,201.45275362309053,119
xHctBv4C2EU8rHYRouw0btT3GT02,-58.48333333351093,-248.1355932203271,120
xyAILKfYP2M8GqAai11x6NT7IcP2,,1482.3822033899773,120
y1EHXv8tUTa4BRS4fRio7bULYfA2,277.6483928212099,623.5447368329035,118
yatBVTBMCSMp0wJluOCLzTFKMyP2,-595.4019607880391,310.43434343535,104
yfjd8LbAMrYeG54927d3GiKAyXI2,409.51140350883156,540.7015151515074,117
zxG9mUnF7uRkaOKSoCPsiRZzr372,-12.406521801844974,307.38275866672893,118
