spec_id,outlier_handling,covariates,error_metric,trial_filter,standardize,n,beta,se,t,p,p_sig,r_squared,ci_lower,ci_upper
97,winsorize_95,dass_age,total_errors,all,raw,150,0.13946780942199208,0.16377903903383167,0.8515607995061099,0.3958718302757177,False,0.03776873526677127,-0.181539107084318,0.4604747259283022
98,winsorize_95,dass_age,total_errors,all,zscore,150,1.568487702768373,1.8418974941989972,0.8515607995060961,0.39587183027572515,False,0.03776873526677105,-2.0416313858616615,5.1786067913984075
99,winsorize_95,dass_age,total_errors,valid_rt,raw,150,0.13946780942199208,0.16377903903383167,0.8515607995061099,0.3958718302757177,False,0.03776873526677127,-0.181539107084318,0.4604747259283022
100,winsorize_95,dass_age,total_errors,valid_rt,zscore,150,1.568487702768373,1.8418974941989972,0.8515607995060961,0.39587183027572515,False,0.03776873526677105,-2.0416313858616615,5.1786067913984075
101,winsorize_95,dass_age,total_errors,no_timeout,raw,150,0.13946780942199208,0.16377903903383167,0.8515607995061099,0.3958718302757177,False,0.03776873526677127,-0.181539107084318,0.4604747259283022
102,winsorize_95,dass_age,total_errors,no_timeout,zscore,150,1.568487702768373,1.8418974941989972,0.8515607995060961,0.39587183027572515,False,0.03776873526677105,-2.0416313858616615,5.1786067913984075
115,remove_3sd,none,total_errors,all,raw,145,0.1914052164201974,0.13536021316420221,1.4140434027538678,0.15955337995780566,False,0.056770480529879985,-0.07390080138163893,0.45671123422203375
116,remove_3sd,none,total_errors,all,zscore,145,2.1777475228877377,1.5400853457868,1.4140434027538702,0.15955337995780497,False,0.05677048052988021,-0.8408197548543903,5.196314800629866
117,remove_3sd,none,total_errors,valid_rt,raw,145,0.1914052164201974,0.13536021316420221,1.4140434027538678,0.15955337995780566,False,0.056770480529879985,-0.07390080138163893,0.45671123422203375
118,remove_3sd,none,total_errors,valid_rt,zscore,145,2.1777475228877377,1.5400853457868,1.4140434027538702,0.15955337995780497,False,0.05677048052988021,-0.8408197548543903,5.196314800629866
119,remove_3sd,none,total_errors,no_timeout,raw,145,0.1914052164201974,0.13536021316420221,1.4140434027538678,0.15955337995780566,False,0.056770480529879985,-0.07390080138163893,0.45671123422203375
120,remove_3sd,none,total_errors,no_timeout,zscore,145,2.1777475228877377,1.5400853457868,1.4140434027538702,0.15955337995780497,False,0.05677048052988021,-0.8408197548543903,5.196314800629866
133,remove_3sd,dass,total_errors,all,raw,144,0.18982990767470548,0.13626960098166183,1.39304662453845,0.1658295702252916,False,0.061209323120049786,-0.07725851024935171,0.45691832559876266
134,remove_3sd,dass,total_errors,all,zscore,144,2.1598241622686096,1.5504320704156025,1.3930466245384463,0.1658295702252927,False,0.0612093231200499,-0.879022695745971,5.19867102028319
135,remove_3sd,dass,total_errors,valid_rt,raw,144,0.18982990767470548,0.13626960098166183,1.39304662453845,0.1658295702252916,False,0.061209323120049786,-0.07725851024935171,0.45691832559876266
136,remove_3sd,dass,total_errors,valid_rt,zscore,144,2.1598241622686096,1.5504320704156025,1.3930466245384463,0.1658295702252927,False,0.0612093231200499,-0.879022695745971,5.19867102028319
137,remove_3sd,dass,total_errors,no_timeout,raw,144,0.18982990767470548,0.13626960098166183,1.39304662453845,0.1658295702252916,False,0.061209323120049786,-0.07725851024935171,0.45691832559876266
138,remove_3sd,dass,total_errors,no_timeout,zscore,144,2.1598241622686096,1.5504320704156025,1.3930466245384463,0.1658295702252927,False,0.0612093231200499,-0.879022695745971,5.19867102028319
151,remove_3sd,dass_age,total_errors,all,raw,144,0.1885877490135055,0.13660633613669848,1.3805197792933304,0.1696586408402028,False,0.06357350011139573,-0.07916066981442349,0.4563361678414345
152,remove_3sd,dass_age,total_errors,all,zscore,144,2.1456912770837056,1.5542633356416324,1.3805197792933328,0.16965864084020207,False,0.06357350011139573,-0.9006648607738938,5.192047414941305
153,remove_3sd,dass_age,total_errors,valid_rt,raw,144,0.1885877490135055,0.13660633613669848,1.3805197792933304,0.1696586408402028,False,0.06357350011139573,-0.07916066981442349,0.4563361678414345
154,remove_3sd,dass_age,total_errors,valid_rt,zscore,144,2.1456912770837056,1.5542633356416324,1.3805197792933328,0.16965864084020207,False,0.06357350011139573,-0.9006648607738938,5.192047414941305
155,remove_3sd,dass_age,total_errors,no_timeout,raw,144,0.1885877490135055,0.13660633613669848,1.3805197792933304,0.1696586408402028,False,0.06357350011139573,-0.07916066981442349,0.4563361678414345
156,remove_3sd,dass_age,total_errors,no_timeout,zscore,144,2.1456912770837056,1.5542633356416324,1.3805197792933328,0.16965864084020207,False,0.06357350011139573,-0.9006648607738938,5.192047414941305
