label,manuscript,output,diff,status
Table2 SE (WCST Exploitation RT (ms)),31.65,37.01768798786035,5.36768798786035,diff
Table2 SE (WCST Perseverative Error Rate (%)),0.58,0.57623160756287,-0.003768392437130008,diff
Table2 b (Stroop Interference RT Slope),18.23,22.53346442895996,4.303464428959959,diff
Table2 b (Stroop Interference RT),5.94,4.800026433809858,-1.1399735661901422,diff
Table2 b (WCST Confirmation - Exploitation RT (ms)),148.59,139.78709428578932,-8.80290571421068,diff
Table2 b (WCST Confirmation RT (ms)),145.95,172.9739398294816,27.023939829481606,diff
Table2 b (WCST Exploitation RT (ms)),-2.64,33.186845543692186,35.82684554369219,diff
Table2 b (WCST Perseverative Error Rate (%)),-0.17,-0.1649078845364784,0.005092115463521618,diff
Table2 p (Stroop Interference RT Slope),0.001,0.0001314530326106,-0.0008685469673894,diff
Table2 p (Stroop Interference RT),0.532,0.6287595313922494,0.09675953139224935,diff
Table2 p (WCST Confirmation - Exploitation RT (ms)),0.001,0.0010339796666073,3.397966660729991e-05,rounded_match
Table2 p (WCST Confirmation RT (ms)),0.002,0.0028339278702629,0.0008339278702628999,diff
Table2 p (WCST Exploitation RT (ms)),0.934,0.3710303069151353,-0.5629696930848648,diff
Table2 p (WCST Perseverative Error Rate (%)),0.775,0.7750266999370394,2.6699937039409427e-05,rounded_match
Table2 r (Stroop Interference RT Slope),0.223,0.2524371607862727,0.029437160786272704,diff
Table2 r (Stroop Interference RT),0.013,0.0133671051759041,0.00036710517590409983,rounded_match
Table2 r (WCST Confirmation - Exploitation RT (ms)),0.182,0.1055447641209244,-0.0764552358790756,diff
Table2 r (WCST Confirmation RT (ms)),0.194,0.1366191260418092,-0.0573808739581908,diff
Table2 r (WCST Exploitation RT (ms)),0.083,0.0920391406728898,0.0090391406728898,diff
Table2 r (WCST Perseverative Error Rate (%)),-0.113,-0.1125489234791619,0.00045107652083810346,rounded_match
WCST N (method),212.0,212.0,0.0,match
