participant_id,n_rule_changes,post_switch_error_rate,avg_trials_to_criterion
pcbRW89vVJcviD87V3uxyG4I9st2,5,0.11999999999999997,0.8
q0Atnpm0jZS5swcVmq0EMalQUKw1,5,0.27999999999999997,1.6
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,1,0.4,
qnR5PLX1v3fPi6SwTJMwGcadwyD3,5,0.36,4.4
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,5,0.23999999999999994,2.0
rFV2EUbp64f5ORSh7DqwmCQmeqT2,5,0.23999999999999994,2.6
rNe3cRPepZUXbJhmmfQZiGsVzX22,5,0.36,4.6
rUuJv5gl7dWVo7UPQWMx4bohxhK2,5,0.36,2.2
ric6cNjG25XmZJCiKZDOxzeezao1,5,0.6,5.4
roaf78tUWxWSEjAUcUu8O7mrQbl1,5,0.39999999999999997,3.2
sqfXvh6GJLaYAqr3RvHrixP8IOx1,5,0.2,2.0
ssPK6ISW0HerTGke9hznqJ2LpKu1,5,0.43999999999999995,3.6
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,5,0.76,8.6
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,5,0.23999999999999994,1.8
tv88wS5Nf6SjruozSmXJxQSmx6J3,5,0.52,4.0
u64Uf920g5VD9Byq26LT2rs5o4t1,5,0.4,7.2
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,5,0.36000000000000004,3.4
v8nNKiWvPdcjiHXZci39OuFTY6M2,5,0.4,2.8
wdppvL4tIkVlGjou6aYzzjlaZXB2,2,0.5,5.0
wkhxvE50megJGMA1EiROSZIJWNq1,5,0.36,5.2
xBGZhFOeypWnqzSQClkrwV9z2vF3,5,0.5199999999999999,3.2
xHctBv4C2EU8rHYRouw0btT3GT02,5,0.31999999999999995,5.4
xyAILKfYP2M8GqAai11x6NT7IcP2,5,0.36,3.8
y1EHXv8tUTa4BRS4fRio7bULYfA2,5,0.43999999999999995,5.2
yatBVTBMCSMp0wJluOCLzTFKMyP2,5,0.6,4.0
yfjd8LbAMrYeG54927d3GiKAyXI2,5,0.4,2.2
zw1w9FipI9RjJsuhHse6UZavBxs2,5,0.4,2.6
zxG9mUnF7uRkaOKSoCPsiRZzr372,5,0.36,2.4
