participant_id,task,pes,pes_robust,rt_after_error,rt_after_correct,n_post_error,n_post_correct
bXpFswkI7TfIfL6G4FqWrbaxTGx2,stroop,108.39015151517947,-33.29999999993015,784.3750000000291,675.9848484848496,4,99
XehZHBpwr5MYzUXkj0FAYCsFG922,stroop,79.77854785468219,39.5,790.1666666666666,710.3881188119844,3,101
Df83JuPuJkXqTGbENhM2gw5SJM43,stroop,-118.00202020199026,-131.24999999988347,988.4000000000233,1106.4020202020135,4,99
SPCT9D90pRa1ihXS5jEw6vCmquI3,stroop,-68.63663366397611,6.299999982118607,617.8000000019869,686.436633665963,3,101
3xCaqfcHxRQxuOlEzXz3PNcHODH2,stroop,57.24620462599955,73.40000000596046,764.433333337307,707.1871287113074,3,101
YEU5ox3jteVINfdSTg5ymqYcS9o2,stroop,118.21716169850663,117.89999997615814,730.2666666507721,612.0495049522655,3,101
EEodWwGh0wWq5f8JmzfKvq0lyeu1,stroop,35.05782312925112,106.5,749.3333333333334,714.2755102040823,3,98
VwTymW8T68MfpnJvZ2X97ILqDWS2,stroop,-63.66338384828782,32.049999952316284,919.2749999910593,982.9383838393471,4,99
G9VruXninjUdE9czK2DambZl5li2,stroop,342.6402640264025,429.0,1093.3333333333333,750.6930693069307,3,101
GE4hogtdLdTFbNasENgtm6SO3hC3,wcst,729.4017857196075,373.6500000208616,2387.8000000044703,1658.398214284863,4,56
Qv0jhW3sqicqQvd7LfReAsI7nD73,wcst,1214.4017857047065,1331.7999999821186,2185.0999999940395,970.6982142893331,8,56
ORvIk1xRWIQmKuLVe6GXNouvAXx2,wcst,2093.250819670147,1203.899999976158,3979.899999994498,1886.6491803243512,13,61
80UJMJbCOMgs6YVpsMgXfYTzw6o2,wcst,404.17424242421976,410.05000000074506,1611.2833333332092,1207.1090909089894,6,55
rUuJv5gl7dWVo7UPQWMx4bohxhK2,wcst,1119.0564236111213,1562.050000000163,2867.911111111106,1748.8546874999847,9,64
xyAILKfYP2M8GqAai11x6NT7IcP2,wcst,1031.2958333333643,484.1000000000929,2193.0124999999534,1161.7166666665892,8,60
pcbRW89vVJcviD87V3uxyG4I9st2,wcst,1592.1709677420008,1853.25,2762.45000000007,1170.279032258069,4,62
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,wcst,1267.6544444719952,1527.199999332428,2728.044444402059,1460.3899999300638,9,60
yatBVTBMCSMp0wJluOCLzTFKMyP2,wcst,1337.842105263376,1431.0,2565.666666667081,1227.8245614037048,9,57
u64Uf920g5VD9Byq26LT2rs5o4t1,wcst,659.8358974472071,375.55000001192093,1965.4666666785877,1305.6307692313806,12,78
nT1qJOiMyDdJ9ui4el195A8Hsgs1,wcst,3215.1904371729315,3941.9499999284744,4866.916666666667,1651.7262294937352,6,61
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,wcst,938.8247126438555,619.3999999985099,2017.5499999996807,1078.7252873558252,14,87
ric6cNjG25XmZJCiKZDOxzeezao1,wcst,271.9496031745765,234.69999999995343,1243.6416666666046,971.6920634920281,12,63
kxerHPSL3bQjD74HhiebYf3blPr1,wcst,-305.4444444444617,-524.0,485.3333333333333,790.777777777795,18,27
2h5FgHUEvBS1twD5DqbTIRrMm1f2,wcst,1888.9359374986961,1286.1500000357628,3172.75,1283.8140625013039,12,64
lpzDdvuMkKWkPxu6xeclmdctEp42,wcst,596.2826612495608,495.5000001192093,1914.0874999761581,1317.8048387265974,8,62
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,wcst,2701.6607142856897,2176.5000000001164,4150.142857142824,1448.4821428571345,7,56
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,wcst,1326.7605158672447,1078.4999998807907,2524.744444449743,1197.983928582498,9,56
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,wcst,216.05535714966913,-16.050000071525574,1836.4857142993383,1620.4303571496691,7,56
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,wcst,1660.851923010288,1952.299999833107,3530.499999920527,1869.648076910239,6,52
