participant_id,n_rule_changes,post_switch_error_rate,avg_trials_to_criterion,ucla_total,gender_male
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,5,0.44000000000000006,2.6,39.0,0
LSLmd8jENtONZFVkIpRDX665Bu73,5,0.4,4.2,20.0,0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,5,0.27999999999999997,1.8,34.0,1
LliUMEIsrCVZ88YFQfevan2Og4z1,5,0.31999999999999995,7.4,28.0,1
ORvIk1xRWIQmKuLVe6GXNouvAXx2,5,0.36,4.4,54.0,0
PLreonkqaMeFc0UqxKUelH44UQu1,5,0.43999999999999995,6.8,44.0,1
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,5,0.36,2.6,49.0,1
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,5,0.31999999999999995,1.8,64.0,1
QreA2rLiUhV3YHeMfuHMPdGbpJ53,5,0.44000000000000006,2.8,44.0,0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,5,0.039999999999999994,0.2,46.0,0
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,5,0.32,2.8,47.0,0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,5,0.15999999999999998,1.0,49.0,0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,5,0.36,2.4,22.0,1
WcTsIpSoEhYeIBSNjAbbdaNSBya2,5,0.5599999999999999,4.4,30.0,0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,5,0.43999999999999995,4.4,54.0,0
azdL1gX79EVd9iepyCAVQrqIaQF3,5,0.36,2.4,32.0,0
cEIs6U87xfbSL5eFTXDK77MmvNf1,5,0.27999999999999997,2.2,62.0,1
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,5,0.19999999999999998,1.4,40.0,1
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,5,0.4,2.4,59.0,0
fEq0OghbLpfD1jigl1Mbz96aMbg2,5,0.48,5.6,31.0,0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,5,0.24,1.6,60.0,0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,5,0.4,4.0,29.0,0
i1tBstVkNiVP0qro7TgGD08IGGa2,5,0.36,3.0,26.0,0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,5,0.24,1.2,33.0,1
iWsc4pghIEWOQUZKuQJMfe516UI3,5,0.27999999999999997,2.0,27.0,1
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,5,0.48,12.0,54.0,1
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,5,0.4800000000000001,3.6,23.0,0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,5,0.12,0.6,41.0,0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,5,0.2799999999999999,1.6,37.0,1
kR2rCtaPyPaj7YMizKUDn5xL2qx1,5,0.44000000000000006,2.6,53.0,1
kxerHPSL3bQjD74HhiebYf3blPr1,2,0.8,11.0,43.0,0
lHDkoPQu5reNCO45npeYSS9eLQl1,5,0.5599999999999999,5.8,36.0,0
lpzDdvuMkKWkPxu6xeclmdctEp42,5,0.4,2.2,52.0,0
mUZzgdWKnPb2txOkJg9FHgqX5792,5,0.5200000000000001,4.2,33.0,0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,5,0.4,6.4,54.0,0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,5,0.31999999999999995,1.6,49.0,1
nT1qJOiMyDdJ9ui4el195A8Hsgs1,5,0.19999999999999996,1.2,62.0,0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,5,0.44000000000000006,3.2,29.0,0
pRQimOpZtsekBI2I1kbnD3pycmo1,5,0.4,2.6,25.0,1
pcbRW89vVJcviD87V3uxyG4I9st2,5,0.11999999999999997,0.8,33.0,1
q0Atnpm0jZS5swcVmq0EMalQUKw1,5,0.27999999999999997,1.6,24.0,0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,5,0.23999999999999994,2.0,40.0,1
rUuJv5gl7dWVo7UPQWMx4bohxhK2,5,0.36,2.2,43.0,0
ric6cNjG25XmZJCiKZDOxzeezao1,5,0.6,5.4,44.0,1
roaf78tUWxWSEjAUcUu8O7mrQbl1,5,0.39999999999999997,3.2,58.0,0
ssPK6ISW0HerTGke9hznqJ2LpKu1,5,0.43999999999999995,3.6,41.0,1
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,5,0.23999999999999994,1.8,65.0,0
u64Uf920g5VD9Byq26LT2rs5o4t1,5,0.4,7.2,34.0,1
v8nNKiWvPdcjiHXZci39OuFTY6M2,5,0.4,2.8,31.0,0
wdppvL4tIkVlGjou6aYzzjlaZXB2,2,0.5,5.0,44.0,1
xBGZhFOeypWnqzSQClkrwV9z2vF3,5,0.5199999999999999,3.2,43.0,1
xyAILKfYP2M8GqAai11x6NT7IcP2,5,0.36,3.8,35.0,1
y1EHXv8tUTa4BRS4fRio7bULYfA2,5,0.43999999999999995,5.2,35.0,0
yatBVTBMCSMp0wJluOCLzTFKMyP2,5,0.6,4.0,35.0,0
