participant_id,ucla_total,gender,age,incong_sd_rt,incong_cv_rt,cong_sd_rt,cong_cv_rt,gender_coded,z_ucla,z_age,ucla_x_gender
ric6cNjG25XmZJCiKZDOxzeezao1,44.0,male,19,187.79611645918632,0.23455212871805525,149.80476055758677,0.20260313843331246,1,0.21444641297214936,-0.6888638180434304,0.21444641297214936
kxerHPSL3bQjD74HhiebYf3blPr1,43.0,female,19,214.64950204963736,0.25512172979587056,174.27385856109035,0.24553298795394693,-1,0.13156857220996598,-0.6888638180434304,-0.13156857220996598
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,male,23,381.932002178228,0.44467575058966985,238.29982120081098,0.3309528215284193,1,1.954881068978,1.3151036526283673,1.954881068978
lpzDdvuMkKWkPxu6xeclmdctEp42,52.0,female,19,264.20724164962553,0.2917339616756347,148.76789881215706,0.18541521631328517,-1,0.8774691390696163,-0.6888638180434304,-0.8774691390696163
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,23.0,female,18,535.3687286630039,0.4269871821895334,327.1872770840927,0.3770162593632676,-1,-1.5259882430337015,-1.18985568571138,1.5259882430337015
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,38.0,male,21,443.78631056935785,0.46186979605344713,219.9012146567323,0.2637944054355429,1,-0.2828206316009509,0.3131199172924684,-0.2828206316009509
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,57.0,female,20,238.70301366564829,0.2022630735887411,218.34534875724242,0.21105968566865307,-1,1.2918583428805333,-0.18787195037548104,-1.2918583428805333
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,64.0,male,24,234.71455280983278,0.18895999063038277,193.60024126228967,0.16879612026850915,1,1.8720032282158168,1.8160955202963167,1.8720032282158168
LliUMEIsrCVZ88YFQfevan2Og4z1,28.0,male,19,189.301423765601,0.2995183541101434,136.0839236857613,0.25718267044052406,1,-1.1115990392227846,-0.6888638180434304,-1.1115990392227846
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,female,19,359.20596943274023,0.2973730300840613,279.23567802345895,0.2590339111103873,-1,-0.4485763131253176,-0.6888638180434304,0.4485763131253176
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,54.0,female,18,259.3845986114954,0.31260467642908735,243.04262014950635,0.28121072724736806,-1,1.0432248205939831,-1.18985568571138,-1.0432248205939831
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,54.0,male,19,477.38672360208557,0.3041510025693185,470.3472972200016,0.35429278922770713,1,1.0432248205939831,-0.6888638180434304,1.0432248205939831
vpFmF3TtdQTW3MyS8ouwz3urZVs2,25.0,male,23,336.00652162025426,0.3173015927289236,120.93836482788547,0.15635492750368557,1,-1.3602325615093347,1.3151036526283673,-1.3602325615093347
wdppvL4tIkVlGjou6aYzzjlaZXB2,44.0,male,18,431.16471454801984,0.5037510417371642,295.69047184984385,0.3960051853974712,1,0.21444641297214936,-1.18985568571138,0.21444641297214936
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,41.0,female,19,297.169156991461,0.25180656417991376,245.98244013100575,0.24236713043376362,-1,-0.034187109314400756,-0.6888638180434304,0.034187109314400756
K26uNuY0VNPjJNF26wEx3bFg0kr2,43.0,female,19,199.40372516859546,0.2513377929600362,221.16748036947155,0.31171691468342044,-1,0.13156857220996598,-0.6888638180434304,-0.13156857220996598
