participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n,mu_interference,sigma_interference,tau_interference
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,821.6468887013208,231.72524879475054,161.28993544045528,72,744.2152549279676,228.4616077068985,307.507919735216,36,-77.43163377335316,-3.2636410878520508,146.2179842947607
xBGZhFOeypWnqzSQClkrwV9z2vF3,702.1792326234699,120.53811859093456,278.81501011097333,72,703.1137969867143,149.4077335506414,464.3626659324307,36,0.9345643632443625,28.86961495970685,185.54765582145734
MMSYeiMQi3gMr4PrXQcpXzFiegj2,737.1960964621991,111.94032046362935,286.16042809242197,72,1142.3779094622244,358.4881568113302,79.99302613321363,35,405.1818130000253,246.54783634770087,-206.16740195920835
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,664.3894004696707,112.25342438656203,197.8719219411939,72,907.8430124635777,190.69414159074483,24.390320885650226,36,243.45361199390697,78.4407172041828,-173.48160105554368
y1EHXv8tUTa4BRS4fRio7bULYfA2,657.7989375772997,106.44583456161791,159.0626693904832,72,728.3288054723473,171.08805529729293,215.02209084914375,36,70.52986789504757,64.64222073567501,55.95942145866056
HyQM2xKwwuVfqidmRYF6TiRk90C2,508.0092526490973,131.37457767115788,128.78591309476005,72,507.064220813585,120.02502579783176,171.95468756605956,36,-0.9450318355122818,-11.34955187332612,43.168774471299514
roaf78tUWxWSEjAUcUu8O7mrQbl1,701.7123574696744,150.26706581130014,63.46987147893047,72,621.4020758816009,113.5391186607156,248.4006688575975,36,-80.31028158807351,-36.72794715058454,184.93079737866702
Rc706mP0TSeIoIpMYH1SpRXjOxA2,897.4732621256138,272.8673043934546,49.999306510347274,71,901.1137113161759,216.90721543967808,138.45855967652474,35,3.6404491905620944,-55.960088953776534,88.45925316617746
i1tBstVkNiVP0qro7TgGD08IGGa2,887.6538407328345,196.08964359039697,268.4074757095606,72,1215.2386406210178,307.70805216880836,38.405951195038604,34,327.5847998881833,111.61840857841139,-230.00152451452198
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,642.2807604029572,63.812616811931335,166.00187639870595,71,953.871742447969,275.648320802665,110.61174099797573,33,311.59098204501186,211.8357039907337,-55.390135400730216
2zDXvJKvjeejeOSNbtDbtSI5cdz1,605.8020539479477,127.00431903500763,104.44062664314399,72,846.0698880439522,225.73479857681232,12.915836146187225,36,240.26783409600455,98.7304795418047,-91.52479049695677
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,558.211120625548,137.1331188242063,292.79071828964317,71,768.5526524928339,269.589471676555,397.29268915965133,33,210.34153186728588,132.4563528523487,104.50197087000817
iWsc4pghIEWOQUZKuQJMfe516UI3,474.4065629663214,93.3109651835264,136.2344620469224,72,426.1915731828545,37.133361516055,285.88900856965716,34,-48.21498978346693,-56.17760366747141,149.65454652273476
lHDkoPQu5reNCO45npeYSS9eLQl1,615.6605347250932,98.83015590511454,125.32260749626316,72,575.0726142626511,98.15860995830944,275.5904657303851,34,-40.58792046244207,-0.6715459468050966,150.26785823412195
WcTsIpSoEhYeIBSNjAbbdaNSBya2,918.5179300991933,176.82043350860025,139.15314662290797,72,827.2844595357049,235.42955913479236,220.07308409989216,36,-91.23347056348848,58.60912562619211,80.91993747698419
mg2WZiRBn4NQDKiMK43Y8dBqyG53,573.9636918715942,92.2309313329272,172.4301594107189,71,634.5736685454959,136.62809354702017,243.5025168317113,36,60.60997667390177,44.39716221409297,71.0723574209924
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,663.6022936971898,160.07181440062982,257.4551409287742,72,730.0312357476481,192.3743863013776,291.83622958780046,35,66.42894205045832,32.30257190074778,34.38108865902626
CtJe4bZZnYUBNrcPk00d3YQFSGp2,687.92182374619,149.29287052315053,76.12185857592628,72,803.3373154001782,208.3127851860432,46.33824869680846,36,115.41549165398828,59.01991466289266,-29.78360987911782
CDEoAyvS8feXLKMKsaZah9agEhF3,658.8554860269509,103.30556812734388,127.59970230906255,72,645.2038580056267,134.01886926054422,294.4968103692534,36,-13.6516280213242,30.713301133200346,166.89710806019087
GDZGRW51kbWtAdUIHCtEd8sAtqY2,769.905545479285,101.13939686317693,196.21471372819698,72,765.7987011956177,64.8559508405279,175.32219766188342,36,-4.1068442836673285,-36.28344602264903,-20.89251606631356
QreA2rLiUhV3YHeMfuHMPdGbpJ53,732.5656603488706,148.55273752869894,289.60431154943427,72,920.9998803371907,156.66720282535988,305.89327950901554,33,188.43421998832014,8.114465296660939,16.28896795958127
AyAnuCaltBbpEYbudoyNzTvXlcC2,681.4059585965769,89.93387783447041,259.7342401921894,71,739.9647914754585,110.17215773264735,413.4850797263135,33,58.55883287888162,20.23827989817694,153.75083953412405
azdL1gX79EVd9iepyCAVQrqIaQF3,536.7498128461416,89.4564350433401,179.6103750656985,71,769.8794521039873,154.22033569679846,25.974211519378702,35,233.12963925784572,64.76390065345836,-153.63616354631978
jzdk8E3tVXTXIozlfK5oeEb7wWp2,617.9114166454949,97.808907090415,278.2552154744411,72,695.086933019315,155.4448439119422,188.6624953218013,36,77.17551637382007,57.635936821527196,-89.59272015263983
ORuVuFPU5idz3fMoXTGsbwToW2j2,553.3520839760062,41.9465572562215,249.1019360810054,72,574.9327174064385,5.0,186.6096735786361,35,21.580633430432385,-36.9465572562215,-62.4922625023693
pRQimOpZtsekBI2I1kbnD3pycmo1,606.0532635071655,116.47495511126654,164.64784094951065,72,561.7431712133406,112.8335258531129,297.2443086605913,36,-44.31009229382494,-3.641429258153636,132.59646771108063
