participant_id,short_mu,short_sigma,short_tau,short_n,medium_mu,medium_sigma,medium_tau,medium_n,long_mu,long_sigma,long_tau,long_n,overall_mu,overall_sigma,overall_tau,mu_bottleneck,sigma_bottleneck,tau_bottleneck
3xCaqfcHxRQxuOlEzXz3PNcHODH2,493.91909991850093,61.98005483904231,456.8090477877897,48.0,336.5318589772622,54.63847789792975,324.32983078294404,48.0,299.1078482969844,45.4650746581842,108.04708974161987,24.0,311.66761965940725,53.372323264693044,414.3772101510634,194.81125162151653,16.51498018085811,348.76195804616987
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,946.6903868014426,229.54174308050767,335.303607625054,48.0,431.3812695022727,90.70574383073439,521.8748081814231,48.0,233.60823716135118,5.0,354.45206225683154,23.0,403.7586643024371,94.93401411437917,611.5329169749593,713.0821496400914,224.54174308050767,-19.148454631777554
5OOi73igsahMZ5IVKQwwyhnj4Cn2,590.2658631703389,33.95240986565111,346.8826338717501,48.0,426.1977781841774,30.056717724111884,425.5402607343593,48.0,358.1187515320243,5.0,244.42883078755915,24.0,411.01364230212994,33.18100228313278,425.0618388805088,232.14711163831458,28.952409865651113,102.45380308419095
5rXSa3anB5ejmFrnwUsTB82byup1,836.517565375775,137.29420277700527,236.08589142931797,48.0,531.9035039139546,145.19851098214411,342.68681766056505,48.0,362.407533724186,5.0,420.2648897164831,24.0,647.5912573221403,202.89746003761272,287.8084912174324,474.110031651589,132.29420277700527,-184.17899828716511
5zxa5CMLGQSSonWOXqXf0QNS3PH3,677.9378594961809,87.06751821197727,401.0867631596615,48.0,432.574269792213,30.25997731704753,368.20559350366386,48.0,381.2613729357996,43.942312631401286,165.47944700605436,24.0,427.42998973707813,65.58951233133493,433.83922990444717,296.67648656038125,43.12520558057599,235.60731615360712
62fAfeQc27bZelkPX7G54T3gvci2,1195.824790448602,158.4290588270679,319.156609811622,48.0,930.2799425815906,153.61268263567774,317.8064173936978,48.0,702.4229096673811,178.16663112807652,107.03636568516123,24.0,942.0468697882154,272.1265547694819,325.0649886066551,493.40188078122094,-19.737572301008612,212.12024412646076
6ABZuv4jbjgE0B8TeyUk6nwVb122,1204.8413261894677,226.8126550615228,239.7068680232522,48.0,649.3184274129611,88.99438882616951,464.62987417871886,48.0,426.80967655481163,102.12488009870901,279.7134003049964,24.0,962.0119669119567,391.2971210751503,202.7213888857341,778.0316496346561,124.68777496281379,-40.0065322817442
6WFCyGwk71XLPBmbe4Vav3eotVm1,446.34942863417746,73.73119134867122,394.2043316504383,48.0,354.8171269812146,31.90606380623766,248.94586463433984,48.0,383.6732425389397,51.29009627331523,91.29264490954226,23.0,358.1003446263142,34.466791638010505,316.2886969289821,62.67618609523777,22.44109507535599,302.911686740896
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,800.8360692559914,133.48787974963687,409.1133189048146,48.0,420.36450778912393,58.80206904998553,425.1328203999533,48.0,427.5144004653956,105.82645077051745,51.82058658965723,24.0,393.69427255018206,87.74039236078336,524.3286614139428,373.3216687905958,27.66142897911942,357.29273231515737
80UJMJbCOMgs6YVpsMgXfYTzw6o2,773.6069799064908,124.37897628255666,259.67432681266195,48.0,512.2524173727694,77.78481440274018,221.85463736621102,48.0,412.23015621972087,43.87425890488519,105.73699870237691,24.0,461.7887009223898,79.50777675916837,348.7636104308578,361.3768236867699,80.50471737767148,153.93732811028502
