participant_id,stroop_lba_congruent_v_correct,stroop_lba_congruent_v_incorrect,stroop_lba_congruent_A,stroop_lba_congruent_b,stroop_lba_congruent_t0,stroop_lba_congruent_n_trials,stroop_lba_congruent_negloglik,stroop_lba_congruent_converged,stroop_lba_congruent_aic,stroop_lba_congruent_bic,stroop_lba_incongruent_v_correct,stroop_lba_incongruent_v_incorrect,stroop_lba_incongruent_A,stroop_lba_incongruent_b,stroop_lba_incongruent_t0,stroop_lba_incongruent_n_trials,stroop_lba_incongruent_negloglik,stroop_lba_incongruent_converged,stroop_lba_incongruent_aic,stroop_lba_incongruent_bic,stroop_lba_neutral_v_correct,stroop_lba_neutral_v_incorrect,stroop_lba_neutral_A,stroop_lba_neutral_b,stroop_lba_neutral_t0,stroop_lba_neutral_n_trials,stroop_lba_neutral_negloglik,stroop_lba_neutral_converged,stroop_lba_neutral_aic,stroop_lba_neutral_bic,stroop_lba_v_correct_interference,stroop_lba_b_interference,stroop_lba_t0_interference
23AEyocWhqY955WHbxhHRSgQ1ms2,,,,,,36,,False,,,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,
23hG7h2ByUZDbmOMTDtp0HT0xRb2,,,,,,36,,False,,,,,,,,36,,False,,,,,,,,35,,False,,,,,
28nQWMwCaSNFBEXlicY3eHqpwKU2,,,,,,36,,False,,,,,,,,36,,False,,,,,,,,36,,False,,,,,
2FHuv7L9nWPdbIiWHRIuXtcoyw83,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,33,911.8236968256421,True,1833.6473936512841,1841.1299314586165,,,,,,35,,False,,,,,
2h5FgHUEvBS1twD5DqbTIRrMm1f2,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
2zDXvJKvjeejeOSNbtDbtSI5cdz1,,,,,,36,,False,,,,,,,,36,,False,,,,,,,,36,,False,,,,,
3FSnTCSiUodLp5u3bE0xaUjLk0b2,,,,,,36,,False,,,,,,,,36,,False,,,,,,,,36,,False,,,,,
3WijiOiVCoMbn80F05SPYsxl0TC2,,,,,,36,,False,,,,,,,,36,,False,,,,,,,,36,,False,,,,,
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.5,0.43170857054467265,0.1,0.9802016085428888,0.1,36,60.87147293142382,True,131.74294586284765,139.6605405551282,0.5,0.11458440975945827,0.9899554425802054,1.7129141192637354,0.1,36,73.81704599494044,True,157.6340919898809,165.55168668216143,1.2202913530376014,0.1,1.0,1.1465154927505705,0.35950069128922324,36,918.8051547661205,True,1847.610309532241,1855.5279042245215,0.0,0.7327125107208465,0.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,0.5,0.49672438557209264,0.9180991825583581,2.1186589162936045,0.1,36,114.47279303893256,True,238.94558607786513,246.86318077014568,,,
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,,,,,,36,,False,,,,,,,,36,,False,,,,,,,,36,,False,,,,,
50R0P1MIMvRvK1qpqfGROchII6R2,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
5OOi73igsahMZ5IVKQwwyhnj4Cn2,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
