participant_id,stroop_exg_congruent_mu,stroop_exg_congruent_sigma,stroop_exg_congruent_tau,stroop_exg_correct_congruent_mu,stroop_exg_correct_congruent_sigma,stroop_exg_correct_congruent_tau,stroop_lognorm_correct_congruent_mu,stroop_lognorm_correct_congruent_sigma,stroop_lognorm_correct_congruent_shift,stroop_mix_slow_prop_correct_congruent,stroop_exg_incongruent_mu,stroop_exg_incongruent_sigma,stroop_exg_incongruent_tau,stroop_exg_correct_incongruent_mu,stroop_exg_correct_incongruent_sigma,stroop_exg_correct_incongruent_tau,stroop_lognorm_correct_incongruent_mu,stroop_lognorm_correct_incongruent_sigma,stroop_lognorm_correct_incongruent_shift,stroop_mix_slow_prop_correct_incongruent,stroop_exg_neutral_mu,stroop_exg_neutral_sigma,stroop_exg_neutral_tau,stroop_exg_correct_neutral_mu,stroop_exg_correct_neutral_sigma,stroop_exg_correct_neutral_tau,stroop_lognorm_correct_neutral_mu,stroop_lognorm_correct_neutral_sigma,stroop_lognorm_correct_neutral_shift,stroop_mix_slow_prop_correct_neutral,stroop_exg_mu_interference,stroop_exg_sigma_interference,stroop_exg_tau_interference,stroop_exg_correct_mu_interference,stroop_exg_correct_sigma_interference,stroop_exg_correct_tau_interference,stroop_vincentile_interference_p10_correct,stroop_vincentile_interference_p30_correct,stroop_vincentile_interference_p50_correct,stroop_vincentile_interference_p70_correct,stroop_vincentile_interference_p90_correct,stroop_delta_plot_slope_correct
QreA2rLiUhV3YHeMfuHMPdGbpJ53,818.6919202676818,202.14022045565122,74.0522560046286,818.6919202676818,202.14022045565122,74.0522560046286,5.918605614742209,1.1004194524750572,420.5,0.7860123464668028,919.515527281606,148.3491552641414,295.08793009454337,920.9998803371907,156.66720282535988,305.89327950901554,6.161597322240777,1.1822722957118859,603.2999999523163,0.736410366754463,786.5780740641685,123.1549948012146,365.0305856568523,786.5780740641685,123.1549948012146,365.0305856568523,5.9136949185459855,1.2041313045936177,622.4000000953674,0.37267049839784605,100.82360701392417,-53.79106519150983,221.03567408991478,102.30796006950891,-45.47301763029134,231.84102350438695,315.76000020504,244.23999996185307,241.54999995231606,373.86000008583073,449.69999997615787,133.93999977111787
Rc706mP0TSeIoIpMYH1SpRXjOxA2,947.5578882991471,273.0464209914001,10.168408849173789,962.2231637643548,263.0153006427344,10.0,5.938495216222794,1.3241232771436828,425.19999980926514,0.7142324393886548,920.3238942331556,225.21424694157562,127.71165022703671,901.1137113161759,216.90721543967808,138.45855967652474,6.105303941744331,1.2015141806654606,450.6000003814697,0.6367718632526403,833.2608049466002,274.1096402273915,90.14513981183929,833.2608049466002,274.1096402273915,90.14513981183929,5.986418271579327,1.2255781821773812,371.69999980926514,0.5672265498794156,-27.23399406599151,-47.83217404982449,117.54324137786293,-61.1094524481789,-46.10808520305633,128.45855967652474,261.7400003433228,-5.939999198913483,16.700000762939112,11.320000457763399,66.59999999999991,-195.14000034332287
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,783.2659043705584,184.76661708146833,74.76991669094444,783.2659043705584,184.76661708146833,74.76991669094444,5.733487702804954,1.1331569200523408,451.6000001430512,0.7118409411758635,866.7897377041271,145.3473185170496,173.9484987687273,866.7897377041271,145.3473185170496,173.9484987687273,5.848069570189221,1.0964215777707045,595.7000000476837,0.4876449069747337,732.8333379073293,101.53463709096906,172.18950674306853,732.8333379073293,101.53463709096906,172.18950674306853,5.619077427594764,1.0796683969585463,543.2000000476837,0.18412422293676156,83.52383333356875,-39.41929856441874,99.17858207778285,83.52383333356875,-39.41929856441874,99.17858207778285,133.89999997615814,182.20000004768372,204.79999995231628,115.95000004768372,204.05000019073486,70.15000021457672
Ru3Qf6pXZua1DfNkQdhbor6iJ403,686.3015567111413,100.06957137921478,248.5286036025203,646.4173543510014,62.95102248925404,286.59618270882066,5.508485865274303,1.2001143668410272,572.5,0.7863165301378927,887.8669538195146,265.69185826414787,145.99027487787208,798.3994257515963,192.6558297799112,241.28260900336804,5.505485838903908,1.404079279834175,627.6000000000931,0.7783398336797221,576.5526845006422,64.7599743394597,514.4620977031681,575.3565783202819,63.53263083070097,500.6040259568929,5.856484805934916,1.3056565413212926,514.4000000001397,0.14119480257595018,201.5653971083733,165.6222868849331,-102.53832872464821,151.9820714005948,129.70480729065713,-45.313573705452626,5.599999999860302,95.4800000001677,160.99999999976717,143.89999999997667,290.0000000000232,284.4000000001629
SOhR7IO689NQCPQu56SjATO8FR92,667.3487302870506,144.9791164701394,136.56172128469504,667.3487302870506,144.9791164701394,136.56172128469504,5.833130131325124,1.0793920484922865,373.29999999981374,0.4564209145389514,788.4019068583166,167.5451266893161,331.86950917103565,832.0176964980234,190.7877216660994,326.6973377565325,5.8608360420547765,1.5547534961056633,595.0,0.49503846053167666,716.473142403685,157.00725849587303,270.7431403526246,731.481342358663,167.24133646640047,263.2206290488148,6.02261592633226,1.1586790805887761,447.3999999994412,0.5025999700899788,121.05317657126602,22.566010219176718,195.3077878863406,164.66896621097283,45.80860519596001,190.13561647183744,233.00000000046566,224.94999999925506,307.64999999990687,415.9500000001865,529.6000000000929,296.59999999962724
SPCT9D90pRa1ihXS5jEw6vCmquI3,450.185221050502,52.69687996314677,154.64867357771357,450.185221050502,52.69687996314677,154.64867357771357,5.002237275626495,1.1561770914878953,390.0,0.5318810052238956,511.56844749301337,97.61239495740355,188.33477631145774,505.33022925120366,99.10648999787597,197.5661491846806,5.413331159157011,1.2621647183239644,370.0,0.3503847300934799,541.2481258246662,125.64324666620924,207.3082541863161,550.3907549526322,135.8985259725595,201.40432192301785,5.749357823300872,1.1294951601537981,334.7000000178814,0.23492857204365747,61.383226442511386,44.91551499425678,33.68610273374418,55.14500820070168,46.4096100347292,42.91747560696703,34.60000000000002,91.91000002026556,69.3999999910593,78.56000000238419,117.040000012517,82.44000001251698
SpSfX0ZcfcPLdlOENlfdfvEPwru2,630.0778218610805,72.38194310690943,222.11552379170305,630.0778218610805,72.38194310690943,222.11552379170305,5.60473164825835,1.0919049961045053,487.0,0.46682110598067506,743.0852670466937,200.68751243281176,119.82825764280192,710.6397776873472,182.9788654074065,143.36380517488718,5.879659054157519,1.1198370050027844,391.0,0.2942247696786078,697.0083815813234,133.03668213930428,148.76442181890252,697.0083815813234,133.03668213930428,148.76442181890252,5.3231001867444006,1.1972181556371693,546.0,0.7580796843477743,113.00744518561328,128.30556932590233,-102.28726614890114,80.56195582626674,110.59692230049706,-78.75171861681588,-52.40000000004659,2.799999999906845,39.49999999994179,115.19999999999993,-77.19999999994184,-24.79999999989525
SvtOrPatsnWjicxtyndEzSdO5Wp1,743.4785384036633,108.71513685899305,13.669540588171154,743.4785384036633,108.71513685899305,13.669540588171154,5.387475926590575,0.9915565514414856,490.2000000476837,0.822059112309342,568.8652939936717,155.3075389732238,226.84734324265267,568.8652939936717,155.3075389732238,226.84734324265267,5.5337854618965245,1.2766204640317402,408.8000000715256,0.8109203419723559,571.198175259214,105.52833686928625,216.60065750671907,565.2193098152513,103.42532079535356,220.64816005038912,5.74356721456724,1.1170633839191977,370.8999999761581,0.49511305278210394,-174.61324440999158,46.592402114230765,213.17780265448152,-174.61324440999158,46.592402114230765,213.17780265448152,-179.44999998807907,-66.00000005960464,32.0,86.75,282.44999998807907,461.89999997615814
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,677.0858443633117,130.04772018361578,200.86043418509416,677.0858443633117,130.04772018361578,200.86043418509416,5.921088802326452,1.0970658583985482,403.2999999821186,0.6622626865237923,586.3282238868616,80.83916379730492,307.0606628339085,586.3282238868616,80.83916379730492,307.0606628339085,5.769403052918523,1.1524940298100277,446.59999999403954,0.6642011100131512,654.3964106875057,17.965019711224187,283.99343416741783,654.3964106875057,17.965019711224187,283.99343416741783,5.2113805466894085,1.2910237744786843,639.7000000178814,0.6639252516233514,-90.75762047645014,-49.20855638631086,106.20022864881435,-90.75762047645014,-49.20855638631086,106.20022864881435,-24.650000020861626,-63.05000001192093,-24.600000008940697,21.200000017881507,43.44999998807907,68.1000000089407
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,464.74294418224923,57.571154138853345,105.14603950337468,464.74294418224923,57.571154138853345,105.14603950337468,5.224566772418087,0.9857900375518359,338.2000000178814,0.6774292654954659,482.60972437951165,43.25458715646804,195.5542642228042,476.4576134903934,39.2459571886371,198.75089704657717,5.005119642890217,1.23455392722049,440.40000000596046,0.47528807403175843,463.6050885664688,74.46634641121759,106.93709208318035,460.34936500647166,74.29350693499991,110.17431725951037,5.043075150296282,1.1063793125311572,357.39999997615814,0.441086007308226,17.866780197262415,-14.316566982385304,90.40822471942951,11.714669308144153,-18.325196950216245,93.60485754320248,30.29000000059608,49.140000006556534,66.25,155.6000000059604,162.71999998688682,132.42999998629074
