participant_id,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_rt_sd_all,stroop_rt_iqr_all,stroop_rt_skew_all,stroop_rt_mssd_all,stroop_exg_congruent_sigma,stroop_exg_incongruent_sigma,stroop_exg_neutral_sigma,stroop_exg_sigma_interference
9NTZ091xWyOO8DgzyTGY0O3i8IR2,0.31795788247945134,0.24068532575420956,0.45288567938970936,264.9981698817125,301.0999999989291,2.5744178631937396,139772.16878499513,10.0,199.13367142112168,172.26288134503565,189.13367142112168
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.39172722155593714,0.3776400157725555,0.3756644258809665,465.6564957750546,429.75,1.458852399881371,259947.67619048283,115.03633193023842,153.33235552887444,94.12570755400591,38.296023598636026
9g0uWFg7uhR46Q0VoG6MzqHOUL12,0.4009942203360538,0.41730303811646674,0.384208575674749,444.27611238589554,582.3500000238419,1.2220203196738242,245200.09820428086,148.77297295985065,246.6426828769384,280.17263395639617,97.86970991708776
9l7DjYLs0XdgwykPZR5E01KTZfu2,0.3069059759690317,0.3728274676595798,0.22800434758559676,244.81065603784918,257.9749999642372,1.796284956982125,105999.01654117044,120.53980978094404,22.58137559453817,56.43008944453384,-97.95843418640588
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.39252192150815457,0.46186979605344713,0.2637944054355429,338.0031707333707,337.6500000953673,1.786977991170199,203420.0094504133,54.065003066890185,43.95408291988173,62.92475941896234,-10.110920147008455
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.21767184708041173,0.21972019931696946,0.1383955583599321,189.30880229367523,230.72500085830688,0.3041297211302452,68485.40431005032,105.7555242263201,200.29501160686684,182.8863756120316,94.53948738054672
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.34880622579300935,0.335382238284758,0.2786040040854641,332.52601818301247,320.299999833107,1.5013037368892148,216064.6188275835,245.292348930956,186.45596697326616,125.18870314605653,-58.83638195768984
AsXBOflrszVNKoFqbN61bMJqS0k2,0.3239716361451861,0.35379834104613206,0.31106427939882175,250.4813702479263,275.4999999701977,1.5038984291227313,122151.98223374893,88.37499081881528,136.15053857524555,56.17426079570689,47.77554775643027
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.37915476693855266,0.41369727471311774,0.3316378593150352,386.2884936659113,321.17500001192093,2.222669230935224,207618.0953254988,48.17410501114155,98.32173142667534,114.75648698179948,50.14762641553379
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0.315699649421415,0.32605596839458495,0.26361365058996544,260.9351143104859,321.89999999990675,0.905561601416763,124270.35074765484,108.89835106461572,180.39309428108203,88.26845151861926,71.4947432164663
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.2535569900155447,0.18350515621001545,0.20900629488138717,244.28619517623997,375.94999986887,0.3636153987024836,119326.05018083609,78.58971334824268,210.39806811543724,203.15971469716612,131.80835476719454
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,0.29207371184856395,0.2932893348803481,0.2683021399863117,251.24478175775138,217.79999989271164,0.08245597641625516,106998.65626241585,212.0245535422942,212.65001483039632,229.9526603918693,0.625461288102116
CDEoAyvS8feXLKMKsaZah9agEhF3,0.289099633949268,0.3371134661890007,0.1593011081825294,242.13245388089896,202.22500000009313,1.7026585922325452,91620.20149531336,75.01573649527516,134.01886926054422,132.0064998798783,59.00313276526906
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.41403602977187326,0.4097963475969656,0.35117534647977083,436.9360558892219,461.39999997615814,1.3209568846482256,315516.77648781857,114.56791721557536,149.66275187584571,148.16073541974563,35.094834660270365
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,0.2991532582776029,0.37390402807844875,0.22618483554121366,277.66103562665734,331.9250000001632,1.1318848661182328,99750.10504674386,137.11244576626217,199.4916687778942,143.0907075846722,62.37922301163204
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.2893277270028129,0.29319995229374607,0.25534954383961417,228.28011239733934,214.95000000065193,0.7683586013917962,84394.52411209549,185.46485657492596,119.15633405430091,145.3297035025655,-66.308522520625
Cbkx2NHyF3NrebzXGqNgSfiWent1,0.25519662641055313,0.24902030530242256,0.1978726945920111,217.1789452841361,280.3750000037253,1.05695798956323,84682.32308377062,79.72144643478109,29.350617330295336,191.39621133907315,-50.37082910448575
Co587hoelyeANqFX7AYvuVQW0lZ2,0.3292170891016272,0.324432962733127,0.37099884501126135,213.60976478686715,258.3999999761582,0.8157589436537322,77079.34065415536,106.05868730626491,115.86024403710076,112.8883002324837,9.80155673083584
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.2386053334114638,0.25471397045395905,0.23879873305985266,189.1148314372359,257.54999999987194,0.3265164016418341,70302.63308410134,152.88688888428075,208.3127851860432,129.99255644370427,55.42589630176244
DAKDKPH698P12JfTbbjemLI6PIH2,0.20592863130589323,0.2624838385564825,0.1297339367966353,130.65542429960487,102.65000000596046,2.491033352095523,29980.725701721036,40.90751513898548,10.0,33.592678510625795,-30.90751513898548
DPvStUYSmohmXwFwaKRqHv89R3k1,0.3384176186093345,0.3480368658853614,0.32595443167400495,336.8612109147232,351.4250000119207,2.0378453286361324,172580.75860432308,30.59723814984071,95.987378882366,91.92739136363424,65.39014073252528
DaRehVxIOhXtEtUExdgvUl0mKcx2,0.32995524095737444,0.2868142172609577,0.31705081202762897,410.63785176771745,614.9499999582767,0.6841994899260517,329097.05159585254,141.55411541923652,428.3947298459201,165.150193354547,286.8406144266836
Df83JuPuJkXqTGbENhM2gw5SJM43,0.3543127308845436,0.3129438963452588,0.34663476131269705,389.0196312787442,377.1500000001979,1.2065628736466227,258412.6536448751,94.64859486405584,67.96404650486,159.21719280065187,-26.68454835919586
DxSidjznjVSNDJuDqqGgxpMEGtw1,0.2450342981748313,0.2263283382843267,0.23402141286895398,270.62654243197915,310.9000000953673,0.02914052382455346,121217.71597258165,235.02628306773985,262.4599786437132,272.2014341622167,27.433695575973303
DzB19GqCB7fyrlEPexogWkjFzEx2,0.3326479816527143,0.32387038757484343,0.3373515253848567,413.55613007912433,406.424999833107,1.4132597870358015,292086.05419499177,138.8375177300447,106.49357222791328,256.48334359949706,-32.34394550213142
EEodWwGh0wWq5f8JmzfKvq0lyeu1,0.3613980595050252,0.36686862964693007,0.3138275452838673,263.2215996178224,266.25,1.400603126005631,120431.7663551402,133.56971126450694,142.1444512544535,150.55526298780916,8.57473998994655
EUhcW9kURScie1DwGPHqmNqotJB2,0.2719031095812631,0.2973730300840613,0.2590339111103873,309.33384552412497,304.6499999165535,0.8187501106236041,189160.03167423586,171.48976593365424,249.98904893194756,167.12145389466502,78.4992829982933
EmfmKFDgWJdW47a6CNTNjnbYaPh2,0.26238132378788737,0.2529105042829479,0.2324187902420576,236.9327648389017,339.9500000476835,0.7797244537260283,100859.54579596808,126.37272078831204,227.11240030866628,127.29876444521908,100.73967952035424
EoToosG69XMp4LTYdB6sB9WTrv22,0.21348134267010652,0.23495806884626874,0.24067154693769435,155.27189890194532,148.4999998807907,0.9365627849083104,42938.96103323838,116.56604710231396,113.97299866902527,62.23246840351685,-2.5930484332886863
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.23177007583126627,0.2831125835583934,0.16741657993759,227.97569924665476,208.49999994039536,0.926583988500986,96319.34719394484,74.1059430260984,194.09773170411367,207.8667297711095,119.99178867801528
G1Ff3XYUZMRsPafyEQ80ussnVlf1,0.2598647642753475,0.2626020570596548,0.257762976266673,253.4959120103829,302.1999999284744,1.2445615389735443,112924.80738142038,18.515249260157717,198.09019309813868,105.44329688507744,179.57494383798098
G9VruXninjUdE9czK2DambZl5li2,0.359173283844999,0.388310997473448,0.2709111095039938,274.2587333226431,259.75,1.1989854710739138,121262.49532712059,117.81256892539952,137.0794805944646,120.94880464073924,19.266911669065067
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.24267876500546184,0.22659238374657242,0.2772654763922615,232.4345752896031,182.70000010728825,1.8610972966083785,94977.58327445442,121.5061575760218,64.8559508405279,59.71417766951805,-56.65020673549391
GE4hogtdLdTFbNasENgtm6SO3hC3,0.338201582425217,0.3463294460543981,0.35806646711209134,409.1041218378238,443.95000000298023,0.8267076639840804,268364.6582065391,228.24986419709933,313.3134527692291,267.68794128211204,85.06358857212979
