participant_id,phase,category_slope,n_categories
2FHuv7L9nWPdbIiWHRIuXtcoyw83,exploration,0.07408979766168972,6
2FHuv7L9nWPdbIiWHRIuXtcoyw83,confirmation,-0.005289568208851863,6
2h5FgHUEvBS1twD5DqbTIRrMm1f2,exploitation,0.09661353460456952,6
2h5FgHUEvBS1twD5DqbTIRrMm1f2,exploration,-0.18632645983910515,6
2h5FgHUEvBS1twD5DqbTIRrMm1f2,confirmation,0.05229601277022977,6
2zDXvJKvjeejeOSNbtDbtSI5cdz1,exploitation,-0.04197404630993837,6
2zDXvJKvjeejeOSNbtDbtSI5cdz1,exploration,-0.1117072545329169,6
2zDXvJKvjeejeOSNbtDbtSI5cdz1,confirmation,-0.0457775297074786,6
3FSnTCSiUodLp5u3bE0xaUjLk0b2,exploitation,0.008963188800495427,6
3FSnTCSiUodLp5u3bE0xaUjLk0b2,exploration,-0.1342038748293707,6
3FSnTCSiUodLp5u3bE0xaUjLk0b2,confirmation,-0.055479599699361115,6
3WijiOiVCoMbn80F05SPYsxl0TC2,exploitation,-0.08901910405853897,6
3WijiOiVCoMbn80F05SPYsxl0TC2,exploration,-0.04192854495824042,6
3WijiOiVCoMbn80F05SPYsxl0TC2,confirmation,-0.135524810526355,6
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,exploitation,-0.07549709806869818,5
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,exploration,0.05190220809399884,4
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,confirmation,-0.0954392308137008,5
3xCaqfcHxRQxuOlEzXz3PNcHODH2,exploitation,-0.05739798720721986,6
3xCaqfcHxRQxuOlEzXz3PNcHODH2,exploration,-0.04519221876798934,3
3xCaqfcHxRQxuOlEzXz3PNcHODH2,confirmation,-0.051926549943233584,6
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,exploitation,-0.05211320054886818,6
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,exploration,-0.18940142009713273,6
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,confirmation,-0.05160995244319124,6
50R0P1MIMvRvK1qpqfGROchII6R2,exploitation,-0.10640038816501543,4
50R0P1MIMvRvK1qpqfGROchII6R2,exploration,-0.14407984642471283,5
50R0P1MIMvRvK1qpqfGROchII6R2,confirmation,-0.13866436976515473,4
5OOi73igsahMZ5IVKQwwyhnj4Cn2,exploitation,-0.025504883165714344,6
5OOi73igsahMZ5IVKQwwyhnj4Cn2,exploration,-0.023892685519618498,4
5OOi73igsahMZ5IVKQwwyhnj4Cn2,confirmation,0.02282161351791581,6
5Z68AKm9rIeeB2lVu3nJO7U31wk1,exploitation,-0.03162653631898198,4
5Z68AKm9rIeeB2lVu3nJO7U31wk1,exploration,-0.2188643460059182,4
5Z68AKm9rIeeB2lVu3nJO7U31wk1,confirmation,-0.077468425174377,4
5rXSa3anB5ejmFrnwUsTB82byup1,exploitation,-0.04389837999089085,6
5rXSa3anB5ejmFrnwUsTB82byup1,exploration,-0.14883994854989044,6
5rXSa3anB5ejmFrnwUsTB82byup1,confirmation,-0.023598077322859706,6
5zxa5CMLGQSSonWOXqXf0QNS3PH3,exploitation,0.015903710103729537,6
5zxa5CMLGQSSonWOXqXf0QNS3PH3,exploration,-0.12599182009993995,6
5zxa5CMLGQSSonWOXqXf0QNS3PH3,confirmation,0.0318154391864819,6
62fAfeQc27bZelkPX7G54T3gvci2,exploitation,-0.036652843809365565,6
62fAfeQc27bZelkPX7G54T3gvci2,exploration,0.026049806760293427,6
62fAfeQc27bZelkPX7G54T3gvci2,confirmation,0.02336383935136009,6
6ABZuv4jbjgE0B8TeyUk6nwVb122,exploitation,-0.04349747286380531,6
6ABZuv4jbjgE0B8TeyUk6nwVb122,exploration,0.036606788139527315,5
6ABZuv4jbjgE0B8TeyUk6nwVb122,confirmation,-0.03713829586435431,6
6WFCyGwk71XLPBmbe4Vav3eotVm1,exploitation,-0.02936556602973852,6
6WFCyGwk71XLPBmbe4Vav3eotVm1,exploration,0.3416504857976516,4
