outcome,outcome_column,n,cov_type,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
WCST WSLS P(shift|win),wcst_wsls_p_shift_win,212,OLS,0.00021606295577469847,0.03966851763854118,0.04011890687826325,0.04099314961340006,-0.00935124744656246,0.016359501076369853,0.012024826103968489,0.008086051806016625,-380.90502937073984,-383.4402921937185,-381.5397421419075,-379.73291597813886,0.03945245468276648,2.8209723461545653,0.03995404857445288,0.000450389239722071,0.0961887829697412,0.7567671530537174,0.7567671530536895,0.0008742427351368098,0.1859689718545892,0.666748353832842,0.6667483538328229,0.0028378426908920625,0.009150105527336784,0.3101431652797605,0.7567671530536974,z_ucla_score:C(gender_male)[T.1],0.005976015001349202,0.013857708894612129,0.4312411991619101,0.6667483538328229,130,0.008061780086185886,0.011999370686971548,0.502928864231319,82,-0.013785966178686444,0.014081457190759093,0.3306784800527849,2.6831327529324107,2.1313195480270846,15.249154504705924,0.03293497975722377,6.1134544886114436e-21
WCST WSLS P(stay|lose),wcst_wsls_p_stay_lose,208,OLS,0.026303504046787163,0.0321787507601311,0.036664674283408916,0.03689711367383175,0.01680402603748754,0.00822277924429271,0.007908395903809096,0.0031885126524159313,-52.13064149525076,-47.38950719418074,-46.35584393064312,-44.40603748799708,0.00587524671334394,0.4087531098081045,0.7468781764674637,0.004485923523277813,0.9359883356380918,0.33447432081702566,0.3344743208170312,0.0002324393904228339,0.0482688596873516,0.8263275146167954,0.8263275146167561,-0.01954983058395772,0.02020727630905117,-0.9674649015018927,0.334474320817006,z_ucla_score:C(gender_male)[T.1],0.0067183514180391285,0.0305794167180548,0.21970175167116437,0.826327514616727,126,-0.01657132983838642,0.027119965414482618,0.5423301263205326,82,-0.02785789500948096,0.030981924413948928,0.3714043157454615,2.763659419912987,2.1523170971870704,5.984907912027383,0.5415126852722536,5.9031699440176575e-08
"WCST WSLS P(stay|win, switch)",wcst_wsls_p_stay_win_switch,205,OLS,0.009562306243070862,0.014837396987610774,0.021010627668281323,0.034169854038980985,-0.0002440075565026678,-0.009915432233805976,-0.008655716947831404,-0.0001489836347607909,-337.10763265558467,-332.2023846399386,-331.49099822220103,-332.26522230855255,0.005275090744539912,0.3551843641356186,0.7854388599572386,0.0061732306806705495,1.2485321182410156,0.2651870116386669,0.26518701163863956,0.013159226370699662,2.6840822952863927,0.10295175740192933,0.1029517574019324,-0.011409258541800488,0.01021074809838886,-1.1173773392373414,0.26518701163865954,z_ucla_score:C(gender_male)[T.1],0.025549452142665185,0.015594938926461126,1.6383169092963537,0.1029517574019282,125,-0.016685335701141946,0.011884349361987423,0.1629305493625205,80,-0.004830993070048854,0.019031943057115804,0.800326186089396,2.425601496065563,1.9678392051543376,7.294863610142746,0.3988378862173803,3.550705782585425e-20
"WCST WSLS P(shift|lose, switch)",wcst_wsls_p_shift_lose_switch,202,OLS,0.029817124684923813,0.04893045424325826,0.055215330095865434,0.05825970347658194,0.020066543023465666,0.02466847603517819,0.02614503256035372,0.02427938349893277,35.295520326880364,37.27624632943366,37.936956037611935,39.28500181736638,0.019113329558334446,1.3129823541462793,0.2713701911908159,0.006284875852607175,1.297174721709594,0.25612716142320696,0.25612716142319747,0.003044373380716503,0.6271457619890939,0.4293714518236309,0.429371451823623,0.02871428944838855,0.025211508702850507,1.1389357847173185,0.2561271614231974,z_ucla_score:C(gender_male)[T.1],-0.029872435078480874,0.03772127641886388,-0.7919253512731634,0.42937145182362924,122,0.027324437312959436,0.03362849318293517,0.4181472729077048,80,0.03840041455999811,0.03823964144311442,0.3185525670159625,2.716064553688769,2.1114680235529018,6.538829501155187,0.4784196321955164,7.495870507578778e-12
"WCST WSLS P(stay|win, stable)",wcst_wsls_p_stay_win_stable,212,OLS,0.002282228164931177,0.03486048187387347,0.03492839730796993,0.03641150832726592,-0.007265310321528773,0.011434765414501502,0.006682399180398257,0.0033471973384955334,-363.7216831451806,-364.7596110864238,-362.7745297363881,-361.1005795146625,0.032578253708942295,2.317841147316582,0.07665701974600996,6.791543409645495e-05,0.014426560631291822,0.9045131533427735,0.9045131533428484,0.0014831110192959907,0.3139874028706687,0.5758584458161031,0.5758584458160755,0.0011487574122810498,0.0095641620068789,0.12011061831186265,0.9045131533428563,z_ucla_score:C(gender_male)[T.1],-0.008113948846295078,0.014480253105276251,-0.5603457886615637,0.5758584458160646,130,-0.004595411118444855,0.01271038351920349,0.7183053059972617,82,0.019159511305555342,0.01415466358108022,0.17988150741210035,2.6831327529324107,2.1313195480270846,14.350058680859112,0.04529419554532309,5.8953248125034475e-22
"WCST WSLS P(shift|lose, stable)",wcst_wsls_p_shift_lose_stable,132,OLS,0.012738446735874653,0.014364819583490007,0.046497523957678366,0.04952863071011271,-0.002567933934886968,-0.024747687575895405,0.0007294051076468522,-0.004127011104638978,36.953700793446274,42.73607028004909,40.36102733595061,41.940741699867374,0.0016263728476153538,0.06930318738316577,0.9761957748712727,0.03213270437418836,4.212456860568518,0.04221558094210118,0.04221558094210118,0.0030311067524343427,0.3954429869704284,0.5306088311264769,0.5306088311264698,0.06650136710547283,0.03240133021654818,2.0524270658341335,0.0422155809421012,z_ucla_score:C(gender_male)[T.1],-0.0311582260450827,0.04954853117774759,-0.6288425772563762,0.530608831126473,82,0.08582804088512914,0.04159812883309449,0.042502547696592875,50,0.03940498411470113,0.05555988359548423,0.481920418464837,3.4373566712515693,2.4640858157025645,3.1748645266129483,0.8683683081556826,3.213453186922487e-08
"WCST WSLS P(stay|win, colour)",wcst_wsls_p_stay_win_colour,212,OLS,0.0013406343285652378,0.03360127777227773,0.0349233772223243,0.04360454036677075,-0.008215914625228526,0.010144998106556335,0.006677232165416713,0.01078704910484607,-324.31349883903454,-325.27499376521814,-323.56522281516163,-323.4808573183225,0.03226064344371249,2.292253496253689,0.07922207299921866,0.0013220994500465766,0.28083820586127095,0.5967258440128003,0.59672584401283,0.008681163144446447,1.8516998001498477,0.17508727748289254,0.17508727748289044,0.005559507312645744,0.01049079041726552,0.529941700436225,0.5967258440128247,z_ucla_score:C(gender_male)[T.1],-0.021532504709882626,0.01582374446768693,-1.3607717663700483,0.17508727748289166,130,0.004949370988148384,0.013102919092762151,0.7062766588469815,82,0.015838276408740616,0.01765152443268746,0.37240567674730185,2.6831327529324107,2.1313195480270846,11.926920026024803,0.10298790120010079,2.593630554804589e-20
"WCST WSLS P(shift|lose, colour)",wcst_wsls_p_shift_lose_colour,159,OLS,0.04315693389606967,0.06141692119443165,0.07476731953329241,0.08407402716613843,0.03088971509986549,0.030744271560262604,0.03824497688329076,0.04161388273013156,34.09357184898079,37.02995703995862,36.75210352329242,37.144660173001,0.01825998729836198,0.992197039607372,0.39820886835162306,0.013350398338860758,2.193243483880444,0.14068707662752422,0.1406870766275151,0.009306707632846023,1.5343083330323342,0.21738908791597877,0.21738908791598222,0.04450306235582346,0.030050138148913046,1.4809603248840038,0.1406870766275167,z_ucla_score:C(gender_male)[T.1],-0.05432386022601203,0.04385653349615442,-1.2386720038138774,0.21738908791598474,99,0.06706279316671468,0.03970093252850696,0.09453132467616543,60,-0.0007894638573864368,0.0454368529647237,0.9862015181513751,2.7903793046550125,2.2462659079928313,11.593727781725558,0.11473605493412108,3.6535461979663094e-08
"WCST WSLS P(stay|win, shape)",wcst_wsls_p_stay_win_shape,208,OLS,0.002258094148483214,0.02012715645836327,0.020197456729822538,0.039484538468384955,-0.007475973225677945,-0.004127121847122828,-0.009050380382720213,0.005866497314778507,-346.6722854222015,-344.4312239273961,-342.4461472729341,-344.581392245992,0.017869062309880057,1.227897616303446,0.30065564555406626,7.03002714592671e-05,0.014421634910387188,0.9045317164136498,0.9045317164136498,0.019287081738562417,4.015985689143963,0.046420064745909484,0.04642006474590882,0.0011909020436086173,0.009916736919323448,0.12009011162614008,0.9045317164136517,z_ucla_score:C(gender_male)[T.1],0.030644255618807174,0.015291602426710082,2.0039924373969056,0.04642006474590852,127,-0.004337535609595239,0.01415570391950904,0.7598144797905393,81,0.005789984936802425,0.011238370965649539,0.6079299637212632,2.5531874402305514,2.029972521203061,13.636204825724855,0.05804328465647351,3.438032114078504e-23
"WCST WSLS P(shift|lose, shape)",wcst_wsls_p_shift_lose_shape,169,OLS,0.008445202156751708,0.010410225866674616,0.025576816673783753,0.026743709862549925,-0.0035012411907573426,-0.019945288677292394,-0.010512930856816816,-0.015571781012991393,67.56416545089849,73.2289156962097,72.6187447316288,74.41624224065572,0.0019650237099229084,0.10788944169583059,0.955388295121586,0.015166590807109137,2.5214791199493978,0.11425504108619638,0.11425504108619523,0.0011668931887661715,0.19303220055718237,0.6609939584883047,0.6609939584882751,0.04805874129817917,0.03026528054445331,1.58791659729012,0.11425504108619236,z_ucla_score:C(gender_male)[T.1],0.020641753014354704,0.046982021193841136,0.4393542995774866,0.6609939584882654,99,0.030769834740319545,0.03963800837613727,0.4395587992671095,70,0.08109212230475525,0.04993433158556203,0.10929662971003143,2.8167521101581783,2.159543280955618,6.447952832335425,0.48852195541438714,1.7332285648694986e-13
"WCST WSLS P(stay|win, number)",wcst_wsls_p_stay_win_number,206,OLS,0.0036364096166227045,0.026180292078500256,0.02684783071044594,0.02689694449820368,-0.006179980436415544,0.001834799380462826,-0.0024934407254200153,-0.007505688777112329,-431.03243599963616,-429.7469643288241,-427.8882226234905,-425.8986194513591,0.02254388246187755,1.5433303364401165,0.20452140570855795,0.0006675386319456855,0.13650505229224216,0.7121733331222642,0.7121733331222864,4.911378775773745e-05,0.009993319742510292,0.920471991436627,0.9204719914361039,0.003004424932690715,0.00813180572648889,0.3694659013930907,0.7121733331223002,z_ucla_score:C(gender_male)[T.1],0.0012495676472951966,0.012499852281967707,0.09996659313309035,0.9204719914361399,125,0.006649720374839865,0.011212007969244027,0.5542469877345025,81,-0.0015335133098460588,0.010974700760091405,0.8892465632046038,2.430146084188091,1.9736376051384419,9.558229392326034,0.21502038941174564,5.560996128641107e-23
"WCST WSLS P(shift|lose, number)",wcst_wsls_p_shift_lose_number,150,OLS,0.05662643779200094,0.07711997458434838,0.0777228378695658,0.09299840835883666,0.04379142334019137,0.04507552925741598,0.03902589400395329,0.048287062292018845,25.803233551141886,28.508767988029092,30.41074978490707,29.905512317884984,0.020493536792347444,1.0658912739926736,0.36562368668736905,0.0006028632852174143,0.09347455767737543,0.7602502125815,0.7602502125814605,0.015275570489270862,2.391540466375096,0.12421913732139923,0.12421913732139626,-0.00981236062809848,0.0320942175269291,-0.3057360915518592,0.7602502125814605,z_ucla_score:C(gender_male)[T.1],-0.07209541280062644,0.04661962393966963,-1.5464606255495534,0.12421913732139563,92,0.01422891950951824,0.04576425495575458,0.7566154985314786,58,-0.04179308027789183,0.039787799658910564,0.29839177741966816,2.851724680354947,2.2207998578236174,8.318584515571864,0.3053413785987973,7.904338641554381e-13
WCST BRL Posterior Entropy Mean,wcst_brl_posterior_entropy_mean,212,OLS,0.0030640102539259972,0.017830758279694936,0.020811885798707963,0.021603121541857506,-0.006476047064218227,-0.0060083009853610925,-0.007847278519378609,-0.011969320366020053,-6.393736525759721,-3.557397181745557,-2.201848351036631,-0.37322480448443685,0.014766748025768939,1.032391691130648,0.37922034117907144,0.002981127519013027,0.624120260994138,0.43043315224774203,0.43043315224774203,0.0007912357431495431,0.16497609012908002,0.6850416097652066,0.6850416097652066,-0.017685129664016835,0.02238587671263482,-0.7900128233099383,0.43043315224774015,z_ucla_score:C(gender_male)[T.1],0.01377121532168572,0.03390484516675791,0.4061724881489134,0.6850416097651968,130,-0.004533663972479562,0.027503786378158333,0.8693400565732694,82,-0.05655185629698811,0.03862575774482125,0.14729163753839905,2.6831327529324107,2.1313195480270846,5.356702055088077,0.6165197622320902,0.0011801185838854358
WCST BRL Entropy Drop Mean,wcst_brl_entropy_drop_mean,212,OLS,0.029942302713908076,0.060259529709067006,0.0607909769403745,0.07151733273581418,0.02065945393605073,0.037450294993267685,0.03330193236301959,0.03965763336890571,-213.38283364580587,-214.11421731475383,-212.23414264158174,-212.6692473669579,0.03031722699515893,2.2152743083308453,0.08745399231724382,0.0005314472313074914,0.11599833449546176,0.733764577533065,0.7337645775330903,0.01072635579543968,2.3567231348725612,0.12629344043220478,0.12629344043219895,0.004645882523776752,0.013640878704100171,0.3405852822648657,0.733764577533087,z_ucla_score:C(gender_male)[T.1],-0.031547547084112816,0.020549975793829858,-1.5351622503411895,0.12629344043220028,130,0.0008210587220351022,0.016038298087236412,0.9592536021545822,82,0.023779479778824768,0.024542473522171454,0.33566287137745776,2.6831327529324107,2.1313195480270846,6.465228041484977,0.4865934575482421,0.0003150764980161954
WCST BRL P(rule max) Mean,wcst_brl_p_rule_max_mean,212,OLS,0.001818479683762031,0.01470636199052433,0.017755525871875788,0.018434893857869006,-0.007733496587206901,-0.009208532135919212,-0.010993092883093691,-0.015246261745047285,-366.3440097603161,-363.0990425010816,-361.7561309268251,-359.90281115511516,0.0128878823067623,0.8981768320208814,0.44303214513309275,0.0030491638813514577,0.6363778184976704,0.425948561653556,0.42594856165353934,0.0006793679859932178,0.1411939648989027,0.7074873660903939,0.707487366090461,0.007647994478426495,0.009587161624580983,0.7977329242909013,0.42594856165353523,z_ucla_score:C(gender_male)[T.1],-0.0054564611775940255,0.014521216571855173,-0.3757578540746831,0.707487366090463,130,0.0025640667003076767,0.011777313284426244,0.8280110826901298,82,0.023116652837766212,0.01661446107465599,0.16817659462723758,2.6831327529324107,2.1313195480270846,3.7561093850243057,0.8074012101468167,0.00045047873648197255
WCST BRL Change Point Prob Mean,wcst_brl_change_point_prob_mean,212,OLS,0.005947690598499311,0.013600398462349728,0.01662315687546967,0.017735960554763786,-0.0035647716924240846,-0.010341339439049468,-0.01215860438671168,-0.01596917805365128,-339.2575505317427,-334.89594642819475,-333.54660431208345,-331.7866424668716,0.0076527078638504165,0.5327312979093332,0.6603243495747338,0.0030227584131199414,0.6301403973686014,0.42822171415888877,0.42822171415888877,0.0011128036792941165,0.23111092482242274,0.6312164810776517,0.6312164810776182,-0.008133980900211573,0.010246710990020986,-0.793813830421591,0.42822171415888544,z_ucla_score:C(gender_male)[T.1],-0.007459540115439984,0.015516787625398765,-0.48073997630990206,0.6312164810776261,130,-0.0020557815885282934,0.013082459629224451,0.8753898603581826,82,-0.02214433978530305,0.016856917286812496,0.1929108690636407,2.6831327529324107,2.1313195480270846,4.387994073033646,0.7341592978572069,0.00035054174158476403
WCST BRL Surprise Mean,wcst_brl_surprise_mean,212,OLS,0.00613674399143771,0.028996090757587578,0.02997947362654596,0.030791936613589144,-0.0033739091761084694,0.005428034708014451,0.00158862895220091,-0.0024652028163367756,-410.08011145802107,-409.0131677612135,-407.22797926201747,-405.40561913824513,0.02285934676614987,1.6165487385458979,0.18664330933712137,0.0009833828689583823,0.20782394047901243,0.6489608886848747,0.6489608886848925,0.0008124629870431832,0.17100812056568743,0.6796517953460053,0.6796517953459652,-0.00392610542489533,0.008612201246319976,-0.4558771111593529,0.6489608886848819,z_ucla_score:C(gender_male)[T.1],0.0053939110336830715,0.01304353812722982,0.4135312812420649,0.6796517953459862,130,0.0035273238171625865,0.010239014556872409,0.7310550949996946,82,-0.023886295957055853,0.015171607614974776,0.11954716595979022,2.6831327529324107,2.1313195480270846,8.527373405192945,0.2883914214058896,0.0003306258527165148
WCST RT Fatigue Slope (Q4-Q1),wcst_rt_fatigue_slope,212,OLS,0.003352111808152314,0.004346581044774589,0.023859272514386576,0.027368124731747767,-0.006185188557319865,-0.019819764075497792,-0.004710699997387602,-0.006006498439221852,3192.230547017483,3198.018904837741,3195.8229033018642,3197.0594715162324,0.0009944692366222752,0.06858499783293666,0.9765903564093363,0.019512691469611987,4.097874044835816,0.04423454378280104,0.04423454378280104,0.0035088522173611914,0.7359473512466197,0.3919689468484292,0.3919689468484292,-85.49178937637204,42.23233601326282,-2.024320637852565,0.04423454378280111,z_ucla_score:C(gender_male)[T.1],-54.79610704224175,63.874326234318644,-0.8578737385225159,0.39196894684843275,130,-93.09208968663133,50.369298718845,0.06695725172734238,82,-42.528590054279704,77.12805466155044,0.5829754793813453,2.6831327529324107,2.1313195480270846,2.6119769945941913,0.9184317562293263,2.8913786434028264e-11
WCST CV Fatigue Slope (Q4-Q1),wcst_cv_fatigue_slope,212,OLS,0.017676365623222057,0.02303149934061477,0.03061002737212981,0.030862157956860203,0.00827613945693706,-0.0006813283452926644,0.0022376379293628235,-0.0023925719171691284,5.421180681902285,10.262301763534367,10.61136635343604,12.556219675777072,0.005355133717392713,0.37638796100329514,0.7701249249848128,0.007578528031515042,1.6026555775577385,0.20696404675108201,0.20696404675108201,0.0002521305847303923,0.05307257342935484,0.8180313547529388,0.818031354752977,-0.029209123140671964,0.023072700038360292,-1.265960338066605,0.20696404675108768,z_ucla_score:C(gender_male)[T.1],0.008052675578686974,0.03495466381538549,0.2303748541601634,0.8180313547529957,130,-0.02846267960214448,0.028667556602051884,0.32271491563502874,82,-0.034110130115493416,0.04079334949094103,0.4056812212213776,2.6831327529324107,2.1313195480270846,4.919894833756594,0.6697383321629068,0.03236515041825889
