participant_id,ucla_total,gender,age,pe_run_length,pe_max_run,pe_num_runs,npe_run_length,npe_max_run,npe_num_runs,error_run_length,error_max_run,error_num_runs,p_error_given_error,p_error_given_correct,cascade_tendency,n_trials,gender_coded,z_ucla,z_age,ucla_x_gender
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,54.0,male,19,1.1111111111111112,3,18,1.4666666666666666,4,15,2.3333333333333335,8,18,0.5714285714285714,0.21686746987951808,0.3545611015490533,126,1,0.9992335730755291,-0.671986618316361,0.9992335730755291
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,23.0,female,18,1.125,2,8,1.0,1,7,2.2857142857142856,5,7,0.5625,0.0967741935483871,0.4657258064516129,79,-1,-1.5336303127092934,-1.1643332495580518,1.5336303127092934
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,41.0,female,19,1.0,1,2,1.0,1,2,1.3333333333333333,2,3,0.25,0.03389830508474576,0.21610169491525424,64,-1,-0.06293515322133196,-0.671986618316361,0.06293515322133196
jzdk8E3tVXTXIozlfK5oeEb7wWp2,37.0,male,24,1.3333333333333333,3,6,0.0,0,0,1.3333333333333333,3,6,0.25,0.08695652173913043,0.16304347826086957,78,1,-0.3897562997742123,1.7897465378920934,-0.3897562997742123
kR2rCtaPyPaj7YMizKUDn5xL2qx1,53.0,male,19,1.4285714285714286,3,7,1.0,1,4,1.5555555555555556,3,9,0.35714285714285715,0.11594202898550725,0.2412008281573499,84,1,0.917528286437309,-0.671986618316361,0.917528286437309
kxerHPSL3bQjD74HhiebYf3blPr1,43.0,female,19,1.5555555555555556,5,18,2.08,5,25,3.4782608695652173,10,23,0.7215189873417721,0.4791666666666667,0.24235232067510543,128,-1,0.10047542005510819,-0.671986618316361,-0.10047542005510819
lHDkoPQu5reNCO45npeYSS9eLQl1,36.0,female,20,1.6,3,10,1.5833333333333333,4,12,1.9444444444444444,4,18,0.4857142857142857,0.2328767123287671,0.2528375733855186,109,-1,-0.47146158641243235,-0.17963998707467013,0.47146158641243235
lpzDdvuMkKWkPxu6xeclmdctEp42,52.0,female,19,1.2857142857142858,2,7,1.3333333333333333,2,3,1.625,3,8,0.38461538461538464,0.11428571428571428,0.27032967032967037,84,-1,0.8358229997990889,-0.671986618316361,-0.8358229997990889
mUZzgdWKnPb2txOkJg9FHgqX5792,33.0,female,19,2.2857142857142856,3,7,1.2857142857142858,3,7,1.7857142857142858,3,14,0.44,0.1728395061728395,0.2671604938271605,107,-1,-0.7165774463270926,-0.671986618316361,0.7165774463270926
mg2WZiRBn4NQDKiMK43Y8dBqyG53,54.0,female,21,1.5,2,8,2.5,13,8,2.1333333333333333,13,15,0.53125,0.16129032258064516,0.36995967741935487,126,-1,0.9992335730755291,0.3127066441670207,-0.9992335730755291
mwsliuPsLFhRFjtjQwYkqcCRDvi2,49.0,male,21,1.4,2,5,1.0,1,3,1.4285714285714286,3,7,0.3,0.09836065573770492,0.20163934426229507,72,1,0.5907071398844287,0.3127066441670207,0.5907071398844287
nT1qJOiMyDdJ9ui4el195A8Hsgs1,62.0,female,18,1.1666666666666667,2,6,2.0,2,1,1.5,4,6,0.3333333333333333,0.08695652173913043,0.24637681159420288,79,-1,1.6528758661812897,-1.1643332495580518,-1.6528758661812897
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,29.0,female,19,1.5555555555555556,4,9,1.0,1,1,1.875,4,8,0.4666666666666667,0.11594202898550725,0.3507246376811594,85,-1,-1.043398592879973,-0.671986618316361,1.043398592879973
