participant_id,ce_after_congruent,ce_after_incongruent,cse,n_trials
DzB19GqCB7fyrlEPexogWkjFzEx2,-24.20659340344946,228.67809986261932,-252.88469326606878,105
EEodWwGh0wWq5f8JmzfKvq0lyeu1,117.05555555555372,149.85565217391547,-32.80009661836175,101
EUhcW9kURScie1DwGPHqmNqotJB2,289.15454545707416,16.537272697361914,272.61727275971225,106
EmfmKFDgWJdW47a6CNTNjnbYaPh2,184.6572649662312,205.0473244214138,-20.39005945518261,107
EoToosG69XMp4LTYdB6sB9WTrv22,90.20448725651477,57.63068184527481,32.57380541123996,106
Fz7EUjZCLuUBxLDUVtN6djaBTy42,-30.848484849929832,158.1470476220902,-188.99553247202005,107
G1Ff3XYUZMRsPafyEQ80ussnVlf1,71.28499997655558,212.71851852205054,-141.43351854549496,107
G9VruXninjUdE9czK2DambZl5li2,61.77777777770007,109.84722222223195,-48.06944444453188,104
GDZGRW51kbWtAdUIHCtEd8sAtqY2,-144.12058813899182,-5.467777784665373,-138.65281035432645,107
GE4hogtdLdTFbNasENgtm6SO3hC3,-128.54166666915035,236.28538587297908,-364.8270525421294,103
GEwkBw3YHaNp3TCh9YS9PKVfavz1,46.691111116939055,126.90999998564894,-80.21888886870988,106
HSggdq91WiQp16bOj7V3dABkcgk2,-1.6377777496973067,136.01483516051223,-137.65261291020954,107
HbydnnT1hUP3WagAy2TJAc6GqVs2,74.09374996423719,58.2889999938011,15.804749970436092,107
HyQM2xKwwuVfqidmRYF6TiRk90C2,28.17727273296225,30.792261906500357,-2.614989173538106,107
IaTJhUGICmO9xcL3605RW8QHneN2,120.02708332882162,143.82712550081226,-23.80004217199064,105
JntnHLHjYhc0xJJQALM3h9R5Ozv1,291.1472222275204,-11.286287624899728,302.4335098524201,105
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,99.92045453868127,100.83565216769341,-0.9151976290121411,107
K26uNuY0VNPjJNF26wEx3bFg0kr2,-86.59523809522705,168.84902597403357,-255.4442640692606,106
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,-30.64285714286416,109.32233883060292,-139.96519597346708,107
LSLmd8jENtONZFVkIpRDX665Bu73,336.2992307773003,204.9653846258883,131.333846151412,107
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,-53.85486111169064,-3.5638461557717847,-50.291014955918854,107
LliUMEIsrCVZ88YFQfevan2Og4z1,85.00000000003877,137.09130434779263,-52.09130434775386,105
M4Km1Q2P2oPliChDQkwl6k20FUI3,258.68106058149624,105.79686956571493,152.8841910157813,106
MMSYeiMQi3gMr4PrXQcpXzFiegj2,420.1252746293833,222.0496894483981,198.07558518098517,106
O61Eik2zvrSQLMNpFbTNEgjWwMr2,44.74999999987574,-124.46789297527539,169.21789297515113,106
OExlWyngGfPrScDYjaRcv5PIAet1,298.0044643272247,128.4571687848511,169.5472955423736,107
ORuVuFPU5idz3fMoXTGsbwToW2j2,-154.69318178567016,22.834181775179786,-177.52736356084995,106
ORvIk1xRWIQmKuLVe6GXNouvAXx2,257.3727273074062,319.60495238190595,-62.23222507449975,103
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,588.3777777817514,392.9413461593481,195.43643162240335,103
PLreonkqaMeFc0UqxKUelH44UQu1,-3.2679487182161893,7.789655170704123,-11.057603888920312,104
PkpTH7pWpEOG9A86xSloOSozwTk2,4.037777741750233,-41.611153846520665,45.6489315882709,105
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,129.4571428563712,178.28888888879567,-48.83174603242446,106
QbOEVCaZLUMOgltUdXm58oZOALv2,63.48166665732856,113.8979933083458,-50.41632665101724,106
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,48.09431815553785,160.09666672746357,-112.00234857192572,107
QreA2rLiUhV3YHeMfuHMPdGbpJ53,485.4499999852409,268.45892859498656,216.99107139025432,104
Qv0jhW3sqicqQvd7LfReAsI7nD73,99.60999999940395,136.5492307728988,-36.93923077349484,107
Rc706mP0TSeIoIpMYH1SpRXjOxA2,16.329914459815427,87.6225455006686,-71.29263104085317,105
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,74.44642861684167,254.408333344119,-179.96190472727733,107
Ru3Qf6pXZua1DfNkQdhbor6iJ403,0.23760683763316592,127.143083003941,-126.90547616630784,102
SOhR7IO689NQCPQu56SjATO8FR92,285.68939393966923,368.3846666666989,-82.69527272702965,101
SPCT9D90pRa1ihXS5jEw6vCmquI3,120.32063492446673,72.38636364087915,47.93427128358758,104
