outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
Stroop DFA Alpha (correct),stroop_dfa_alpha_correct,220,0.013553423129354925,0.037257572630550184,0.0372969616596831,0.03756507200742609,0.004461749609809829,0.01476359068266575,0.010178566213477014,0.005786560234086413,-345.7064379966873,-345.05755580082314,-343.06655692452637,-341.12783489827825,0.02370414950119526,1.7563326905328653,0.1565601501324836,3.9389029132919084e-05,0.00871490259320214,0.9257103679867515,0.9256941492105039,0.00026811034774298914,0.0590579082994064,0.8082261669196827,0.8335319596677548,0.0009507055485866896,0.010181685513429673,0.09337408303691036,0.9256063792889786,z_ucla_score:C(gender_male)[T.1],-0.0037398734999099584,0.017772288361540368,-0.21043286175814752,0.8333298468298072,136,-0.0016926719775625793,0.01282703375219055,0.8950149065278502,84,0.007470732798818741,0.019115146614799804,0.6959244434057266,2.6208301257176747,2.115888261384099,3.918873708075412,0.7890727694872745,0.021074493309115937
Stroop Lag-1 Autocorr (correct),stroop_lag1_correct,220,0.003917240370296837,0.03495029904874958,0.035328058195561396,0.04117592787556812,-0.0052632458935713,0.012402408839608192,0.008154200679943435,0.009516642475233206,-373.7109084838103,-374.6740718428732,-372.76020552300497,-372.09791070576466,0.03103305867845274,2.2938627066366863,0.07893555106401862,0.000377759146811818,0.08340939005691149,0.7730100749550164,0.7698374764892513,0.005847869680006723,1.2929883679438279,0.2567815550966896,0.2653025477036819,-0.0027492461408711753,0.00938435465350062,-0.29296059690643,0.7695522700310518,z_ucla_score:C(gender_male)[T.1],-0.01630972756725031,0.014602712858447943,-1.1168970947624177,0.26403832697132734,136,-0.0022005053435780984,0.01127929591997834,0.8453205821868708,84,0.0017406301783497377,0.01874344185486204,0.9260099447009928,2.6208301257176747,2.115888261384099,7.733421870324751,0.3566864352534781,0.40063687246544283
Stroop Slow Run Mean (correct),stroop_slow_run_mean_correct,220,0.0038171721549501436,0.019051084267439844,0.01985406421651781,0.023074939532376715,-0.005364236396617095,-0.0038682829225733517,-0.007755680453439329,-0.009182020011365477,69.6612042916858,72.27091226784313,74.09075208993744,75.36661565278536,0.0152339121124897,1.1077903377663723,0.3468765106107899,0.0008029799490779643,0.17449924843783396,0.676564538640483,0.6744286213526633,0.0032208753158589065,0.6989538856084085,0.4040767240232569,0.4251297068477453,-0.01097891782237402,0.026099364906869506,-0.42065842833916256,0.674004521642982,z_ucla_score:C(gender_male)[T.1],-0.03315399554022706,0.041489431132987295,-0.7990949655095917,0.42423534866081836,136,-0.0010996687533329497,0.029993754983342544,0.9707535054410221,84,-0.019473996040005548,0.05218233447283582,0.7090060308743762,2.6208301257176747,2.115888261384099,4.12459586198888,0.7653198069121872,5.503060777140408e-06
Stroop Slow Run Max (correct),stroop_slow_run_max_correct,220,0.022747442986642552,0.031126281346277263,0.03258465432178814,0.055993013606273845,0.013740506977302891,0.00848904492913416,0.005333517823810419,0.024822971602707522,1110.500388473215,1114.6060038672867,1116.2746048822987,1112.8858465381381,0.00837883835963471,0.6168920243645893,0.604758088605197,0.0014583729755108799,0.3210962542319878,0.5715461891463898,0.6369970756730725,0.023408359284485702,5.256923137050991,0.022840490662118986,0.029669551717676407,0.15909265814874696,0.33664740678046295,0.4725794850767874,0.6365132215009377,z_ucla_score:C(gender_male)[T.1],-0.9610435220765552,0.4389811228911898,-2.1892593370461833,0.028577996050634796,136,0.5914616267187399,0.4407281462855625,0.17959271861953596,84,-0.5354864128608026,0.5284275838584925,0.3108891086962744,2.6208301257176747,2.115888261384099,14.01084629304011,0.050988777517741446,7.043371852057304e-15
Stroop Fast Run Mean (correct),stroop_fast_run_mean_correct,220,0.002653908837242147,0.017005532954440628,0.018563924654395936,0.022972343976589205,-0.006538221035225611,-0.005961627490549182,-0.009082161975057623,-0.009288003156259217,77.40578671334066,80.21702953828077,81.86797546025338,82.87755233076388,0.01435162411719848,1.0414597653878535,0.37512063479887897,0.0015583916999553082,0.33821604934748073,0.5614757147244792,0.5593825618195809,0.004408419322193269,0.9565593057097398,0.3291700239280523,0.34787416733502197,-0.015557371967970565,0.026608411639111595,-0.5846787166018902,0.5587637675932611,z_ucla_score:C(gender_male)[T.1],-0.039453097446284086,0.04193534661299709,-0.940807710745291,0.34680340872349424,136,0.0013617913822838723,0.03170410099725731,0.9657388707743046,84,-0.03796960414464895,0.050509504868002854,0.4522123254237157,2.6208301257176747,2.115888261384099,3.8306070215253296,0.7990684522741325,1.0520855364767254e-05
Stroop Fast Run Max (correct),stroop_fast_run_max_correct,220,0.01690415823926572,0.030719702590693565,0.04139146002477978,0.04463136268646617,0.007843367070964113,0.008072966669915305,0.014388402560689073,0.013086171831774074,1033.5570426841944,1036.4434310911768,1036.0078024696531,1037.2629876674323,0.013815544351427844,1.0167428689471176,0.38614612581081925,0.010671757434086215,2.3712331349761575,0.12507364815207736,0.10224273167077459,0.003239902661686389,0.7189469461850475,0.39744582723536526,0.3876938317246251,-0.3602414401955728,0.2195059478634719,-1.641146600818468,0.10076698725618324,z_ucla_score:C(gender_male)[T.1],-0.2992839403273969,0.34575738929139377,-0.8655894265651386,0.38671535600323137,136,-0.1696167254847758,0.2832001062761483,0.5492203047665705,84,-0.7353508781704595,0.33796621541530497,0.02956933628170846,2.6208301257176747,2.115888261384099,5.324802354351171,0.6203912713429175,4.589105366112785e-11
"Stroop DFA Alpha (incongruent, correct)",stroop_dfa_alpha_incong_correct,220,0.0028274842927388244,0.04734613510944541,0.04819811017788822,0.04983208076841228,-0.0063630458059456,0.02508786723817069,0.021386789337828782,0.018458611737180664,130.02438000199402,125.97650526247793,127.77966737102525,129.40166597832217,0.044518650816706584,3.3334917070044514,0.020377139827917036,0.0008519750684428118,0.1906601484183223,0.6628100486495027,0.743383993137861,0.0016339705905240587,0.36456899688975913,0.5466251405803956,0.6146799159249083,0.012965385787940764,0.039552593750951694,0.32780115179244845,0.7430620163973296,z_ucla_score:C(gender_male)[T.1],-0.02707296692818377,0.05370028344896479,-0.5041494232318744,0.6141563785160833,136,0.05288037691553816,0.04890545435670019,0.27957360659090147,84,-0.08018906604874396,0.06325692463408397,0.204914916579081,2.6208301257176747,2.115888261384099,4.883901569238411,0.6741288390031377,0.00019733150235704715
"Stroop Lag-1 Autocorr (incongruent, correct)",stroop_lag1_incong_correct,220,0.014489971409087143,0.02743974062193033,0.04043649644080394,0.04096299917935786,0.005406929670922045,0.004716370075713683,0.013406538594066042,0.009296683114525361,-154.41164727405106,-151.3216457373564,-152.28142446571525,-150.40216935776033,0.012949769212843187,0.9498128213054863,0.4174080757359504,0.012996755818873607,2.8849669450243973,0.09087003571364578,0.10567410462611991,0.0005265027385539245,0.11638610447553681,0.7333254660522392,0.7362278942196896,-0.026686792927732156,0.01642419622463998,-1.6248462063364768,0.10419533274660354,z_ucla_score:C(gender_male)[T.1],-0.008098805282509775,0.024011012482918027,-0.3372954509215905,0.735894188630946,136,-0.02061090531849656,0.02017868580329964,0.3070556799294426,84,-0.03636728795213015,0.03169402173757082,0.2511959119320538,2.6208301257176747,2.115888261384099,10.693667679866095,0.15255047007870598,0.44173764174530095
"Stroop Slow Run Mean (incongruent, correct)",stroop_slow_run_mean_incong_correct,220,0.002312322942421341,0.004471209992091274,0.02073908442186534,0.020739545046200014,-0.0068829551871416594,-0.018788808466037477,-0.006845730101462388,-0.011594526579632891,258.5133580448851,264.03678628812366,262.4120830356178,264.4119795520868,0.002158887049669933,0.15469227117168416,0.9265849992460422,0.016267874429774065,3.538441286096031,0.06132605159197936,0.0533921949002921,4.60624334674975e-07,9.972051709206478e-05,0.9920418351240403,0.9918713029369784,-0.07584869320902707,0.039046502193534637,-1.9425220941195132,0.052073927890574995,z_ucla_score:C(gender_male)[T.1],-0.0006085522466510035,0.059661928712627446,-0.010200009617225187,0.9918617109248187,136,-0.044788552614831445,0.044009936288382366,0.30882443095633827,84,-0.1494181912195012,0.07938476789678192,0.05980855607135557,2.6208301257176747,2.115888261384099,7.216614282600437,0.40668007450525995,1.8170689571891057e-07
"Stroop Slow Run Max (incongruent, correct)",stroop_slow_run_max_incong_correct,220,0.02133476390621003,0.029941705551234432,0.031703205835017956,0.03203233424269025,0.012314807813179729,0.007276792129534249,0.00442723980220161,7.113773183575756e-05,828.2082147972607,832.2648509029897,833.8649962309653,835.7902045360454,0.008606941645024402,0.6329123114131561,0.5945325662288661,0.0017615002837835236,0.3874840469439525,0.5342906873810045,0.5525647896661333,0.0003291284076722967,0.07208424919021099,0.7885870190505087,0.8153143755701463,-0.09198390720445548,0.1546297586759365,-0.5948654902658788,0.5519333866995357,z_ucla_score:C(gender_male)[T.1],0.05995079035805846,0.2563463121692448,0.23386640459441363,0.8150886952597082,136,-0.08493770575123527,0.1948998238429454,0.6629804942096416,84,-0.11728665667595506,0.27885431411772627,0.6740457999759739,2.6208301257176747,2.115888261384099,2.7708007556430947,0.9053648074742757,5.465091113458301e-09
