outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
Stroop Slow-State Prob (Post-Error),stroop_slow_prob_post_error,135,0.1,0.0282089011935428,-0.0104960968036457,0.0171115588707199,-0.0022837442078463,0.0518458218583764,-0.0501503104316827,0.0165201395587336,0.0128823221173362
Stroop Slow-State Prob (Post-Error),stroop_slow_prob_post_error,135,0.3,0.315278510837029,-0.1356065657285939,0.039354974920742,-0.0796211251447182,0.048145895400213,-0.0875714049475635,0.051035600864588,0.0418218261242606
Stroop Slow-State Prob (Post-Error),stroop_slow_prob_post_error,135,0.5,0.555753215231414,0.0052079711582713,-0.0044657614727391,0.0263019179497308,0.100922218345048,-0.1168969035270389,-0.0436188058741764,0.085838677793995
Stroop Slow-State Prob (Post-Error),stroop_slow_prob_post_error,135,0.7,0.7874514371127128,0.0636428941839014,-0.0365831378143415,0.0613299204994487,0.0857154350788769,-0.2072704433635557,-0.055291592459281,0.1425272026524018
Stroop Slow-State Prob (Post-Error),stroop_slow_prob_post_error,135,0.9,0.9999986963702928,-1.644551690413317e-06,-1.1333212540654003e-06,-5.501424711851437e-07,1.6197374529525758e-06,-2.724984370061217e-06,1.3173805613888886e-08,3.218888215619584e-06
Stroop Slow-State Prob Delta (Post-Error),stroop_slow_prob_post_error_delta,135,0.1,-0.0998418108181048,-0.0302140445458983,0.045701182749756,-0.0840410149001872,0.0486997916592499,0.0002231542008512,0.0364873406697411,0.028001729652639
Stroop Slow-State Prob Delta (Post-Error),stroop_slow_prob_post_error_delta,135,0.3,0.1137821283677651,0.0212112128060388,-0.0551940244816996,-0.0538973755872743,0.0632483497874939,-0.0864857499006923,0.0332429851881025,0.0547497910597409
Stroop Slow-State Prob Delta (Post-Error),stroop_slow_prob_post_error_delta,135,0.5,0.2482232578295556,0.0550074203640459,-0.0225272141240082,-0.0084270841244585,-0.0119628482966211,-0.0474326393398503,-0.0060020631409703,0.0117144648906535
Stroop Slow-State Prob Delta (Post-Error),stroop_slow_prob_post_error_delta,135,0.7,0.4014029195709606,0.0191626810069552,0.0458164726640503,0.0067297156624649,-0.0146593237554925,-0.0855876167330222,0.0218916443940923,0.1017402500189571
Stroop Slow-State Prob Delta (Post-Error),stroop_slow_prob_post_error_delta,135,0.9,0.7542691820916946,-0.067412637642766,-0.0083992105356145,0.0857882423684979,-0.1079593141559317,-0.0921905438652021,-0.1148591175649857,0.1350688778222456
Stroop Slow-State Prob (Stable),stroop_slow_prob_stable,219,0.1,0.0600896499750248,-0.0029548259991753,0.0167583134981125,0.0155059724805497,-7.393428467679482e-05,-0.012352374016003,-0.0198023470991054,0.0378558802968996
Stroop Slow-State Prob (Stable),stroop_slow_prob_stable,219,0.3,0.1143625490129428,0.0007886949441674,0.0252616990377686,0.0232833794981412,0.005817689543934,-0.0094893683969894,-0.0061856441531277,0.0292717218663748
Stroop Slow-State Prob (Stable),stroop_slow_prob_stable,219,0.5,0.1777980459454276,0.0066589764181511,0.0461622228450202,0.0114439336717475,-0.0091362242213401,0.0204874093220977,0.0075382306478208,0.0192332151051977
Stroop Slow-State Prob (Stable),stroop_slow_prob_stable,219,0.7,0.3375484035770507,0.0202097597760648,-0.0428780631038476,-0.0072742558831019,0.0147929614167847,-0.0220917633719307,-0.0023078238789282,0.0537992279147241
Stroop Slow-State Prob (Stable),stroop_slow_prob_stable,219,0.9,0.6089422751984599,0.0396811818383726,-0.129140853601203,-0.0170374579070502,0.0911352278062648,-0.0685006811916848,-0.0494460984048735,0.0104899487932112
Stroop Slow-State Prob Delta (Stable),stroop_slow_prob_stable_delta,219,0.1,-0.0322505069042441,0.0006714275579797,-0.012676941396084,-0.0018934389358785,-0.0089905792460904,0.0079801892117474,-0.0051390767061823,0.0019758211232476
Stroop Slow-State Prob Delta (Stable),stroop_slow_prob_stable_delta,219,0.3,-0.0157293638887628,1.2623417330784789e-05,-0.0065737641108757,-0.0006145961626918,-0.0001555191746455,0.0005867791977021,-0.0047160867198083,0.0097694095972066
Stroop Slow-State Prob Delta (Stable),stroop_slow_prob_stable_delta,219,0.5,-0.0095502521381291,0.0005914568492538,-0.0043583517035232,-0.0009369695612607,-0.0011812852446812,0.0015887202184354,-0.0020268529653157,0.0042889925544846
Stroop Slow-State Prob Delta (Stable),stroop_slow_prob_stable_delta,219,0.7,-0.0044566862114316,0.0010092018186861,-0.0023917265078872,-0.000654177929413,-0.0011561388633685,0.000968481697832,-0.0024768044110526,0.0034121103793104
Stroop Slow-State Prob Delta (Stable),stroop_slow_prob_stable_delta,219,0.9,0.0032430663397142,0.0016747661023082,-0.0035725810318046,9.288254724405924e-06,-0.0018132088164951,5.170366691047287e-05,-0.0023860435514915,0.002615890146683
Stroop RT Interference,stroop_rt_interference,219,0.1,22.771898129611973,9.454048556929036,6.176146163937851,0.0899153989821685,10.312420637251869,17.26605863441848,-21.75993703577356,8.394732305634898
Stroop RT Interference,stroop_rt_interference,219,0.3,87.16775990353214,3.430473548324291,2.0365613586101388,-18.740486281157583,10.103759724163908,3.3381234571809117,12.636899422722392,-1.2590419353304518
Stroop RT Interference,stroop_rt_interference,219,0.5,127.49901298553918,15.351074136156404,-5.640570613455267,-23.46026122063709,6.453047364957276,-4.832749549405299,21.13374700798994,10.159358036080762
Stroop RT Interference,stroop_rt_interference,219,0.7,178.13341561286273,4.147032523522166,-20.39958364431701,-14.270971709139696,2.5283403328391625,-11.970880776539412,9.810877037379589,19.25497661962029
