participant_id,prp_exg_short_mu,prp_exg_short_sigma,prp_exg_short_tau,prp_exg_correct_short_mu,prp_exg_correct_short_sigma,prp_exg_correct_short_tau,prp_exg_long_mu,prp_exg_long_sigma,prp_exg_long_tau,prp_exg_correct_long_mu,prp_exg_correct_long_sigma,prp_exg_correct_long_tau,prp_exg_overall_mu,prp_exg_overall_sigma,prp_exg_overall_tau,prp_exg_correct_overall_mu,prp_exg_correct_overall_sigma,prp_exg_correct_overall_tau,prp_exg_mu_bottleneck,prp_exg_sigma_bottleneck,prp_exg_tau_bottleneck,prp_exg_correct_mu_bottleneck,prp_exg_correct_sigma_bottleneck,prp_exg_correct_tau_bottleneck,prp_exg_tau_ratio_short_long,prp_exg_correct_tau_ratio_short_long,prp_exg_soa_50_mu,prp_exg_soa_50_sigma,prp_exg_soa_50_tau,prp_exg_correct_soa_50_mu,prp_exg_correct_soa_50_sigma,prp_exg_correct_soa_50_tau,prp_exg_soa_150_mu,prp_exg_soa_150_sigma,prp_exg_soa_150_tau,prp_exg_correct_soa_150_mu,prp_exg_correct_soa_150_sigma,prp_exg_correct_soa_150_tau,prp_exg_soa_300_mu,prp_exg_soa_300_sigma,prp_exg_soa_300_tau,prp_exg_correct_soa_300_mu,prp_exg_correct_soa_300_sigma,prp_exg_correct_soa_300_tau,prp_exg_soa_600_mu,prp_exg_soa_600_sigma,prp_exg_soa_600_tau,prp_exg_correct_soa_600_mu,prp_exg_correct_soa_600_sigma,prp_exg_correct_soa_600_tau,prp_exg_soa_1200_mu,prp_exg_soa_1200_sigma,prp_exg_soa_1200_tau,prp_exg_correct_soa_1200_mu,prp_exg_correct_soa_1200_sigma,prp_exg_correct_soa_1200_tau
23hG7h2ByUZDbmOMTDtp0HT0xRb2,723.1089670056527,111.81914035764112,725.3078078333502,723.5673512926492,117.15454605251651,746.2595096551868,401.07246540338036,124.30484189267452,465.532052801425,401.07246540338036,124.30484189267452,465.532052801425,553.1986097595839,166.9405947979117,648.8271773039343,548.6711663366276,165.7197710815589,646.6717027890205,322.0365016022724,-12.4857015350334,259.77575503192526,322.4948858892688,-7.150295840158009,280.7274568537618,1.5580190525414452,1.6030249800511749,672.088272921165,121.17012439583598,817.4189168543916,1278.818966945217,609.6394008194085,258.956804112075,735.4072840973386,10.0,669.8563851961522,735.4072840973386,10.0,669.8563851961522,708.2132999302867,104.21970860360365,484.97039390344185,718.7551734490457,107.13601450849855,418.49500220726804,480.66974856324117,122.40172295438074,592.2338382471048,480.66974856324117,122.40172295438074,592.2338382471048,401.07246540338036,124.30484189267452,465.532052801425,401.07246540338036,124.30484189267452,465.532052801425
28nQWMwCaSNFBEXlicY3eHqpwKU2,1025.6424332539343,284.55743494909524,274.9033540179461,1026.749931777313,279.3187364254872,270.4148408684529,468.1539280699781,55.43921813813177,159.28905302994755,459.91101664301505,52.05668148573759,165.8521484719444,483.0938134004236,58.61087429230298,528.8339213540681,480.4053977851591,58.434099294651276,533.7910365243645,557.4885051839562,229.11821681096347,115.61430098799858,566.8389151342978,227.26205493974962,104.56269239650854,1.7258144787028284,1.6304572678731166,1211.4640480620715,361.32888588133926,206.95000003738843,1189.439334988099,333.7471840787787,232.65626167074126,1018.2530578866645,273.89725495978695,164.38868336147706,1018.2530578866645,273.89725495978695,164.38868336147706,555.1786803877555,10.0,560.307457518304,554.737971743805,10.0,570.349091756343,499.0267885277382,52.07618349688143,216.597711726294,496.78529268068615,50.80427811685079,212.09409877740234,468.1539280699781,55.43921813813177,159.28905302994755,459.91101664301505,52.05668148573759,165.8521484719444
2FHuv7L9nWPdbIiWHRIuXtcoyw83,762.440780164512,119.53040927233937,396.8124277324332,752.5356544224636,116.89631200502211,405.68236483835454,302.8028060222527,10.0,353.7125313265333,302.8028060222527,10.0,353.7125313265333,421.7910521607963,96.16783312711081,482.91307673587613,433.14004510430277,110.02906106923963,463.1242344831802,459.63797414225934,109.53040927233937,43.099896405899926,449.7328484002109,106.89631200502211,51.969833511821264,1.1218500691628361,1.1469267524023479,770.9886901145308,10.0,439.23502899048947,770.7184095864056,10.0,430.48008618687237,649.4580321476037,10.0,461.1679744191247,648.6305443805276,10.0,466.53552503168333,698.6147214375042,140.48715712294972,233.7165432111795,702.8160919337902,123.23505032205088,243.3694399518044,381.6191987768474,10.0,255.78160459633062,410.1782016074637,39.47294472681949,186.0114695102162,302.8028060222527,10.0,353.7125313265333,302.8028060222527,10.0,353.7125313265333
2h5FgHUEvBS1twD5DqbTIRrMm1f2,925.2717806489588,240.12624170672643,157.4690541605735,929.4501406632058,244.83465788673206,155.29585826072926,234.82961354748505,10.0,288.3214161719813,234.57552132363455,10.0,283.7758778844289,372.62048700616276,95.18736040951391,506.01645829973467,364.8945407632168,89.6725272177018,513.1098770067293,690.4421671014738,230.12624170672643,-130.8523620114078,694.8746193395713,234.83465788673206,-128.48001962369963,0.5461580213196668,0.547248270073101,1034.3158160343087,224.0888468670886,110.97242452739738,1081.487560391645,243.50574109727197,70.83995676984206,624.3208923500484,30.68934972329027,398.47681740138404,624.3208923500484,30.68934972329027,398.47681740138404,443.2409548024599,10.0,402.29237544182945,443.08200456807873,10.0,392.02724630836667,374.9067986382787,10.0,492.63638318602466,374.9067986382787,10.0,492.63638318602466,234.82961354748505,10.0,288.3214161719813,234.57552132363455,10.0,283.7758778844289
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1220.3911920464602,236.06776811526683,178.10488200125,1220.3911920464602,236.06776811526683,178.10488200125,543.4191778579916,80.61781068049115,150.74959975459728,537.7797891847383,78.3552442868613,152.00535188267102,798.6852063321145,287.92757923030274,309.3961032566979,841.5890475308167,316.5336925529307,269.0747200289376,676.9720141884686,155.44995743477568,27.355282246652706,682.6114028617219,157.71252382840552,26.09953011857897,1.1814617238863911,1.1717013894268968,1430.318961875884,313.57726406913963,10.0,1430.318961875884,313.57726406913963,10.0,1133.418182316925,146.49299824043376,223.30624520047004,1133.418182316925,146.49299824043376,223.30624520047004,830.4544275625303,116.88942771700104,353.3240725620263,830.4544275625303,116.88942771700104,353.3240725620263,593.2685674049727,41.516228451203325,272.0406551329395,593.2685674049727,41.516228451203325,272.0406551329395,543.4191778579916,80.61781068049115,150.74959975459728,537.7797891847383,78.3552442868613,152.00535188267102
3FSnTCSiUodLp5u3bE0xaUjLk0b2,855.4137592198615,203.5331434310253,298.5481059192479,828.1365113989746,183.53545551684215,319.2980446893892,372.5431205060842,115.92283822750083,138.63107336427723,353.107866294276,106.21960944192038,155.92336349960175,463.4562829497825,157.6072448068472,446.40363207633857,468.9340043141574,163.16689619869808,439.3188822928825,482.8706387137773,87.61030520352448,159.9170325549707,475.02864510469857,77.31584607492177,163.37468118978745,2.153543925428327,2.0477883334668108,965.2371613543853,305.2623701086539,245.0149209390944,965.2371613543853,305.2623701086539,245.0149209390944,720.4411460118333,10.0,381.8956603471606,720.4068554458987,10.0,366.99511134267885,453.829443874051,10.0,484.4509848197908,453.829443874051,10.0,484.4509848197908,399.64726474256014,55.36169268104331,397.2501309114218,399.64726474256014,55.36169268104331,397.2501309114218,372.5431205060842,115.92283822750083,138.63107336427723,353.107866294276,106.21960944192038,155.92336349960175
3WijiOiVCoMbn80F05SPYsxl0TC2,815.7271053398055,89.300410647071,274.89867585339897,826.3350191279387,97.19178375393676,250.60284227966716,360.383435903621,69.7732906997836,203.71802932200688,360.383435903621,69.7732906997836,203.71802932200688,587.3097119113866,181.7727967856349,275.60853752995575,595.0633273760232,185.67517350678625,260.53767057459726,455.3436694361845,19.527119947287403,71.18064653139209,465.95158322431774,27.41849305415316,46.88481295766027,1.3494076924280491,1.2301456238983728,933.4585066727307,153.25443173586535,209.8955635407553,962.0892071773899,165.3076842798742,155.58234688762627,777.4266376154725,32.509021407223784,260.4747483597761,777.4266376154725,32.509021407223784,260.4747483597761,641.0825370680393,34.88721741698428,229.04747043217122,641.0825370680393,34.88721741698428,229.04747043217122,511.6415601340543,66.80275136069147,187.45214707591757,511.6415601340543,66.80275136069147,187.45214707591757,360.383435903621,69.7732906997836,203.71802932200688,360.383435903621,69.7732906997836,203.71802932200688
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,901.1727372815681,235.4214944364106,14.689840547142673,893.5160451128756,225.89580078351617,36.76724953165984,430.3166734781764,29.418936544133363,88.36150265649538,430.3166734781764,29.418936544133363,88.36150265649538,408.71704481558635,48.128603302860526,333.4589394458824,407.44760032247933,48.80807527602247,336.2669531199015,470.85606380339163,206.00255789227722,-73.6716621093527,463.1993716346992,196.4768642393828,-51.59425312483553,0.16624706580929602,0.4161003200069178,965.9739290291601,226.5654182967033,10.890430286435254,985.3083852583835,212.96627388444324,10.0,842.0793876734267,227.98362650175932,10.0,814.2884047825293,219.5278237740565,41.21877618830478,413.1954695801218,10.0,363.55051478237135,413.1954695801218,10.0,363.55051478237135,372.9679078909522,52.23641539511869,208.76778771357024,368.34537610079485,51.12762742269008,217.1611240294551,430.3166734781764,29.418936544133363,88.36150265649538,430.3166734781764,29.418936544133363,88.36150265649538
3xCaqfcHxRQxuOlEzXz3PNcHODH2,492.07236230611693,61.21459689682797,456.8428978832117,492.07236230611693,61.21459689682797,456.8428978832117,299.1078482969844,45.4650746581842,108.04708974161987,299.1078482969844,45.4650746581842,108.04708974161987,311.34264083734416,53.18685464002444,412.11781424249693,311.34264083734416,53.18685464002444,412.11781424249693,192.96451400913253,15.74952223864377,348.79580814159186,192.96451400913253,15.74952223864377,348.79580814159186,4.228183276159407,4.228183276159407,505.1917624565077,87.68935689035635,436.45816739620324,505.1917624565077,87.68935689035635,436.45816739620324,496.49716245254024,10.0,459.96786117670723,496.49716245254024,10.0,459.96786117670723,387.99459298485544,10.0,288.6910790419238,387.99459298485544,10.0,288.6910790419238,263.8930964568591,10.0,381.16400601785136,263.8930964568591,10.0,381.16400601785136,299.1078482969844,45.4650746581842,108.04708974161987,299.1078482969844,45.4650746581842,108.04708974161987
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,946.6903868014426,229.54174308050767,335.303607625054,966.806576771542,240.93165048626463,322.85454559137446,136.01941587901345,10.0,433.36252264540656,342.28528742822937,70.3213532181074,241.40809814076545,422.86146237926795,143.08999447535209,585.1288553649599,412.386801087641,89.59736265571465,616.1873764617877,810.6709709224292,219.54174308050767,-98.05891502035257,624.5212893433127,170.61029726815724,81.44644745060901,0.7737254379502769,1.3373807592946507,942.2484947532308,165.9356473968609,275.15307890940215,942.2484947532308,165.9356473968609,275.15307890940215,1033.9120982546985,327.36915696528956,312.65749878122375,1060.7133774625127,335.7572354564349,304.34483343421425,567.8864233225328,10.0,482.64175427826547,911.6813842930221,313.3074649922325,156.79078337383436,359.4267060216828,59.528197063449106,496.5610319369451,425.5904986817043,34.76106112045924,440.70226790718107,136.01941587901345,10.0,433.36252264540656,342.28528742822937,70.3213532181074,241.40809814076545
