participant_id,ucla_total,gender_male,mean_chain_length,max_chain_length,n_chains,total_pe_count
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,54.0,1,1.1111111111111112,3,18,20
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,23.0,0,1.125,2,8,9
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,41.0,0,1.0,1,2,2
jzdk8E3tVXTXIozlfK5oeEb7wWp2,37.0,1,1.3333333333333333,3,6,8
kR2rCtaPyPaj7YMizKUDn5xL2qx1,53.0,1,1.4285714285714286,3,7,10
lHDkoPQu5reNCO45npeYSS9eLQl1,36.0,0,1.6,3,10,16
lpzDdvuMkKWkPxu6xeclmdctEp42,52.0,0,1.2857142857142858,2,7,9
mUZzgdWKnPb2txOkJg9FHgqX5792,33.0,0,2.2857142857142856,3,7,16
mg2WZiRBn4NQDKiMK43Y8dBqyG53,54.0,0,1.5,2,8,12
mwsliuPsLFhRFjtjQwYkqcCRDvi2,49.0,1,1.4,2,5,7
nT1qJOiMyDdJ9ui4el195A8Hsgs1,62.0,0,1.1666666666666667,2,6,7
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,29.0,0,1.5555555555555556,4,9,14
pcbRW89vVJcviD87V3uxyG4I9st2,33.0,1,1.0,1,2,2
q0Atnpm0jZS5swcVmq0EMalQUKw1,24.0,0,1.0,1,5,5
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,40.0,1,1.0,1,7,7
rUuJv5gl7dWVo7UPQWMx4bohxhK2,43.0,0,1.125,2,8,9
roaf78tUWxWSEjAUcUu8O7mrQbl1,58.0,0,1.2857142857142858,2,7,9
ssPK6ISW0HerTGke9hznqJ2LpKu1,41.0,1,1.0,1,8,8
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,65.0,0,1.0,1,5,5
u64Uf920g5VD9Byq26LT2rs5o4t1,34.0,1,1.1666666666666667,2,12,14
v8nNKiWvPdcjiHXZci39OuFTY6M2,31.0,0,1.5,3,6,9
wdppvL4tIkVlGjou6aYzzjlaZXB2,44.0,1,1.4285714285714286,4,21,30
xBGZhFOeypWnqzSQClkrwV9z2vF3,43.0,1,1.1428571428571428,2,7,8
xyAILKfYP2M8GqAai11x6NT7IcP2,35.0,1,1.1428571428571428,2,7,8
y1EHXv8tUTa4BRS4fRio7bULYfA2,35.0,0,1.6,5,10,16
yatBVTBMCSMp0wJluOCLzTFKMyP2,35.0,0,1.4285714285714286,3,7,10
